카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년03월_계_총인구수,"3,355,341","1,042,260","262,140","218,233","175,909","193,295","192,683","347,546","130,450","111,517","542,678","105,309","247,487","351,496","27,040","65,089","61,934","51,946","43,351","45,934","35,265","39,404","61,822","44,813"
2020년03월_계_연령구간인구수,"3,355,341","1,042,260","262,140","218,233","175,909","193,295","192,683","347,546","130,450","111,517","542,678","105,309","247,487","351,496","27,040","65,089","61,934","51,946","43,351","45,934","35,265","39,404","61,822","44,813"
2020년03월_계_0~9세,"281,435","86,780","22,073","17,539","12,883","13,994","20,291","29,259","10,525","8,537","51,484","5,870","28,259","36,045","1,140","4,467","3,520","2,835","1,656","2,038","1,494","1,927","3,905","1,694"
2020년03월_계_10~19세,"330,223","102,190","24,223","24,040","14,036","18,878","21,013","35,994","12,962","10,454","62,500","8,092","28,062","34,188","1,589","6,087","4,251","4,122","3,107","3,045","2,167","3,058","5,775","2,580"
2020년03월_계_20~29세,"383,661","132,557","36,420","33,402","19,358","22,944","20,433","44,803","11,642","10,960","69,225","9,358","24,912","41,217","2,095","5,716","5,130","4,005","3,281","3,751","2,579","3,234","5,978","3,218"
2020년03월_계_30~39세,"416,280","138,260","35,766","30,285","21,142","22,699","28,368","42,311","15,068","12,459","72,070","9,209","39,186","51,418","1,881","6,107","5,424","4,226","2,620","3,010","2,298","2,723","5,224","2,786"
2020년03월_계_40~49세,"542,296","169,841","41,408","37,029","25,734","30,907","34,763","54,916","21,689","17,900","99,541","13,237","47,461","60,391","2,963","9,652","7,210","6,643","4,752","5,402","3,636","4,563","7,991","4,508"
2020년03월_계_50~59세,"584,730","188,379","50,850","44,097","29,935","35,235","28,262","57,895","22,871","18,558","95,500","19,267","38,674","58,322","4,733","11,450","11,198","9,298","7,485","8,707","6,708","7,013","10,654","8,018"
2020년03월_계_60~69세,"438,001","134,127","32,157","21,863","28,988","28,761","22,358","43,494","19,525","15,741","54,422","20,208","24,767","40,295","5,166","10,522","11,640","9,286","7,994","8,515","6,940","6,974","9,691","8,694"
2020년03월_계_70~79세,"240,945","61,351","12,902","6,649","16,083","14,245","11,472","25,212","10,962","10,550","25,588","12,377","10,481","20,246","4,074","6,635","8,006","6,803","6,816","6,447","5,314","5,583","7,145","7,355"
2020년03월_계_80~89세,"120,699","25,374","5,565","2,886","6,771","5,047","5,105","11,904","4,586","5,555","10,936","6,774","4,876","8,299","2,959","3,929","4,912","4,106","4,800","4,306","3,598","3,758","4,751","5,276"
2020년03월_계_90~99세,"16,317","3,225",742,423,915,547,598,"1,668",595,779,"1,332",876,771,"1,018",432,514,618,608,822,690,517,537,667,648
2020년03월_계_100세 이상,754,176,34,20,64,38,20,90,25,24,80,41,38,57,8,10,25,14,18,23,14,34,41,36
2020년03월_남_총인구수,"1,689,137","528,140","133,395","111,503","87,527","97,155","98,560","172,040","65,612","56,237","274,437","51,571","129,979","176,468","13,202","32,964","30,801","26,058","20,851","22,875","17,269","18,991","30,131","21,511"
2020년03월_남_연령구간인구수,"1,689,137","528,140","133,395","111,503","87,527","97,155","98,560","172,040","65,612","56,237","274,437","51,571","129,979","176,468","13,202","32,964","30,801","26,058","20,851","22,875","17,269","18,991","30,131","21,511"
2020년03월_남_0~9세,"144,866","44,913","11,380","8,987","6,729","7,278","10,539","15,250","5,296","4,434","26,233","2,987","14,594","18,450",584,"2,236","1,825","1,440",893,"1,071",791,980,"2,024",865
