카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년03월_계_총인구수,"89,289","4,882","5,902","9,962","6,561","4,335","10,174","4,327","5,782","11,351","12,353","9,024","4,636"
2020년03월_계_연령구간인구수,"89,289","4,882","5,902","9,962","6,561","4,335","10,174","4,327","5,782","11,351","12,353","9,024","4,636"
2020년03월_계_0~9세,"4,246",194,177,879,228,207,420,135,206,487,422,516,375
2020년03월_계_10~19세,"5,359",276,273,611,449,335,649,266,390,680,676,481,273
2020년03월_계_20~29세,"10,594",684,671,"1,481",670,492,"1,256",389,608,"1,359","1,379","1,175",430
2020년03월_계_30~39세,"10,499",535,567,"2,047",553,430,"1,172",330,482,"1,232","1,201","1,221",729
2020년03월_계_40~49세,"12,198",712,793,"1,487",885,637,"1,358",532,762,"1,505","1,521","1,290",716
2020년03월_계_50~59세,"15,031",795,"1,018","1,406","1,096",715,"1,729",754,"1,015","1,936","2,252","1,668",647
2020년03월_계_60~69세,"15,683",851,"1,232","1,123","1,214",744,"1,799",831,"1,079","2,005","2,525","1,531",749
2020년03월_계_70~79세,"10,606",581,793,597,955,549,"1,232",748,845,"1,471","1,574",791,470
2020년03월_계_80~89세,"4,417",220,320,265,442,197,496,303,340,605,716,308,205
2020년03월_계_90~99세,558,28,49,58,56,24,48,37,53,59,74,35,37
2020년03월_계_100세 이상,98,6,9,8,13,5,15,2,2,12,13,8,5
2020년03월_남_총인구수,"43,844","2,442","2,903","4,923","3,199","2,107","4,895","2,160","2,780","5,513","6,081","4,552","2,289"
2020년03월_남_연령구간인구수,"43,844","2,442","2,903","4,923","3,199","2,107","4,895","2,160","2,780","5,513","6,081","4,552","2,289"
2020년03월_남_0~9세,"2,242",89,102,462,117,103,211,76,120,270,228,278,186
2020년03월_남_10~19세,"2,778",157,143,327,248,167,320,151,198,339,328,250,150
2020년03월_남_20~29세,"5,388",346,335,634,374,261,630,221,337,715,731,598,206
2020년03월_남_30~39세,"5,644",288,324,"1,075",314,234,654,193,259,632,658,630,383
2020년03월_남_40~49세,"6,570",410,442,769,459,336,715,299,407,804,849,691,389
2020년03월_남_50~59세,"7,579",416,532,723,553,357,833,417,489,951,"1,130",857,321
2020년03월_남_60~69세,"7,454",399,563,554,564,333,831,396,490,950,"1,229",754,391
2020년03월_남_70~79세,"4,473",255,333,269,391,228,518,289,358,617,670,357,188
2020년03월_남_80~89세,"1,533",70,110,89,161,79,162,107,109,218,239,122,67
2020년03월_남_90~99세,154,9,15,16,13,9,18,11,13,14,16,13,7
2020년03월_남_100세 이상,29,3,4,5,5,0,3,0,0,3,3,2,1
2020년03월_여_총인구수,"45,445","2,440","2,999","5,039","3,362","2,228","5,279","2,167","3,002","5,838","6,272","4,472","2,347"
2020년03월_여_연령구간인구수,"45,445","2,440","2,999","5,039","3,362","2,228","5,279","2,167","3,002","5,838","6,272","4,472","2,347"
