카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년01월_계_총인구수,"106,294","7,625","3,394","3,011","5,726","4,312","4,696","4,726","5,378","3,009","3,303","4,797","8,429","5,465","8,178","19,697","14,548"
2020년01월_계_연령구간인구수,"106,294","7,625","3,394","3,011","5,726","4,312","4,696","4,726","5,378","3,009","3,303","4,797","8,429","5,465","8,178","19,697","14,548"
2020년01월_계_0~9세,"6,168",281,114,77,195,183,209,122,166,83,82,187,458,381,348,"1,522","1,760"
2020년01월_계_10~19세,"8,661",443,137,140,299,219,378,237,311,163,96,384,769,585,593,"2,142","1,765"
2020년01월_계_20~29세,"11,945",547,262,201,375,370,481,301,443,200,187,626,962,790,950,"3,350","1,900"
2020년01월_계_30~39세,"10,049",534,222,184,340,333,405,288,368,167,205,390,897,518,755,"2,393","2,050"
2020년01월_계_40~49세,"13,786",829,279,243,547,514,604,432,580,280,326,628,"1,186",809,"1,043","3,083","2,403"
2020년01월_계_50~59세,"18,915","1,415",645,524,"1,072","1,003",947,880,989,550,663,836,"1,464",880,"1,589","3,229","2,229"
2020년01월_계_60~69세,"17,528","1,693",731,645,"1,340",910,802,"1,069","1,057",639,835,797,"1,341",796,"1,410","2,192","1,271"
2020년01월_계_70~79세,"11,245","1,092",544,520,877,478,499,727,816,507,512,584,854,432,976,"1,154",673
2020년01월_계_80~89세,"6,988",701,400,419,594,255,318,588,566,375,342,313,428,242,468,555,424
2020년01월_계_90~99세,950,82,55,55,82,46,53,78,75,41,52,50,64,31,44,72,70
2020년01월_계_100세 이상,59,8,5,3,5,1,0,4,7,4,3,2,6,1,2,5,3
2020년01월_남_총인구수,"53,252","3,848","1,731","1,543","2,908","2,267","2,450","2,470","2,787","1,508","1,487","2,416","4,151","2,740","4,114","9,647","7,185"
2020년01월_남_연령구간인구수,"53,252","3,848","1,731","1,543","2,908","2,267","2,450","2,470","2,787","1,508","1,487","2,416","4,151","2,740","4,114","9,647","7,185"
2020년01월_남_0~9세,"3,194",153,54,41,90,110,104,74,90,43,44,93,237,197,183,783,898
2020년01월_남_10~19세,"4,482",226,87,69,161,123,195,130,144,83,51,210,382,291,320,"1,077",933
2020년01월_남_20~29세,"6,592",339,142,116,194,213,302,186,280,102,108,351,538,387,545,"1,765","1,024"
2020년01월_남_30~39세,"5,384",323,129,107,195,195,217,175,217,107,106,234,501,271,429,"1,209",969
2020년01월_남_40~49세,"7,278",460,177,154,331,278,360,285,359,163,146,321,608,421,567,"1,509","1,139"
2020년01월_남_50~59세,"9,807",710,367,308,608,528,503,463,567,315,293,437,744,462,808,"1,569","1,125"
2020년01월_남_60~69세,"8,750",862,384,345,689,486,422,573,541,320,367,387,616,413,683,"1,013",649
2020년01월_남_70~79세,"5,068",496,251,241,409,220,231,332,380,229,232,253,362,214,410,512,296
2020년01월_남_80~89세,"2,437",257,120,151,207,103,105,231,187,137,118,116,145,78,161,191,130
2020년01월_남_90~99세,248,18,20,11,22,11,11,21,22,8,22,14,17,6,8,16,21
2020년01월_남_100세 이상,12,4,0,0,2,0,0,0,0,1,0,0,1,0,0,3,1
2020년01월_여_총인구수,"53,042","3,777","1,663","1,468","2,818","2,045","2,246","2,256","2,591","1,501","1,816","2,381","4,278","2,725","4,064","10,050","7,363"
2020년01월_여_연령구간인구수,"53,042","3,777","1,663","1,468","2,818","2,045","2,246","2,256","2,591","1,501","1,816","2,381","4,278","2,725","4,064","10,050","7,363"
2020년01월_여_0~9세,"2,974",128,60,36,105,73,105,48,76,40,38,94,221,184,165,739,862
2020년01월_여_10~19세,"4,179",217,50,71,138,96,183,107,167,80,45,174,387,294,273,"1,065",832
2020년01월_여_20~29세,"5,353",208,120,85,181,157,179,115,163,98,79,275,424,403,405,"1,585",876
2020년01월_여_30~39세,"4,665",211,93,77,145,138,188,113,151,60,99,156,396,247,326,"1,184","1,081"
2020년01월_여_40~49세,"6,508",369,102,89,216,236,244,147,221,117,180,307,578,388,476,"1,574","1,264"
2020년01월_여_50~59세,"9,108",705,278,216,464,475,444,417,422,235,370,399,720,418,781,"1,660","1,104"
2020년01월_여_60~69세,"8,778",831,347,300,651,424,380,496,516,319,468,410,725,383,727,"1,179",622
2020년01월_여_70~79세,"6,177",596,293,279,468,258,268,395,436,278,280,331,492,218,566,642,377
2020년01월_여_80~89세,"4,551",444,280,268,387,152,213,357,379,238,224,197,283,164,307,364,294
2020년01월_여_90~99세,702,64,35,44,60,35,42,57,53,33,30,36,47,25,36,56,49
2020년01월_여_100세 이상,47,4,5,3,3,1,0,4,7,3,3,2,5,1,2,2,2
2020년02월_계_총인구수,"106,098","7,610","3,385","2,993","5,694","4,297","4,682","4,728","5,361","3,008","3,293","4,779","8,427","5,450","8,175","19,636","14,580"
2020년02월_계_연령구간인구수,"106,098","7,610","3,385","2,993","5,694","4,297","4,682","4,728","5,361","3,008","3,293","4,779","8,427","5,450","8,175","19,636","14,580"
2020년02월_계_0~9세,"6,144",282,116,75,181,180,206,120,170,80,84,191,452,384,346,"1,512","1,765"
2020년02월_계_10~19세,"8,627",444,139,137,304,218,376,237,308,161,94,376,778,581,587,"2,138","1,749"
