카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년01월_계_총인구수,"162,472","11,958","28,279","38,506","21,265","29,250","33,214"
2020년01월_계_연령구간인구수,"162,472","11,958","28,279","38,506","21,265","29,250","33,214"
2020년01월_계_0~9세,"13,230",844,"2,122","3,022","1,644","2,636","2,962"
2020년01월_계_10~19세,"15,235",998,"2,520","4,117","2,160","2,464","2,976"
2020년01월_계_20~29세,"22,919","1,503","3,966","5,104","3,344","4,396","4,606"
2020년01월_계_30~39세,"22,275","1,606","3,978","5,074","2,529","4,263","4,825"
2020년01월_계_40~49세,"25,194","1,706","4,270","6,238","3,308","4,397","5,275"
2020년01월_계_50~59세,"29,872","2,081","4,992","6,908","4,302","5,485","6,104"
2020년01월_계_60~69세,"19,957","1,872","3,379","4,992","2,379","3,388","3,947"
2020년01월_계_70~79세,"8,926",903,"1,941","2,089",975,"1,380","1,638"
2020년01월_계_80~89세,"4,114",370,961,813,526,707,737
2020년01월_계_90~99세,703,72,137,144,87,128,135
2020년01월_계_100세 이상,47,3,13,5,11,6,9
2020년01월_남_총인구수,"80,957","6,046","14,419","19,174","10,381","14,473","16,464"
2020년01월_남_연령구간인구수,"80,957","6,046","14,419","19,174","10,381","14,473","16,464"
2020년01월_남_0~9세,"6,858",453,"1,126","1,525",849,"1,340","1,565"
2020년01월_남_10~19세,"7,837",504,"1,275","2,115","1,151","1,293","1,499"
2020년01월_남_20~29세,"12,138",832,"2,175","2,707","1,685","2,302","2,437"
2020년01월_남_30~39세,"11,436",853,"2,186","2,570","1,238","2,128","2,461"
2020년01월_남_40~49세,"12,389",870,"2,220","3,026","1,541","2,169","2,563"
2020년01월_남_50~59세,"14,536",984,"2,475","3,403","2,061","2,691","2,922"
2020년01월_남_60~69세,"10,040",959,"1,699","2,499","1,222","1,711","1,950"
2020년01월_남_70~79세,"4,146",447,875,"1,011",431,586,796
2020년01월_남_80~89세,"1,396",126,347,288,181,225,229
2020년01월_남_90~99세,168,16,37,28,22,26,39
2020년01월_남_100세 이상,13,2,4,2,0,2,3
2020년01월_여_총인구수,"81,515","5,912","13,860","19,332","10,884","14,777","16,750"
2020년01월_여_연령구간인구수,"81,515","5,912","13,860","19,332","10,884","14,777","16,750"
2020년01월_여_0~9세,"6,372",391,996,"1,497",795,"1,296","1,397"
2020년01월_여_10~19세,"7,398",494,"1,245","2,002","1,009","1,171","1,477"
2020년01월_여_20~29세,"10,781",671,"1,791","2,397","1,659","2,094","2,169"
2020년01월_여_30~39세,"10,839",753,"1,792","2,504","1,291","2,135","2,364"
2020년01월_여_40~49세,"12,805",836,"2,050","3,212","1,767","2,228","2,712"
2020년01월_여_50~59세,"15,336","1,097","2,517","3,505","2,241","2,794","3,182"
2020년01월_여_60~69세,"9,917",913,"1,680","2,493","1,157","1,677","1,997"
2020년01월_여_70~79세,"4,780",456,"1,066","1,078",544,794,842
2020년01월_여_80~89세,"2,718",244,614,525,345,482,508
2020년01월_여_90~99세,535,56,100,116,65,102,96
2020년01월_여_100세 이상,34,1,9,3,11,4,6
2020년02월_계_총인구수,"163,982","11,911","28,871","38,314","21,248","28,629","35,009"
2020년02월_계_연령구간인구수,"163,982","11,911","28,871","38,314","21,248","28,629","35,009"
2020년02월_계_0~9세,"13,458",822,"2,218","3,002","1,638","2,585","3,193"
2020년02월_계_10~19세,"15,232",987,"2,536","4,071","2,166","2,398","3,074"
2020년02월_계_20~29세,"23,037","1,492","4,039","5,061","3,290","4,280","4,875"
2020년02월_계_30~39세,"22,699","1,600","4,172","5,017","2,535","4,208","5,167"
2020년02월_계_40~49세,"25,351","1,694","4,324","6,225","3,300","4,279","5,529"
2020년02월_계_50~59세,"30,061","2,060","5,051","6,857","4,292","5,343","6,458"
2020년02월_계_60~69세,"20,293","1,898","3,447","5,021","2,416","3,354","4,157"
2020년02월_계_70~79세,"8,958",909,"1,955","2,098",982,"1,354","1,660"
2020년02월_계_80~89세,"4,135",374,975,807,532,699,748
2020년02월_계_90~99세,711,72,142,150,86,123,138
2020년02월_계_100세 이상,47,3,12,5,11,6,10
2020년02월_남_총인구수,"81,709","6,021","14,702","19,093","10,388","14,177","17,328"
2020년02월_남_연령구간인구수,"81,709","6,021","14,702","19,093","10,388","14,177","17,328"
2020년02월_남_0~9세,"6,974",438,"1,165","1,516",850,"1,321","1,684"
