카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년01월_남_30~39세,"48,672","2,321","1,327","2,013","3,267","1,949","3,330","2,912","1,612","2,729","2,030","2,735","1,878","2,903","2,255","3,172","1,023","1,879","3,197","1,650","2,373","2,117"
2020년01월_남_40~49세,"37,677","1,781","1,379","2,651","1,993","1,093","2,091","2,848",964,"1,926","1,228","1,543","1,303","1,936","1,575","1,392","1,569","1,268","2,432","1,973","2,510","2,222"
2020년01월_남_50~59세,"34,472","1,673","1,156","2,340","1,717",859,"1,825","2,385",968,"1,739","1,193","1,390","1,200","1,662","1,667",937,"1,310","1,304","1,920","2,265","2,477","2,485"
2020년01월_남_60~69세,"26,790","1,483",868,"1,704","1,430",649,"1,455","1,922",762,"1,284",976,"1,127",985,"1,266","1,178",675,957,"1,055","1,117","1,892","2,109","1,896"
2020년01월_남_70~79세,"16,730",965,517,"1,084",960,439,934,"1,232",511,792,616,725,697,749,749,443,610,575,587,"1,169","1,220","1,156"
2020년01월_남_80~89세,"4,961",263,191,338,251,123,284,358,157,264,181,219,200,222,230,125,159,196,213,388,292,307
2020년01월_남_90~99세,389,21,21,32,18,13,26,21,11,22,9,11,13,15,15,9,18,23,13,42,18,18
2020년01월_남_100세 이상,63,1,3,4,6,1,7,6,1,2,0,0,4,1,4,1,6,0,3,5,5,3
2020년01월_여_총인구수,"248,938","12,836","8,199","15,846","15,171","8,356","17,264","17,680","8,017","13,611","9,721","11,286","9,230","10,624","11,464","10,573","8,237","8,637","9,336","12,454","16,352","14,044"
2020년01월_여_연령구간인구수,"248,938","12,836","8,199","15,846","15,171","8,356","17,264","17,680","8,017","13,611","9,721","11,286","9,230","10,624","11,464","10,573","8,237","8,637","9,336","12,454","16,352","14,044"
2020년01월_여_0~9세,"12,028",661,705,"1,051",638,386,654,"1,117",208,637,544,350,354,468,420,211,658,385,402,468,979,732
2020년01월_여_10~19세,"14,791",772,574,"1,463",720,461,867,"1,315",354,834,471,437,454,539,570,262,751,419,478,829,"1,270",951
2020년01월_여_20~29세,"54,951","2,391",926,"1,945","4,078","2,733","5,871","2,874","2,504","3,057","2,145","3,145","2,135","2,467","2,953","4,322",842,"2,168","2,455","1,457","2,484","1,999"
2020년01월_여_30~39세,"39,955","2,011","1,369","2,078","2,835","1,543","2,986","2,773","1,376","2,406","1,866","2,023","1,402","1,771","1,789","2,485","1,053","1,453","1,514","1,276","2,202","1,744"
2020년01월_여_40~49세,"33,099","1,703","1,278","2,705","1,799",969,"1,849","2,643",832,"1,871","1,187","1,301","1,118","1,310","1,559","1,028","1,536","1,041","1,181","1,745","2,422","2,022"
2020년01월_여_50~59세,"35,005","1,911","1,218","2,466","1,853",816,"1,872","2,614",944,"1,838","1,424","1,531","1,302","1,478","1,640",817,"1,295","1,161","1,215","2,263","2,715","2,632"
2020년01월_여_60~69세,"30,867","1,756","1,057","2,042","1,704",700,"1,663","2,295",885,"1,574","1,183","1,370","1,235","1,398","1,314",774,"1,118","1,078","1,072","2,190","2,431","2,028"
2020년01월_여_70~79세,"19,618","1,132",687,"1,416","1,108",509,"1,101","1,459",642,"1,006",673,787,848,804,863,473,670,629,691,"1,486","1,282","1,352"
2020년01월_여_80~89세,"7,179",418,330,569,361,201,338,489,236,329,178,292,311,306,296,156,260,256,275,606,482,490
2020년01월_여_90~99세,"1,199",72,36,86,65,30,49,90,28,53,47,41,63,66,50,31,47,38,44,111,68,84
2020년01월_여_100세 이상,246,9,19,25,10,8,14,11,8,6,3,9,8,17,10,14,7,9,9,23,17,10
2020년02월_계_총인구수,"499,587","25,084","16,066","30,654","29,674","16,849","33,511","34,599","15,488","26,689","18,757","23,126","18,483","23,677","22,912","21,684","16,128","17,582","23,444","24,970","31,967","28,243"
2020년02월_계_연령구간인구수,"499,587","25,084","16,066","30,654","29,674","16,849","33,511","34,599","15,488","26,689","18,757","23,126","18,483","23,677","22,912","21,684","16,128","17,582","23,444","24,970","31,967","28,243"
2020년02월_계_0~9세,"24,462","1,343","1,452","2,194","1,280",804,"1,265","2,362",462,"1,292","1,125",748,691,923,873,411,"1,294",764,784,"1,009","1,934","1,452"
2020년02월_계_10~19세,"30,422","1,575","1,210","3,069","1,480",869,"1,772","2,661",691,"1,705",890,940,913,"1,137","1,272",511,"1,514",873,"1,049","1,734","2,499","2,058"
2020년02월_계_20~29세,"107,757","4,646","1,957","3,869","7,480","5,298","10,553","5,559","4,361","5,840","3,914","6,329","4,301","5,695","5,597","8,253","1,730","3,952","6,142","3,141","4,946","4,194"
2020년02월_계_30~39세,"88,518","4,319","2,673","4,075","6,155","3,476","6,358","5,643","3,016","5,139","3,904","4,773","3,282","4,665","4,004","5,640","2,043","3,343","4,707","2,922","4,526","3,855"
2020년02월_계_40~49세,"70,617","3,497","2,637","5,318","3,794","2,050","3,957","5,462","1,786","3,787","2,398","2,828","2,441","3,239","3,137","2,437","3,082","2,314","3,603","3,699","4,932","4,219"
2020년02월_계_50~59세,"69,370","3,563","2,381","4,793","3,572","1,675","3,718","5,004","1,924","3,562","2,645","2,915","2,481","3,142","3,294","1,733","2,613","2,458","3,117","4,514","5,196","5,070"
2020년02월_계_60~69세,"57,838","3,254","1,945","3,783","3,130","1,354","3,131","4,216","1,646","2,878","2,162","2,502","2,222","2,671","2,510","1,438","2,063","2,146","2,203","4,082","4,531","3,971"
2020년02월_계_70~79세,"36,421","2,102","1,207","2,486","2,060",946,"2,034","2,697","1,154","1,811","1,293","1,519","1,546","1,572","1,615",922,"1,283","1,201","1,279","2,674","2,511","2,509"
2020년02월_계_80~89세,"12,272",681,520,913,626,324,627,870,401,591,368,512,518,535,531,281,428,461,490,"1,011",785,799
2020년02월_계_90~99세,"1,600",94,62,124,81,44,75,108,38,76,55,51,76,80,65,43,65,61,58,156,85,103
2020년02월_계_100세 이상,310,10,22,30,16,9,21,17,9,8,3,9,12,18,14,15,13,9,12,28,22,13
2020년02월_남_총인구수,"250,822","12,278","7,888","14,866","14,418","8,493","16,109","16,959","7,446","13,103","9,022","11,841","9,263","13,067","11,452","11,159","7,968","8,935","14,130","12,530","15,667","14,228"
2020년02월_남_연령구간인구수,"250,822","12,278","7,888","14,866","14,418","8,493","16,109","16,959","7,446","13,103","9,022","11,841","9,263","13,067","11,452","11,159","7,968","8,935","14,130","12,530","15,667","14,228"
2020년02월_남_0~9세,"12,588",690,765,"1,154",646,418,618,"1,263",258,668,584,405,339,461,460,210,649,376,390,539,964,731
2020년02월_남_10~19세,"15,656",814,634,"1,624",744,407,872,"1,346",338,885,416,496,460,600,703,248,787,458,555,917,"1,238","1,114"
2020년02월_남_20~29세,"52,761","2,256","1,031","1,929","3,355","2,552","4,643","2,686","1,845","2,789","1,762","3,180","2,179","3,246","2,620","3,945",900,"1,780","3,722","1,690","2,462","2,189"
2020년02월_남_30~39세,"48,639","2,317","1,330","2,011","3,297","1,942","3,340","2,894","1,631","2,726","2,039","2,737","1,869","2,893","2,242","3,168","1,007","1,888","3,183","1,643","2,361","2,121"
2020년02월_남_40~49세,"37,596","1,781","1,355","2,632","1,983","1,085","2,096","2,839",964,"1,915","1,222","1,540","1,319","1,937","1,583","1,403","1,560","1,269","2,423","1,966","2,510","2,214"
2020년02월_남_50~59세,"34,438","1,669","1,161","2,333","1,721",860,"1,837","2,381",965,"1,736","1,210","1,391","1,194","1,666","1,659",930,"1,320","1,294","1,910","2,260","2,484","2,457"
2020년02월_남_60~69세,"26,916","1,497",880,"1,725","1,436",653,"1,451","1,926",764,"1,294",982,"1,134",984,"1,267","1,185",672,951,"1,070","1,131","1,890","2,105","1,919"
2020년02월_남_70~79세,"16,739",963,515,"1,080",953,437,935,"1,231",509,801,615,723,695,755,747,446,609,576,586,"1,183","1,221","1,159"
2020년02월_남_80~89세,"5,034",267,192,337,260,125,284,369,160,265,183,222,207,226,234,127,162,201,214,396,299,304
2020년02월_남_90~99세,391,23,22,37,17,13,26,18,11,22,9,12,13,15,15,9,17,23,13,41,18,17
2020년02월_남_100세 이상,64,1,3,4,6,1,7,6,1,2,0,1,4,1,4,1,6,0,3,5,5,3
2020년02월_여_총인구수,"248,765","12,806","8,178","15,788","15,256","8,356","17,402","17,640","8,042","13,586","9,735","11,285","9,220","10,610","11,460","10,525","8,160","8,647","9,314","12,440","16,300","14,015"
2020년02월_여_연령구간인구수,"248,765","12,806","8,178","15,788","15,256","8,356","17,402","17,640","8,042","13,586","9,735","11,285","9,220","10,610","11,460","10,525","8,160","8,647","9,314","12,440","16,300","14,015"
2020년02월_여_0~9세,"11,874",653,687,"1,040",634,386,647,"1,099",204,624,541,343,352,462,413,201,645,388,394,470,970,721
2020년02월_여_10~19세,"14,766",761,576,"1,445",736,462,900,"1,315",353,820,474,444,453,537,569,263,727,415,494,817,"1,261",944
2020년02월_여_20~29세,"54,996","2,390",926,"1,940","4,125","2,746","5,910","2,873","2,516","3,051","2,152","3,149","2,122","2,449","2,977","4,308",830,"2,172","2,420","1,451","2,484","2,005"
2020년02월_여_30~39세,"39,879","2,002","1,343","2,064","2,858","1,534","3,018","2,749","1,385","2,413","1,865","2,036","1,413","1,772","1,762","2,472","1,036","1,455","1,524","1,279","2,165","1,734"
2020년02월_여_40~49세,"33,021","1,716","1,282","2,686","1,811",965,"1,861","2,623",822,"1,872","1,176","1,288","1,122","1,302","1,554","1,034","1,522","1,045","1,180","1,733","2,422","2,005"
2020년02월_여_50~59세,"34,932","1,894","1,220","2,460","1,851",815,"1,881","2,623",959,"1,826","1,435","1,524","1,287","1,476","1,635",803,"1,293","1,164","1,207","2,254","2,712","2,613"
2020년02월_여_60~69세,"30,922","1,757","1,065","2,058","1,694",701,"1,680","2,290",882,"1,584","1,180","1,368","1,238","1,404","1,325",766,"1,112","1,076","1,072","2,192","2,426","2,052"
2020년02월_여_70~79세,"19,682","1,139",692,"1,406","1,107",509,"1,099","1,466",645,"1,010",678,796,851,817,868,476,674,625,693,"1,491","1,290","1,350"
2020년02월_여_80~89세,"7,238",414,328,576,366,199,343,501,241,326,185,290,311,309,297,154,266,260,276,615,486,495
2020년02월_여_90~99세,"1,209",71,40,87,64,31,49,90,27,54,46,39,63,65,50,34,48,38,45,115,67,86
2020년02월_여_100세 이상,246,9,19,26,10,8,14,11,8,6,3,8,8,17,10,14,7,9,9,23,17,10
2020년03월_계_총인구수,"499,374","24,982","15,988","30,623","29,649","16,925","33,562","34,476","15,552","26,650","18,761","23,220","18,482","23,675","22,946","21,690","16,082","17,597","23,565","24,861","31,920","28,168"
2020년03월_계_연령구간인구수,"499,374","24,982","15,988","30,623","29,649","16,925","33,562","34,476","15,552","26,650","18,761","23,220","18,482","23,675","22,946","21,690","16,082","17,597","23,565","24,861","31,920","28,168"
2020년03월_계_0~9세,"24,248","1,340","1,425","2,195","1,281",790,"1,254","2,323",450,"1,272","1,124",749,678,902,877,405,"1,290",745,782,"1,003","1,918","1,445"
2020년03월_계_10~19세,"30,334","1,543","1,199","3,054","1,460",899,"1,781","2,666",690,"1,703",891,936,911,"1,144","1,262",533,"1,514",853,"1,060","1,717","2,481","2,037"
2020년03월_계_20~29세,"108,343","4,675","1,963","3,888","7,548","5,355","10,606","5,554","4,435","5,850","3,932","6,439","4,351","5,697","5,649","8,248","1,723","3,999","6,180","3,121","4,967","4,163"
2020년03월_계_30~39세,"88,225","4,262","2,663","4,073","6,133","3,495","6,338","5,598","3,022","5,109","3,855","4,768","3,260","4,665","3,990","5,611","2,012","3,344","4,763","2,896","4,519","3,849"
2020년03월_계_40~49세,"70,260","3,481","2,606","5,275","3,750","2,033","3,945","5,431","1,778","3,770","2,402","2,832","2,422","3,253","3,126","2,449","3,064","2,299","3,584","3,667","4,898","4,195"
2020년03월_계_50~59세,"69,117","3,527","2,366","4,808","3,556","1,668","3,713","4,976","1,922","3,555","2,641","2,904","2,488","3,130","3,275","1,720","2,616","2,440","3,122","4,471","5,169","5,050"
2020년03월_계_60~69세,"58,015","3,271","1,943","3,786","3,133","1,356","3,154","4,222","1,650","2,890","2,186","2,499","2,216","2,677","2,524","1,448","2,070","2,168","2,213","4,098","4,537","3,974"
2020년03월_계_70~79세,"36,481","2,096","1,217","2,475","2,059",943,"2,044","2,711","1,147","1,812","1,297","1,512","1,540","1,565","1,622",931,"1,282","1,210","1,294","2,678","2,532","2,514"
2020년03월_계_80~89세,"12,411",686,521,911,629,332,628,870,409,603,369,521,526,544,542,288,434,466,498,"1,019",794,821
2020년03월_계_90~99세,"1,631",91,63,128,83,45,79,108,40,78,61,51,78,80,65,42,64,64,57,163,85,106
2020년03월_계_100세 이상,309,10,22,30,17,9,20,17,9,8,3,9,12,18,14,15,13,9,12,28,20,14
2020년03월_남_총인구수,"250,743","12,228","7,849","14,863","14,385","8,543","16,168","16,873","7,446","13,055","9,021","11,922","9,283","13,066","11,476","11,190","7,945","8,937","14,210","12,454","15,640","14,189"
2020년03월_남_연령구간인구수,"250,743","12,228","7,849","14,863","14,385","8,543","16,168","16,873","7,446","13,055","9,021","11,922","9,283","13,066","11,476","11,190","7,945","8,937","14,210","12,454","15,640","14,189"
2020년03월_남_0~9세,"12,476",686,751,"1,156",646,411,609,"1,237",250,664,587,404,330,451,464,206,644,367,393,536,960,724
2020년03월_남_10~19세,"15,604",801,627,"1,620",733,426,875,"1,348",340,881,416,494,462,602,694,267,778,441,559,907,"1,230","1,103"
2020년03월_남_20~29세,"53,005","2,269","1,038","1,939","3,369","2,589","4,683","2,671","1,843","2,766","1,767","3,260","2,220","3,237","2,640","3,950",902,"1,810","3,737","1,673","2,467","2,175"
2020년03월_남_30~39세,"48,560","2,291","1,335","2,020","3,279","1,957","3,353","2,855","1,644","2,709","2,012","2,743","1,863","2,885","2,243","3,163",995,"1,895","3,232","1,623","2,347","2,116"
2020년03월_남_40~49세,"37,426","1,771","1,329","2,607","1,970","1,074","2,086","2,831",953,"1,908","1,226","1,540","1,305","1,952","1,593","1,406","1,552","1,253","2,404","1,956","2,500","2,210"
2020년03월_남_50~59세,"34,354","1,655","1,155","2,345","1,714",859,"1,842","2,378",965,"1,729","1,212","1,391","1,198","1,665","1,640",925,"1,315","1,284","1,921","2,231","2,483","2,447"
2020년03월_남_60~69세,"27,001","1,501",886,"1,724","1,435",644,"1,460","1,927",770,"1,304",992,"1,133",984,"1,276","1,194",682,962,"1,074","1,139","1,898","2,100","1,916"
2020년03월_남_70~79세,"16,751",961,514,"1,074",951,439,940,"1,236",505,801,614,718,694,747,748,450,610,582,593,"1,183","1,229","1,162"
2020년03월_남_80~89세,"5,109",270,190,337,265,130,286,366,163,268,185,226,209,233,241,131,164,210,218,400,301,316
2020년03월_남_90~99세,393,22,21,37,17,13,27,18,12,23,10,12,14,17,15,9,17,21,11,42,18,17
2020년03월_남_100세 이상,64,1,3,4,6,1,7,6,1,2,0,1,4,1,4,1,6,0,3,5,5,3
2020년03월_여_총인구수,"248,631","12,754","8,139","15,760","15,264","8,382","17,394","17,603","8,106","13,595","9,740","11,298","9,199","10,609","11,470","10,500","8,137","8,660","9,355","12,407","16,280","13,979"
2020년03월_여_연령구간인구수,"248,631","12,754","8,139","15,760","15,264","8,382","17,394","17,603","8,106","13,595","9,740","11,298","9,199","10,609","11,470","10,500","8,137","8,660","9,355","12,407","16,280","13,979"
2020년03월_여_0~9세,"11,772",654,674,"1,039",635,379,645,"1,086",200,608,537,345,348,451,413,199,646,378,389,467,958,721
2020년03월_여_10~19세,"14,730",742,572,"1,434",727,473,906,"1,318",350,822,475,442,449,542,568,266,736,412,501,810,"1,251",934
2020년03월_여_20~29세,"55,338","2,406",925,"1,949","4,179","2,766","5,923","2,883","2,592","3,084","2,165","3,179","2,131","2,460","3,009","4,298",821,"2,189","2,443","1,448","2,500","1,988"
2020년03월_여_30~39세,"39,665","1,971","1,328","2,053","2,854","1,538","2,985","2,743","1,378","2,400","1,843","2,025","1,397","1,780","1,747","2,448","1,017","1,449","1,531","1,273","2,172","1,733"
2020년03월_여_40~49세,"32,834","1,710","1,277","2,668","1,780",959,"1,859","2,600",825,"1,862","1,176","1,292","1,117","1,301","1,533","1,043","1,512","1,046","1,180","1,711","2,398","1,985"
2020년03월_여_50~59세,"34,763","1,872","1,211","2,463","1,842",809,"1,871","2,598",957,"1,826","1,429","1,513","1,290","1,465","1,635",795,"1,301","1,156","1,201","2,240","2,686","2,603"
2020년03월_여_60~69세,"31,014","1,770","1,057","2,062","1,698",712,"1,694","2,295",880,"1,586","1,194","1,366","1,232","1,401","1,330",766,"1,108","1,094","1,074","2,200","2,437","2,058"
2020년03월_여_70~79세,"19,730","1,135",703,"1,401","1,108",504,"1,104","1,475",642,"1,011",683,794,846,818,874,481,672,628,701,"1,495","1,303","1,352"
2020년03월_여_80~89세,"7,302",416,331,574,364,202,342,504,246,335,184,295,317,311,301,157,270,256,280,619,493,505
2020년03월_여_90~99세,"1,238",69,42,91,66,32,52,90,28,55,51,39,64,63,50,33,47,43,46,121,67,89
2020년03월_여_100세 이상,245,9,19,26,11,8,13,11,8,6,3,8,8,17,10,14,7,9,9,23,15,11
2020년04월_계_총인구수,"498,978","24,999","15,936","30,528","29,562","16,977","33,587","34,482","15,597","26,638","18,707","23,183","18,501","23,760","22,939","21,661","16,060","17,551","23,623","24,805","31,806","28,076"
2020년04월_계_연령구간인구수,"498,978","24,999","15,936","30,528","29,562","16,977","33,587","34,482","15,597","26,638","18,707","23,183","18,501","23,760","22,939","21,661","16,060","17,551","23,623","24,805","31,806","28,076"
2020년04월_계_0~9세,"23,994","1,316","1,404","2,170","1,255",783,"1,256","2,304",449,"1,271","1,108",743,669,900,869,397,"1,279",730,775,991,"1,901","1,424"
2020년04월_계_10~19세,"30,207","1,547","1,202","3,034","1,456",901,"1,754","2,667",694,"1,698",876,928,915,"1,147","1,252",529,"1,511",859,"1,054","1,695","2,459","2,029"
2020년04월_계_20~29세,"108,515","4,722","1,960","3,900","7,514","5,394","10,638","5,568","4,471","5,832","3,930","6,464","4,359","5,700","5,664","8,252","1,719","3,987","6,198","3,120","4,965","4,158"
2020년04월_계_30~39세,"88,036","4,232","2,652","4,052","6,129","3,515","6,347","5,610","3,047","5,097","3,830","4,726","3,258","4,692","3,969","5,590","2,006","3,337","4,770","2,881","4,476","3,820"
2020년04월_계_40~49세,"70,071","3,497","2,592","5,240","3,722","2,035","3,943","5,393","1,781","3,778","2,395","2,840","2,407","3,279","3,117","2,455","3,057","2,276","3,590","3,622","4,887","4,165"
2020년04월_계_50~59세,"69,087","3,521","2,352","4,801","3,548","1,671","3,710","4,989","1,904","3,559","2,641","2,891","2,495","3,136","3,277","1,726","2,615","2,445","3,143","4,482","5,142","5,039"
2020년04월_계_60~69세,"58,039","3,272","1,953","3,785","3,148","1,351","3,146","4,243","1,639","2,886","2,190","2,497","2,225","2,693","2,524","1,439","2,069","2,164","2,215","4,101","4,523","3,976"
2020년04월_계_70~79세,"36,596","2,103","1,212","2,475","2,060",942,"2,058","2,701","1,155","1,822","1,297","1,511","1,549","1,566","1,642",933,"1,292","1,213","1,305","2,688","2,553","2,519"
2020년04월_계_80~89세,"12,470",687,523,913,628,331,630,879,406,608,377,523,534,547,546,285,434,467,502,"1,027",796,827
2020년04월_계_90~99세,"1,652",93,64,128,85,44,85,111,42,79,60,51,78,81,64,40,65,63,59,170,84,106
2020년04월_계_100세 이상,311,9,22,30,17,10,20,17,9,8,3,9,12,19,15,15,13,10,12,28,20,13
2020년04월_남_총인구수,"250,442","12,236","7,810","14,810","14,341","8,548","16,156","16,895","7,472","13,035","9,001","11,910","9,262","13,096","11,458","11,214","7,921","8,907","14,238","12,426","15,582","14,124"
2020년04월_남_연령구간인구수,"250,442","12,236","7,810","14,810","14,341","8,548","16,156","16,895","7,472","13,035","9,001","11,910","9,262","13,096","11,458","11,214","7,921","8,907","14,238","12,426","15,582","14,124"
2020년04월_남_0~9세,"12,341",677,738,"1,140",633,408,608,"1,224",253,660,583,399,321,454,460,201,637,367,390,527,954,707
2020년04월_남_10~19세,"15,523",805,626,"1,612",730,427,858,"1,349",338,876,408,493,463,603,690,262,775,440,552,896,"1,221","1,099"
2020년04월_남_20~29세,"53,028","2,282","1,035","1,934","3,356","2,603","4,689","2,688","1,871","2,751","1,761","3,267","2,210","3,220","2,639","3,978",901,"1,803","3,735","1,674","2,464","2,167"
2020년04월_남_30~39세,"48,473","2,280","1,330","2,022","3,277","1,952","3,345","2,870","1,659","2,707","2,002","2,729","1,849","2,893","2,229","3,174",988,"1,881","3,234","1,612","2,326","2,114"
2020년04월_남_40~49세,"37,320","1,772","1,317","2,590","1,953","1,074","2,083","2,814",953,"1,905","1,225","1,549","1,300","1,972","1,593","1,409","1,546","1,239","2,409","1,938","2,497","2,182"
2020년04월_남_50~59세,"34,370","1,655","1,148","2,343","1,707",864,"1,845","2,382",955,"1,742","1,219","1,379","1,202","1,672","1,643",929,"1,308","1,296","1,938","2,240","2,463","2,440"
2020년04월_남_60~69세,"26,987","1,507",886,"1,724","1,446",640,"1,458","1,940",759,"1,298",991,"1,136",987,"1,281","1,186",675,959,"1,067","1,143","1,900","2,092","1,912"
2020년04월_남_70~79세,"16,809",967,516,"1,066",952,436,950,"1,232",509,803,615,717,698,748,758,448,620,584,599,"1,186","1,242","1,163"
2020년04월_남_80~89세,"5,133",268,191,338,264,130,285,373,161,268,187,228,214,235,240,129,164,211,224,405,299,319
2020년04월_남_90~99세,391,22,20,37,17,12,28,17,13,23,10,12,14,17,15,8,17,18,11,43,19,18
2020년04월_남_100세 이상,67,1,3,4,6,2,7,6,1,2,0,1,4,1,5,1,6,1,3,5,5,3
2020년04월_여_총인구수,"248,536","12,763","8,126","15,718","15,221","8,429","17,431","17,587","8,125","13,603","9,706","11,273","9,239","10,664","11,481","10,447","8,139","8,644","9,385","12,379","16,224","13,952"
2020년04월_여_연령구간인구수,"248,536","12,763","8,126","15,718","15,221","8,429","17,431","17,587","8,125","13,603","9,706","11,273","9,239","10,664","11,481","10,447","8,139","8,644","9,385","12,379","16,224","13,952"
2020년04월_여_0~9세,"11,653",639,666,"1,030",622,375,648,"1,080",196,611,525,344,348,446,409,196,642,363,385,464,947,717
2020년04월_여_10~19세,"14,684",742,576,"1,422",726,474,896,"1,318",356,822,468,435,452,544,562,267,736,419,502,799,"1,238",930
2020년04월_여_20~29세,"55,487","2,440",925,"1,966","4,158","2,791","5,949","2,880","2,600","3,081","2,169","3,197","2,149","2,480","3,025","4,274",818,"2,184","2,463","1,446","2,501","1,991"
2020년04월_여_30~39세,"39,563","1,952","1,322","2,030","2,852","1,563","3,002","2,740","1,388","2,390","1,828","1,997","1,409","1,799","1,740","2,416","1,018","1,456","1,536","1,269","2,150","1,706"
2020년04월_여_40~49세,"32,751","1,725","1,275","2,650","1,769",961,"1,860","2,579",828,"1,873","1,170","1,291","1,107","1,307","1,524","1,046","1,511","1,037","1,181","1,684","2,390","1,983"
2020년04월_여_50~59세,"34,717","1,866","1,204","2,458","1,841",807,"1,865","2,607",949,"1,817","1,422","1,512","1,293","1,464","1,634",797,"1,307","1,149","1,205","2,242","2,679","2,599"
2020년04월_여_60~69세,"31,052","1,765","1,067","2,061","1,702",711,"1,688","2,303",880,"1,588","1,199","1,361","1,238","1,412","1,338",764,"1,110","1,097","1,072","2,201","2,431","2,064"
