카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년01월_계_총인구수,"25,439","5,310","1,899","2,524","2,101","2,525","2,657","1,827","6,596"
2020년01월_계_연령구간인구수,"25,439","5,310","1,899","2,524","2,101","2,525","2,657","1,827","6,596"
2020년01월_계_0~9세,"1,050",307,50,72,80,65,87,58,331
2020년01월_계_10~19세,"1,307",381,65,101,102,100,91,52,415
2020년01월_계_20~29세,"1,872",516,112,146,138,139,139,108,574
2020년01월_계_30~39세,"1,816",505,129,119,119,126,122,111,585
2020년01월_계_40~49세,"2,506",632,166,169,202,203,214,152,768
2020년01월_계_50~59세,"4,832","1,010",378,506,411,507,511,299,"1,210"
2020년01월_계_60~69세,"5,308",891,450,630,435,650,610,418,"1,224"
2020년01월_계_70~79세,"4,078",645,353,470,353,445,520,341,951
2020년01월_계_80~89세,"2,359",365,180,274,236,259,309,244,492
2020년01월_계_90~99세,291,50,16,34,23,30,53,42,43
2020년01월_계_100세 이상,20,8,0,3,2,1,1,2,3
2020년01월_남_총인구수,"12,715","2,637",942,"1,241","1,063","1,248","1,272",906,"3,406"
2020년01월_남_연령구간인구수,"12,715","2,637",942,"1,241","1,063","1,248","1,272",906,"3,406"
2020년01월_남_0~9세,542,164,23,37,40,37,48,29,164
2020년01월_남_10~19세,704,189,41,58,55,51,52,22,236
2020년01월_남_20~29세,"1,108",298,65,89,87,73,81,67,348
2020년01월_남_30~39세,"1,075",273,83,75,76,73,68,75,352
2020년01월_남_40~49세,"1,440",347,105,84,124,119,126,92,443
2020년01월_남_50~59세,"2,520",534,187,263,215,247,252,165,657
2020년01월_남_60~69세,"2,648",432,233,307,227,327,306,220,596
2020년01월_남_70~79세,"1,772",275,146,206,144,206,224,152,419
2020년01월_남_80~89세,840,117,57,112,90,108,103,73,180
2020년01월_남_90~99세,61,6,2,9,5,7,12,10,10
2020년01월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년01월_여_총인구수,"12,724","2,673",957,"1,283","1,038","1,277","1,385",921,"3,190"
2020년01월_여_연령구간인구수,"12,724","2,673",957,"1,283","1,038","1,277","1,385",921,"3,190"
2020년01월_여_0~9세,508,143,27,35,40,28,39,29,167
2020년01월_여_10~19세,603,192,24,43,47,49,39,30,179
2020년01월_여_20~29세,764,218,47,57,51,66,58,41,226
2020년01월_여_30~39세,741,232,46,44,43,53,54,36,233
2020년01월_여_40~49세,"1,066",285,61,85,78,84,88,60,325
2020년01월_여_50~59세,"2,312",476,191,243,196,260,259,134,553
2020년01월_여_60~69세,"2,660",459,217,323,208,323,304,198,628
2020년01월_여_70~79세,"2,306",370,207,264,209,239,296,189,532
2020년01월_여_80~89세,"1,519",248,123,162,146,151,206,171,312
2020년01월_여_90~99세,230,44,14,25,18,23,41,32,33
2020년01월_여_100세 이상,15,6,0,2,2,1,1,1,2
2020년02월_계_총인구수,"25,430","5,293","1,884","2,510","2,096","2,531","2,664","1,823","6,629"
2020년02월_계_연령구간인구수,"25,430","5,293","1,884","2,510","2,096","2,531","2,664","1,823","6,629"
2020년02월_계_0~9세,"1,036",304,47,71,77,64,86,55,332
2020년02월_계_10~19세,"1,299",373,65,98,100,101,95,51,416
2020년02월_계_20~29세,"1,854",512,106,144,139,135,134,107,577
2020년02월_계_30~39세,"1,806",495,129,112,119,125,121,117,588
2020년02월_계_40~49세,"2,512",637,160,167,203,207,219,145,774
2020년02월_계_50~59세,"4,844","1,012",382,505,411,500,511,300,"1,223"
2020년02월_계_60~69세,"5,326",895,448,630,434,662,613,419,"1,225"
2020년02월_계_70~79세,"4,074",641,349,469,352,444,524,341,954
2020년02월_계_80~89세,"2,361",369,180,277,238,256,306,242,493
2020년02월_계_90~99세,298,47,18,34,21,36,54,44,44
2020년02월_계_100세 이상,20,8,0,3,2,1,1,2,3
2020년02월_남_총인구수,"12,708","2,632",930,"1,233","1,062","1,254","1,278",902,"3,417"
2020년02월_남_연령구간인구수,"12,708","2,632",930,"1,233","1,062","1,254","1,278",902,"3,417"
2020년02월_남_0~9세,537,163,22,36,38,36,47,28,167
2020년02월_남_10~19세,701,186,41,56,55,53,55,21,234
2020년02월_남_20~29세,"1,093",297,60,86,88,72,77,66,347
2020년02월_남_30~39세,"1,066",265,81,72,76,73,68,78,353
2020년02월_남_40~49세,"1,445",352,101,85,125,121,128,88,445
2020년02월_남_50~59세,"2,525",534,190,262,216,245,251,166,661
2020년02월_남_60~69세,"2,671",436,233,307,223,333,315,223,601
2020년02월_남_70~79세,"1,764",272,143,208,146,206,221,150,418
2020년02월_남_80~89세,839,119,56,112,90,106,104,72,180
2020년02월_남_90~99세,62,6,3,8,5,9,12,9,10
2020년02월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년02월_여_총인구수,"12,722","2,661",954,"1,277","1,034","1,277","1,386",921,"3,212"
2020년02월_여_연령구간인구수,"12,722","2,661",954,"1,277","1,034","1,277","1,386",921,"3,212"
2020년02월_여_0~9세,499,141,25,35,39,28,39,27,165
2020년02월_여_10~19세,598,187,24,42,45,48,40,30,182
2020년02월_여_20~29세,761,215,46,58,51,63,57,41,230
2020년02월_여_30~39세,740,230,48,40,43,52,53,39,235
2020년02월_여_40~49세,"1,067",285,59,82,78,86,91,57,329
2020년02월_여_50~59세,"2,319",478,192,243,195,255,260,134,562
2020년02월_여_60~69세,"2,655",459,215,323,211,329,298,196,624
2020년02월_여_70~79세,"2,310",369,206,261,206,238,303,191,536
2020년02월_여_80~89세,"1,522",250,124,165,148,150,202,170,313
2020년02월_여_90~99세,236,41,15,26,16,27,42,35,34
2020년02월_여_100세 이상,15,6,0,2,2,1,1,1,2
2020년03월_계_총인구수,"25,340","5,267","1,880","2,517","2,095","2,542","2,641","1,814","6,584"
2020년03월_계_연령구간인구수,"25,340","5,267","1,880","2,517","2,095","2,542","2,641","1,814","6,584"
2020년03월_계_0~9세,"1,023",302,46,70,77,62,83,56,327
2020년03월_계_10~19세,"1,284",366,65,101,98,101,95,49,409
2020년03월_계_20~29세,"1,817",504,103,137,142,131,127,105,568
2020년03월_계_30~39세,"1,775",494,128,110,114,126,118,111,574
2020년03월_계_40~49세,"2,492",629,159,169,202,207,215,146,765
2020년03월_계_50~59세,"4,833","1,014",378,512,418,499,499,296,"1,217"
2020년03월_계_60~69세,"5,354",894,451,631,431,673,619,424,"1,231"
2020년03월_계_70~79세,"4,046",636,347,465,351,446,518,337,946
2020년03월_계_80~89세,"2,391",371,184,283,236,260,312,246,499
2020년03월_계_90~99세,305,49,19,36,24,36,54,42,45
2020년03월_계_100세 이상,20,8,0,3,2,1,1,2,3
2020년03월_남_총인구수,"12,651","2,614",926,"1,233","1,058","1,258","1,261",900,"3,401"
2020년03월_남_연령구간인구수,"12,651","2,614",926,"1,233","1,058","1,258","1,261",900,"3,401"
2020년03월_남_0~9세,528,161,24,35,38,36,44,28,162
2020년03월_남_10~19세,690,182,39,58,54,52,55,21,229
2020년03월_남_20~29세,"1,080",291,58,83,88,71,74,62,353
2020년03월_남_30~39세,"1,050",268,81,69,71,75,65,76,345
2020년03월_남_40~49세,"1,428",343,100,86,124,119,123,91,442
2020년03월_남_50~59세,"2,525",533,187,265,223,247,246,165,659
2020년03월_남_60~69세,"2,677",437,234,306,219,334,318,225,604
2020년03월_남_70~79세,"1,753",269,143,206,146,207,217,149,416
2020년03월_남_80~89세,852,122,57,114,90,108,107,74,180
2020년03월_남_90~99세,63,6,3,10,5,9,12,8,10
2020년03월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년03월_여_총인구수,"12,689","2,653",954,"1,284","1,037","1,284","1,380",914,"3,183"
2020년03월_여_연령구간인구수,"12,689","2,653",954,"1,284","1,037","1,284","1,380",914,"3,183"
2020년03월_여_0~9세,495,141,22,35,39,26,39,28,165
2020년03월_여_10~19세,594,184,26,43,44,49,40,28,180
2020년03월_여_20~29세,737,213,45,54,54,60,53,43,215
2020년03월_여_30~39세,725,226,47,41,43,51,53,35,229
2020년03월_여_40~49세,"1,064",286,59,83,78,88,92,55,323
2020년03월_여_50~59세,"2,308",481,191,247,195,252,253,131,558
2020년03월_여_60~69세,"2,677",457,217,325,212,339,301,199,627
2020년03월_여_70~79세,"2,293",367,204,259,205,239,301,188,530
2020년03월_여_80~89세,"1,539",249,127,169,146,152,205,172,319
2020년03월_여_90~99세,242,43,16,26,19,27,42,34,35
2020년03월_여_100세 이상,15,6,0,2,2,1,1,1,2
2020년04월_계_총인구수,"25,291","5,281","1,881","2,503","2,093","2,542","2,628","1,805","6,558"
