카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년03월_계_총인구수,"126,175","2,117","5,217","2,981","3,942","4,685","4,931","1,820","7,530","14,503","17,486","14,166","10,600","10,861","12,728","12,608"
2020년03월_계_연령구간인구수,"126,175","2,117","5,217","2,981","3,942","4,685","4,931","1,820","7,530","14,503","17,486","14,166","10,600","10,861","12,728","12,608"
2020년03월_계_0~9세,"7,193",189,205,91,195,189,140,54,261,615,"1,206",817,629,793,753,"1,056"
2020년03월_계_10~19세,"7,261",116,216,152,178,342,198,34,305,913,"1,040",943,610,890,539,785
2020년03월_계_20~29세,"18,535",207,509,347,667,"1,189",726,213,"1,291","2,388","2,071","2,012","1,673","1,532","2,167","1,543"
2020년03월_계_30~39세,"20,418",446,551,393,603,663,744,284,"1,264","2,317","2,546","2,231","1,752","1,403","2,863","2,358"
2020년03월_계_40~49세,"18,507",454,682,447,503,609,617,192,"1,121","2,149","2,556","2,064","1,611","1,642","1,830","2,030"
2020년03월_계_50~59세,"20,982",308,"1,021",517,608,595,873,352,"1,373","2,373","2,926","2,379","1,854","1,986","1,827","1,990"
2020년03월_계_60~69세,"17,114",233,"1,064",523,605,506,862,389,978,"1,945","2,577","1,876","1,279","1,366","1,485","1,426"
2020년03월_계_70~79세,"10,471",105,564,335,352,384,523,193,636,"1,226","1,650","1,163",812,764,858,906
2020년03월_계_80~89세,"4,648",44,277,141,170,173,198,76,241,489,757,584,325,412,348,413
2020년03월_계_90~99세,851,10,86,26,52,32,36,23,52,75,146,90,44,58,49,72
2020년03월_계_100세 이상,195,5,42,9,9,3,14,10,8,13,11,7,11,15,9,29
2020년03월_남_총인구수,"61,839","1,020","2,807","1,265","2,028","2,376","2,604","1,099","3,751","7,082","8,235","6,727","5,187","5,238","6,107","6,313"
2020년03월_남_연령구간인구수,"61,839","1,020","2,807","1,265","2,028","2,376","2,604","1,099","3,751","7,082","8,235","6,727","5,187","5,238","6,107","6,313"
2020년03월_남_0~9세,"3,652",98,112,53,106,100,72,30,99,317,575,411,310,429,392,548
2020년03월_남_10~19세,"3,648",33,90,61,95,161,107,14,157,494,534,481,308,439,269,405
2020년03월_남_20~29세,"8,959",85,230,162,339,646,355,98,605,"1,173","1,044",997,794,762,915,754
2020년03월_남_30~39세,"10,231",211,271,189,332,348,411,164,658,"1,210","1,192","1,109",887,654,"1,438","1,157"
2020년03월_남_40~49세,"9,429",234,378,190,287,332,339,126,609,"1,081","1,282",993,827,804,895,"1,052"
2020년03월_남_50~59세,"10,669",158,618,215,336,301,493,248,719,"1,156","1,374","1,150",969,957,930,"1,045"
2020년03월_남_60~69세,"8,513",132,634,226,286,248,454,262,490,903,"1,195",893,625,693,722,750
2020년03월_남_70~79세,"4,706",49,291,120,170,167,271,107,301,549,730,453,344,334,409,411
2020년03월_남_80~89세,"1,708",16,129,38,59,63,81,38,95,181,264,210,111,144,123,156
2020년03월_남_90~99세,260,3,35,8,15,10,16,8,15,15,40,27,12,18,14,24
2020년03월_남_100세 이상,64,1,19,3,3,0,5,4,3,3,5,3,0,4,0,11
2020년03월_여_총인구수,"64,336","1,097","2,410","1,716","1,914","2,309","2,327",721,"3,779","7,421","9,251","7,439","5,413","5,623","6,621","6,295"
2020년03월_여_연령구간인구수,"64,336","1,097","2,410","1,716","1,914","2,309","2,327",721,"3,779","7,421","9,251","7,439","5,413","5,623","6,621","6,295"
2020년03월_여_0~9세,"3,541",91,93,38,89,89,68,24,162,298,631,406,319,364,361,508
2020년03월_여_10~19세,"3,613",83,126,91,83,181,91,20,148,419,506,462,302,451,270,380
2020년03월_여_20~29세,"9,576",122,279,185,328,543,371,115,686,"1,215","1,027","1,015",879,770,"1,252",789
2020년03월_여_30~39세,"10,187",235,280,204,271,315,333,120,606,"1,107","1,354","1,122",865,749,"1,425","1,201"
2020년03월_여_40~49세,"9,078",220,304,257,216,277,278,66,512,"1,068","1,274","1,071",784,838,935,978
2020년03월_여_50~59세,"10,313",150,403,302,272,294,380,104,654,"1,217","1,552","1,229",885,"1,029",897,945
2020년03월_여_60~69세,"8,601",101,430,297,319,258,408,127,488,"1,042","1,382",983,654,673,763,676
2020년03월_여_70~79세,"5,765",56,273,215,182,217,252,86,335,677,920,710,468,430,449,495
2020년03월_여_80~89세,"2,940",28,148,103,111,110,117,38,146,308,493,374,214,268,225,257
2020년03월_여_90~99세,591,7,51,18,37,22,20,15,37,60,106,63,32,40,35,48
