카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년03월_계_총인구수,"1,192,762","276,842","23,881","43,359","30,415","30,429","43,360","20,490","19,868","29,144","19,417","16,479","370,922","10,557","23,960","19,846","40,735","38,760","25,147","45,879","46,155","24,909","50,130","27,785","17,059","175,533","5,953","10,673","9,213","23,522","27,128","11,686","20,954","17,446","38,054","10,904","369,465","18,790","15,375","36,591","22,392","39,144","36,425","26,580","33,002","31,971","28,402","52,601","28,192"
2020년03월_계_연령구간인구수,"1,192,762","276,842","23,881","43,359","30,415","30,429","43,360","20,490","19,868","29,144","19,417","16,479","370,922","10,557","23,960","19,846","40,735","38,760","25,147","45,879","46,155","24,909","50,130","27,785","17,059","175,533","5,953","10,673","9,213","23,522","27,128","11,686","20,954","17,446","38,054","10,904","369,465","18,790","15,375","36,591","22,392","39,144","36,425","26,580","33,002","31,971","28,402","52,601","28,192"
2020년03월_계_0~9세,"102,370","19,545","1,492","3,274","2,701","2,106","3,928",913,"1,213","1,640","1,537",741,"33,997",907,"1,196","1,048","3,168","2,586","1,529","5,225","7,275","1,427","5,992","1,801","1,843","10,125",252,457,387,"1,581","2,148",463,"1,000","1,272","2,293",272,"38,703","1,293",999,"3,087","1,512","4,736","3,884","2,670","2,831","3,684","4,454","5,997","3,556"
2020년03월_계_10~19세,"122,085","29,898","1,972","4,409","3,657","3,312","7,205","1,284","1,814","2,964","2,152","1,129","34,329",662,"1,691","1,641","3,730","3,367","2,158","5,023","4,406","1,826","5,532","2,398","1,895","14,559",318,531,622,"2,295","3,151",781,"1,574","1,928","2,857",502,"43,299","2,061","1,613","4,581","2,464","3,561","5,055","2,238","4,439","4,202","3,236","6,924","2,925"
2020년03월_계_20~29세,"186,605","44,136","3,428","10,020","4,273","4,384","6,206","2,741","3,064","4,410","3,051","2,559","55,086","1,538","3,608","2,826","6,276","5,999","4,040","6,271","5,172","4,947","6,939","5,413","2,057","28,403",899,"1,875","1,142","3,210","4,145","1,376","3,239","3,604","7,424","1,489","58,980","3,168","2,525","6,590","3,763","6,574","4,966","5,848","6,291","4,629","3,454","8,100","3,072"
2020년03월_계_30~39세,"183,235","33,836","3,013","5,931","3,680","3,777","4,659","2,592","2,782","3,346","2,162","1,894","60,058","1,757","3,613","2,727","5,744","5,563","3,353","6,894","9,720","4,485","8,349","5,515","2,338","25,047",873,"1,701","1,099","2,795","3,602","1,299","3,029","2,286","7,041","1,322","64,294","2,558","2,002","5,649","3,274","7,930","5,681","6,565","4,571","5,125","6,067","9,451","5,421"
2020년03월_계_40~49세,"205,546","46,922","3,845","6,726","5,618","5,211","9,365","3,082","3,146","4,700","2,990","2,239","61,819","1,480","3,819","3,229","6,208","6,159","3,847","8,089","7,942","3,741","8,965","5,030","3,310","27,990",889,"1,441","1,400","3,937","4,672","1,740","3,217","2,813","6,387","1,494","68,815","3,194","2,540","6,913","3,894","7,060","7,333","4,255","6,279","5,987","5,363","10,707","5,290"
2020년03월_계_50~59세,"196,329","49,415","4,485","6,769","5,326","5,465","7,288","4,073","3,672","5,518","3,858","2,961","62,583","1,901","4,371","3,498","7,664","6,936","4,973","7,614","5,946","4,298","8,038","4,540","2,804","30,813","1,127","1,966","1,778","4,209","5,111","2,216","3,795","2,734","5,671","2,206","53,518","3,313","2,799","5,479","3,796","4,623","5,652","3,010","5,299","5,137","3,579","6,925","3,906"
2020년03월_계_60~69세,"113,294","29,161","3,163","3,532","2,883","3,256","2,611","3,308","2,418","3,519","1,933","2,538","37,571","1,315","3,279","2,776","4,685","4,776","3,084","3,889","3,449","2,612","4,127","1,895","1,684","21,457",856,"1,535","1,467","3,033","2,425","2,036","2,783","1,641","3,748","1,933","25,105","1,938","1,667","2,549","2,191","2,823","2,223","1,105","1,977","2,004","1,425","2,798","2,405"
2020년03월_계_70~79세,"55,145","15,425","1,650","1,682","1,454","1,932","1,323","1,732","1,158","1,961","1,002","1,531","17,010",657,"1,605","1,476","2,159","2,343","1,413","1,873","1,518","1,042","1,444",727,753,"11,657",503,780,924,"1,718","1,217","1,211","1,620",778,"1,766","1,140","11,053",880,816,"1,132",972,"1,241","1,037",581,788,810,538,"1,144","1,114"
