카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년01월_계_총인구수,"148,137","44,700","8,716","4,645","7,777","12,588","2,190","4,935","9,524","6,093","8,576","2,827","2,747","18,424","14,395"
2020년01월_계_연령구간인구수,"148,137","44,700","8,716","4,645","7,777","12,588","2,190","4,935","9,524","6,093","8,576","2,827","2,747","18,424","14,395"
2020년01월_계_0~9세,"9,218","3,155",609,135,245,759,51,210,551,534,659,75,202,"1,273",760
2020년01월_계_10~19세,"13,049","5,284",606,225,430,"1,025",97,293,728,384,470,143,162,"1,941","1,261"
2020년01월_계_20~29세,"17,843","5,860","1,041",468,838,"1,459",190,432,962,783,940,243,269,"2,473","1,885"
2020년01월_계_30~39세,"14,973","4,531","1,112",354,620,"1,285",129,320,888,816,"1,062",133,351,"1,920","1,452"
2020년01월_계_40~49세,"21,379","7,657","1,162",569,975,"1,739",231,559,"1,233",631,887,272,275,"2,842","2,347"
2020년01월_계_50~59세,"29,664","9,052","1,677","1,111","1,982","2,552",400,"1,047","1,647",941,"1,412",564,473,"3,539","3,267"
2020년01월_계_60~69세,"22,464","5,215","1,347",969,"1,498","2,110",528,"1,035","1,731",971,"1,423",644,529,"2,440","2,024"
2020년01월_계_70~79세,"12,412","2,549",734,512,714,"1,040",373,679,"1,090",669,"1,051",489,293,"1,308",911
2020년01월_계_80~89세,"6,141","1,189",376,274,409,527,170,312,586,327,551,229,173,584,434
2020년01월_계_90~99세,924,196,50,27,66,85,21,45,101,33,106,33,19,94,48
2020년01월_계_100세 이상,70,12,2,1,0,7,0,3,7,4,15,2,1,10,6
2020년01월_남_총인구수,"78,129","22,788","4,683","2,648","4,537","6,887","1,213","2,680","4,912","3,270","4,555","1,457","1,456","9,334","7,709"
2020년01월_남_연령구간인구수,"78,129","22,788","4,683","2,648","4,537","6,887","1,213","2,680","4,912","3,270","4,555","1,457","1,456","9,334","7,709"
2020년01월_남_0~9세,"4,782","1,607",315,75,121,411,28,100,284,286,342,31,105,651,426
2020년01월_남_10~19세,"6,832","2,749",312,132,225,561,57,148,405,184,244,68,75,"1,028",644
2020년01월_남_20~29세,"10,244","3,162",592,295,496,859,127,259,567,517,639,154,148,"1,374","1,055"
2020년01월_남_30~39세,"8,243","2,302",633,220,384,739,84,193,511,466,619,83,205,994,810
2020년01월_남_40~49세,"11,506","3,818",654,350,638,954,142,343,676,382,509,157,162,"1,442","1,279"
2020년01월_남_50~59세,"16,290","4,805",927,649,"1,225","1,470",226,622,870,500,783,300,252,"1,820","1,841"
2020년01월_남_60~69세,"12,102","2,713",753,571,920,"1,184",292,573,883,508,737,344,301,"1,236","1,087"
2020년01월_남_70~79세,"5,679","1,176",347,238,369,495,172,305,484,305,438,226,142,564,418
2020년01월_남_80~89세,"2,209",413,140,113,150,188,75,118,205,112,210,85,61,203,136
2020년01월_남_90~99세,218,41,9,5,9,25,10,17,22,10,29,7,5,18,11
2020년01월_남_100세 이상,24,2,1,0,0,1,0,2,5,0,5,2,0,4,2
2020년01월_여_총인구수,"70,008","21,912","4,033","1,997","3,240","5,701",977,"2,255","4,612","2,823","4,021","1,370","1,291","9,090","6,686"
2020년01월_여_연령구간인구수,"70,008","21,912","4,033","1,997","3,240","5,701",977,"2,255","4,612","2,823","4,021","1,370","1,291","9,090","6,686"
2020년01월_여_0~9세,"4,436","1,548",294,60,124,348,23,110,267,248,317,44,97,622,334
2020년01월_여_10~19세,"6,217","2,535",294,93,205,464,40,145,323,200,226,75,87,913,617
