카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년01월_계_총인구수,"105,459","5,503","1,323","7,311","5,292","3,101","2,917","3,955","4,354","8,838","3,473","5,184","1,791","2,923","14,820","20,979","7,486","6,209"
2020년01월_계_연령구간인구수,"105,459","5,503","1,323","7,311","5,292","3,101","2,917","3,955","4,354","8,838","3,473","5,184","1,791","2,923","14,820","20,979","7,486","6,209"
2020년01월_계_0~9세,"5,928",155,25,293,149,65,88,99,82,517,84,120,39,76,"1,204","2,153",357,422
2020년01월_계_10~19세,"8,127",268,53,457,262,95,135,214,157,583,150,264,66,171,"1,322","2,694",607,629
2020년01월_계_20~29세,"9,483",365,125,554,379,186,204,230,269,733,202,353,80,277,"1,829","2,256",728,713
2020년01월_계_30~39세,"9,297",344,71,537,361,164,171,208,264,762,176,274,82,217,"1,918","2,397",674,677
2020년01월_계_40~49세,"13,264",566,120,802,506,212,289,372,338,"1,079",315,437,128,334,"2,286","3,566",953,961
2020년01월_계_50~59세,"19,346","1,046",232,"1,386","1,047",577,593,780,934,"1,603",635,964,296,581,"2,675","3,410","1,399","1,188"
2020년01월_계_60~69세,"20,070","1,347",317,"1,561","1,273",895,681,994,"1,199","1,711",900,"1,232",486,608,"2,091","2,489","1,359",927
2020년01월_계_70~79세,"12,323",909,227,"1,033",777,528,473,661,673,"1,149",603,869,347,439,963,"1,312",894,466
2020년01월_계_80~89세,"6,726",438,130,616,471,330,251,354,389,619,372,581,239,196,454,620,463,203
2020년01월_계_90~99세,856,63,23,66,66,49,30,42,47,75,32,88,28,20,76,80,51,20
2020년01월_계_100세 이상,39,2,0,6,1,0,2,1,2,7,4,2,0,4,2,2,1,3
