카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년03월_계_총인구수,"62,262","19,613","9,458","14,083","5,423","9,736","3,949"
2020년03월_계_연령구간인구수,"62,262","19,613","9,458","14,083","5,423","9,736","3,949"
2020년03월_계_0~9세,"3,548","1,221",543,689,168,778,149
2020년03월_계_10~19세,"4,735","1,747",827,"1,018",262,664,217
2020년03월_계_20~29세,"6,187","2,253",836,"1,336",512,"1,003",247
2020년03월_계_30~39세,"5,890","1,954",804,"1,271",367,"1,199",295
2020년03월_계_40~49세,"8,029","2,685","1,132","2,001",566,"1,229",416
2020년03월_계_50~59세,"11,502","3,528","1,773","2,696","1,122","1,658",725
2020년03월_계_60~69세,"11,467","3,098","1,891","2,533","1,305","1,693",947
2020년03월_계_70~79세,"6,792","1,925",992,"1,639",698,963,575
2020년03월_계_80~89세,"3,563","1,049",557,778,369,485,325
2020년03월_계_90~99세,503,137,99,112,50,55,50
2020년03월_계_100세 이상,46,16,4,10,4,9,3
2020년03월_남_총인구수,"31,990","9,964","4,836","7,181","2,827","5,156","2,026"
2020년03월_남_연령구간인구수,"31,990","9,964","4,836","7,181","2,827","5,156","2,026"
2020년03월_남_0~9세,"1,749",620,246,346,87,388,62
2020년03월_남_10~19세,"2,530",950,421,544,150,345,120
2020년03월_남_20~29세,"3,499","1,217",463,744,319,617,139
2020년03월_남_30~39세,"3,167","1,041",437,676,192,661,160
2020년03월_남_40~49세,"4,345","1,426",612,"1,078",317,663,249
2020년03월_남_50~59세,"6,083","1,857",934,"1,425",589,875,403
2020년03월_남_60~69세,"5,912","1,557",978,"1,271",679,945,482
2020년03월_남_70~79세,"3,196",860,501,762,350,449,274
2020년03월_남_80~89세,"1,360",391,219,302,134,193,121
2020년03월_남_90~99세,131,42,23,28,7,16,15
2020년03월_남_100세 이상,18,3,2,5,3,4,1
2020년03월_여_총인구수,"30,272","9,649","4,622","6,902","2,596","4,580","1,923"
2020년03월_여_연령구간인구수,"30,272","9,649","4,622","6,902","2,596","4,580","1,923"
2020년03월_여_0~9세,"1,799",601,297,343,81,390,87
2020년03월_여_10~19세,"2,205",797,406,474,112,319,97
2020년03월_여_20~29세,"2,688","1,036",373,592,193,386,108
2020년03월_여_30~39세,"2,723",913,367,595,175,538,135
2020년03월_여_40~49세,"3,684","1,259",520,923,249,566,167
2020년03월_여_50~59세,"5,419","1,671",839,"1,271",533,783,322
2020년03월_여_60~69세,"5,555","1,541",913,"1,262",626,748,465
2020년03월_여_70~79세,"3,596","1,065",491,877,348,514,301
2020년03월_여_80~89세,"2,203",658,338,476,235,292,204
2020년03월_여_90~99세,372,95,76,84,43,39,35
2020년03월_여_100세 이상,28,13,2,5,1,5,2
2020년04월_계_총인구수,"62,397","19,603","9,479","14,111","5,502","9,743","3,959"
2020년04월_계_연령구간인구수,"62,397","19,603","9,479","14,111","5,502","9,743","3,959"
2020년04월_계_0~9세,"3,531","1,210",547,686,164,773,151
2020년04월_계_10~19세,"4,798","1,735",823,"1,024",337,660,219
2020년04월_계_20~29세,"6,182","2,236",838,"1,335",512,"1,010",251
2020년04월_계_30~39세,"5,898","1,961",808,"1,272",367,"1,196",294
2020년04월_계_40~49세,"8,018","2,684","1,132","1,995",559,"1,228",420
2020년04월_계_50~59세,"11,501","3,524","1,777","2,699","1,129","1,649",723
2020년04월_계_60~69세,"11,525","3,113","1,889","2,557","1,307","1,706",953
2020년04월_계_70~79세,"6,817","1,928","1,005","1,633",707,971,573
2020년04월_계_80~89세,"3,577","1,056",558,786,369,486,322
2020년04월_계_90~99세,504,140,98,114,47,55,50
2020년04월_계_100세 이상,46,16,4,10,4,9,3
2020년04월_남_총인구수,"32,067","9,958","4,856","7,194","2,858","5,170","2,031"
2020년04월_남_연령구간인구수,"32,067","9,958","4,856","7,194","2,858","5,170","2,031"
2020년04월_남_0~9세,"1,739",613,250,340,86,386,64
2020년04월_남_10~19세,"2,559",944,422,554,172,346,121
2020년04월_남_20~29세,"3,499","1,210",462,745,319,623,140
2020년04월_남_30~39세,"3,177","1,043",443,676,197,658,160
2020년04월_남_40~49세,"4,332","1,424",610,"1,071",314,665,248
2020년04월_남_50~59세,"6,088","1,857",939,"1,428",594,870,400
2020년04월_남_60~69세,"5,941","1,565",974,"1,281",679,955,487
2020년04월_남_70~79세,"3,209",864,510,757,350,455,273
2020년04월_남_80~89세,"1,374",393,222,308,137,192,122
2020년04월_남_90~99세,131,42,22,29,7,16,15
2020년04월_남_100세 이상,18,3,2,5,3,4,1
2020년04월_여_총인구수,"30,330","9,645","4,623","6,917","2,644","4,573","1,928"
