카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년03월_계_총인구수,"51,904","22,976","3,360","2,864","2,542","2,584","2,907","2,163","3,257","3,115","6,136"
2020년03월_계_연령구간인구수,"51,904","22,976","3,360","2,864","2,542","2,584","2,907","2,163","3,257","3,115","6,136"
2020년03월_계_0~9세,"2,737","1,771",96,74,74,133,91,61,74,89,274
2020년03월_계_10~19세,"4,443","2,498",169,116,87,147,440,179,223,147,437
2020년03월_계_20~29세,"4,116","2,217",239,181,115,134,173,107,201,228,521
2020년03월_계_30~39세,"4,000","2,296",216,175,121,174,132,86,153,191,456
2020년03월_계_40~49세,"6,450","3,625",316,240,218,258,240,190,341,310,712
2020년03월_계_50~59세,"9,263","3,741",640,504,437,447,464,448,643,637,"1,302"
2020년03월_계_60~69세,"9,384","3,244",705,718,596,571,542,428,669,710,"1,201"
2020년03월_계_70~79세,"6,748","2,337",527,455,457,412,435,381,574,468,702
2020년03월_계_80~89세,"4,203","1,093",380,359,391,282,356,247,342,287,466
2020년03월_계_90~99세,531,139,70,42,45,26,33,34,34,45,63
2020년03월_계_100세 이상,29,15,2,0,1,0,1,2,3,3,2
2020년03월_남_총인구수,"26,145","11,310","1,725","1,490","1,262","1,302","1,461","1,111","1,639","1,646","3,199"
2020년03월_남_연령구간인구수,"26,145","11,310","1,725","1,490","1,262","1,302","1,461","1,111","1,639","1,646","3,199"
2020년03월_남_0~9세,"1,396",874,59,42,36,62,51,34,45,49,144
2020년03월_남_10~19세,"2,326","1,283",99,73,41,79,219,93,124,86,229
2020년03월_남_20~29세,"2,362","1,244",146,112,68,82,103,71,105,138,293
2020년03월_남_30~39세,"2,107","1,172",123,103,68,91,64,41,84,97,264
2020년03월_남_40~49세,"3,611","1,904",181,154,152,162,151,117,200,192,398
2020년03월_남_50~59세,"5,063","1,912",370,289,255,264,262,260,364,363,724
2020년03월_남_60~69세,"4,725","1,524",361,379,301,282,286,235,334,375,648
2020년03월_남_70~79세,"3,007",987,235,216,207,183,197,164,259,231,328
