카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년03월_계_총인구수,"24,646","8,452","2,723","2,920","4,214","6,337"
2020년03월_계_연령구간인구수,"24,646","8,452","2,723","2,920","4,214","6,337"
2020년03월_계_0~9세,"1,852",767,61,131,301,592
2020년03월_계_10~19세,"1,841",753,159,298,170,461
2020년03월_계_20~29세,"3,826","1,210",274,278,"1,079",985
2020년03월_계_30~39세,"2,824","1,041",139,256,521,867
2020년03월_계_40~49세,"2,799","1,167",231,393,330,678
2020년03월_계_50~59세,"4,005","1,353",600,552,546,954
2020년03월_계_60~69세,"3,522",995,569,467,575,916
2020년03월_계_70~79세,"2,477",754,420,329,417,557
2020년03월_계_80~89세,"1,291",360,229,188,237,277
2020년03월_계_90~99세,194,49,40,23,36,46
2020년03월_계_100세 이상,15,3,1,5,2,4
2020년03월_남_총인구수,"13,333","4,393","1,469","1,522","2,545","3,404"
2020년03월_남_연령구간인구수,"13,333","4,393","1,469","1,522","2,545","3,404"
2020년03월_남_0~9세,921,378,32,74,143,294
2020년03월_남_10~19세,948,398,84,150,95,221
2020년03월_남_20~29세,"2,654",730,206,153,874,691
2020년03월_남_30~39세,"1,627",578,78,129,352,490
2020년03월_남_40~49세,"1,538",612,118,230,198,380
2020년03월_남_50~59세,"2,174",733,345,311,290,495
2020년03월_남_60~69세,"1,870",517,319,249,322,463
2020년03월_남_70~79세,"1,082",305,194,156,175,252
2020년03월_남_80~89세,463,131,84,61,87,100
2020년03월_남_90~99세,49,10,8,7,8,16
2020년03월_남_100세 이상,7,1,1,2,1,2
2020년03월_여_총인구수,"11,313","4,059","1,254","1,398","1,669","2,933"
2020년03월_여_연령구간인구수,"11,313","4,059","1,254","1,398","1,669","2,933"
2020년03월_여_0~9세,931,389,29,57,158,298
2020년03월_여_10~19세,893,355,75,148,75,240
2020년03월_여_20~29세,"1,172",480,68,125,205,294
2020년03월_여_30~39세,"1,197",463,61,127,169,377
2020년03월_여_40~49세,"1,261",555,113,163,132,298
2020년03월_여_50~59세,"1,831",620,255,241,256,459
