카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년03월_계_총인구수,"213,143","16,344","3,424","1,619","4,063","4,390","3,635","4,517","6,579","15,495","5,107","3,387","26,052","7,927","10,615","13,393","4,872","8,865","16,870","18,416","28,914","8,659"
2020년03월_계_연령구간인구수,"213,143","16,344","3,424","1,619","4,063","4,390","3,635","4,517","6,579","15,495","5,107","3,387","26,052","7,927","10,615","13,393","4,872","8,865","16,870","18,416","28,914","8,659"
2020년03월_계_0~9세,"13,933",633,127,33,196,106,132,195,380,"1,438",189,107,"1,884",400,464,641,296,776,"1,529","1,024","2,622",761
2020년03월_계_10~19세,"19,832","1,025",198,45,263,214,167,233,498,"1,566",317,177,"3,243",670,798,"1,302",432,942,"1,664","1,681","3,617",780
2020년03월_계_20~29세,"25,110","1,477",308,102,343,436,280,436,491,"1,812",608,308,"3,473",918,"1,301","1,713",601,997,"2,664","2,029","3,435","1,378"
2020년03월_계_30~39세,"22,038","1,173",211,81,330,301,246,388,598,"2,150",452,289,"2,633",771,962,"1,296",536,"1,119","2,264","1,739","3,453","1,046"
2020년03월_계_40~49세,"32,746","2,051",400,124,476,467,342,589,977,"2,655",639,426,"4,651","1,084","1,468","2,014",762,"1,483","2,655","2,698","5,375","1,410"
2020년03월_계_50~59세,"36,769","3,081",698,344,734,813,724,844,"1,164","2,418",831,609,"4,412","1,463","2,034","2,548",960,"1,454","2,536","3,208","4,574","1,320"
2020년03월_계_60~69세,"32,161","3,319",672,448,845,919,823,927,"1,268","1,839",990,692,"3,027","1,384","1,904","2,220",682,"1,204","2,006","2,825","3,139","1,028"
2020년03월_계_70~79세,"19,369","2,260",443,281,513,667,566,533,757,"1,050",668,537,"1,763",806,"1,149","1,085",357,554,"1,000","2,075","1,697",608
2020년03월_계_80~89세,"9,517","1,105",310,140,293,392,311,314,386,485,325,217,834,369,463,488,210,282,475,985,869,264
2020년03월_계_90~99세,"1,568",199,53,21,65,68,41,55,56,78,82,25,126,54,68,86,35,53,74,138,127,64
2020년03월_계_100세 이상,100,21,4,0,5,7,3,3,4,4,6,0,6,8,4,0,1,1,3,14,6,0
2020년03월_남_총인구수,"105,665","8,011","1,756",866,"2,076","2,315","1,848","2,327","3,282","7,595","2,424","1,732","12,726","3,963","5,234","6,597","2,387","4,304","8,349","9,210","14,278","4,385"
2020년03월_남_연령구간인구수,"105,665","8,011","1,756",866,"2,076","2,315","1,848","2,327","3,282","7,595","2,424","1,732","12,726","3,963","5,234","6,597","2,387","4,304","8,349","9,210","14,278","4,385"
2020년03월_남_0~9세,"7,182",338,68,23,111,59,70,101,186,756,94,60,978,205,244,324,124,384,778,491,"1,389",399
2020년03월_남_10~19세,"10,411",544,106,21,141,116,97,131,262,792,149,100,"1,683",350,416,706,232,495,844,917,"1,913",396
2020년03월_남_20~29세,"13,718",846,200,60,216,276,163,256,268,936,311,171,"1,864",502,695,915,354,538,"1,417","1,141","1,855",734
2020년03월_남_30~39세,"11,468",638,123,57,171,198,151,208,314,"1,082",250,166,"1,311",432,538,705,280,549,"1,116",951,"1,691",537
2020년03월_남_40~49세,"16,737","1,129",233,75,269,310,202,333,538,"1,291",326,255,"2,152",541,775,"1,016",362,721,"1,356","1,441","2,674",738
2020년03월_남_50~59세,"18,394","1,564",355,187,387,453,400,441,567,"1,196",433,327,"2,207",754,986,"1,214",460,663,"1,220","1,643","2,255",682
2020년03월_남_60~69세,"15,376","1,556",358,238,430,457,417,477,613,879,444,308,"1,412",651,852,"1,039",335,601,990,"1,325","1,506",488
2020년03월_남_70~79세,"8,664",967,213,143,243,292,243,254,376,466,285,247,759,376,517,503,155,243,450,913,708,311
2020년03월_남_80~89세,"3,373",380,92,58,94,129,97,117,140,177,110,95,335,140,196,165,77,97,165,357,264,88
2020년03월_남_90~99세,316,45,7,4,12,22,8,8,15,19,21,3,25,10,15,10,8,13,13,27,19,12
2020년03월_남_100세 이상,26,4,1,0,2,3,0,1,3,1,1,0,0,2,0,0,0,0,0,4,4,0
2020년03월_여_총인구수,"107,478","8,333","1,668",753,"1,987","2,075","1,787","2,190","3,297","7,900","2,683","1,655","13,326","3,964","5,381","6,796","2,485","4,561","8,521","9,206","14,636","4,274"
2020년03월_여_연령구간인구수,"107,478","8,333","1,668",753,"1,987","2,075","1,787","2,190","3,297","7,900","2,683","1,655","13,326","3,964","5,381","6,796","2,485","4,561","8,521","9,206","14,636","4,274"
2020년03월_여_0~9세,"6,751",295,59,10,85,47,62,94,194,682,95,47,906,195,220,317,172,392,751,533,"1,233",362
2020년03월_여_10~19세,"9,421",481,92,24,122,98,70,102,236,774,168,77,"1,560",320,382,596,200,447,820,764,"1,704",384
2020년03월_여_20~29세,"11,392",631,108,42,127,160,117,180,223,876,297,137,"1,609",416,606,798,247,459,"1,247",888,"1,580",644
2020년03월_여_30~39세,"10,570",535,88,24,159,103,95,180,284,"1,068",202,123,"1,322",339,424,591,256,570,"1,148",788,"1,762",509
2020년03월_여_40~49세,"16,009",922,167,49,207,157,140,256,439,"1,364",313,171,"2,499",543,693,998,400,762,"1,299","1,257","2,701",672
2020년03월_여_50~59세,"18,375","1,517",343,157,347,360,324,403,597,"1,222",398,282,"2,205",709,"1,048","1,334",500,791,"1,316","1,565","2,319",638
2020년03월_여_60~69세,"16,785","1,763",314,210,415,462,406,450,655,960,546,384,"1,615",733,"1,052","1,181",347,603,"1,016","1,500","1,633",540
2020년03월_여_70~79세,"10,705","1,293",230,138,270,375,323,279,381,584,383,290,"1,004",430,632,582,202,311,550,"1,162",989,297
2020년03월_여_80~89세,"6,144",725,218,82,199,263,214,197,246,308,215,122,499,229,267,323,133,185,310,628,605,176
2020년03월_여_90~99세,"1,252",154,46,17,53,46,33,47,41,59,61,22,101,44,53,76,27,40,61,111,108,52
2020년03월_여_100세 이상,74,17,3,0,3,4,3,2,1,3,5,0,6,6,4,0,1,1,3,10,2,0
