카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년01월_계_총인구수,"107,973","4,647","7,890","6,665","12,216","8,908","8,140","7,996","7,437","4,848","10,196","4,847","10,003","14,180"
2020년01월_계_연령구간인구수,"107,973","4,647","7,890","6,665","12,216","8,908","8,140","7,996","7,437","4,848","10,196","4,847","10,003","14,180"
2020년01월_계_0~9세,"5,692",235,376,276,925,652,699,483,116,134,548,110,395,743
2020년01월_계_10~19세,"7,446",284,574,458,943,894,793,580,342,221,550,215,564,"1,028"
2020년01월_계_20~29세,"13,529",635,797,"1,046","1,603","1,077",962,"1,543",798,445,"1,409",417,959,"1,838"
2020년01월_계_30~39세,"11,636",523,739,642,"1,648",951,971,"1,045",588,425,"1,340",425,873,"1,466"
2020년01월_계_40~49세,"14,768",602,"1,103",913,"1,817","1,395","1,280","1,100",893,649,"1,345",558,"1,319","1,794"
2020년01월_계_50~59세,"18,479",789,"1,344","1,043","1,911","1,501","1,341","1,145","1,388",856,"1,762",904,"1,806","2,689"
2020년01월_계_60~69세,"18,435",776,"1,417","1,120","1,684","1,249","1,119","1,118","1,557",991,"1,682","1,121","2,073","2,528"
2020년01월_계_70~79세,"12,121",515,"1,023",760,"1,124",777,617,623,"1,146",758,"1,097",775,"1,445","1,461"
2020년01월_계_80~89세,"5,017",252,458,340,479,358,311,297,514,314,391,278,487,538
2020년01월_계_90~99세,739,32,55,57,77,52,45,57,71,46,57,37,69,84
2020년01월_계_100세 이상,111,4,4,10,5,2,2,5,24,9,15,7,13,11
2020년01월_남_총인구수,"52,487","2,242","3,847","3,108","5,793","4,138","3,948","3,853","3,788","2,427","4,897","2,469","4,984","6,993"
2020년01월_남_연령구간인구수,"52,487","2,242","3,847","3,108","5,793","4,138","3,948","3,853","3,788","2,427","4,897","2,469","4,984","6,993"
2020년01월_남_0~9세,"2,965",119,195,146,482,333,382,261,57,63,283,58,200,386
2020년01월_남_10~19세,"3,776",141,273,223,474,409,422,297,180,117,285,103,304,548
2020년01월_남_20~29세,"6,761",323,433,477,776,536,489,713,425,237,667,233,524,928
2020년01월_남_30~39세,"6,025",275,388,338,814,449,455,522,339,229,695,256,486,779
2020년01월_남_40~49세,"7,676",319,587,456,898,662,615,566,526,383,682,337,711,934
2020년01월_남_50~59세,"9,412",395,659,526,925,693,669,563,767,484,892,493,973,"1,373"
2020년01월_남_60~69세,"8,603",344,662,485,758,578,532,533,785,478,766,537,984,"1,161"
2020년01월_남_70~79세,"5,258",229,458,331,475,344,258,269,497,329,461,331,626,650
