카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년01월_계_총인구수,"199,015","31,301","39,007","23,638","16,469","22,616","19,539","24,192","22,253"
2020년01월_계_연령구간인구수,"199,015","31,301","39,007","23,638","16,469","22,616","19,539","24,192","22,253"
2020년01월_계_0~9세,"16,218","4,784","3,108","1,833",811,"1,779",900,"1,250","1,753"
2020년01월_계_10~19세,"19,002","2,201","4,319","2,439","1,158","2,891","1,496","2,081","2,417"
2020년01월_계_20~29세,"27,463","3,316","5,710","3,374","2,238","3,053","3,040","3,722","3,010"
2020년01월_계_30~39세,"27,426","6,569","4,864","3,036","2,097","2,605","2,377","2,895","2,983"
2020년01월_계_40~49세,"33,505","5,329","6,741","4,055","2,558","4,131","2,877","3,563","4,251"
2020년01월_계_50~59세,"35,932","4,197","7,344","4,323","3,323","3,931","4,049","4,886","3,879"
2020년01월_계_60~69세,"22,731","3,076","3,858","2,510","2,388","2,483","2,844","3,358","2,214"
2020년01월_계_70~79세,"11,461","1,346","2,027","1,425","1,284","1,182","1,357","1,645","1,195"
2020년01월_계_80~89세,"4,582",404,917,564,512,505,517,687,476
2020년01월_계_90~99세,622,75,113,72,75,52,74,93,68
2020년01월_계_100세 이상,73,4,6,7,25,4,8,12,7
2020년01월_남_총인구수,"98,858","15,556","19,240","11,643","8,392","10,982","9,755","12,102","11,188"
2020년01월_남_연령구간인구수,"98,858","15,556","19,240","11,643","8,392","10,982","9,755","12,102","11,188"
2020년01월_남_0~9세,"8,378","2,489","1,638",940,410,899,464,635,903
2020년01월_남_10~19세,"9,837","1,084","2,288","1,278",568,"1,470",789,"1,101","1,259"
2020년01월_남_20~29세,"14,044","1,638","2,917","1,687","1,169","1,568","1,532","1,945","1,588"
2020년01월_남_30~39세,"13,881","3,220","2,417","1,518","1,153","1,245","1,279","1,557","1,492"
2020년01월_남_40~49세,"16,638","2,817","3,214","1,967","1,370","1,909","1,450","1,826","2,085"
2020년01월_남_50~59세,"17,728","1,991","3,574","2,137","1,703","1,915","2,020","2,400","1,988"
2020년01월_남_60~69세,"11,422","1,521","1,971","1,255","1,200","1,226","1,448","1,650","1,151"
2020년01월_남_70~79세,"5,090",662,845,631,590,534,576,726,526
2020년01월_남_80~89세,"1,660",117,344,200,198,203,176,242,180
2020년01월_남_90~99세,157,16,30,27,21,13,19,16,15
2020년01월_남_100세 이상,23,1,2,3,10,0,2,4,1
