카테고리,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년03월_계_총인구수,"674,095","14,509","25,601","13,056","16,773","20,352","19,920","16,319","25,857","18,826","40,831","25,341","20,681","33,368","31,986","27,473","27,945","33,556","21,097","29,891","31,613","28,286","28,944","36,681","35,727","22,056","17,267","10,139"
2020년03월_계_연령구간인구수,"674,095","14,509","25,601","13,056","16,773","20,352","19,920","16,319","25,857","18,826","40,831","25,341","20,681","33,368","31,986","27,473","27,945","33,556","21,097","29,891","31,613","28,286","28,944","36,681","35,727","22,056","17,267","10,139"
2020년03월_계_0~9세,"52,870",750,"2,026",713,"1,095","1,118",997,"1,135","1,274","1,422","3,079","1,372","1,687","1,802","1,747","1,713","3,198","2,701","1,434","1,780","2,590","4,783","1,373","4,445","3,458","3,047","1,505",626
2020년03월_계_10~19세,"60,719",982,"2,163","1,094","1,444","1,717","1,484","1,745","1,365","2,871","3,455","1,449","1,983","2,048","2,119","2,002","2,314","3,696","1,638","1,572","3,016","3,499","1,917","5,976","4,004","2,309","1,734","1,123"
2020년03월_계_20~29세,"95,566","1,850","3,829","1,831","1,899","2,506","2,511","2,488","4,929","2,284","5,868","4,623","3,000","5,743","5,418","4,403","3,719","4,754","3,392","5,391","4,336","2,734","5,200","3,287","4,108","2,077","2,086","1,300"
2020년03월_계_30~39세,"113,764","2,139","4,268","1,711","2,290","2,319","2,380","2,327","5,753","1,848","5,997","5,660","3,093","7,315","6,861","4,918","5,614","4,968","3,668","7,861","5,025","5,166","6,213","4,541","4,799","3,411","2,504","1,115"
2020년03월_계_40~49세,"110,367","2,090","4,108","2,063","2,712","3,082","2,918","2,754","3,681","3,514","6,059","3,560","3,148","5,059","5,311","4,008","4,320","5,754","2,963","4,307","5,025","5,601","4,546","8,889","6,314","4,358","2,733","1,490"
2020년03월_계_50~59세,"103,986","2,560","3,771","2,364","2,888","3,677","3,869","2,733","3,748","3,122","7,194","3,688","3,423","4,942","4,681","4,833","4,056","5,416","3,526","3,560","5,235","3,243","4,218","4,684","5,285","2,906","2,682","1,682"
2020년03월_계_60~69세,"81,491","2,375","3,211","1,845","2,378","3,242","3,193","1,874","3,093","2,364","5,582","3,011","2,733","3,824","3,519","3,465","3,131","3,916","2,861","3,111","3,819","2,063","3,307","2,782","4,606","2,382","2,376","1,428"
2020년03월_계_70~79세,"39,033","1,263","1,575","1,067","1,449","1,863","1,770",832,"1,467",971,"2,420","1,446","1,114","1,943","1,681","1,491","1,208","1,627","1,134","1,539","1,755",850,"1,575","1,503","2,345","1,134","1,111",900
2020년03월_계_80~89세,"13,589",434,546,323,513,706,651,364,468,345,975,445,409,604,530,551,322,610,396,653,660,265,512,460,665,342,440,400
2020년03월_계_90~99세,"2,429",58,96,42,90,105,114,59,77,85,193,77,80,82,107,80,59,105,73,108,147,79,70,83,131,71,85,73
2020년03월_계_100세 이상,281,8,8,3,15,17,33,8,2,0,9,10,11,6,12,9,4,9,12,9,5,3,13,31,12,19,11,2
2020년03월_남_총인구수,"325,859","7,184","12,161","6,663","8,236","10,428","10,122","7,857","12,264","9,266","19,839","11,912","9,959","15,973","15,200","13,637","13,613","16,451","10,410","13,853","15,303","13,732","13,665","17,548","17,024","10,629","8,206","4,724"
2020년03월_남_연령구간인구수,"325,859","7,184","12,161","6,663","8,236","10,428","10,122","7,857","12,264","9,266","19,839","11,912","9,959","15,973","15,200","13,637","13,613","16,451","10,410","13,853","15,303","13,732","13,665","17,548","17,024","10,629","8,206","4,724"
2020년03월_남_0~9세,"27,373",410,"1,078",366,556,585,498,580,691,779,"1,606",686,870,943,883,889,"1,722","1,399",746,902,"1,325","2,419",709,"2,274","1,797","1,589",749,322
2020년03월_남_10~19세,"31,055",516,"1,073",580,775,890,774,895,723,"1,579","1,787",713,"1,010","1,044","1,116","1,044","1,152","1,948",846,792,"1,546","1,709",950,"2,996","2,040","1,190",897,470
2020년03월_남_20~29세,"45,735",968,"1,667",986,984,"1,306","1,357","1,250","2,154","1,210","3,034","2,112","1,426","2,602","2,487","2,176","1,790","2,377","1,676","2,122","2,203","1,361","2,340","1,530","1,958","1,026","1,019",614
2020년03월_남_30~39세,"54,628","1,125","1,999",924,"1,187","1,272","1,298","1,117","2,792",762,"2,956","2,735","1,473","3,572","3,404","2,486","2,709","2,402","1,900","3,630","2,526","2,357","3,010","1,806","2,102","1,455","1,127",502
2020년03월_남_40~49세,"53,313","1,071","1,985","1,021","1,328","1,611","1,542","1,246","1,817","1,591","2,817","1,677","1,507","2,502","2,554","1,990","2,116","2,753","1,443","2,076","2,435","2,870","2,183","4,231","2,921","2,116","1,245",665
2020년03월_남_50~59세,"50,234","1,215","1,817","1,200","1,405","1,960","1,981","1,296","1,738","1,533","3,380","1,682","1,621","2,364","2,158","2,344","1,907","2,614","1,647","1,733","2,463","1,587","1,983","2,525","2,560","1,434","1,259",828
2020년03월_남_60~69세,"38,632","1,110","1,546",911,"1,138","1,628","1,584",889,"1,432","1,127","2,674","1,383","1,293","1,777","1,598","1,726","1,493","1,885","1,409","1,492","1,756",941,"1,515","1,267","2,143","1,091","1,154",670
2020년03월_남_70~79세,"19,057",579,761,539,667,885,801,435,721,535,"1,207",713,589,893,794,737,609,814,570,781,828,410,747,703,"1,182",564,543,450
2020년03월_남_80~89세,"5,207",174,210,123,170,260,266,131,182,126,332,193,152,249,187,217,103,233,149,290,205,69,206,189,290,139,181,181
2020년03월_남_90~99세,556,13,24,11,19,27,15,17,13,24,44,17,16,27,16,24,11,25,22,32,16,9,20,16,29,20,27,22
2020년03월_남_100세 이상,69,3,1,2,7,4,6,1,1,0,2,1,2,0,3,4,1,1,2,3,0,0,2,11,2,5,5,0
2020년03월_여_총인구수,"348,236","7,325","13,440","6,393","8,537","9,924","9,798","8,462","13,593","9,560","20,992","13,429","10,722","17,395","16,786","13,836","14,332","17,105","10,687","16,038","16,310","14,554","15,279","19,133","18,703","11,427","9,061","5,415"
2020년03월_여_연령구간인구수,"348,236","7,325","13,440","6,393","8,537","9,924","9,798","8,462","13,593","9,560","20,992","13,429","10,722","17,395","16,786","13,836","14,332","17,105","10,687","16,038","16,310","14,554","15,279","19,133","18,703","11,427","9,061","5,415"
