카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년03월_계_총인구수,"351,154","18,077","8,750","3,793","23,955","2,277","2,201","8,824","7,369","3,647","2,846","5,332","13,089","8,895","15,956","43,167","8,809","5,056","27,492","13,788","9,807","25,113","8,490","7,538","33,337","43,546"
2020년03월_계_연령구간인구수,"351,154","18,077","8,750","3,793","23,955","2,277","2,201","8,824","7,369","3,647","2,846","5,332","13,089","8,895","15,956","43,167","8,809","5,056","27,492","13,788","9,807","25,113","8,490","7,538","33,337","43,546"
2020년03월_계_0~9세,"28,836","1,276",405,116,"4,004",47,54,434,433,59,63,251,752,420,823,"3,464",412,184,"2,030","1,110",841,"1,929",311,500,"3,471","5,447"
2020년03월_계_10~19세,"36,492","1,745",559,158,"1,975",94,69,640,725,129,114,381,"1,375",815,"1,822","5,356",694,315,"2,456","1,298","1,168","2,771",765,882,"4,402","5,784"
2020년03월_계_20~29세,"45,181","2,102","1,018",352,"2,608",133,149,"1,517",976,233,202,781,"1,714","1,276","2,185","6,271","1,649",620,"4,288","1,957","1,037","3,016",989,909,"4,121","5,078"
2020년03월_계_30~39세,"45,403","2,004",720,253,"5,947",94,138,859,878,188,225,555,"1,290",799,"1,460","5,480",934,435,"3,848","1,732","1,121","2,903",711,670,"4,653","7,506"
2020년03월_계_40~49세,"57,606","2,998","1,053",346,"3,961",181,178,"1,177","1,207",314,306,669,"1,831","1,206","2,542","8,003","1,079",671,"4,064","2,149","1,743","4,302","1,148","1,220","6,502","8,756"
2020년03월_계_50~59세,"60,081","3,307","1,750",766,"2,638",411,481,"1,596","1,418",791,614,"1,046","2,499","1,811","3,143","7,312","1,488",978,"5,200","2,353","1,628","4,587","1,661","1,452","5,143","6,008"
2020년03월_계_60~69세,"42,640","2,390","1,729",865,"1,698",605,545,"1,429",982,974,627,842,"1,879","1,366","2,177","4,110","1,305",943,"3,458","1,755","1,232","3,088","1,450","1,032","3,161","2,998"
2020년03월_계_70~79세,"21,552","1,406",898,492,673,414,348,694,464,585,373,492,"1,114",767,"1,067","2,059",773,560,"1,311",931,672,"1,559",875,514,"1,245","1,266"
2020년03월_계_80~89세,"11,534",739,542,400,385,257,203,421,244,327,262,281,557,372,642,965,397,295,714,439,329,843,497,292,529,602
2020년03월_계_90~99세,"1,727",105,72,45,62,40,33,56,42,47,55,30,73,59,94,138,71,52,113,60,33,112,74,61,105,95
2020년03월_계_100세 이상,102,5,4,0,4,1,3,1,0,0,5,4,5,4,1,9,7,3,10,4,3,3,9,6,5,6
2020년03월_남_총인구수,"174,379","9,249","4,575","1,994","11,863","1,158","1,123","4,648","3,880","1,878","1,506","2,569","6,288","4,303","7,695","21,254","4,340","2,517","13,350","7,194","4,944","12,527","4,183","3,717","16,378","21,246"
2020년03월_남_연령구간인구수,"174,379","9,249","4,575","1,994","11,863","1,158","1,123","4,648","3,880","1,878","1,506","2,569","6,288","4,303","7,695","21,254","4,340","2,517","13,350","7,194","4,944","12,527","4,183","3,717","16,378","21,246"
2020년03월_남_0~9세,"14,718",647,208,69,"2,005",19,27,216,229,32,37,131,362,206,387,"1,806",222,102,"1,058",568,457,"1,000",149,264,"1,772","2,745"
