카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면,강원도 홍천군 영귀미면
2020년04월_계_50~59세,"12,949","6,013",856,477,499,828,798,"1,036",772,865,805,
2020년04월_계_60~69세,"13,170","4,830","1,191",647,656,913,"1,051","1,150","1,013",915,804,
2020년04월_계_70~79세,"7,321","2,533",705,415,378,494,604,686,556,527,423,
2020년04월_계_80~89세,"4,269","1,347",424,255,233,324,366,464,292,350,214,
2020년04월_계_90~99세,594,190,79,42,24,40,39,57,52,38,33,
2020년04월_계_100세 이상,40,16,4,0,0,3,7,1,3,5,1,
2020년04월_남_총인구수,"35,194","17,476","2,398","1,176","1,239","1,929","2,022","3,170","1,991","2,067","1,726",
2020년04월_남_연령구간인구수,"35,194","17,476","2,398","1,176","1,239","1,929","2,022","3,170","1,991","2,067","1,726",
2020년04월_남_0~9세,"1,960","1,373",57,21,31,74,45,189,44,61,65,
2020년04월_남_10~19세,"2,733","1,884",88,42,67,108,95,181,75,105,88,
2020년04월_남_20~29세,"3,868","2,280",215,89,69,176,143,473,151,166,106,
2020년04월_남_30~39세,"3,394","2,109",195,49,61,107,116,328,163,156,110,
2020년04월_남_40~49세,"4,489","2,707",246,96,126,192,210,319,212,215,166,
2020년04월_남_50~59세,"6,784","3,101",459,244,253,424,427,553,405,469,449,
2020년04월_남_60~69세,"6,854","2,423",629,338,344,480,538,622,547,504,429,
2020년04월_남_70~79세,"3,453","1,090",349,186,204,247,315,326,268,253,215,
2020년04월_남_80~89세,"1,483",460,134,100,77,108,121,163,108,126,86,
2020년04월_남_90~99세,168,48,23,11,7,13,11,16,18,10,11,
2020년04월_남_100세 이상,8,1,3,0,0,0,1,0,0,2,1,
2020년04월_여_총인구수,"33,494","17,260","2,202","1,197","1,127","1,849","1,892","2,795","1,797","1,856","1,519",
2020년04월_여_연령구간인구수,"33,494","17,260","2,202","1,197","1,127","1,849","1,892","2,795","1,797","1,856","1,519",
2020년04월_여_0~9세,"1,937","1,397",69,14,18,63,44,170,48,60,54,
2020년04월_여_10~19세,"2,593","1,788",75,49,42,101,67,238,65,88,80,
2020년04월_여_20~29세,"2,652","1,708",129,59,57,103,104,192,105,121,74,
2020년04월_여_30~39세,"2,827","1,888",122,47,35,103,89,245,94,110,94,
2020년04월_여_40~49세,"3,892","2,673",145,71,70,149,136,236,143,141,128,
2020년04월_여_50~59세,"6,165","2,912",397,233,246,404,371,483,367,396,356,
2020년04월_여_60~69세,"6,316","2,407",562,309,312,433,513,528,466,411,375,
2020년04월_여_70~79세,"3,868","1,443",356,229,174,247,289,360,288,274,208,
2020년04월_여_80~89세,"2,786",887,290,155,156,216,245,301,184,224,128,
2020년04월_여_90~99세,426,142,56,31,17,27,28,41,34,28,22,
2020년04월_여_100세 이상,32,15,1,0,0,3,6,1,3,3,0,
2020년05월_계_총인구수,"68,832","34,804","4,613","2,406","2,385","3,772","3,921","5,983","3,791","3,914","3,243",
2020년05월_계_연령구간인구수,"68,832","34,804","4,613","2,406","2,385","3,772","3,921","5,983","3,791","3,914","3,243",
2020년05월_계_0~9세,"3,882","2,748",127,39,49,134,91,361,92,124,117,
2020년05월_계_10~19세,"5,327","3,667",160,115,108,206,161,423,138,187,162,
2020년05월_계_20~29세,"6,570","4,028",354,149,125,277,248,665,257,286,181,
2020년05월_계_30~39세,"6,232","4,017",317,95,99,210,201,570,251,269,203,
2020년05월_계_40~49세,"8,380","5,373",392,166,199,338,350,560,361,346,295,
2020년05월_계_50~59세,"12,976","6,039",857,475,501,831,795,"1,039",769,871,799,
2020년05월_계_60~69세,"13,225","4,842","1,186",649,666,917,"1,060","1,153","1,021",917,814,
2020년05월_계_70~79세,"7,325","2,534",711,420,379,492,601,688,556,522,422,
2020년05월_계_80~89세,"4,271","1,347",423,256,234,322,369,466,292,347,215,
2020년05월_계_90~99세,603,193,82,42,25,41,38,57,51,40,34,
2020년05월_계_100세 이상,41,16,4,0,0,4,7,1,3,5,1,
2020년05월_남_총인구수,"35,290","17,514","2,409","1,207","1,249","1,929","2,027","3,173","1,995","2,061","1,726",
2020년05월_남_연령구간인구수,"35,290","17,514","2,409","1,207","1,249","1,929","2,027","3,173","1,995","2,061","1,726",
2020년05월_남_0~9세,"1,949","1,359",59,23,31,71,46,190,45,63,62,
2020년05월_남_10~19세,"2,754","1,887",87,66,66,107,95,183,75,102,86,
2020년05월_남_20~29세,"3,887","2,294",224,88,69,174,145,471,151,165,106,
2020년05월_남_30~39세,"3,392","2,116",193,49,62,107,113,325,159,158,110,
2020년05월_남_40~49세,"4,501","2,716",245,95,127,193,210,321,217,210,167,
2020년05월_남_50~59세,"6,807","3,120",462,246,254,425,426,554,399,472,449,
2020년05월_남_60~69세,"6,871","2,424",622,338,352,482,542,621,554,503,433,
2020년05월_남_70~79세,"3,461","1,087",358,191,204,246,312,328,269,252,214,
2020년05월_남_80~89세,"1,488",460,132,100,77,110,126,164,107,124,88,
2020년05월_남_90~99세,171,50,24,11,7,13,11,16,19,10,10,
2020년05월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1,
2020년05월_여_총인구수,"33,542","17,290","2,204","1,199","1,136","1,843","1,894","2,810","1,796","1,853","1,517",
2020년05월_여_연령구간인구수,"33,542","17,290","2,204","1,199","1,136","1,843","1,894","2,810","1,796","1,853","1,517",
2020년05월_여_0~9세,"1,933","1,389",68,16,18,63,45,171,47,61,55,
2020년05월_여_10~19세,"2,573","1,780",73,49,42,99,66,240,63,85,76,
2020년05월_여_20~29세,"2,683","1,734",130,61,56,103,103,194,106,121,75,
2020년05월_여_30~39세,"2,840","1,901",124,46,37,103,88,245,92,111,93,
2020년05월_여_40~49세,"3,879","2,657",147,71,72,145,140,239,144,136,128,
2020년05월_여_50~59세,"6,169","2,919",395,229,247,406,369,485,370,399,350,
2020년05월_여_60~69세,"6,354","2,418",564,311,314,435,518,532,467,414,381,
2020년05월_여_70~79세,"3,864","1,447",353,229,175,246,289,360,287,270,208,
2020년05월_여_80~89세,"2,783",887,291,156,157,212,243,302,185,223,127,
2020년05월_여_90~99세,432,143,58,31,18,28,27,41,32,30,24,
2020년05월_여_100세 이상,32,15,1,0,0,3,6,1,3,3,0,
2020년06월_계_총인구수,"68,998","34,810","4,582","2,412","2,376","3,777","3,938","6,148","3,775","3,928","3,252",
2020년06월_계_연령구간인구수,"68,998","34,810","4,582","2,412","2,376","3,777","3,938","6,148","3,775","3,928","3,252",
2020년06월_계_0~9세,"3,882","2,739",124,39,49,136,93,364,94,125,119,
2020년06월_계_10~19세,"5,293","3,633",162,114,107,207,166,420,136,192,156,
2020년06월_계_20~29세,"6,759","4,089",339,146,121,274,258,792,258,293,189,
2020년06월_계_30~39세,"6,226","4,007",312,100,98,210,202,581,248,264,204,
2020년06월_계_40~49세,"8,365","5,352",389,165,199,335,350,570,358,351,296,
2020년06월_계_50~59세,"12,918","6,042",843,469,499,826,789,"1,036",762,863,789,
2020년06월_계_60~69세,"13,314","4,851","1,200",659,671,926,"1,065","1,166","1,021",928,827,
2020년06월_계_70~79세,"7,324","2,535",703,420,375,494,603,698,555,520,421,
2020년06월_계_80~89세,"4,263","1,347",424,255,232,323,366,462,289,348,217,
2020년06월_계_90~99세,612,199,81,45,25,42,39,58,51,39,33,
2020년06월_계_100세 이상,42,16,5,0,0,4,7,1,3,5,1,
2020년06월_남_총인구수,"35,452","17,534","2,393","1,213","1,248","1,927","2,033","3,315","1,985","2,075","1,729",
2020년06월_남_연령구간인구수,"35,452","17,534","2,393","1,213","1,248","1,927","2,033","3,315","1,985","2,075","1,729",
2020년06월_남_0~9세,"1,951","1,356",58,23,31,72,47,192,47,62,63,
2020년06월_남_10~19세,"2,746","1,874",88,66,64,106,97,187,72,108,84,
2020년06월_남_20~29세,"4,047","2,338",213,86,68,173,154,585,147,174,109,
2020년06월_남_30~39세,"3,385","2,108",189,52,62,105,112,334,156,156,111,
2020년06월_남_40~49세,"4,501","2,703",246,97,126,190,210,327,218,215,169,
2020년06월_남_50~59세,"6,790","3,125",455,245,258,424,421,556,395,468,443,
2020년06월_남_60~69세,"6,899","2,424",628,341,353,484,547,623,558,504,437,
2020년06월_남_70~79세,"3,462","1,091",355,192,202,248,309,333,266,251,215,
2020년06월_남_80~89세,"1,490",463,135,100,76,112,124,161,107,125,87,
2020년06월_남_90~99세,172,51,23,11,8,12,11,17,19,10,10,
2020년06월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1,
2020년06월_여_총인구수,"33,546","17,276","2,189","1,199","1,128","1,850","1,905","2,833","1,790","1,853","1,523",
2020년06월_여_연령구간인구수,"33,546","17,276","2,189","1,199","1,128","1,850","1,905","2,833","1,790","1,853","1,523",
2020년06월_여_0~9세,"1,931","1,383",66,16,18,64,46,172,47,63,56,
2020년06월_여_10~19세,"2,547","1,759",74,48,43,101,69,233,64,84,72,
2020년06월_여_20~29세,"2,712","1,751",126,60,53,101,104,207,111,119,80,
2020년06월_여_30~39세,"2,841","1,899",123,48,36,105,90,247,92,108,93,
2020년06월_여_40~49세,"3,864","2,649",143,68,73,145,140,243,140,136,127,
2020년06월_여_50~59세,"6,128","2,917",388,224,241,402,368,480,367,395,346,
2020년06월_여_60~69세,"6,415","2,427",572,318,318,442,518,543,463,424,390,
2020년06월_여_70~79세,"3,862","1,444",348,228,173,246,294,365,289,269,206,
2020년06월_여_80~89세,"2,773",884,289,155,156,211,242,301,182,223,130,
2020년06월_여_90~99세,440,148,58,34,17,30,28,41,32,29,23,
2020년06월_여_100세 이상,33,15,2,0,0,3,6,1,3,3,0,
2020년07월_계_총인구수,"69,232","34,924","4,638","2,412","2,392","3,769","3,945","6,205","3,785","3,920","3,242",
2020년07월_계_연령구간인구수,"69,232","34,924","4,638","2,412","2,392","3,769","3,945","6,205","3,785","3,920","3,242",
2020년07월_계_0~9세,"3,866","2,723",128,39,48,134,98,365,96,118,117,
2020년07월_계_10~19세,"5,292","3,629",163,113,112,209,164,417,135,194,156,
2020년07월_계_20~29세,"6,973","4,196",392,145,119,269,265,850,256,290,191,
2020년07월_계_30~39세,"6,199","3,992",316,100,98,206,197,584,249,257,200,
2020년07월_계_40~49세,"8,348","5,353",382,161,202,331,350,566,354,353,296,
2020년07월_계_50~59세,"12,912","6,050",844,467,501,830,787,"1,027",761,860,785,
2020년07월_계_60~69세,"13,361","4,869","1,199",662,679,927,"1,066","1,172","1,029",933,825,
2020년07월_계_70~79세,"7,328","2,536",704,420,376,493,599,703,558,521,418,
2020년07월_계_80~89세,"4,300","1,359",425,260,231,327,373,461,290,352,222,
2020년07월_계_90~99세,611,201,80,45,26,39,39,59,54,37,31,
2020년07월_계_100세 이상,42,16,5,0,0,4,7,1,3,5,1,
2020년07월_남_총인구수,"35,669","17,643","2,444","1,212","1,260","1,920","2,032","3,372","1,990","2,072","1,724",
2020년07월_남_연령구간인구수,"35,669","17,643","2,444","1,212","1,260","1,920","2,032","3,372","1,990","2,072","1,724",
2020년07월_남_0~9세,"1,944","1,354",59,23,31,71,47,191,47,59,62,
2020년07월_남_10~19세,"2,745","1,872",89,66,67,108,95,185,72,108,83,
2020년07월_남_20~29세,"4,235","2,429",263,86,67,168,156,637,147,172,110,
2020년07월_남_30~39세,"3,375","2,100",192,51,63,105,112,338,159,147,108,
2020년07월_남_40~49세,"4,493","2,714",243,94,127,185,208,326,211,217,168,
2020년07월_남_50~59세,"6,808","3,133",456,243,260,427,423,553,397,470,446,
2020년07월_남_60~69세,"6,919","2,430",626,344,360,484,544,628,559,509,435,
2020년07월_남_70~79세,"3,463","1,093",354,192,201,247,304,336,271,250,215,
2020년07월_남_80~89세,"1,507",466,137,102,75,113,130,161,107,129,87,
2020년07월_남_90~99세,171,51,22,11,9,11,12,17,20,9,9,
2020년07월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1,
2020년07월_여_총인구수,"33,563","17,281","2,194","1,200","1,132","1,849","1,913","2,833","1,795","1,848","1,518",
2020년07월_여_연령구간인구수,"33,563","17,281","2,194","1,200","1,132","1,849","1,913","2,833","1,795","1,848","1,518",
2020년07월_여_0~9세,"1,922","1,369",69,16,17,63,51,174,49,59,55,
2020년07월_여_10~19세,"2,547","1,757",74,47,45,101,69,232,63,86,73,
2020년07월_여_20~29세,"2,738","1,767",129,59,52,101,109,213,109,118,81,
2020년07월_여_30~39세,"2,824","1,892",124,49,35,101,85,246,90,110,92,
2020년07월_여_40~49세,"3,855","2,639",139,67,75,146,142,240,143,136,128,
2020년07월_여_50~59세,"6,104","2,917",388,224,241,403,364,474,364,390,339,
2020년07월_여_60~69세,"6,442","2,439",573,318,319,443,522,544,470,424,390,
2020년07월_여_70~79세,"3,865","1,443",350,228,175,246,295,367,287,271,203,
2020년07월_여_80~89세,"2,793",893,288,158,156,214,243,300,183,223,135,
2020년07월_여_90~99세,440,150,58,34,17,28,27,42,34,28,22,
2020년07월_여_100세 이상,33,15,2,0,0,3,6,1,3,3,0,
2020년08월_계_총인구수,"69,167","34,865","4,648","2,412","2,391","3,761","3,929","6,208","3,802","3,918","3,233",
2020년08월_계_연령구간인구수,"69,167","34,865","4,648","2,412","2,391","3,761","3,929","6,208","3,802","3,918","3,233",
2020년08월_계_0~9세,"3,846","2,698",127,41,51,134,96,367,98,118,116,
2020년08월_계_10~19세,"5,251","3,616",163,112,110,204,160,409,135,193,149,
2020년08월_계_20~29세,"6,939","4,174",395,145,115,270,260,846,249,289,196,
2020년08월_계_30~39세,"6,173","3,959",315,104,99,207,195,595,253,251,195,
2020년08월_계_40~49세,"8,324","5,343",386,152,201,321,347,565,357,353,299,
2020년08월_계_50~59세,"12,895","6,067",836,466,496,826,781,"1,026",754,861,782,
2020년08월_계_60~69세,"13,437","4,894","1,207",666,684,939,"1,068","1,175","1,047",936,821,
2020년08월_계_70~79세,"7,317","2,535",702,420,376,486,606,699,555,521,417,
2020년08월_계_80~89세,"4,321","1,363",426,259,233,330,371,464,296,354,225,
2020년08월_계_90~99세,622,200,85,47,26,40,39,61,55,37,32,
2020년08월_계_100세 이상,42,16,6,0,0,4,6,1,3,5,1,
2020년08월_남_총인구수,"35,613","17,605","2,451","1,212","1,255","1,907","2,033","3,370","1,996","2,067","1,717",
2020년08월_남_연령구간인구수,"35,613","17,605","2,451","1,212","1,255","1,907","2,033","3,370","1,996","2,067","1,717",
2020년08월_남_0~9세,"1,939","1,345",61,25,33,71,46,191,47,59,61,
2020년08월_남_10~19세,"2,719","1,867",89,64,65,105,93,180,71,107,78,
2020년08월_남_20~29세,"4,207","2,409",263,87,64,167,155,634,143,171,114,
2020년08월_남_30~39세,"3,372","2,089",191,52,63,104,114,349,162,142,106,
2020년08월_남_40~49세,"4,472","2,704",243,91,128,180,207,323,212,215,169,
2020년08월_남_50~59세,"6,799","3,140",456,243,255,425,422,550,393,473,442,
2020년08월_남_60~69세,"6,955","2,443",631,347,361,485,547,631,568,509,433,
2020년08월_남_70~79세,"3,453","1,088",352,192,201,245,307,334,267,250,217,
2020년08월_남_80~89세,"1,518",470,139,99,76,113,130,161,113,130,87,
2020년08월_남_90~99세,170,49,23,12,9,11,11,17,20,9,9,
2020년08월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1,
2020년08월_여_총인구수,"33,554","17,260","2,197","1,200","1,136","1,854","1,896","2,838","1,806","1,851","1,516",
2020년08월_여_연령구간인구수,"33,554","17,260","2,197","1,200","1,136","1,854","1,896","2,838","1,806","1,851","1,516",
2020년08월_여_0~9세,"1,907","1,353",66,16,18,63,50,176,51,59,55,
2020년08월_여_10~19세,"2,532","1,749",74,48,45,99,67,229,64,86,71,
2020년08월_여_20~29세,"2,732","1,765",132,58,51,103,105,212,106,118,82,
2020년08월_여_30~39세,"2,801","1,870",124,52,36,103,81,246,91,109,89,
2020년08월_여_40~49세,"3,852","2,639",143,61,73,141,140,242,145,138,130,
2020년08월_여_50~59세,"6,096","2,927",380,223,241,401,359,476,361,388,340,
2020년08월_여_60~69세,"6,482","2,451",576,319,323,454,521,544,479,427,388,
2020년08월_여_70~79세,"3,864","1,447",350,228,175,241,299,365,288,271,200,
2020년08월_여_80~89세,"2,803",893,287,160,157,217,241,303,183,224,138,
2020년08월_여_90~99세,452,151,62,35,17,29,28,44,35,28,23,
2020년08월_여_100세 이상,33,15,3,0,0,3,5,1,3,3,0,
2020년09월_계_총인구수,"69,164","34,845","4,663","2,418","2,399","3,755","3,943","6,208","3,784","3,912","3,237",
2020년09월_계_연령구간인구수,"69,164","34,845","4,663","2,418","2,399","3,755","3,943","6,208","3,784","3,912","3,237",
2020년09월_계_0~9세,"3,819","2,674",123,43,51,129,101,367,97,118,116,
2020년09월_계_10~19세,"5,248","3,616",166,113,108,204,159,408,133,192,149,
2020년09월_계_20~29세,"6,916","4,172",392,143,118,268,255,837,245,289,197,
2020년09월_계_30~39세,"6,162","3,948",314,107,99,205,203,595,247,249,195,
2020년09월_계_40~49세,"8,296","5,327",388,152,194,319,347,562,358,353,296,
2020년09월_계_50~59세,"12,881","6,063",837,465,501,828,780,"1,028",748,854,777,
2020년09월_계_60~69세,"13,534","4,931","1,220",669,689,945,"1,077","1,184","1,047",946,826,
2020년09월_계_70~79세,"7,309","2,536",704,417,376,482,604,699,553,518,420,
2020년09월_계_80~89세,"4,330","1,357",429,260,237,333,372,467,297,352,226,
2020년09월_계_90~99세,628,203,86,49,26,38,39,60,56,37,34,
2020년09월_계_100세 이상,41,18,4,0,0,4,6,1,3,4,1,
2020년09월_남_총인구수,"35,605","17,598","2,462","1,213","1,257","1,905","2,038","3,370","1,986","2,061","1,715",
2020년09월_남_연령구간인구수,"35,605","17,598","2,462","1,213","1,257","1,905","2,038","3,370","1,986","2,061","1,715",
2020년09월_남_0~9세,"1,926","1,332",59,27,33,68,47,192,48,59,61,
2020년09월_남_10~19세,"2,717","1,874",92,65,63,103,92,178,68,105,77,
2020년09월_남_20~29세,"4,189","2,400",262,84,65,168,152,629,142,172,115,
2020년09월_남_30~39세,"3,361","2,083",190,53,64,102,118,345,159,141,106,
2020년09월_남_40~49세,"4,454","2,690",245,90,125,179,210,321,215,212,167,
2020년09월_남_50~59세,"6,808","3,152",460,244,257,426,415,555,389,469,441,
2020년09월_남_60~69세,"7,006","2,462",637,348,362,491,555,639,565,514,433,
2020년09월_남_70~79세,"3,449","1,090",354,190,201,242,306,332,266,249,219,
2020년09월_남_80~89세,"1,516",460,139,100,78,115,132,163,114,129,86,
2020년09월_남_90~99세,172,54,23,12,9,10,10,16,20,9,9,
2020년09월_남_100세 이상,7,1,1,0,0,1,1,0,0,2,1,
2020년09월_여_총인구수,"33,559","17,247","2,201","1,205","1,142","1,850","1,905","2,838","1,798","1,851","1,522",
2020년09월_여_연령구간인구수,"33,559","17,247","2,201","1,205","1,142","1,850","1,905","2,838","1,798","1,851","1,522",
2020년09월_여_0~9세,"1,893","1,342",64,16,18,61,54,175,49,59,55,
2020년09월_여_10~19세,"2,531","1,742",74,48,45,101,67,230,65,87,72,
2020년09월_여_20~29세,"2,727","1,772",130,59,53,100,103,208,103,117,82,
2020년09월_여_30~39세,"2,801","1,865",124,54,35,103,85,250,88,108,89,
2020년09월_여_40~49세,"3,842","2,637",143,62,69,140,137,241,143,141,129,
2020년09월_여_50~59세,"6,073","2,911",377,221,244,402,365,473,359,385,336,
2020년09월_여_60~69세,"6,528","2,469",583,321,327,454,522,545,482,432,393,
2020년09월_여_70~79세,"3,860","1,446",350,227,175,240,298,367,287,269,201,
2020년09월_여_80~89세,"2,814",897,290,160,159,218,240,304,183,223,140,
2020년09월_여_90~99세,456,149,63,37,17,28,29,44,36,28,25,
2020년09월_여_100세 이상,34,17,3,0,0,3,5,1,3,2,0,
2020년10월_계_총인구수,"69,163","34,859","4,675","2,438","2,384","3,760","3,944","6,207","3,778","3,890","3,228",
2020년10월_계_연령구간인구수,"69,163","34,859","4,675","2,438","2,384","3,760","3,944","6,207","3,778","3,890","3,228",
2020년10월_계_0~9세,"3,793","2,652",122,43,50,129,104,363,96,117,117,
2020년10월_계_10~19세,"5,246","3,617",170,126,102,200,152,410,133,190,146,
2020년10월_계_20~29세,"6,895","4,175",391,145,122,277,251,824,238,278,194,
2020년10월_계_30~39세,"6,141","3,929",313,107,92,205,208,597,246,248,196,
2020년10월_계_40~49세,"8,299","5,324",387,155,195,322,345,564,364,351,292,
2020년10월_계_50~59세,"12,849","6,075",837,459,493,813,770,"1,030",743,850,779,
2020년10월_계_60~69세,"13,609","4,950","1,231",679,695,959,"1,086","1,192","1,044",947,826,
2020년10월_계_70~79세,"7,306","2,541",706,415,372,482,603,697,552,517,421,
2020년10월_계_80~89세,"4,353","1,374",427,259,238,330,378,468,304,352,223,
2020년10월_계_90~99세,629,204,87,48,25,39,41,61,55,36,33,
2020년10월_계_100세 이상,43,18,4,2,0,4,6,1,3,4,1,
2020년10월_남_총인구수,"35,608","17,610","2,466","1,228","1,249","1,908","2,032","3,370","1,981","2,049","1,715",
2020년10월_남_연령구간인구수,"35,608","17,610","2,466","1,228","1,249","1,908","2,032","3,370","1,981","2,049","1,715",
2020년10월_남_0~9세,"1,900","1,314",59,27,32,68,46,186,48,58,62,
2020년10월_남_10~19세,"2,727","1,884",93,76,59,101,87,180,68,104,75,
2020년10월_남_20~29세,"4,174","2,402",258,87,67,173,148,621,136,166,116,
2020년10월_남_30~39세,"3,360","2,077",191,53,60,102,121,349,160,140,107,
2020년10월_남_40~49세,"4,452","2,684",243,91,126,179,208,327,218,211,165,
2020년10월_남_50~59세,"6,785","3,155",464,240,254,419,412,552,383,465,441,
2020년10월_남_60~69세,"7,055","2,477",641,354,363,499,559,646,566,516,434,
2020년10월_남_70~79세,"3,439","1,089",354,189,199,242,302,332,264,249,219,
2020년10월_남_80~89세,"1,534",471,138,99,80,113,137,162,118,130,86,
2020년10월_남_90~99세,174,56,24,11,9,11,11,15,20,8,9,
2020년10월_남_100세 이상,8,1,1,1,0,1,1,0,0,2,1,
2020년10월_여_총인구수,"33,555","17,249","2,209","1,210","1,135","1,852","1,912","2,837","1,797","1,841","1,513",
2020년10월_여_연령구간인구수,"33,555","17,249","2,209","1,210","1,135","1,852","1,912","2,837","1,797","1,841","1,513",
2020년10월_여_0~9세,"1,893","1,338",63,16,18,61,58,177,48,59,55,
2020년10월_여_10~19세,"2,519","1,733",77,50,43,99,65,230,65,86,71,
2020년10월_여_20~29세,"2,721","1,773",133,58,55,104,103,203,102,112,78,
2020년10월_여_30~39세,"2,781","1,852",122,54,32,103,87,248,86,108,89,
2020년10월_여_40~49세,"3,847","2,640",144,64,69,143,137,237,146,140,127,
2020년10월_여_50~59세,"6,064","2,920",373,219,239,394,358,478,360,385,338,
2020년10월_여_60~69세,"6,554","2,473",590,325,332,460,527,546,478,431,392,
2020년10월_여_70~79세,"3,867","1,452",352,226,173,240,301,365,288,268,202,
2020년10월_여_80~89세,"2,819",903,289,160,158,217,241,306,186,222,137,
2020년10월_여_90~99세,455,148,63,37,16,28,30,46,35,28,24,
2020년10월_여_100세 이상,35,17,3,1,0,3,5,1,3,2,0,
2020년11월_계_총인구수,"69,192","34,892","4,669","2,426","2,388","3,740","3,962","6,205","3,797","3,887","3,226",
