카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년01월_계_총인구수,"53,835","22,043","4,851","7,060","1,781","1,802","1,382","2,426","2,432","4,112","5,346",408,192
2020년01월_계_연령구간인구수,"53,835","22,043","4,851","7,060","1,781","1,802","1,382","2,426","2,432","4,112","5,346",408,192
2020년01월_계_0~9세,"3,811","2,128",195,669,74,85,53,102,85,144,254,10,12
2020년01월_계_10~19세,"4,363","2,422",275,569,123,78,60,202,66,174,377,14,3
2020년01월_계_20~29세,"5,204","2,500",374,853,147,142,100,185,143,249,477,25,9
2020년01월_계_30~39세,"5,028","2,408",284,950,128,123,116,138,142,276,431,21,11
2020년01월_계_40~49세,"6,797","3,428",493,908,179,152,105,264,189,381,601,71,26
2020년01월_계_50~59세,"8,838","3,431",838,"1,173",297,302,263,403,365,706,934,89,37
2020년01월_계_60~69세,"8,221","2,772",864,863,307,319,275,388,449,896,932,105,51
2020년01월_계_70~79세,"7,218","1,925",950,700,300,321,246,436,561,851,855,40,33
2020년01월_계_80~89세,"3,802",882,512,334,191,240,145,271,390,385,418,25,9
2020년01월_계_90~99세,515,134,59,36,33,39,19,34,39,50,63,8,1
2020년01월_계_100세 이상,38,13,7,5,2,1,0,3,3,0,4,0,0
2020년01월_남_총인구수,"26,816","10,789","2,433","3,706",944,871,680,"1,233","1,157","2,024","2,615",249,115
2020년01월_남_연령구간인구수,"26,816","10,789","2,433","3,706",944,871,680,"1,233","1,157","2,024","2,615",249,115
2020년01월_남_0~9세,"1,942","1,072",98,368,43,44,21,46,45,67,127,4,7
2020년01월_남_10~19세,"2,269","1,237",148,284,90,39,30,114,37,86,194,7,3
2020년01월_남_20~29세,"2,871","1,325",223,487,87,65,52,111,78,151,270,18,4
2020년01월_남_30~39세,"2,640","1,146",169,531,75,64,61,86,80,168,238,15,7
2020년01월_남_40~49세,"3,873","1,769",313,512,117,101,71,169,119,263,366,53,20
2020년01월_남_50~59세,"4,804","1,726",499,680,173,171,142,259,213,381,477,59,24
2020년01월_남_60~69세,"4,075","1,321",426,442,170,164,145,186,220,430,479,63,29
2020년01월_남_70~79세,"3,064",882,374,292,122,138,108,176,222,365,343,23,19
2020년01월_남_80~89세,"1,174",282,166,103,57,76,46,80,138,104,113,7,2
2020년01월_남_90~99세,100,29,14,6,10,9,4,6,5,9,8,0,0
2020년01월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"27,019","11,254","2,418","3,354",837,931,702,"1,193","1,275","2,088","2,731",159,77
2020년01월_여_연령구간인구수,"27,019","11,254","2,418","3,354",837,931,702,"1,193","1,275","2,088","2,731",159,77
2020년01월_여_0~9세,"1,869","1,056",97,301,31,41,32,56,40,77,127,6,5
2020년01월_여_10~19세,"2,094","1,185",127,285,33,39,30,88,29,88,183,7,0
2020년01월_여_20~29세,"2,333","1,175",151,366,60,77,48,74,65,98,207,7,5
2020년01월_여_30~39세,"2,388","1,262",115,419,53,59,55,52,62,108,193,6,4
2020년01월_여_40~49세,"2,924","1,659",180,396,62,51,34,95,70,118,235,18,6
2020년01월_여_50~59세,"4,034","1,705",339,493,124,131,121,144,152,325,457,30,13
2020년01월_여_60~69세,"4,146","1,451",438,421,137,155,130,202,229,466,453,42,22
2020년01월_여_70~79세,"4,154","1,043",576,408,178,183,138,260,339,486,512,17,14
2020년01월_여_80~89세,"2,628",600,346,231,134,164,99,191,252,281,305,18,7
2020년01월_여_90~99세,415,105,45,30,23,30,15,28,34,41,55,8,1
2020년01월_여_100세 이상,34,13,4,4,2,1,0,3,3,0,4,0,0
2020년02월_계_총인구수,"53,694","21,974","4,836","7,042","1,785","1,792","1,381","2,418","2,415","4,115","5,330",414,192
2020년02월_계_연령구간인구수,"53,694","21,974","4,836","7,042","1,785","1,792","1,381","2,418","2,415","4,115","5,330",414,192
2020년02월_계_0~9세,"3,784","2,105",194,666,74,83,53,103,83,145,254,12,12
2020년02월_계_10~19세,"4,344","2,410",273,565,122,77,60,204,67,173,375,15,3
2020년02월_계_20~29세,"5,141","2,471",375,845,142,139,99,177,138,253,467,26,9
2020년02월_계_30~39세,"5,001","2,387",282,943,133,125,118,137,139,277,427,21,12
2020년02월_계_40~49세,"6,816","3,439",498,911,180,147,106,270,185,386,595,73,26
2020년02월_계_50~59세,"8,818","3,440",835,"1,173",292,304,258,395,362,701,936,85,37
2020년02월_계_60~69세,"8,236","2,780",847,862,315,320,279,393,455,891,936,108,50
2020년02월_계_70~79세,"7,164","1,905",942,700,298,320,245,430,555,847,848,41,33
2020년02월_계_80~89세,"3,831",889,522,332,193,239,144,271,389,393,425,25,9
2020년02월_계_90~99세,522,135,61,40,34,37,19,35,40,49,63,8,1
2020년02월_계_100세 이상,37,13,7,5,2,1,0,3,2,0,4,0,0
2020년02월_남_총인구수,"26,740","10,756","2,431","3,691",944,863,681,"1,229","1,155","2,020","2,603",253,114
2020년02월_남_연령구간인구수,"26,740","10,756","2,431","3,691",944,863,681,"1,229","1,155","2,020","2,603",253,114
2020년02월_남_0~9세,"1,926","1,066",96,361,43,43,20,46,45,67,126,6,7
2020년02월_남_10~19세,"2,255","1,229",148,278,89,40,30,115,37,86,193,7,3
2020년02월_남_20~29세,"2,846","1,312",226,489,84,64,52,103,74,153,266,19,4
2020년02월_남_30~39세,"2,610","1,136",166,519,76,65,62,85,80,166,234,14,7
2020년02월_남_40~49세,"3,894","1,772",320,519,118,97,73,176,119,264,361,55,20
2020년02월_남_50~59세,"4,800","1,735",499,680,167,170,141,256,213,378,480,57,24
2020년02월_남_60~69세,"4,082","1,324",412,442,176,164,147,189,222,431,482,65,28
2020년02월_남_70~79세,"3,044",871,378,294,123,137,106,174,222,359,338,23,19
2020년02월_남_80~89세,"1,180",284,169,101,58,75,46,79,137,107,115,7,2
2020년02월_남_90~99세,99,27,14,7,10,8,4,6,6,9,8,0,0
2020년02월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"26,954","11,218","2,405","3,351",841,929,700,"1,189","1,260","2,095","2,727",161,78
2020년02월_여_연령구간인구수,"26,954","11,218","2,405","3,351",841,929,700,"1,189","1,260","2,095","2,727",161,78
2020년02월_여_0~9세,"1,858","1,039",98,305,31,40,33,57,38,78,128,6,5
2020년02월_여_10~19세,"2,089","1,181",125,287,33,37,30,89,30,87,182,8,0
2020년02월_여_20~29세,"2,295","1,159",149,356,58,75,47,74,64,100,201,7,5
2020년02월_여_30~39세,"2,391","1,251",116,424,57,60,56,52,59,111,193,7,5
2020년02월_여_40~49세,"2,922","1,667",178,392,62,50,33,94,66,122,234,18,6
2020년02월_여_50~59세,"4,018","1,705",336,493,125,134,117,139,149,323,456,28,13
2020년02월_여_60~69세,"4,154","1,456",435,420,139,156,132,204,233,460,454,43,22
2020년02월_여_70~79세,"4,120","1,034",564,406,175,183,139,256,333,488,510,18,14
2020년02월_여_80~89세,"2,651",605,353,231,135,164,98,192,252,286,310,18,7
2020년02월_여_90~99세,423,108,47,33,24,29,15,29,34,40,55,8,1
2020년02월_여_100세 이상,33,13,4,4,2,1,0,3,2,0,4,0,0
2020년03월_계_총인구수,"53,625","21,928","4,825","7,046","1,797","1,789","1,378","2,412","2,406","4,103","5,342",411,188
2020년03월_계_연령구간인구수,"53,625","21,928","4,825","7,046","1,797","1,789","1,378","2,412","2,406","4,103","5,342",411,188
2020년03월_계_0~9세,"3,759","2,090",191,662,80,87,52,95,79,142,257,12,12
2020년03월_계_10~19세,"4,346","2,414",275,558,122,76,59,201,68,171,384,15,3
2020년03월_계_20~29세,"5,132","2,450",371,869,148,138,96,177,138,244,467,26,8
2020년03월_계_30~39세,"4,979","2,380",284,932,136,124,118,134,135,277,426,21,12
2020년03월_계_40~49세,"6,781","3,420",494,899,180,148,105,269,184,383,603,71,25
2020년03월_계_50~59세,"8,806","3,437",826,"1,186",291,297,262,395,362,696,933,84,37
2020년03월_계_60~69세,"8,239","2,781",848,857,309,324,278,400,447,901,936,109,49
2020년03월_계_70~79세,"7,139","1,905",932,700,303,316,244,430,551,847,837,41,33
2020년03월_계_80~89세,"3,885",900,535,338,190,244,146,274,397,396,432,25,8
2020년03월_계_90~99세,522,138,62,40,36,34,18,34,43,46,63,7,1
2020년03월_계_100세 이상,37,13,7,5,2,1,0,3,2,0,4,0,0
2020년03월_남_총인구수,"26,716","10,733","2,430","3,693",949,864,680,"1,231","1,149","2,014","2,609",252,112
2020년03월_남_연령구간인구수,"26,716","10,733","2,430","3,693",949,864,680,"1,231","1,149","2,014","2,609",252,112
2020년03월_남_0~9세,"1,907","1,056",93,354,44,46,19,44,42,65,131,6,7
2020년03월_남_10~19세,"2,261","1,236",150,273,91,40,29,112,40,84,196,7,3
2020년03월_남_20~29세,"2,851","1,303",228,504,87,63,50,105,73,148,268,19,3
2020년03월_남_30~39세,"2,597","1,139",168,516,77,64,59,82,76,166,229,14,7
2020년03월_남_40~49세,"3,878","1,757",319,516,118,98,72,178,119,263,364,54,20
2020년03월_남_50~59세,"4,793","1,738",492,682,167,166,146,256,213,377,476,56,24
2020년03월_남_60~69세,"4,090","1,321",412,442,174,168,149,193,217,435,486,66,27
2020년03월_남_70~79세,"3,038",866,377,296,125,136,106,174,223,360,333,23,19
2020년03월_남_80~89세,"1,201",290,174,102,57,76,46,81,140,108,118,7,2
