카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년01월_계_총인구수,"32,785","8,669","3,420","1,912","3,993","1,955","3,168","2,908","2,972","3,788"
2020년01월_계_연령구간인구수,"32,785","8,669","3,420","1,912","3,993","1,955","3,168","2,908","2,972","3,788"
2020년01월_계_0~9세,"1,498",567,144,79,149,52,113,114,114,166
2020년01월_계_10~19세,"2,186",805,191,67,223,102,246,148,146,258
2020년01월_계_20~29세,"2,703",863,206,148,302,139,269,219,279,278
2020년01월_계_30~39세,"2,254",751,185,122,248,107,193,181,213,254
2020년01월_계_40~49세,"3,685","1,189",368,188,410,180,315,275,334,426
2020년01월_계_50~59세,"5,735","1,432",599,318,715,375,575,524,540,657
2020년01월_계_60~69세,"5,686","1,225",633,401,736,351,525,612,551,652
2020년01월_계_70~79세,"5,294","1,081",675,336,686,364,545,461,469,677
2020년01월_계_80~89세,"3,273",664,375,215,454,254,337,330,278,366
2020년01월_계_90~99세,445,86,43,37,67,30,49,42,41,50
2020년01월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년01월_남_총인구수,"16,371","4,256","1,689",948,"1,988",939,"1,624","1,430","1,499","1,998"
2020년01월_남_연령구간인구수,"16,371","4,256","1,689",948,"1,988",939,"1,624","1,430","1,499","1,998"
2020년01월_남_0~9세,780,289,58,43,86,20,68,58,57,101
2020년01월_남_10~19세,"1,162",440,95,32,106,59,134,70,78,148
2020년01월_남_20~29세,"1,560",455,129,77,185,90,170,122,158,174
2020년01월_남_30~39세,"1,232",384,99,72,147,60,106,106,113,145
2020년01월_남_40~49세,"2,187",649,236,116,253,105,182,167,190,289
2020년01월_남_50~59세,"3,298",786,347,180,402,207,356,302,315,403
2020년01월_남_60~69세,"2,890",585,327,204,383,183,256,331,281,340
2020년01월_남_70~79세,"2,185",445,271,150,278,138,240,181,202,280
2020년01월_남_80~89세,972,200,115,64,134,70,102,90,91,106
2020년01월_남_90~99세,102,21,12,10,14,7,10,3,14,11
2020년01월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년01월_여_총인구수,"16,414","4,413","1,731",964,"2,005","1,016","1,544","1,478","1,473","1,790"
2020년01월_여_연령구간인구수,"16,414","4,413","1,731",964,"2,005","1,016","1,544","1,478","1,473","1,790"
2020년01월_여_0~9세,718,278,86,36,63,32,45,56,57,65
2020년01월_여_10~19세,"1,024",365,96,35,117,43,112,78,68,110
2020년01월_여_20~29세,"1,143",408,77,71,117,49,99,97,121,104
2020년01월_여_30~39세,"1,022",367,86,50,101,47,87,75,100,109
2020년01월_여_40~49세,"1,498",540,132,72,157,75,133,108,144,137
2020년01월_여_50~59세,"2,437",646,252,138,313,168,219,222,225,254
2020년01월_여_60~69세,"2,796",640,306,197,353,168,269,281,270,312
2020년01월_여_70~79세,"3,109",636,404,186,408,226,305,280,267,397
2020년01월_여_80~89세,"2,301",464,260,151,320,184,235,240,187,260
2020년01월_여_90~99세,343,65,31,27,53,23,39,39,27,39
2020년01월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
2020년02월_계_총인구수,"32,735","8,633","3,437","1,923","3,973","1,955","3,170","2,912","2,948","3,784"
2020년02월_계_연령구간인구수,"32,735","8,633","3,437","1,923","3,973","1,955","3,170","2,912","2,948","3,784"
2020년02월_계_0~9세,"1,490",565,149,78,148,52,110,115,108,165
2020년02월_계_10~19세,"2,153",795,193,65,218,100,244,149,143,246
2020년02월_계_20~29세,"2,676",848,199,148,297,140,263,216,276,289
2020년02월_계_30~39세,"2,255",744,189,126,250,108,195,182,208,253
2020년02월_계_40~49세,"3,690","1,193",373,193,401,179,322,274,332,423
2020년02월_계_50~59세,"5,721","1,431",598,313,703,376,577,522,542,659
2020년02월_계_60~69세,"5,700","1,220",633,411,743,349,531,614,547,652
2020년02월_계_70~79세,"5,265","1,078",676,334,684,363,531,463,462,674
2020년02월_계_80~89세,"3,299",665,384,216,454,255,346,331,282,366
2020년02월_계_90~99세,460,88,42,38,72,32,50,44,41,53
2020년02월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년02월_남_총인구수,"16,341","4,242","1,696",951,"1,977",939,"1,623","1,429","1,485","1,999"
2020년02월_남_연령구간인구수,"16,341","4,242","1,696",951,"1,977",939,"1,623","1,429","1,485","1,999"
2020년02월_남_0~9세,769,284,62,43,86,20,64,57,55,98
2020년02월_남_10~19세,"1,142",437,96,32,104,57,132,70,76,138
2020년02월_남_20~29세,"1,552",451,123,78,183,91,164,121,156,185
2020년02월_남_30~39세,"1,228",378,101,73,145,60,110,106,110,145
2020년02월_남_40~49세,"2,193",651,241,119,248,104,185,168,188,289
2020년02월_남_50~59세,"3,294",785,346,178,395,209,357,300,317,407
2020년02월_남_60~69세,"2,898",588,324,205,388,182,260,331,280,340
2020년02월_남_70~79세,"2,179",445,272,147,281,138,235,182,199,280
2020년02월_남_80~89세,976,200,119,66,132,70,105,91,90,103
2020년02월_남_90~99세,107,21,12,10,15,8,11,3,14,13
2020년02월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년02월_여_총인구수,"16,394","4,391","1,741",972,"1,996","1,016","1,547","1,483","1,463","1,785"
2020년02월_여_연령구간인구수,"16,394","4,391","1,741",972,"1,996","1,016","1,547","1,483","1,463","1,785"
2020년02월_여_0~9세,721,281,87,35,62,32,46,58,53,67
2020년02월_여_10~19세,"1,011",358,97,33,114,43,112,79,67,108
2020년02월_여_20~29세,"1,124",397,76,70,114,49,99,95,120,104
2020년02월_여_30~39세,"1,027",366,88,53,105,48,85,76,98,108
2020년02월_여_40~49세,"1,497",542,132,74,153,75,137,106,144,134
2020년02월_여_50~59세,"2,427",646,252,135,308,167,220,222,225,252
2020년02월_여_60~69세,"2,802",632,309,206,355,167,271,283,267,312
2020년02월_여_70~79세,"3,086",633,404,187,403,225,296,281,263,394
2020년02월_여_80~89세,"2,323",465,265,150,322,185,241,240,192,263
2020년02월_여_90~99세,353,67,30,28,57,24,39,41,27,40
2020년02월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
2020년03월_계_총인구수,"32,630","8,599","3,442","1,913","3,948","1,954","3,172","2,915","2,920","3,767"
2020년03월_계_연령구간인구수,"32,630","8,599","3,442","1,913","3,948","1,954","3,172","2,915","2,920","3,767"
2020년03월_계_0~9세,"1,470",552,152,74,146,51,110,112,108,165
2020년03월_계_10~19세,"2,143",783,192,66,218,100,247,150,142,245
2020년03월_계_20~29세,"2,645",845,195,147,291,142,263,211,268,283
2020년03월_계_30~39세,"2,231",735,190,125,245,106,190,189,206,245
2020년03월_계_40~49세,"3,662","1,190",365,192,399,179,322,272,325,418
2020년03월_계_50~59세,"5,696","1,423",602,310,697,372,579,527,526,660
2020년03월_계_60~69세,"5,717","1,223",636,411,744,353,535,612,550,653
2020년03월_계_70~79세,"5,235","1,081",678,326,674,358,527,459,462,670
2020년03월_계_80~89세,"3,332",670,386,223,457,258,347,335,284,372
2020년03월_계_90~99세,473,91,45,38,74,34,51,46,42,52
2020년03월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년03월_남_총인구수,"16,311","4,236","1,706",949,"1,970",941,"1,624","1,427","1,469","1,989"
2020년03월_남_연령구간인구수,"16,311","4,236","1,706",949,"1,970",941,"1,624","1,427","1,469","1,989"
2020년03월_남_0~9세,759,282,63,42,85,20,63,54,53,97
2020년03월_남_10~19세,"1,146",432,96,34,107,57,134,72,76,138
2020년03월_남_20~29세,"1,526",449,122,77,175,92,163,118,151,179
2020년03월_남_30~39세,"1,213",371,102,73,142,60,109,109,108,139
2020년03월_남_40~49세,"2,183",655,239,119,249,104,181,163,186,287
2020년03월_남_50~59세,"3,282",779,349,175,391,208,359,305,308,408
2020년03월_남_60~69세,"2,925",592,332,206,392,185,264,329,283,342
2020년03월_남_70~79세,"2,165",449,269,143,275,134,232,182,200,281
2020년03월_남_80~89세,996,202,122,70,139,71,107,91,90,104
