카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년01월_계_총인구수,"92,171","13,717","26,435","7,229","4,513","14,639","6,279","5,875","4,761","1,930","1,982","2,749","1,083",979
2020년01월_계_연령구간인구수,"92,171","13,717","26,435","7,229","4,513","14,639","6,279","5,875","4,761","1,930","1,982","2,749","1,083",979
2020년01월_계_0~9세,"7,533",735,"3,242",436,343,"1,798",262,215,237,68,59,73,40,25
2020년01월_계_10~19세,"8,474","1,241","3,408",546,394,"1,363",354,398,289,117,70,210,46,38
2020년01월_계_20~29세,"9,013","1,517","2,647",740,408,"1,474",594,583,428,138,114,226,90,54
2020년01월_계_30~39세,"10,109","1,144","3,776",632,414,"2,450",476,395,374,117,89,136,52,54
2020년01월_계_40~49세,"13,613","2,020","4,682",996,676,"2,495",640,630,568,204,201,318,102,81
2020년01월_계_50~59세,"15,503","2,399","3,645","1,334",797,"2,226","1,286","1,242",882,344,406,495,261,186
2020년01월_계_60~69세,"13,095","2,165","2,436","1,210",701,"1,466","1,296","1,166",842,375,438,534,246,220
2020년01월_계_70~79세,"8,927","1,470","1,604",817,507,875,819,736,668,313,364,416,148,190
2020년01월_계_80~89세,"5,136",899,861,451,224,442,491,434,417,206,214,289,87,121
2020년01월_계_90~99세,731,121,129,60,44,49,57,71,56,46,27,51,11,9
2020년01월_계_100세 이상,37,6,5,7,5,1,4,5,0,2,0,1,0,1
2020년01월_남_총인구수,"47,293","7,006","13,727","3,759","2,300","7,372","3,244","2,964","2,449",984,986,"1,451",561,490
2020년01월_남_연령구간인구수,"47,293","7,006","13,727","3,759","2,300","7,372","3,244","2,964","2,449",984,986,"1,451",561,490
2020년01월_남_0~9세,"3,817",361,"1,667",210,183,911,127,99,125,38,25,38,23,10
2020년01월_남_10~19세,"4,440",633,"1,790",305,195,682,204,205,172,58,44,110,22,20
2020년01월_남_20~29세,"4,974",856,"1,510",433,233,724,319,299,249,75,62,130,49,35
2020년01월_남_30~39세,"5,162",632,"1,859",330,208,"1,203",269,197,206,63,60,77,29,29
2020년01월_남_40~49세,"7,589","1,107","2,593",570,353,"1,359",371,350,333,121,121,197,61,53
2020년01월_남_50~59세,"8,623","1,359","2,049",765,450,"1,170",697,675,493,198,217,309,138,103
2020년01월_남_60~69세,"6,768","1,087","1,231",607,347,764,685,639,434,201,231,285,144,113
2020년01월_남_70~79세,"4,032",637,722,362,251,397,392,343,290,155,152,187,66,78
2020년01월_남_80~89세,"1,727",307,278,156,74,148,169,141,138,64,69,109,27,47
2020년01월_남_90~99세,154,26,27,20,6,14,9,16,9,9,5,9,2,2
2020년01월_남_100세 이상,7,1,1,1,0,0,2,0,0,2,0,0,0,0
2020년01월_여_총인구수,"44,878","6,711","12,708","3,470","2,213","7,267","3,035","2,911","2,312",946,996,"1,298",522,489
2020년01월_여_연령구간인구수,"44,878","6,711","12,708","3,470","2,213","7,267","3,035","2,911","2,312",946,996,"1,298",522,489
2020년01월_여_0~9세,"3,716",374,"1,575",226,160,887,135,116,112,30,34,35,17,15
2020년01월_여_10~19세,"4,034",608,"1,618",241,199,681,150,193,117,59,26,100,24,18
2020년01월_여_20~29세,"4,039",661,"1,137",307,175,750,275,284,179,63,52,96,41,19
2020년01월_여_30~39세,"4,947",512,"1,917",302,206,"1,247",207,198,168,54,29,59,23,25
2020년01월_여_40~49세,"6,024",913,"2,089",426,323,"1,136",269,280,235,83,80,121,41,28
2020년01월_여_50~59세,"6,880","1,040","1,596",569,347,"1,056",589,567,389,146,189,186,123,83
2020년01월_여_60~69세,"6,327","1,078","1,205",603,354,702,611,527,408,174,207,249,102,107
2020년01월_여_70~79세,"4,895",833,882,455,256,478,427,393,378,158,212,229,82,112
2020년01월_여_80~89세,"3,409",592,583,295,150,294,322,293,279,142,145,180,60,74
2020년01월_여_90~99세,577,95,102,40,38,35,48,55,47,37,22,42,9,7
2020년01월_여_100세 이상,30,5,4,6,5,1,2,5,0,0,0,1,0,1
2020년02월_계_총인구수,"92,201","13,884","26,370","7,206","4,491","14,621","6,269","5,863","4,747","1,935","1,979","2,767","1,080",989
2020년02월_계_연령구간인구수,"92,201","13,884","26,370","7,206","4,491","14,621","6,269","5,863","4,747","1,935","1,979","2,767","1,080",989
2020년02월_계_0~9세,"7,493",742,"3,220",420,334,"1,800",263,216,233,68,56,76,39,26
2020년02월_계_10~19세,"8,460","1,247","3,397",545,393,"1,360",348,397,285,120,68,216,44,40
2020년02월_계_20~29세,"8,998","1,554","2,650",734,401,"1,461",585,578,424,133,113,224,88,53
2020년02월_계_30~39세,"10,034","1,173","3,716",622,404,"2,433",476,392,366,118,89,138,51,56
2020년02월_계_40~49세,"13,669","2,047","4,708",997,674,"2,505",642,620,559,211,201,322,99,84
2020년02월_계_50~59세,"15,502","2,421","3,643","1,331",800,"2,211","1,277","1,244",889,339,407,490,266,184
2020년02월_계_60~69세,"13,174","2,197","2,438","1,210",704,"1,471","1,304","1,174",851,378,439,537,244,227
2020년02월_계_70~79세,"8,934","1,464","1,603",829,504,886,817,736,663,314,365,421,147,185
2020년02월_계_80~89세,"5,158",911,856,451,226,443,494,433,420,205,213,291,91,124
2020년02월_계_90~99세,741,121,134,60,46,50,59,68,57,47,28,51,11,9
2020년02월_계_100세 이상,38,7,5,7,5,1,4,5,0,2,0,1,0,1
2020년02월_남_총인구수,"47,315","7,107","13,700","3,744","2,283","7,351","3,241","2,964","2,438",985,988,"1,463",558,493
2020년02월_남_연령구간인구수,"47,315","7,107","13,700","3,744","2,283","7,351","3,241","2,964","2,438",985,988,"1,463",558,493
2020년02월_남_0~9세,"3,787",361,"1,658",206,173,910,127,97,120,38,25,40,22,10
2020년02월_남_10~19세,"4,449",633,"1,791",303,197,679,203,208,173,60,44,115,22,21
2020년02월_남_20~29세,"4,976",886,"1,506",430,228,721,317,299,248,73,62,128,45,33
2020년02월_남_30~39세,"5,133",654,"1,830",327,201,"1,189",269,197,203,65,61,79,28,30
2020년02월_남_40~49세,"7,607","1,120","2,607",564,355,"1,366",374,342,326,122,121,197,59,54
2020년02월_남_50~59세,"8,623","1,376","2,052",760,449,"1,160",688,675,498,195,217,310,141,102
2020년02월_남_60~69세,"6,790","1,104","1,226",608,351,759,690,642,434,200,230,286,144,116
2020년02월_남_70~79세,"4,059",639,725,369,248,406,392,347,288,156,154,191,66,78
2020년02월_남_80~89세,"1,728",307,276,155,75,147,170,141,139,65,69,108,29,47
2020년02월_남_90~99세,156,26,28,21,6,14,9,16,9,9,5,9,2,2
2020년02월_남_100세 이상,7,1,1,1,0,0,2,0,0,2,0,0,0,0
2020년02월_여_총인구수,"44,886","6,777","12,670","3,462","2,208","7,270","3,028","2,899","2,309",950,991,"1,304",522,496
2020년02월_여_연령구간인구수,"44,886","6,777","12,670","3,462","2,208","7,270","3,028","2,899","2,309",950,991,"1,304",522,496
2020년02월_여_0~9세,"3,706",381,"1,562",214,161,890,136,119,113,30,31,36,17,16
2020년02월_여_10~19세,"4,011",614,"1,606",242,196,681,145,189,112,60,24,101,22,19
2020년02월_여_20~29세,"4,022",668,"1,144",304,173,740,268,279,176,60,51,96,43,20
2020년02월_여_30~39세,"4,901",519,"1,886",295,203,"1,244",207,195,163,53,28,59,23,26
2020년02월_여_40~49세,"6,062",927,"2,101",433,319,"1,139",268,278,233,89,80,125,40,30
2020년02월_여_50~59세,"6,879","1,045","1,591",571,351,"1,051",589,569,391,144,190,180,125,82
2020년02월_여_60~69세,"6,384","1,093","1,212",602,353,712,614,532,417,178,209,251,100,111
2020년02월_여_70~79세,"4,875",825,878,460,256,480,425,389,375,158,211,230,81,107
2020년02월_여_80~89세,"3,430",604,580,296,151,296,324,292,281,140,144,183,62,77
2020년02월_여_90~99세,585,95,106,39,40,36,50,52,48,38,23,42,9,7
2020년02월_여_100세 이상,31,6,4,6,5,1,2,5,0,0,0,1,0,1
2020년03월_계_총인구수,"92,135","14,115","26,239","7,157","4,493","14,576","6,255","5,845","4,738","1,919","1,976","2,767","1,072",983
2020년03월_계_연령구간인구수,"92,135","14,115","26,239","7,157","4,493","14,576","6,255","5,845","4,738","1,919","1,976","2,767","1,072",983
2020년03월_계_0~9세,"7,441",735,"3,192",413,331,"1,791",261,214,235,68,54,80,42,25
2020년03월_계_10~19세,"8,429","1,250","3,368",542,399,"1,357",342,394,294,118,68,214,42,41
2020년03월_계_20~29세,"8,988","1,619","2,623",720,404,"1,456",581,571,413,129,113,224,85,50
2020년03월_계_30~39세,"9,967","1,219","3,671",617,399,"2,401",471,387,362,112,85,138,50,55
2020년03월_계_40~49세,"13,658","2,083","4,686",984,671,"2,504",636,613,565,212,205,320,97,82
2020년03월_계_50~59세,"15,472","2,452","3,636","1,319",801,"2,197","1,276","1,251",876,333,400,483,264,184
2020년03월_계_60~69세,"13,239","2,229","2,453","1,205",709,"1,474","1,309","1,176",848,376,443,544,244,229
2020년03월_계_70~79세,"8,972","1,479","1,607",833,504,899,823,737,660,315,368,420,145,182
2020년03월_계_80~89세,"5,186",919,863,454,226,446,494,431,425,206,213,292,92,125
2020년03월_계_90~99세,745,123,135,63,45,49,58,66,60,48,27,51,11,9
2020년03월_계_100세 이상,38,7,5,7,4,2,4,5,0,2,0,1,0,1
2020년03월_남_총인구수,"47,328","7,273","13,619","3,719","2,293","7,333","3,241","2,948","2,431",975,983,"1,467",554,492
2020년03월_남_연령구간인구수,"47,328","7,273","13,619","3,719","2,293","7,333","3,241","2,948","2,431",975,983,"1,467",554,492
