카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년03월_계_총인구수,"45,220","5,513","3,714","12,166","15,615","1,993","3,855","2,253",111,0,0,0,0
2020년03월_계_연령구간인구수,"45,220","5,513","3,714","12,166","15,615","1,993","3,855","2,253",111,0,0,0,0
2020년03월_계_0~9세,"3,391",415,391,820,"1,207",143,239,176,0,0,0,0,0
2020년03월_계_10~19세,"3,945",520,256,"1,037","1,519",101,360,148,4,0,0,0,0
2020년03월_계_20~29세,"6,046",715,616,"1,679","1,844",443,452,295,2,0,0,0,0
2020년03월_계_30~39세,"4,810",584,480,"1,248","1,642",229,379,245,3,0,0,0,0
2020년03월_계_40~49세,"5,877",710,388,"1,671","2,140",202,553,203,10,0,0,0,0
2020년03월_계_50~59세,"7,419",910,503,"2,105","2,592",253,666,375,15,0,0,0,0
2020년03월_계_60~69세,"6,389",733,475,"1,763","2,202",255,569,370,22,0,0,0,0
2020년03월_계_70~79세,"4,820",623,379,"1,224","1,627",229,397,298,43,0,0,0,0
2020년03월_계_80~89세,"2,135",268,191,517,706,113,200,128,12,0,0,0,0
2020년03월_계_90~99세,344,33,33,92,115,21,36,14,0,0,0,0,0
2020년03월_계_100세 이상,44,2,2,10,21,4,4,1,0,0,0,0,0
2020년03월_남_총인구수,"23,561","2,825","1,994","6,535","7,872","1,125","1,957","1,201",52,0,0,0,0
2020년03월_남_연령구간인구수,"23,561","2,825","1,994","6,535","7,872","1,125","1,957","1,201",52,0,0,0,0
2020년03월_남_0~9세,"1,731",193,223,407,608,69,132,99,0,0,0,0,0
2020년03월_남_10~19세,"2,045",288,128,566,746,58,184,72,3,0,0,0,0
2020년03월_남_20~29세,"3,958",442,420,"1,166","1,101",335,284,210,0,0,0,0,0
2020년03월_남_30~39세,"2,639",317,258,704,873,144,197,144,2,0,0,0,0
2020년03월_남_40~49세,"3,156",384,223,891,"1,114",117,304,116,7,0,0,0,0
2020년03월_남_50~59세,"3,947",494,280,"1,134","1,357",136,342,195,9,0,0,0,0
2020년03월_남_60~69세,"3,087",335,231,877,"1,059",124,266,188,7,0,0,0,0
2020년03월_남_70~79세,"2,143",273,151,565,733,100,169,134,18,0,0,0,0
2020년03월_남_80~89세,771,91,75,205,247,35,74,38,6,0,0,0,0
2020년03월_남_90~99세,72,8,5,16,29,5,4,5,0,0,0,0,0
2020년03월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년03월_여_총인구수,"21,659","2,688","1,720","5,631","7,743",868,"1,898","1,052",59,0,0,0,0
2020년03월_여_연령구간인구수,"21,659","2,688","1,720","5,631","7,743",868,"1,898","1,052",59,0,0,0,0
2020년03월_여_0~9세,"1,660",222,168,413,599,74,107,77,0,0,0,0,0
2020년03월_여_10~19세,"1,900",232,128,471,773,43,176,76,1,0,0,0,0
2020년03월_여_20~29세,"2,088",273,196,513,743,108,168,85,2,0,0,0,0
2020년03월_여_30~39세,"2,171",267,222,544,769,85,182,101,1,0,0,0,0
2020년03월_여_40~49세,"2,721",326,165,780,"1,026",85,249,87,3,0,0,0,0
2020년03월_여_50~59세,"3,472",416,223,971,"1,235",117,324,180,6,0,0,0,0
2020년03월_여_60~69세,"3,302",398,244,886,"1,143",131,303,182,15,0,0,0,0
2020년03월_여_70~79세,"2,677",350,228,659,894,129,228,164,25,0,0,0,0
2020년03월_여_80~89세,"1,364",177,116,312,459,78,126,90,6,0,0,0,0
2020년03월_여_90~99세,272,25,28,76,86,16,32,9,0,0,0,0,0
2020년03월_여_100세 이상,32,2,2,6,16,2,3,1,0,0,0,0,0
2020년04월_계_총인구수,"45,093","5,521","3,680","12,139","15,540","1,990","3,870","2,241",112,0,0,0,0
2020년04월_계_연령구간인구수,"45,093","5,521","3,680","12,139","15,540","1,990","3,870","2,241",112,0,0,0,0
2020년04월_계_0~9세,"3,374",424,385,821,"1,185",143,238,178,0,0,0,0,0
2020년04월_계_10~19세,"3,922",519,253,"1,028","1,508",101,365,144,4,0,0,0,0
2020년04월_계_20~29세,"6,002",719,604,"1,670","1,832",437,447,291,2,0,0,0,0
2020년04월_계_30~39세,"4,791",585,472,"1,246","1,626",229,385,244,4,0,0,0,0
2020년04월_계_40~49세,"5,838",707,386,"1,660","2,120",203,553,199,10,0,0,0,0
2020년04월_계_50~59세,"7,388",908,497,"2,100","2,587",249,663,369,15,0,0,0,0
2020년04월_계_60~69세,"6,421",728,479,"1,763","2,214",260,577,378,22,0,0,0,0
2020년04월_계_70~79세,"4,823",629,374,"1,228","1,627",228,399,296,42,0,0,0,0
2020년04월_계_80~89세,"2,144",266,195,521,706,114,203,126,13,0,0,0,0
2020년04월_계_90~99세,345,34,33,92,113,22,36,15,0,0,0,0,0
2020년04월_계_100세 이상,45,2,2,10,22,4,4,1,0,0,0,0,0
2020년04월_남_총인구수,"23,476","2,832","1,974","6,517","7,827","1,122","1,960","1,192",52,0,0,0,0
2020년04월_남_연령구간인구수,"23,476","2,832","1,974","6,517","7,827","1,122","1,960","1,192",52,0,0,0,0
2020년04월_남_0~9세,"1,726",197,220,409,598,71,131,100,0,0,0,0,0
2020년04월_남_10~19세,"2,026",288,127,559,737,58,185,69,3,0,0,0,0
2020년04월_남_20~29세,"3,921",443,409,"1,152","1,097",330,281,209,0,0,0,0,0
2020년04월_남_30~39세,"2,623",320,255,703,860,144,198,141,2,0,0,0,0
2020년04월_남_40~49세,"3,145",383,221,888,"1,110",117,305,114,7,0,0,0,0
2020년04월_남_50~59세,"3,929",492,278,"1,132","1,350",133,342,193,9,0,0,0,0
2020년04월_남_60~69세,"3,100",335,233,877,"1,061",128,268,191,7,0,0,0,0
2020년04월_남_70~79세,"2,150",275,151,571,734,99,170,133,17,0,0,0,0
2020년04월_남_80~89세,772,91,75,206,246,35,75,37,7,0,0,0,0
2020년04월_남_90~99세,72,8,5,16,29,5,4,5,0,0,0,0,0
2020년04월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년04월_여_총인구수,"21,617","2,689","1,706","5,622","7,713",868,"1,910","1,049",60,0,0,0,0
2020년04월_여_연령구간인구수,"21,617","2,689","1,706","5,622","7,713",868,"1,910","1,049",60,0,0,0,0
2020년04월_여_0~9세,"1,648",227,165,412,587,72,107,78,0,0,0,0,0
2020년04월_여_10~19세,"1,896",231,126,469,771,43,180,75,1,0,0,0,0
2020년04월_여_20~29세,"2,081",276,195,518,735,107,166,82,2,0,0,0,0
2020년04월_여_30~39세,"2,168",265,217,543,766,85,187,103,2,0,0,0,0
2020년04월_여_40~49세,"2,693",324,165,772,"1,010",86,248,85,3,0,0,0,0
2020년04월_여_50~59세,"3,459",416,219,968,"1,237",116,321,176,6,0,0,0,0
2020년04월_여_60~69세,"3,321",393,246,886,"1,153",132,309,187,15,0,0,0,0
2020년04월_여_70~79세,"2,673",354,223,657,893,129,229,163,25,0,0,0,0
2020년04월_여_80~89세,"1,372",175,120,315,460,79,128,89,6,0,0,0,0
2020년04월_여_90~99세,273,26,28,76,84,17,32,10,0,0,0,0,0
2020년04월_여_100세 이상,33,2,2,6,17,2,3,1,0,0,0,0,0
2020년05월_계_총인구수,"45,084","5,494","3,683","12,166","15,541","1,996","3,864","2,228",112,0,0,0,0
2020년05월_계_연령구간인구수,"45,084","5,494","3,683","12,166","15,541","1,996","3,864","2,228",112,0,0,0,0
2020년05월_계_0~9세,"3,383",421,380,826,"1,189",148,244,175,0,0,0,0,0
2020년05월_계_10~19세,"3,914",515,254,"1,034","1,498",101,366,142,4,0,0,0,0
2020년05월_계_20~29세,"6,001",708,605,"1,676","1,843",437,443,287,2,0,0,0,0
2020년05월_계_30~39세,"4,775",578,476,"1,243","1,623",233,381,237,4,0,0,0,0
2020년05월_계_40~49세,"5,803",703,383,"1,659","2,100",197,550,201,10,0,0,0,0
2020년05월_계_50~59세,"7,379",910,503,"2,094","2,591",245,660,361,15,0,0,0,0
2020년05월_계_60~69세,"6,470",735,478,"1,778","2,226",267,579,385,22,0,0,0,0
2020년05월_계_70~79세,"4,813",616,374,"1,231","1,625",228,399,298,42,0,0,0,0
2020년05월_계_80~89세,"2,155",271,194,523,710,115,203,126,13,0,0,0,0
2020년05월_계_90~99세,346,35,34,92,114,21,35,15,0,0,0,0,0
2020년05월_계_100세 이상,45,2,2,10,22,4,4,1,0,0,0,0,0
2020년05월_남_총인구수,"23,475","2,819","1,974","6,536","7,829","1,122","1,953","1,190",52,0,0,0,0
2020년05월_남_연령구간인구수,"23,475","2,819","1,974","6,536","7,829","1,122","1,953","1,190",52,0,0,0,0
2020년05월_남_0~9세,"1,728",197,220,413,593,73,132,100,0,0,0,0,0
2020년05월_남_10~19세,"2,033",286,128,563,738,58,188,69,3,0,0,0,0
2020년05월_남_20~29세,"3,919",435,402,"1,163","1,105",328,279,207,0,0,0,0,0
