카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년01월_계_총인구수,"100,347","38,706","8,751","28,045","3,496","3,485","2,994","2,385","2,141","3,287","3,575","3,482"
2020년01월_계_연령구간인구수,"100,347","38,706","8,751","28,045","3,496","3,485","2,994","2,385","2,141","3,287","3,575","3,482"
2020년01월_계_0~9세,"8,003","2,647",303,"4,386",99,134,80,50,31,91,88,94
2020년01월_계_10~19세,"9,812","4,626",479,"3,550",149,236,120,79,73,150,161,189
2020년01월_계_20~29세,"9,871","4,931",640,"2,724",236,247,168,134,126,222,201,242
2020년01월_계_30~39세,"10,958","3,803",553,"5,210",219,202,151,125,110,171,215,199
2020년01월_계_40~49세,"14,668","6,327",891,"5,227",343,376,251,167,136,283,299,368
2020년01월_계_50~59세,"16,135","6,817","1,577","3,301",669,629,475,414,383,602,619,649
2020년01월_계_60~69세,"13,960","4,860","1,788","1,953",721,670,626,532,494,748,811,757
2020년01월_계_70~79세,"9,840","2,948","1,548","1,030",572,525,591,459,428,574,617,548
2020년01월_계_80~89세,"6,228","1,521",835,588,428,421,483,363,319,388,496,386
2020년01월_계_90~99세,810,211,115,73,58,43,47,60,41,51,63,48
2020년01월_계_100세 이상,62,15,22,3,2,2,2,2,0,7,5,2
2020년01월_남_총인구수,"49,896","19,216","4,294","14,022","1,755","1,780","1,440","1,198","1,042","1,607","1,788","1,754"
2020년01월_남_연령구간인구수,"49,896","19,216","4,294","14,022","1,755","1,780","1,440","1,198","1,042","1,607","1,788","1,754"
2020년01월_남_0~9세,"4,167","1,356",168,"2,300",52,75,39,26,15,42,47,47
2020년01월_남_10~19세,"5,016","2,366",245,"1,810",89,131,63,37,30,70,81,94
2020년01월_남_20~29세,"5,413","2,730",381,"1,350",138,157,99,88,76,130,123,141
2020년01월_남_30~39세,"5,693","1,964",328,"2,568",130,118,84,83,75,105,132,106
2020년01월_남_40~49세,"7,679","3,103",513,"2,651",214,219,165,107,90,185,204,228
2020년01월_남_50~59세,"8,338","3,465",796,"1,716",361,335,255,234,195,297,325,359
2020년01월_남_60~69세,"6,824","2,316",848,949,365,345,306,265,244,375,418,393
2020년01월_남_70~79세,"4,372","1,317",683,473,249,241,248,215,192,255,253,246
2020년01월_남_80~89세,"2,172",535,289,194,144,151,171,128,119,133,181,127
2020년01월_남_90~99세,205,58,38,11,12,8,9,15,6,13,22,13
2020년01월_남_100세 이상,17,6,5,0,1,0,1,0,0,2,2,0
2020년01월_여_총인구수,"50,451","19,490","4,457","14,023","1,741","1,705","1,554","1,187","1,099","1,680","1,787","1,728"
2020년01월_여_연령구간인구수,"50,451","19,490","4,457","14,023","1,741","1,705","1,554","1,187","1,099","1,680","1,787","1,728"
2020년01월_여_0~9세,"3,836","1,291",135,"2,086",47,59,41,24,16,49,41,47
2020년01월_여_10~19세,"4,796","2,260",234,"1,740",60,105,57,42,43,80,80,95
2020년01월_여_20~29세,"4,458","2,201",259,"1,374",98,90,69,46,50,92,78,101
2020년01월_여_30~39세,"5,265","1,839",225,"2,642",89,84,67,42,35,66,83,93
2020년01월_여_40~49세,"6,989","3,224",378,"2,576",129,157,86,60,46,98,95,140
2020년01월_여_50~59세,"7,797","3,352",781,"1,585",308,294,220,180,188,305,294,290
2020년01월_여_60~69세,"7,136","2,544",940,"1,004",356,325,320,267,250,373,393,364
2020년01월_여_70~79세,"5,468","1,631",865,557,323,284,343,244,236,319,364,302
2020년01월_여_80~89세,"4,056",986,546,394,284,270,312,235,200,255,315,259
2020년01월_여_90~99세,605,153,77,62,46,35,38,45,35,38,41,35
2020년01월_여_100세 이상,45,9,17,3,1,2,1,2,0,5,3,2
2020년02월_계_총인구수,"100,245","38,618","8,710","28,128","3,481","3,478","2,991","2,368","2,146","3,281","3,563","3,481"
2020년02월_계_연령구간인구수,"100,245","38,618","8,710","28,128","3,481","3,478","2,991","2,368","2,146","3,281","3,563","3,481"
2020년02월_계_0~9세,"8,019","2,638",303,"4,418",99,132,79,49,32,87,87,95
2020년02월_계_10~19세,"9,779","4,576",479,"3,563",145,236,125,79,75,153,158,190
2020년02월_계_20~29세,"9,749","4,878",631,"2,702",237,238,164,128,124,217,192,238
2020년02월_계_30~39세,"10,868","3,766",537,"5,200",213,192,150,122,107,165,213,203
2020년02월_계_40~49세,"14,716","6,323",896,"5,269",338,382,252,164,137,288,299,368
2020년02월_계_50~59세,"16,043","6,819","1,545","3,290",660,626,468,405,384,591,612,643
2020년02월_계_60~69세,"14,074","4,897","1,793","1,985",725,676,629,540,497,751,819,762
2020년02월_계_70~79세,"9,859","2,960","1,550","1,031",574,527,586,459,428,580,615,549
2020년02월_계_80~89세,"6,258","1,533",837,594,430,425,487,359,321,392,496,384
2020년02월_계_90~99세,818,212,117,73,58,42,49,62,41,50,67,47
2020년02월_계_100세 이상,62,16,22,3,2,2,2,1,0,7,5,2
2020년02월_남_총인구수,"49,839","19,158","4,274","14,075","1,746","1,775","1,438","1,191","1,042","1,606","1,783","1,751"
2020년02월_남_연령구간인구수,"49,839","19,158","4,274","14,075","1,746","1,775","1,438","1,191","1,042","1,606","1,783","1,751"
2020년02월_남_0~9세,"4,170","1,352",165,"2,311",52,75,41,26,15,40,46,47
2020년02월_남_10~19세,"4,993","2,336",249,"1,812",85,131,64,37,32,72,80,95
2020년02월_남_20~29세,"5,356","2,700",379,"1,348",139,150,96,84,74,129,118,139
2020년02월_남_30~39세,"5,650","1,946",317,"2,570",126,113,85,80,74,99,133,107
2020년02월_남_40~49세,"7,699","3,095",516,"2,677",211,222,165,104,88,190,204,227
2020년02월_남_50~59세,"8,300","3,470",782,"1,713",358,335,249,229,197,291,319,357
2020년02월_남_60~69세,"6,882","2,337",853,963,365,347,308,272,244,376,424,393
2020년02월_남_70~79세,"4,375","1,315",681,472,251,242,246,216,194,257,253,248
2020년02월_남_80~89세,"2,192",544,289,198,147,152,173,128,118,137,181,125
2020년02월_남_90~99세,205,57,38,11,11,8,10,15,6,13,23,13
2020년02월_남_100세 이상,17,6,5,0,1,0,1,0,0,2,2,0
2020년02월_여_총인구수,"50,406","19,460","4,436","14,053","1,735","1,703","1,553","1,177","1,104","1,675","1,780","1,730"
2020년02월_여_연령구간인구수,"50,406","19,460","4,436","14,053","1,735","1,703","1,553","1,177","1,104","1,675","1,780","1,730"
2020년02월_여_0~9세,"3,849","1,286",138,"2,107",47,57,38,23,17,47,41,48
2020년02월_여_10~19세,"4,786","2,240",230,"1,751",60,105,61,42,43,81,78,95
2020년02월_여_20~29세,"4,393","2,178",252,"1,354",98,88,68,44,50,88,74,99
2020년02월_여_30~39세,"5,218","1,820",220,"2,630",87,79,65,42,33,66,80,96
2020년02월_여_40~49세,"7,017","3,228",380,"2,592",127,160,87,60,49,98,95,141
2020년02월_여_50~59세,"7,743","3,349",763,"1,577",302,291,219,176,187,300,293,286
2020년02월_여_60~69세,"7,192","2,560",940,"1,022",360,329,321,268,253,375,395,369
2020년02월_여_70~79세,"5,484","1,645",869,559,323,285,340,243,234,323,362,301
2020년02월_여_80~89세,"4,066",989,548,396,283,273,314,231,203,255,315,259
2020년02월_여_90~99세,613,155,79,62,47,34,39,47,35,37,44,34
2020년02월_여_100세 이상,45,10,17,3,1,2,1,1,0,5,3,2
2020년03월_계_총인구수,"100,063","38,542","8,652","28,155","3,477","3,470","2,985","2,361","2,139","3,276","3,547","3,459"
2020년03월_계_연령구간인구수,"100,063","38,542","8,652","28,155","3,477","3,470","2,985","2,361","2,139","3,276","3,547","3,459"
2020년03월_계_0~9세,"8,010","2,634",300,"4,415",100,135,80,47,32,86,85,96
2020년03월_계_10~19세,"9,699","4,525",468,"3,561",144,229,124,78,74,155,156,185
2020년03월_계_20~29세,"9,719","4,870",624,"2,700",232,244,161,129,120,215,190,234
2020년03월_계_30~39세,"10,822","3,748",529,"5,191",214,194,151,116,107,159,211,202
2020년03월_계_40~49세,"14,658","6,277",870,"5,288",337,383,249,166,139,293,291,365
2020년03월_계_50~59세,"15,948","6,810","1,530","3,296",651,611,463,401,375,576,604,631
2020년03월_계_60~69세,"14,175","4,940","1,799","2,000",733,679,636,543,501,755,825,764
2020년03월_계_70~79세,"9,876","2,976","1,556","1,029",575,530,579,458,424,585,616,548
2020년03월_계_80~89세,"6,275","1,533",841,595,431,419,492,360,326,395,496,387
2020년03월_계_90~99세,822,213,115,77,59,44,48,62,41,50,68,45
2020년03월_계_100세 이상,59,16,20,3,1,2,2,1,0,7,5,2
2020년03월_남_총인구수,"49,737","19,107","4,239","14,089","1,753","1,767","1,437","1,188","1,041","1,601","1,771","1,744"
2020년03월_남_연령구간인구수,"49,737","19,107","4,239","14,089","1,753","1,767","1,437","1,188","1,041","1,601","1,771","1,744"
2020년03월_남_0~9세,"4,154","1,350",159,"2,302",55,75,42,25,15,38,45,48
2020년03월_남_10~19세,"4,947","2,307",245,"1,808",85,124,63,37,32,73,79,94
2020년03월_남_20~29세,"5,346","2,701",374,"1,347",135,157,92,83,75,127,117,138
2020년03월_남_30~39세,"5,621","1,931",312,"2,570",130,112,86,77,74,94,130,105
2020년03월_남_40~49세,"7,669","3,069",505,"2,688",211,221,163,105,89,193,198,227
2020년03월_남_50~59세,"8,251","3,468",774,"1,716",354,325,248,227,190,284,315,350
2020년03월_남_60~69세,"6,938","2,351",854,973,371,351,315,273,248,379,427,396
2020년03월_남_70~79세,"4,389","1,325",687,472,251,244,242,217,191,258,254,248
2020년03월_남_80~89세,"2,198",541,288,201,148,150,175,128,121,140,181,125
2020년03월_남_90~99세,207,58,36,12,12,8,10,16,6,13,23,13
2020년03월_남_100세 이상,17,6,5,0,1,0,1,0,0,2,2,0
2020년03월_여_총인구수,"50,326","19,435","4,413","14,066","1,724","1,703","1,548","1,173","1,098","1,675","1,776","1,715"
2020년03월_여_연령구간인구수,"50,326","19,435","4,413","14,066","1,724","1,703","1,548","1,173","1,098","1,675","1,776","1,715"
2020년03월_여_0~9세,"3,856","1,284",141,"2,113",45,60,38,22,17,48,40,48
2020년03월_여_10~19세,"4,752","2,218",223,"1,753",59,105,61,41,42,82,77,91
2020년03월_여_20~29세,"4,373","2,169",250,"1,353",97,87,69,46,45,88,73,96
2020년03월_여_30~39세,"5,201","1,817",217,"2,621",84,82,65,39,33,65,81,97
2020년03월_여_40~49세,"6,989","3,208",365,"2,600",126,162,86,61,50,100,93,138
2020년03월_여_50~59세,"7,697","3,342",756,"1,580",297,286,215,174,185,292,289,281
