카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년01월_계_총인구수,"52,702","11,276","13,813","5,067","2,315","1,716","2,602","1,535","1,307","1,289","2,167","2,079","3,059","4,477"
2020년01월_계_연령구간인구수,"52,702","11,276","13,813","5,067","2,315","1,716","2,602","1,535","1,307","1,289","2,167","2,079","3,059","4,477"
2020년01월_계_0~9세,"2,445",594,"1,034",178,56,41,63,60,30,35,45,49,55,205
2020년01월_계_10~19세,"3,665",927,"1,561",227,61,63,113,75,65,28,71,84,123,267
2020년01월_계_20~29세,"4,121","1,077","1,386",334,113,91,161,82,62,41,110,112,227,325
2020년01월_계_30~39세,"3,732",917,"1,201",342,118,76,122,83,66,65,104,102,183,353
2020년01월_계_40~49세,"6,116","1,639","2,056",517,170,135,248,110,83,100,160,161,244,493
2020년01월_계_50~59세,"8,802","1,940","2,253",844,328,285,385,234,203,202,359,349,580,840
2020년01월_계_60~69세,"9,938","1,915","2,019","1,040",513,345,528,334,279,317,512,484,693,959
2020년01월_계_70~79세,"7,932","1,462","1,374",922,468,351,504,291,251,276,420,404,562,647
2020년01월_계_80~89세,"5,171",715,789,566,435,280,419,239,242,198,333,282,328,345
2020년01월_계_90~99세,738,85,133,91,49,47,56,27,25,24,51,49,60,41
2020년01월_계_100세 이상,42,5,7,6,4,2,3,0,1,3,2,3,4,2
2020년01월_남_총인구수,"26,045","5,636","6,748","2,529","1,111",841,"1,227",737,638,657,"1,056","1,002","1,523","2,340"
2020년01월_남_연령구간인구수,"26,045","5,636","6,748","2,529","1,111",841,"1,227",737,638,657,"1,056","1,002","1,523","2,340"
2020년01월_남_0~9세,"1,225",291,523,92,30,20,31,26,14,22,18,24,31,103
2020년01월_남_10~19세,"1,884",471,815,116,37,29,53,41,34,16,34,42,64,132
2020년01월_남_20~29세,"2,398",615,774,179,68,57,103,50,37,29,68,68,155,195
2020년01월_남_30~39세,"2,081",493,581,207,74,48,73,53,41,37,65,66,107,236
2020년01월_남_40~49세,"3,385",879,"1,012",323,107,86,138,66,51,71,92,89,155,316
2020년01월_남_50~59세,"4,708","1,078","1,146",472,175,153,196,118,112,113,196,193,306,450
2020년01월_남_60~69세,"4,856",899,970,522,244,175,257,169,149,149,249,246,338,489
2020년01월_남_70~79세,"3,463",618,611,387,212,160,213,129,109,134,194,179,244,273
2020년01월_남_80~89세,"1,868",273,279,209,151,103,150,78,83,83,133,79,111,136
2020년01월_남_90~99세,167,19,34,21,11,10,13,7,8,2,7,14,12,9
2020년01월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년01월_여_총인구수,"26,657","5,640","7,065","2,538","1,204",875,"1,375",798,669,632,"1,111","1,077","1,536","2,137"
2020년01월_여_연령구간인구수,"26,657","5,640","7,065","2,538","1,204",875,"1,375",798,669,632,"1,111","1,077","1,536","2,137"
2020년01월_여_0~9세,"1,220",303,511,86,26,21,32,34,16,13,27,25,24,102
2020년01월_여_10~19세,"1,781",456,746,111,24,34,60,34,31,12,37,42,59,135
2020년01월_여_20~29세,"1,723",462,612,155,45,34,58,32,25,12,42,44,72,130
2020년01월_여_30~39세,"1,651",424,620,135,44,28,49,30,25,28,39,36,76,117
2020년01월_여_40~49세,"2,731",760,"1,044",194,63,49,110,44,32,29,68,72,89,177
2020년01월_여_50~59세,"4,094",862,"1,107",372,153,132,189,116,91,89,163,156,274,390
2020년01월_여_60~69세,"5,082","1,016","1,049",518,269,170,271,165,130,168,263,238,355,470
2020년01월_여_70~79세,"4,469",844,763,535,256,191,291,162,142,142,226,225,318,374
2020년01월_여_80~89세,"3,303",442,510,357,284,177,269,161,159,115,200,203,217,209
2020년01월_여_90~99세,571,66,99,70,38,37,43,20,17,22,44,35,48,32
2020년01월_여_100세 이상,32,5,4,5,2,2,3,0,1,2,2,1,4,1
2020년02월_계_총인구수,"52,582","11,253","13,804","5,053","2,299","1,706","2,598","1,531","1,301","1,282","2,156","2,069","3,051","4,479"
2020년02월_계_연령구간인구수,"52,582","11,253","13,804","5,053","2,299","1,706","2,598","1,531","1,301","1,282","2,156","2,069","3,051","4,479"
2020년02월_계_0~9세,"2,447",598,"1,038",175,55,38,63,59,29,36,46,49,56,205
2020년02월_계_10~19세,"3,635",917,"1,546",231,61,64,111,75,62,28,70,84,116,270
2020년02월_계_20~29세,"4,056","1,062","1,370",320,107,91,161,83,62,39,102,111,227,321
2020년02월_계_30~39세,"3,693",909,"1,186",337,117,73,122,82,67,61,103,102,179,355
2020년02월_계_40~49세,"6,122","1,636","2,065",517,165,138,246,111,81,97,164,159,245,498
2020년02월_계_50~59세,"8,746","1,932","2,247",841,323,281,382,229,203,201,353,342,582,830
2020년02월_계_60~69세,"9,964","1,922","2,038","1,040",512,344,532,335,277,317,512,486,694,955
