카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년03월_계_총인구수,"28,569","7,923","1,951","1,663","2,372","1,372","1,924","1,224","4,418","2,518","1,746","1,458"
2020년03월_계_연령구간인구수,"28,569","7,923","1,951","1,663","2,372","1,372","1,924","1,224","4,418","2,518","1,746","1,458"
2020년03월_계_0~9세,"1,175",487,68,33,66,25,46,36,234,76,65,39
2020년03월_계_10~19세,"2,092",696,135,83,139,48,97,62,472,223,80,57
2020년03월_계_20~29세,"2,482",781,121,103,163,89,141,78,567,204,119,116
2020년03월_계_30~39세,"1,801",659,106,72,123,60,91,54,348,118,99,71
2020년03월_계_40~49세,"3,210","1,066",191,161,209,111,171,96,568,354,157,126
2020년03월_계_50~59세,"5,012","1,312",344,277,437,265,349,222,741,458,320,287
2020년03월_계_60~69세,"4,825","1,206",380,331,410,254,385,220,629,381,301,328
2020년03월_계_70~79세,"4,320","1,001",330,311,409,272,359,248,484,367,319,220
2020년03월_계_80~89세,"3,152",618,251,244,354,216,237,184,327,288,244,189
2020년03월_계_90~99세,489,94,23,48,60,31,48,24,48,49,40,24
2020년03월_계_100세 이상,11,3,2,0,2,1,0,0,0,0,2,1
2020년03월_남_총인구수,"13,955","3,825",970,822,"1,115",664,939,593,"2,164","1,262",855,746
2020년03월_남_연령구간인구수,"13,955","3,825",970,822,"1,115",664,939,593,"2,164","1,262",855,746
2020년03월_남_0~9세,591,249,34,15,40,12,29,20,107,38,28,19
2020년03월_남_10~19세,"1,097",364,74,49,70,24,57,23,237,123,44,32
2020년03월_남_20~29세,"1,341",412,70,66,86,57,74,47,292,111,65,61
2020년03월_남_30~39세,977,323,68,49,65,38,49,33,183,69,61,39
2020년03월_남_40~49세,"1,803",554,114,101,116,66,98,59,299,209,110,77
2020년03월_남_50~59세,"2,770",702,195,150,248,146,186,133,393,275,174,168
2020년03월_남_60~69세,"2,502",592,197,181,197,136,206,111,325,205,162,190
2020년03월_남_70~79세,"1,786",418,125,125,174,108,155,109,208,138,129,97
2020년03월_남_80~89세,992,197,88,76,106,69,78,55,106,83,76,58
2020년03월_남_90~99세,94,14,5,10,12,8,7,3,14,11,5,5
2020년03월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1,0
2020년03월_여_총인구수,"14,614","4,098",981,841,"1,257",708,985,631,"2,254","1,256",891,712
2020년03월_여_연령구간인구수,"14,614","4,098",981,841,"1,257",708,985,631,"2,254","1,256",891,712
2020년03월_여_0~9세,584,238,34,18,26,13,17,16,127,38,37,20
2020년03월_여_10~19세,995,332,61,34,69,24,40,39,235,100,36,25
2020년03월_여_20~29세,"1,141",369,51,37,77,32,67,31,275,93,54,55
2020년03월_여_30~39세,824,336,38,23,58,22,42,21,165,49,38,32
2020년03월_여_40~49세,"1,407",512,77,60,93,45,73,37,269,145,47,49
2020년03월_여_50~59세,"2,242",610,149,127,189,119,163,89,348,183,146,119
2020년03월_여_60~69세,"2,323",614,183,150,213,118,179,109,304,176,139,138
2020년03월_여_70~79세,"2,534",583,205,186,235,164,204,139,276,229,190,123
2020년03월_여_80~89세,"2,160",421,163,168,248,147,159,129,221,205,168,131
2020년03월_여_90~99세,395,80,18,38,48,23,41,21,34,38,35,19
2020년03월_여_100세 이상,9,3,2,0,1,1,0,0,0,0,1,1
2020년04월_계_총인구수,"28,455","7,907","1,926","1,659","2,373","1,370","1,921","1,221","4,379","2,502","1,748","1,449"
2020년04월_계_연령구간인구수,"28,455","7,907","1,926","1,659","2,373","1,370","1,921","1,221","4,379","2,502","1,748","1,449"
2020년04월_계_0~9세,"1,162",485,69,33,65,24,45,36,228,73,65,39
2020년04월_계_10~19세,"2,074",694,134,82,136,49,97,59,460,221,83,59
2020년04월_계_20~29세,"2,443",776,116,103,160,87,141,80,547,201,117,115
2020년04월_계_30~39세,"1,770",647,102,70,121,62,87,51,345,119,98,68
2020년04월_계_40~49세,"3,196","1,070",186,161,210,110,169,97,564,345,159,125
2020년04월_계_50~59세,"4,992","1,306",334,274,441,261,350,224,743,460,318,281
2020년04월_계_60~69세,"4,848","1,211",379,335,414,256,389,220,631,381,306,326
2020년04월_계_70~79세,"4,304","1,001",334,310,406,270,353,245,487,364,314,220
2020년04월_계_80~89세,"3,162",619,246,243,357,219,243,185,326,289,245,190
2020년04월_계_90~99세,493,95,24,48,61,31,47,24,48,49,41,25
2020년04월_계_100세 이상,11,3,2,0,2,1,0,0,0,0,2,1
2020년04월_남_총인구수,"13,892","3,816",951,818,"1,116",663,936,591,"2,154","1,255",855,737
2020년04월_남_연령구간인구수,"13,892","3,816",951,818,"1,116",663,936,591,"2,154","1,255",855,737
2020년04월_남_0~9세,586,248,34,15,40,12,29,20,103,38,28,19
2020년04월_남_10~19세,"1,085",363,73,49,67,24,56,20,233,121,47,32
2020년04월_남_20~29세,"1,327",404,67,65,86,56,76,49,290,109,64,61
2020년04월_남_30~39세,958,321,65,48,64,38,45,30,182,69,59,37
2020년04월_남_40~49세,"1,796",553,109,101,118,66,98,60,296,206,113,76
2020년04월_남_50~59세,"2,757",701,188,148,250,145,185,135,394,275,173,163
2020년04월_남_60~69세,"2,506",594,197,181,198,135,208,111,325,206,163,188
2020년04월_남_70~79세,"1,789",419,127,126,174,109,154,107,212,137,127,97
2020년04월_남_80~89세,992,198,86,75,106,70,79,56,105,83,75,59
2020년04월_남_90~99세,94,15,5,10,12,8,6,3,14,11,5,5
2020년04월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1,0
2020년04월_여_총인구수,"14,563","4,091",975,841,"1,257",707,985,630,"2,225","1,247",893,712
2020년04월_여_연령구간인구수,"14,563","4,091",975,841,"1,257",707,985,630,"2,225","1,247",893,712
2020년04월_여_0~9세,576,237,35,18,25,12,16,16,125,35,37,20
2020년04월_여_10~19세,989,331,61,33,69,25,41,39,227,100,36,27
2020년04월_여_20~29세,"1,116",372,49,38,74,31,65,31,257,92,53,54
2020년04월_여_30~39세,812,326,37,22,57,24,42,21,163,50,39,31
