카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년01월_계_총인구수,"148,057","12,914","9,292","10,987","17,222","11,712","11,509","11,229","11,392","8,182","9,711","15,939","9,412","8,556"
2020년01월_계_연령구간인구수,"148,057","12,914","9,292","10,987","17,222","11,712","11,509","11,229","11,392","8,182","9,711","15,939","9,412","8,556"
2020년01월_계_0~9세,"7,238",902,403,688,877,591,435,414,501,310,601,836,355,325
2020년01월_계_10~19세,"9,955","1,094",543,921,"1,443",821,683,661,691,473,661,949,556,459
2020년01월_계_20~29세,"20,124","1,299","1,144","1,160","2,047","1,716","2,021","1,481","1,637","1,517","1,367","2,340","1,375","1,020"
2020년01월_계_30~39세,"17,822","1,458","1,171","1,152","1,966","1,470","1,412","1,249","1,269",971,"1,392","2,208","1,137",967
2020년01월_계_40~49세,"21,034","2,098","1,389","1,528","2,640","1,684","1,537","1,541","1,481","1,039","1,449","2,334","1,231","1,083"
2020년01월_계_50~59세,"25,495","2,016","1,678","1,862","2,945","2,026","1,886","2,081","2,081","1,355","1,565","2,754","1,652","1,594"
2020년01월_계_60~69세,"23,418","1,787","1,446","1,821","2,678","1,815","1,721","1,944","1,998","1,218","1,390","2,327","1,613","1,660"
2020년01월_계_70~79세,"15,025","1,401",928,"1,147","1,672","1,091","1,203","1,269","1,190",855,827,"1,471",989,982
2020년01월_계_80~89세,"6,991",743,528,617,846,418,547,519,488,387,402,622,456,418
2020년01월_계_90~99세,872,109,55,86,97,77,57,59,49,52,54,87,46,44
2020년01월_계_100세 이상,83,7,7,5,11,3,7,11,7,5,3,11,2,4
2020년01월_남_총인구수,"71,342","6,155","4,496","5,290","8,159","5,724","5,502","5,609","5,544","3,902","4,635","7,766","4,466","4,094"
2020년01월_남_연령구간인구수,"71,342","6,155","4,496","5,290","8,159","5,724","5,502","5,609","5,544","3,902","4,635","7,766","4,466","4,094"
