카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년03월_계_총인구수,"433,006","5,052","6,964","5,013","3,319","8,192","11,494","38,356","19,885","12,778","14,543","23,379","11,066","6,131","19,188","16,788","16,540","8,134","16,841","14,206","14,660","31,113","14,439","11,803","12,979","2,730","51,808","35,605",
2020년03월_계_연령구간인구수,"433,006","5,052","6,964","5,013","3,319","8,192","11,494","38,356","19,885","12,778","14,543","23,379","11,066","6,131","19,188","16,788","16,540","8,134","16,841","14,206","14,660","31,113","14,439","11,803","12,979","2,730","51,808","35,605",
2020년03월_계_0~9세,"34,807",220,296,280,94,617,441,"2,720","1,869",643,994,"2,307",454,566,"1,491","1,199","1,262",363,"1,019",532,"1,128","2,562","1,296",715,556,81,"7,529","3,573",
2020년03월_계_10~19세,"44,526",200,511,320,128,572,730,"3,973","2,318","1,027","1,576","2,378",735,538,"1,554","2,039","1,606",712,"1,498",922,"1,786","4,969","1,818","1,146",894,142,"6,331","4,103",
2020년03월_계_20~29세,"62,642","1,016","1,320",858,498,957,"2,101","6,990","2,683","1,846","2,213","3,097","1,426",757,"2,434","2,508","2,584","1,127","2,410","1,727","2,393","4,812","2,046","1,934","2,025",266,"5,753","4,861",
2020년03월_계_30~39세,"56,985",964,802,732,417,"1,218","1,664","4,753","2,464","1,466","1,748","3,665","1,051",864,"2,719","1,776","2,126",859,"1,947","1,400","1,826","3,099","1,794","1,348","1,487",232,"9,153","5,411",
2020년03월_계_40~49세,"68,636",616,932,699,423,"1,174","1,573","5,725","3,137","1,799","2,100","3,799","1,380",982,"2,732","2,589","2,551","1,107","2,326","1,769","2,521","6,102","2,394","1,783","1,676",272,"10,176","6,299",
2020년03월_계_50~59세,"72,643",727,"1,001",764,589,"1,297","1,881","6,729","3,208","2,251","2,688","3,783","1,940",937,"3,251","3,147","2,693","1,414","3,073","2,763","2,654","5,569","2,495","2,301","2,597",568,"6,763","5,560",
2020년03월_계_60~69세,"50,900",673,998,667,584,"1,178","1,570","4,263","2,567","2,003","1,914","2,541","2,069",742,"2,656","2,053","1,974","1,303","2,556","2,648","1,383","2,142","1,459","1,490","2,045",546,"3,539","3,337",
2020년03월_계_70~79세,"28,534",435,738,493,383,870,"1,052","2,272","1,186","1,232",866,"1,287","1,374",514,"1,594","1,007","1,195",881,"1,425","1,590",672,"1,157",727,756,"1,098",384,"1,684","1,662",
2020년03월_계_80~89세,"11,591",173,322,180,162,260,418,823,385,457,380,445,546,198,662,408,487,322,514,763,254,613,355,281,531,197,753,702,
2020년03월_계_90~99세,"1,626",22,39,15,37,45,58,103,65,51,59,74,78,31,85,58,61,43,69,88,43,86,52,44,68,39,119,94,
2020년03월_계_100세 이상,116,6,5,5,4,4,6,5,3,3,5,3,13,2,10,4,1,3,4,4,0,2,3,5,2,3,8,3,
2020년03월_남_총인구수,"215,039","2,593","3,554","2,635","1,774","4,050","6,018","19,115","9,575","6,466","7,053","11,550","5,407","3,038","9,423","8,209","7,892","4,047","8,354","6,847","7,550","15,259","7,110","5,968","6,355","1,419","25,872","17,906",
2020년03월_남_연령구간인구수,"215,039","2,593","3,554","2,635","1,774","4,050","6,018","19,115","9,575","6,466","7,053","11,550","5,407","3,038","9,423","8,209","7,892","4,047","8,354","6,847","7,550","15,259","7,110","5,968","6,355","1,419","25,872","17,906",
2020년03월_남_0~9세,"17,765",102,152,141,51,315,230,"1,394",943,306,503,"1,196",237,287,736,591,631,200,502,267,597,"1,328",669,344,269,41,"3,872","1,861",
