카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년03월_계_총인구수,"42,727","7,193","1,132","10,496","1,629","2,177","3,982","2,253","4,580","2,112","3,364","3,809"
2020년03월_계_연령구간인구수,"42,727","7,193","1,132","10,496","1,629","2,177","3,982","2,253","4,580","2,112","3,364","3,809"
2020년03월_계_0~9세,"1,594",472,51,491,34,53,127,66,135,39,62,64
2020년03월_계_10~19세,"2,380",675,22,745,58,84,179,77,278,49,111,102
2020년03월_계_20~29세,"2,981",603,55,917,97,127,227,137,301,131,192,194
2020년03월_계_30~39세,"2,988",672,101,902,97,117,263,111,271,115,151,188
2020년03월_계_40~49세,"4,594","1,040",109,"1,371",139,178,363,170,479,180,273,292
2020년03월_계_50~59세,"7,560","1,252",171,"1,828",281,352,742,451,786,430,593,674
2020년03월_계_60~69세,"9,347","1,195",268,"2,062",432,518,928,563,"1,043",510,835,993
2020년03월_계_70~79세,"6,499",751,189,"1,306",303,428,639,393,736,353,664,737
2020년03월_계_80~89세,"4,195",459,148,772,165,275,461,260,465,270,416,504
2020년03월_계_90~99세,569,69,16,99,23,45,50,25,83,35,64,60
2020년03월_계_100세 이상,20,5,2,3,0,0,3,0,3,0,3,1
2020년03월_남_총인구수,"20,976","3,488",567,"5,171",793,"1,029","1,958","1,122","2,210","1,035","1,695","1,908"
2020년03월_남_연령구간인구수,"20,976","3,488",567,"5,171",793,"1,029","1,958","1,122","2,210","1,035","1,695","1,908"
2020년03월_남_0~9세,820,245,25,242,11,31,66,38,68,24,40,30
2020년03월_남_10~19세,"1,211",330,17,374,38,37,85,31,151,30,65,53
2020년03월_남_20~29세,"1,767",340,33,532,62,80,134,88,171,76,122,129
2020년03월_남_30~39세,"1,594",329,52,485,60,68,148,63,125,61,84,119
2020년03월_남_40~49세,"2,577",538,76,754,84,99,220,91,262,97,169,187
2020년03월_남_50~59세,"3,963",626,89,954,142,180,389,227,412,242,345,357
2020년03월_남_60~69세,"4,685",599,127,"1,024",205,260,460,309,495,277,418,511
2020년03월_남_70~79세,"2,934",327,85,557,135,184,291,178,370,142,320,345
2020년03월_남_80~89세,"1,305",137,59,230,55,78,149,95,142,78,121,161
2020년03월_남_90~99세,119,17,3,19,1,12,16,2,14,8,11,16
2020년03월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"21,751","3,705",565,"5,325",836,"1,148","2,024","1,131","2,370","1,077","1,669","1,901"
2020년03월_여_연령구간인구수,"21,751","3,705",565,"5,325",836,"1,148","2,024","1,131","2,370","1,077","1,669","1,901"
2020년03월_여_0~9세,774,227,26,249,23,22,61,28,67,15,22,34
2020년03월_여_10~19세,"1,169",345,5,371,20,47,94,46,127,19,46,49
2020년03월_여_20~29세,"1,214",263,22,385,35,47,93,49,130,55,70,65
2020년03월_여_30~39세,"1,394",343,49,417,37,49,115,48,146,54,67,69
2020년03월_여_40~49세,"2,017",502,33,617,55,79,143,79,217,83,104,105
2020년03월_여_50~59세,"3,597",626,82,874,139,172,353,224,374,188,248,317
2020년03월_여_60~69세,"4,662",596,141,"1,038",227,258,468,254,548,233,417,482
2020년03월_여_70~79세,"3,565",424,104,749,168,244,348,215,366,211,344,392
2020년03월_여_80~89세,"2,890",322,89,542,110,197,312,165,323,192,295,343
2020년03월_여_90~99세,450,52,13,80,22,33,34,23,69,27,53,44
2020년03월_여_100세 이상,19,5,1,3,0,0,3,0,3,0,3,1
2020년04월_계_총인구수,"42,684","7,176","1,126","10,467","1,632","2,166","3,991","2,255","4,559","2,127","3,365","3,820"
2020년04월_계_연령구간인구수,"42,684","7,176","1,126","10,467","1,632","2,166","3,991","2,255","4,559","2,127","3,365","3,820"
2020년04월_계_0~9세,"1,583",471,49,484,36,51,133,64,133,37,61,64
2020년04월_계_10~19세,"2,370",674,23,743,58,83,178,73,273,47,114,104
2020년04월_계_20~29세,"2,942",593,55,908,92,122,231,136,292,133,186,194
