카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년03월_계_총인구수,"2,952,689","137,587","64,039","406,829","370,796","531,960","506,682","301,395","544,034","68,996","20,371"
2020년03월_계_연령구간인구수,"2,952,689","137,587","64,039","406,829","370,796","531,960","506,682","301,395","544,034","68,996","20,371"
2020년03월_계_0~9세,"238,763","12,221","4,200","28,606","36,894","44,774","35,512","19,955","52,316","3,298",987
2020년03월_계_10~19세,"279,780","12,462","5,326","32,685","41,589","51,189","45,336","28,042","57,269","4,738","1,144"
2020년03월_계_20~29세,"405,826","19,210","6,803","57,106","50,839","72,221","72,539","45,468","73,429","5,520","2,691"
2020년03월_계_30~39세,"416,119","21,065","7,433","57,082","55,096","76,076","70,887","39,164","81,906","5,442","1,968"
2020년03월_계_40~49세,"489,213","24,289","10,358","64,309","65,903","90,244","80,011","47,514","96,275","7,859","2,451"
2020년03월_계_50~59세,"515,257","19,851","10,354","68,093","62,435","91,050","92,586","61,835","93,186","12,192","3,675"
2020년03월_계_60~69세,"347,493","15,238","9,804","53,758","34,874","62,459","63,169","36,176","54,577","13,627","3,811"
2020년03월_계_70~79세,"172,868","9,056","6,529","30,692","14,919","29,909","30,859","15,110","23,503","10,002","2,289"
2020년03월_계_80~89세,"74,768","3,524","2,748","12,434","6,983","11,979","13,554","7,025","9,905","5,501","1,115"
2020년03월_계_90~99세,"11,685",596,410,"1,888","1,209","1,936","2,033","1,044","1,563",776,230
2020년03월_계_100세 이상,917,75,74,176,55,123,196,62,105,41,10
2020년03월_남_총인구수,"1,479,839","71,205","32,314","204,964","184,450","264,508","251,023","150,492","274,696","34,595","11,592"
2020년03월_남_연령구간인구수,"1,479,839","71,205","32,314","204,964","184,450","264,508","251,023","150,492","274,696","34,595","11,592"
2020년03월_남_0~9세,"122,481","6,315","2,221","14,620","18,845","23,036","18,140","10,142","26,948","1,710",504
2020년03월_남_10~19세,"143,995","6,440","2,741","16,894","21,364","26,169","23,500","14,487","29,327","2,446",627
2020년03월_남_20~29세,"211,904","9,731","3,688","30,278","26,374","37,338","37,407","23,728","38,214","3,191","1,955"
