카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년01월_계_총인구수,"50,630","18,513","3,803","4,490",795,"3,313","3,497","4,358","2,408","2,114",228,"2,591",995,"2,705",820
2020년01월_계_연령구간인구수,"50,630","18,513","3,803","4,490",795,"3,313","3,497","4,358","2,408","2,114",228,"2,591",995,"2,705",820
2020년01월_계_0~9세,"3,330","1,542",221,355,51,99,129,213,128,72,10,150,40,278,42
2020년01월_계_10~19세,"3,790","1,819",197,386,56,141,228,275,105,109,9,161,55,215,34
2020년01월_계_20~29세,"3,844","1,849",243,295,38,189,228,284,134,131,10,165,70,159,49
2020년01월_계_30~39세,"4,398","1,932",310,432,86,227,225,290,144,152,9,185,59,286,61
2020년01월_계_40~49세,"6,362","2,783",444,577,117,340,417,430,236,182,28,294,100,317,97
2020년01월_계_50~59세,"8,370","3,200",611,698,135,551,608,632,403,373,32,372,172,433,150
2020년01월_계_60~69세,"8,275","2,642",731,608,149,707,613,731,484,393,35,450,159,438,135
2020년01월_계_70~79세,"7,564","1,807",645,667,122,654,619,929,486,385,49,492,193,358,158
2020년01월_계_80~89세,"4,176",830,351,425,36,361,386,507,256,281,41,296,128,198,80
2020년01월_계_90~99세,499,99,48,47,3,43,43,64,32,36,4,25,19,23,13
2020년01월_계_100세 이상,22,10,2,0,2,1,1,3,0,0,1,1,0,0,1
2020년01월_남_총인구수,"25,430","9,335","1,927","2,235",429,"1,653","1,787","2,117","1,225","1,047",116,"1,271",497,"1,368",423
2020년01월_남_연령구간인구수,"25,430","9,335","1,927","2,235",429,"1,653","1,787","2,117","1,225","1,047",116,"1,271",497,"1,368",423
2020년01월_남_0~9세,"1,717",820,108,168,24,55,60,108,81,31,8,72,19,143,20
2020년01월_남_10~19세,"1,949",924,100,210,31,68,121,138,47,58,5,80,33,112,22
2020년01월_남_20~29세,"2,246","1,064",140,168,27,103,143,165,82,92,9,97,45,88,23
2020년01월_남_30~39세,"2,411",971,184,245,53,150,125,153,84,102,3,108,35,157,41
2020년01월_남_40~49세,"3,722","1,484",296,335,79,206,267,253,154,106,20,194,63,193,72
2020년01월_남_50~59세,"4,568","1,667",348,386,74,307,358,358,228,210,18,205,98,231,80
2020년01월_남_60~69세,"4,107","1,298",375,313,69,339,298,359,243,201,20,214,78,234,66
2020년01월_남_70~79세,"3,293",817,267,274,61,315,270,393,210,150,22,202,85,156,71
2020년01월_남_80~89세,"1,327",275,100,129,11,105,135,178,88,89,11,93,36,50,27
2020년01월_남_90~99세,88,14,9,7,0,5,10,12,8,8,0,5,5,4,1
2020년01월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020년01월_여_총인구수,"25,200","9,178","1,876","2,255",366,"1,660","1,710","2,241","1,183","1,067",112,"1,320",498,"1,337",397
2020년01월_여_연령구간인구수,"25,200","9,178","1,876","2,255",366,"1,660","1,710","2,241","1,183","1,067",112,"1,320",498,"1,337",397
2020년01월_여_0~9세,"1,613",722,113,187,27,44,69,105,47,41,2,78,21,135,22
2020년01월_여_10~19세,"1,841",895,97,176,25,73,107,137,58,51,4,81,22,103,12
2020년01월_여_20~29세,"1,598",785,103,127,11,86,85,119,52,39,1,68,25,71,26
2020년01월_여_30~39세,"1,987",961,126,187,33,77,100,137,60,50,6,77,24,129,20
2020년01월_여_40~49세,"2,640","1,299",148,242,38,134,150,177,82,76,8,100,37,124,25
2020년01월_여_50~59세,"3,802","1,533",263,312,61,244,250,274,175,163,14,167,74,202,70
2020년01월_여_60~69세,"4,168","1,344",356,295,80,368,315,372,241,192,15,236,81,204,69
2020년01월_여_70~79세,"4,271",990,378,393,61,339,349,536,276,235,27,290,108,202,87
2020년01월_여_80~89세,"2,849",555,251,296,25,256,251,329,168,192,30,203,92,148,53
2020년01월_여_90~99세,411,85,39,40,3,38,33,52,24,28,4,20,14,19,12
2020년01월_여_100세 이상,20,9,2,0,2,1,1,3,0,0,1,0,0,0,1
2020년02월_계_총인구수,"50,560","18,436","3,810","4,487",795,"3,337","3,490","4,340","2,400","2,118",227,"2,588","1,001","2,703",828
2020년02월_계_연령구간인구수,"50,560","18,436","3,810","4,487",795,"3,337","3,490","4,340","2,400","2,118",227,"2,588","1,001","2,703",828
2020년02월_계_0~9세,"3,311","1,520",222,355,50,107,131,211,128,71,10,150,40,274,42
2020년02월_계_10~19세,"3,759","1,807",193,378,55,143,226,275,105,107,8,157,56,214,35
2020년02월_계_20~29세,"3,854","1,843",249,296,40,199,227,279,131,136,10,167,65,158,54
2020년02월_계_30~39세,"4,360","1,905",310,437,82,221,221,287,142,152,8,187,61,284,63
2020년02월_계_40~49세,"6,360","2,768",442,581,120,351,420,428,228,182,29,294,101,320,96
2020년02월_계_50~59세,"8,340","3,185",615,692,133,549,602,627,403,373,31,371,178,430,151
2020년02월_계_60~69세,"8,305","2,658",730,608,152,710,614,728,486,393,36,451,161,443,135
2020년02월_계_70~79세,"7,523","1,806",640,657,122,652,619,920,487,384,50,487,193,350,156
2020년02월_계_80~89세,"4,215",829,358,435,36,360,385,518,258,284,40,297,127,206,82
2020년02월_계_90~99세,510,105,49,48,3,44,44,64,32,35,4,26,19,24,13
2020년02월_계_100세 이상,23,10,2,0,2,1,1,3,0,1,1,1,0,0,1
2020년02월_남_총인구수,"25,415","9,302","1,938","2,242",432,"1,665","1,779","2,106","1,221","1,044",116,"1,273",503,"1,365",429
2020년02월_남_연령구간인구수,"25,415","9,302","1,938","2,242",432,"1,665","1,779","2,106","1,221","1,044",116,"1,273",503,"1,365",429
2020년02월_남_0~9세,"1,709",809,110,170,24,61,61,106,81,30,8,70,19,139,21
2020년02월_남_10~19세,"1,933",923,97,203,31,70,119,137,47,56,4,77,35,112,22
2020년02월_남_20~29세,"2,244","1,054",144,172,29,104,143,162,81,92,9,99,42,87,26
2020년02월_남_30~39세,"2,398",965,186,247,51,148,121,154,83,100,3,110,37,151,42
2020년02월_남_40~49세,"3,732","1,473",296,346,81,211,267,252,150,107,21,195,63,198,72
2020년02월_남_50~59세,"4,556","1,665",350,378,74,305,352,354,230,210,17,209,101,230,81
2020년02월_남_60~69세,"4,123","1,300",376,315,70,342,302,358,243,201,21,212,79,238,66
2020년02월_남_70~79세,"3,284",822,269,269,61,313,269,386,211,151,23,202,85,152,71
2020년02월_남_80~89세,"1,343",275,101,134,11,105,135,185,87,89,10,93,37,54,27
2020년02월_남_90~99세,90,15,9,8,0,6,10,12,8,7,0,5,5,4,1
2020년02월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년02월_여_총인구수,"25,145","9,134","1,872","2,245",363,"1,672","1,711","2,234","1,179","1,074",111,"1,315",498,"1,338",399
2020년02월_여_연령구간인구수,"25,145","9,134","1,872","2,245",363,"1,672","1,711","2,234","1,179","1,074",111,"1,315",498,"1,338",399
2020년02월_여_0~9세,"1,602",711,112,185,26,46,70,105,47,41,2,80,21,135,21
2020년02월_여_10~19세,"1,826",884,96,175,24,73,107,138,58,51,4,80,21,102,13
2020년02월_여_20~29세,"1,610",789,105,124,11,95,84,117,50,44,1,68,23,71,28
2020년02월_여_30~39세,"1,962",940,124,190,31,73,100,133,59,52,5,77,24,133,21
2020년02월_여_40~49세,"2,628","1,295",146,235,39,140,153,176,78,75,8,99,38,122,24
2020년02월_여_50~59세,"3,784","1,520",265,314,59,244,250,273,173,163,14,162,77,200,70
2020년02월_여_60~69세,"4,182","1,358",354,293,82,368,312,370,243,192,15,239,82,205,69
2020년02월_여_70~79세,"4,239",984,371,388,61,339,350,534,276,233,27,285,108,198,85
2020년02월_여_80~89세,"2,872",554,257,301,25,255,250,333,171,195,30,204,90,152,55
2020년02월_여_90~99세,420,90,40,40,3,38,34,52,24,28,4,21,14,20,12
2020년02월_여_100세 이상,20,9,2,0,2,1,1,3,0,0,1,0,0,0,1
2020년03월_계_총인구수,"50,431","18,382","3,789","4,477",795,"3,331","3,486","4,327","2,397","2,114",226,"2,576","1,003","2,696",832
2020년03월_계_연령구간인구수,"50,431","18,382","3,789","4,477",795,"3,331","3,486","4,327","2,397","2,114",226,"2,576","1,003","2,696",832
2020년03월_계_0~9세,"3,288","1,505",220,357,48,109,133,208,127,70,10,149,40,272,40
2020년03월_계_10~19세,"3,747","1,799",191,377,54,146,225,273,102,106,8,158,56,216,36
2020년03월_계_20~29세,"3,836","1,837",245,293,42,198,221,279,137,132,10,163,68,154,57
2020년03월_계_30~39세,"4,298","1,894",304,429,84,204,211,282,140,149,7,184,63,282,65
2020년03월_계_40~49세,"6,329","2,750",443,573,118,352,422,426,226,180,29,292,99,325,94
2020년03월_계_50~59세,"8,311","3,176",606,695,131,550,602,626,398,375,31,364,174,429,154
2020년03월_계_60~69세,"8,309","2,659",730,609,153,709,619,725,481,397,36,455,163,439,134
2020년03월_계_70~79세,"7,502","1,808",636,655,124,648,615,909,491,387,49,487,188,349,156
2020년03월_계_80~89세,"4,266",842,362,436,36,368,392,530,263,281,40,294,133,207,82
2020년03월_계_90~99세,522,103,50,52,3,46,45,66,32,36,5,29,19,23,13
2020년03월_계_100세 이상,23,9,2,1,2,1,1,3,0,1,1,1,0,0,1
2020년03월_남_총인구수,"25,346","9,276","1,929","2,239",431,"1,657","1,775","2,101","1,216","1,045",116,"1,268",499,"1,362",432
2020년03월_남_연령구간인구수,"25,346","9,276","1,929","2,239",431,"1,657","1,775","2,101","1,216","1,045",116,"1,268",499,"1,362",432
2020년03월_남_0~9세,"1,690",800,109,171,22,61,61,104,81,29,8,69,19,137,19
2020년03월_남_10~19세,"1,931",921,97,202,29,73,118,136,45,55,4,78,35,114,24
2020년03월_남_20~29세,"2,252","1,057",142,174,31,106,141,165,82,90,9,99,43,85,28
2020년03월_남_30~39세,"2,359",958,185,241,52,136,115,153,82,101,3,106,36,149,42
2020년03월_남_40~49세,"3,717","1,459",296,345,80,212,270,249,148,105,21,196,62,203,71
2020년03월_남_50~59세,"4,533","1,660",341,378,73,302,350,355,231,214,17,204,99,227,82
2020년03월_남_60~69세,"4,120","1,295",378,313,71,341,305,358,236,203,21,216,81,235,67
2020년03월_남_70~79세,"3,288",831,269,270,62,312,268,378,215,153,22,202,82,153,71
2020년03월_남_80~89세,"1,364",279,103,137,11,108,137,191,88,88,11,91,38,55,27
2020년03월_남_90~99세,89,15,9,8,0,6,10,12,8,6,0,6,4,4,1
2020년03월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년03월_여_총인구수,"25,085","9,106","1,860","2,238",364,"1,674","1,711","2,226","1,181","1,069",110,"1,308",504,"1,334",400
2020년03월_여_연령구간인구수,"25,085","9,106","1,860","2,238",364,"1,674","1,711","2,226","1,181","1,069",110,"1,308",504,"1,334",400
2020년03월_여_0~9세,"1,598",705,111,186,26,48,72,104,46,41,2,80,21,135,21
2020년03월_여_10~19세,"1,816",878,94,175,25,73,107,137,57,51,4,80,21,102,12
2020년03월_여_20~29세,"1,584",780,103,119,11,92,80,114,55,42,1,64,25,69,29
2020년03월_여_30~39세,"1,939",936,119,188,32,68,96,129,58,48,4,78,27,133,23
2020년03월_여_40~49세,"2,612","1,291",147,228,38,140,152,177,78,75,8,96,37,122,23
2020년03월_여_50~59세,"3,778","1,516",265,317,58,248,252,271,167,161,14,160,75,202,72
2020년03월_여_60~69세,"4,189","1,364",352,296,82,368,314,367,245,194,15,239,82,204,67
2020년03월_여_70~79세,"4,214",977,367,385,62,336,347,531,276,234,27,285,106,196,85
2020년03월_여_80~89세,"2,902",563,259,299,25,260,255,339,175,193,29,203,95,152,55
2020년03월_여_90~99세,433,88,41,44,3,40,35,54,24,30,5,23,15,19,12
2020년03월_여_100세 이상,20,8,2,1,2,1,1,3,0,0,1,0,0,0,1
2020년04월_계_총인구수,"50,351","18,355","3,770","4,475",787,"3,329","3,496","4,314","2,388","2,102",228,"2,579",998,"2,697",833
2020년04월_계_연령구간인구수,"50,351","18,355","3,770","4,475",787,"3,329","3,496","4,314","2,388","2,102",228,"2,579",998,"2,697",833
2020년04월_계_0~9세,"3,278","1,502",212,358,45,108,137,209,126,67,10,150,38,274,42
2020년04월_계_10~19세,"3,738","1,788",196,382,53,143,226,266,104,107,8,158,58,214,35
2020년04월_계_20~29세,"3,817","1,825",239,287,40,204,217,279,132,134,10,164,66,160,60
2020년04월_계_30~39세,"4,270","1,894",300,424,82,205,214,278,137,143,7,185,60,278,63
2020년04월_계_40~49세,"6,302","2,737",440,575,117,346,420,430,226,176,29,290,100,325,91
2020년04월_계_50~59세,"8,312","3,171",604,699,130,552,606,621,396,376,33,365,176,430,153
2020년04월_계_60~69세,"8,320","2,670",729,607,155,705,621,726,480,399,36,454,163,438,137
2020년04월_계_70~79세,"7,475","1,811",639,651,124,646,609,898,489,377,49,487,186,352,157
2020년04월_계_80~89세,"4,285",840,359,437,36,372,401,538,266,285,40,296,130,204,81
2020년04월_계_90~99세,531,108,50,54,3,46,44,67,32,37,5,29,21,22,13
2020년04월_계_100세 이상,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020년04월_남_총인구수,"25,319","9,265","1,920","2,238",430,"1,657","1,787","2,092","1,212","1,037",117,"1,272",494,"1,362",436
2020년04월_남_연령구간인구수,"25,319","9,265","1,920","2,238",430,"1,657","1,787","2,092","1,212","1,037",117,"1,272",494,"1,362",436
2020년04월_남_0~9세,"1,689",801,104,171,22,61,63,103,81,29,8,70,18,137,21
2020년04월_남_10~19세,"1,923",913,99,205,28,71,119,131,47,55,4,77,35,115,24
2020년04월_남_20~29세,"2,248","1,052",140,172,29,108,141,165,81,89,9,101,42,88,31
2020년04월_남_30~39세,"2,348",965,183,237,52,137,115,152,78,96,3,108,34,147,41
2020년04월_남_40~49세,"3,701","1,444",295,345,82,210,275,250,150,103,21,193,63,201,69
2020년04월_남_50~59세,"4,539","1,661",339,383,71,304,352,355,229,214,18,205,99,227,82
2020년04월_남_60~69세,"4,125","1,295",379,310,73,343,307,357,235,204,21,217,81,235,68
2020년04월_남_70~79세,"3,275",837,269,270,62,304,264,377,215,148,22,200,81,154,72
2020년04월_남_80~89세,"1,374",279,103,136,11,113,141,190,88,91,11,94,36,54,27
2020년04월_남_90~99세,94,17,9,9,0,6,10,12,8,7,0,6,5,4,1
2020년04월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년04월_여_총인구수,"25,032","9,090","1,850","2,237",357,"1,672","1,709","2,222","1,176","1,065",111,"1,307",504,"1,335",397
2020년04월_여_연령구간인구수,"25,032","9,090","1,850","2,237",357,"1,672","1,709","2,222","1,176","1,065",111,"1,307",504,"1,335",397
2020년04월_여_0~9세,"1,589",701,108,187,23,47,74,106,45,38,2,80,20,137,21
2020년04월_여_10~19세,"1,815",875,97,177,25,72,107,135,57,52,4,81,23,99,11
2020년04월_여_20~29세,"1,569",773,99,115,11,96,76,114,51,45,1,63,24,72,29
2020년04월_여_30~39세,"1,922",929,117,187,30,68,99,126,59,47,4,77,26,131,22
2020년04월_여_40~49세,"2,601","1,293",145,230,35,136,145,180,76,73,8,97,37,124,22
2020년04월_여_50~59세,"3,773","1,510",265,316,59,248,254,266,167,162,15,160,77,203,71
2020년04월_여_60~69세,"4,195","1,375",350,297,82,362,314,369,245,195,15,237,82,203,69
