카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2020년03월_계_총인구수,"254,441","5,587","25,611","9,620","18,929","4,390","6,315","4,839","3,271","3,287","21,868","6,457","5,662","5,475","6,814","14,308","5,006","15,076","5,998","21,629","29,473","23,262","9,740","1,824",
2020년03월_계_연령구간인구수,"254,441","5,587","25,611","9,620","18,929","4,390","6,315","4,839","3,271","3,287","21,868","6,457","5,662","5,475","6,814","14,308","5,006","15,076","5,998","21,629","29,473","23,262","9,740","1,824",
2020년03월_계_0~9세,"16,710",159,"1,302",374,"1,038",241,297,101,57,70,"2,436",201,253,220,206,494,106,"1,250",375,"2,665","2,746","1,382",666,71,
2020년03월_계_10~19세,"21,618",222,"2,181",504,"1,103",209,343,220,86,138,"2,511",374,364,330,371,918,216,"1,789",351,"2,442","3,883","2,372",596,95,
2020년03월_계_20~29세,"27,482",402,"2,565",799,"1,874",458,620,300,155,199,"2,383",534,542,592,690,"2,074",381,"1,909",509,"2,483","3,819","3,161",859,174,
2020년03월_계_30~39세,"26,182",356,"1,941",713,"2,087",507,518,275,145,170,"3,124",430,578,551,586,"1,373",336,"1,587",554,"3,082","3,415","2,495","1,217",142,
2020년03월_계_40~49세,"37,579",649,"3,521","1,090","2,593",415,753,446,207,338,"3,855",778,705,684,811,"1,901",536,"2,644",781,"3,891","5,542","3,915","1,298",226,
2020년03월_계_50~59세,"46,933","1,051","5,174","1,760","3,856",668,"1,335",935,622,593,"3,486","1,303","1,059",959,"1,238","2,455",907,"2,732","1,050","3,674","5,402","4,561","1,778",335,
2020년03월_계_60~69세,"39,469","1,227","4,295","2,012","3,331",797,"1,255","1,117",915,748,"2,254","1,297","1,012","1,043","1,437","2,665","1,092","1,720","1,122","2,034","2,844","3,201","1,670",381,
2020년03월_계_70~79세,"24,064",944,"2,877","1,441","1,837",608,739,820,657,645,"1,137",891,728,735,990,"1,722",862,905,778,860,"1,135","1,481","1,010",262,
2020년03월_계_80~89세,"12,677",503,"1,580",817,"1,060",424,381,563,367,349,603,570,373,322,418,628,502,479,416,429,599,626,555,113,
2020년03월_계_90~99세,"1,637",72,164,102,144,61,73,59,57,35,77,77,46,31,57,76,60,60,61,65,85,67,85,23,
2020년03월_계_100세 이상,90,2,11,8,6,2,1,3,3,2,2,2,2,8,10,2,8,1,1,4,3,1,6,2,
2020년03월_남_총인구수,"127,506","2,797","12,764","4,893","10,012","2,289","3,358","2,425","1,617","1,648","10,797","3,295","2,947","2,720","3,308","7,101","2,455","7,558","2,990","10,621","14,565","11,623","4,815",908,
2020년03월_남_연령구간인구수,"127,506","2,797","12,764","4,893","10,012","2,289","3,358","2,425","1,617","1,648","10,797","3,295","2,947","2,720","3,308","7,101","2,455","7,558","2,990","10,621","14,565","11,623","4,815",908,
2020년03월_남_0~9세,"8,547",86,677,189,513,121,161,50,31,39,"1,261",92,135,107,94,269,55,634,196,"1,357","1,410",692,344,34,
2020년03월_남_10~19세,"11,323",119,"1,097",282,586,130,184,110,44,90,"1,270",199,191,183,202,469,102,964,193,"1,227","2,078","1,250",314,39,
2020년03월_남_20~29세,"15,558",246,"1,482",507,"1,121",277,404,177,96,116,"1,284",311,301,329,375,"1,177",223,"1,064",311,"1,358","2,095","1,774",443,87,
2020년03월_남_30~39세,"13,902",212,"1,032",423,"1,225",306,307,178,78,93,"1,534",254,334,302,342,804,190,792,279,"1,510","1,649","1,323",652,83,
2020년03월_남_40~49세,"19,667",413,"1,841",631,"1,579",271,446,253,120,209,"1,905",459,408,389,459,"1,022",310,"1,280",426,"1,928","2,560","1,927",709,122,
2020년03월_남_50~59세,"24,236",564,"2,716",943,"2,098",398,746,530,317,329,"1,724",721,574,493,634,"1,182",505,"1,404",562,"1,756","2,698","2,241",918,183,
2020년03월_남_60~69세,"19,358",602,"2,115",990,"1,719",403,640,573,482,364,"1,117",661,525,466,633,"1,178",541,847,527,"1,016","1,420","1,546",802,191,
2020년03월_남_70~79세,"10,604",379,"1,272",617,849,257,334,371,315,286,514,408,343,328,409,751,360,397,350,342,489,662,445,126,
2020년03월_남_80~89세,"3,960",162,497,289,293,119,123,168,121,116,179,169,125,116,144,232,152,162,128,113,154,192,170,36,
2020년03월_남_90~99세,330,14,33,21,26,7,13,14,12,5,8,21,11,4,14,16,14,14,18,14,12,15,18,6,
2020년03월_남_100세 이상,21,0,2,1,3,0,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1,
2020년03월_여_총인구수,"126,935","2,790","12,847","4,727","8,917","2,101","2,957","2,414","1,654","1,639","11,071","3,162","2,715","2,755","3,506","7,207","2,551","7,518","3,008","11,008","14,908","11,639","4,925",916,
2020년03월_여_연령구간인구수,"126,935","2,790","12,847","4,727","8,917","2,101","2,957","2,414","1,654","1,639","11,071","3,162","2,715","2,755","3,506","7,207","2,551","7,518","3,008","11,008","14,908","11,639","4,925",916,
2020년03월_여_0~9세,"8,163",73,625,185,525,120,136,51,26,31,"1,175",109,118,113,112,225,51,616,179,"1,308","1,336",690,322,37,
2020년03월_여_10~19세,"10,295",103,"1,084",222,517,79,159,110,42,48,"1,241",175,173,147,169,449,114,825,158,"1,215","1,805","1,122",282,56,
2020년03월_여_20~29세,"11,924",156,"1,083",292,753,181,216,123,59,83,"1,099",223,241,263,315,897,158,845,198,"1,125","1,724","1,387",416,87,
2020년03월_여_30~39세,"12,280",144,909,290,862,201,211,97,67,77,"1,590",176,244,249,244,569,146,795,275,"1,572","1,766","1,172",565,59,
2020년03월_여_40~49세,"17,912",236,"1,680",459,"1,014",144,307,193,87,129,"1,950",319,297,295,352,879,226,"1,364",355,"1,963","2,982","1,988",589,104,
2020년03월_여_50~59세,"22,697",487,"2,458",817,"1,758",270,589,405,305,264,"1,762",582,485,466,604,"1,273",402,"1,328",488,"1,918","2,704","2,320",860,152,
