카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년03월_계_총인구수,"48,957","14,112","2,896","6,629",709,"2,778","2,609","1,771","6,539","7,574","1,280","2,060"
2020년03월_계_연령구간인구수,"48,957","14,112","2,896","6,629",709,"2,778","2,609","1,771","6,539","7,574","1,280","2,060"
2020년03월_계_0~9세,"2,975","1,146",72,764,6,123,58,46,319,369,24,48
2020년03월_계_10~19세,"3,892","1,714",255,463,30,130,103,66,420,583,41,87
2020년03월_계_20~29세,"4,509","1,521",183,761,48,199,182,117,698,657,43,100
2020년03월_계_30~39세,"4,455","1,472",161,"1,141",25,184,125,69,605,545,46,82
2020년03월_계_40~49세,"6,435","2,384",249,926,64,311,174,162,880,977,133,175
2020년03월_계_50~59세,"8,756","2,369",481,"1,050",152,510,483,281,"1,306","1,468",298,358
2020년03월_계_60~69세,"7,846","1,660",539,733,138,523,550,360,"1,106","1,517",290,430
2020년03월_계_70~79세,"5,723","1,076",528,466,128,409,462,354,732,961,228,379
2020년03월_계_80~89세,"3,755",654,363,282,104,331,397,279,418,427,159,341
2020년03월_계_90~99세,591,114,62,39,14,57,73,37,51,69,16,59
2020년03월_계_100세 이상,20,2,3,4,0,1,2,0,4,1,2,1
2020년03월_남_총인구수,"24,487","7,103","1,406","3,470",368,"1,384","1,229",861,"3,346","3,729",628,963
2020년03월_남_연령구간인구수,"24,487","7,103","1,406","3,470",368,"1,384","1,229",861,"3,346","3,729",628,963
2020년03월_남_0~9세,"1,508",612,41,368,4,68,27,19,148,189,11,21
2020년03월_남_10~19세,"2,128",905,184,250,14,65,46,41,233,320,24,46
2020년03월_남_20~29세,"2,640",846,104,447,30,130,127,67,425,383,24,57
2020년03월_남_30~39세,"2,429",757,98,625,16,101,75,47,344,285,30,51
2020년03월_남_40~49세,"3,561","1,210",138,539,46,185,100,92,513,548,71,119
2020년03월_남_50~59세,"4,711","1,269",268,587,99,283,268,155,679,744,161,198
2020년03월_남_60~69세,"3,831",806,237,363,77,272,267,182,566,695,155,211
2020년03월_남_70~79세,"2,450",456,210,213,49,160,195,160,319,431,98,159
2020년03월_남_80~89세,"1,137",225,117,76,32,111,115,90,110,123,46,92
2020년03월_남_90~99세,90,17,9,2,1,9,9,8,8,11,7,9
2020년03월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년03월_여_총인구수,"24,470","7,009","1,490","3,159",341,"1,394","1,380",910,"3,193","3,845",652,"1,097"
2020년03월_여_연령구간인구수,"24,470","7,009","1,490","3,159",341,"1,394","1,380",910,"3,193","3,845",652,"1,097"
2020년03월_여_0~9세,"1,467",534,31,396,2,55,31,27,171,180,13,27
2020년03월_여_10~19세,"1,764",809,71,213,16,65,57,25,187,263,17,41
2020년03월_여_20~29세,"1,869",675,79,314,18,69,55,50,273,274,19,43
2020년03월_여_30~39세,"2,026",715,63,516,9,83,50,22,261,260,16,31
2020년03월_여_40~49세,"2,874","1,174",111,387,18,126,74,70,367,429,62,56
2020년03월_여_50~59세,"4,045","1,100",213,463,53,227,215,126,627,724,137,160
2020년03월_여_60~69세,"4,015",854,302,370,61,251,283,178,540,822,135,219
2020년03월_여_70~79세,"3,273",620,318,253,79,249,267,194,413,530,130,220
2020년03월_여_80~89세,"2,618",429,246,206,72,220,282,189,308,304,113,249
2020년03월_여_90~99세,501,97,53,37,13,48,64,29,43,58,9,50
2020년03월_여_100세 이상,18,2,3,4,0,1,2,0,3,1,1,1
2020년04월_계_총인구수,"48,834","14,080","2,883","6,638",709,"2,769","2,604","1,766","6,505","7,548","1,277","2,055"
2020년04월_계_연령구간인구수,"48,834","14,080","2,883","6,638",709,"2,769","2,604","1,766","6,505","7,548","1,277","2,055"
2020년04월_계_0~9세,"2,949","1,137",66,761,6,120,58,46,307,374,24,50
2020년04월_계_10~19세,"3,874","1,696",249,471,30,133,101,67,420,576,41,90
2020년04월_계_20~29세,"4,489","1,527",184,743,45,201,185,116,703,647,40,98
2020년04월_계_30~39세,"4,418","1,466",160,"1,149",26,175,124,66,582,542,46,82
2020년04월_계_40~49세,"6,395","2,375",247,930,63,304,172,157,873,972,128,174
2020년04월_계_50~59세,"8,727","2,372",483,"1,055",152,516,476,281,"1,294","1,443",298,357
2020년04월_계_60~69세,"7,873","1,658",539,739,139,520,553,362,"1,121","1,524",294,424
2020년04월_계_70~79세,"5,721","1,077",526,458,127,412,457,354,734,971,228,377
2020년04월_계_80~89세,"3,773",655,365,288,109,330,399,280,417,428,159,343
2020년04월_계_90~99세,596,115,62,40,12,57,77,37,50,70,17,59
2020년04월_계_100세 이상,19,2,2,4,0,1,2,0,4,1,2,1
2020년04월_남_총인구수,"24,410","7,086","1,398","3,480",368,"1,378","1,223",858,"3,325","3,708",627,959
2020년04월_남_연령구간인구수,"24,410","7,086","1,398","3,480",368,"1,378","1,223",858,"3,325","3,708",627,959
2020년04월_남_0~9세,"1,495",603,39,371,4,67,27,19,142,189,11,23
2020년04월_남_10~19세,"2,107",890,179,254,14,66,46,41,233,313,24,47
2020년04월_남_20~29세,"2,642",859,103,439,27,132,129,66,428,380,23,56
2020년04월_남_30~39세,"2,408",758,98,628,18,96,74,46,327,281,30,52
2020년04월_남_40~49세,"3,536","1,198",139,540,45,182,97,88,513,549,68,117
2020년04월_남_50~59세,"4,683","1,271",265,590,100,285,264,155,669,729,159,196
2020년04월_남_60~69세,"3,846",806,241,367,76,271,267,184,572,694,160,208
2020년04월_남_70~79세,"2,456",457,208,211,49,160,195,160,322,437,98,159
2020년04월_남_80~89세,"1,147",228,118,78,34,110,115,91,110,125,45,93
2020년04월_남_90~99세,88,16,8,2,1,9,9,8,8,11,8,8
2020년04월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년04월_여_총인구수,"24,424","6,994","1,485","3,158",341,"1,391","1,381",908,"3,180","3,840",650,"1,096"
