카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면,강원도 영월군 산솔면
2020년02월_남_연령구간인구수,"20,145","10,883",582,776,905,"1,134","1,204",718,950,"1,978","1,015",
2020년02월_남_0~9세,927,729,14,12,17,19,24,21,22,46,23,
2020년02월_남_10~19세,"1,610","1,194",17,26,40,42,55,31,36,129,40,
2020년02월_남_20~29세,"1,943","1,335",31,46,60,81,75,72,62,132,49,
2020년02월_남_30~39세,"1,630","1,049",31,43,34,70,87,50,84,132,50,
2020년02월_남_40~49세,"2,710","1,614",77,91,92,140,150,92,121,222,111,
2020년02월_남_50~59세,"4,115","2,068",141,188,237,255,251,167,205,391,212,
2020년02월_남_60~69세,"3,977","1,585",133,215,243,286,334,160,215,509,297,
2020년02월_남_70~79세,"2,217",905,90,110,132,160,153,84,136,270,177,
2020년02월_남_80~89세,914,366,44,40,47,74,63,39,61,131,49,
2020년02월_남_90~99세,88,33,3,4,3,4,10,2,8,14,7,
2020년02월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0,
2020년02월_여_총인구수,"18,824","10,379",529,699,852,"1,040","1,083",560,810,"1,881",991,
2020년02월_여_연령구간인구수,"18,824","10,379",529,699,852,"1,040","1,083",560,810,"1,881",991,
2020년02월_여_0~9세,805,612,6,11,14,21,30,21,20,50,20,
2020년02월_여_10~19세,"1,376",991,15,33,43,47,41,27,46,91,42,
2020년02월_여_20~29세,"1,448","1,027",20,28,33,53,50,37,41,112,47,
2020년02월_여_30~39세,"1,331",970,22,18,32,50,43,34,32,83,47,
2020년02월_여_40~49세,"2,162","1,485",33,48,77,80,87,57,63,162,70,
2020년02월_여_50~59세,"3,426","1,749",102,151,204,197,200,108,144,361,210,
2020년02월_여_60~69세,"3,691","1,601",129,154,209,247,275,131,192,453,300,
2020년02월_여_70~79세,"2,669","1,185",121,155,129,197,189,78,154,295,166,
2020년02월_여_80~89세,"1,646",648,72,90,92,126,146,58,102,238,74,
2020년02월_여_90~99세,236,97,9,11,16,19,19,8,15,29,13,
2020년02월_여_100세 이상,34,14,0,0,3,3,3,1,1,7,2,
2020년03월_계_총인구수,"38,938","21,254","1,106","1,481","1,752","2,161","2,296","1,279","1,763","3,845","2,001",
2020년03월_계_연령구간인구수,"38,938","21,254","1,106","1,481","1,752","2,161","2,296","1,279","1,763","3,845","2,001",
2020년03월_계_0~9세,"1,738","1,344",20,24,32,37,54,40,44,99,44,
2020년03월_계_10~19세,"2,987","2,203",32,59,78,83,97,57,81,214,83,
2020년03월_계_20~29세,"3,360","2,334",50,73,95,135,127,109,107,237,93,
2020년03월_계_30~39세,"2,939","2,005",55,65,62,116,125,84,115,215,97,
2020년03월_계_40~49세,"4,826","3,075",108,133,172,213,238,148,180,376,183,
2020년03월_계_50~59세,"7,497","3,797",236,345,435,457,449,277,347,747,407,
2020년03월_계_60~69세,"7,744","3,226",262,367,452,534,619,296,414,973,601,
2020년03월_계_70~79세,"4,892","2,100",211,265,264,353,343,159,288,561,348,
2020년03월_계_80~89세,"2,572","1,015",119,134,139,203,208,98,161,372,123,
2020년03월_계_90~99세,335,136,12,15,20,24,31,10,25,42,20,
2020년03월_계_100세 이상,48,19,1,1,3,6,5,1,1,9,2,
2020년03월_남_총인구수,"20,110","10,872",573,777,906,"1,125","1,208",718,953,"1,967","1,011",
2020년03월_남_연령구간인구수,"20,110","10,872",573,777,906,"1,125","1,208",718,953,"1,967","1,011",
2020년03월_남_0~9세,927,727,14,12,18,17,24,21,24,48,22,
2020년03월_남_10~19세,"1,604","1,196",17,26,40,37,56,30,35,126,41,
2020년03월_남_20~29세,"1,919","1,320",31,45,57,82,77,71,64,124,48,
2020년03월_남_30~39세,"1,625","1,051",30,47,33,67,82,50,84,131,50,
2020년03월_남_40~49세,"2,673","1,596",74,85,95,136,151,90,117,216,113,
2020년03월_남_50~59세,"4,108","2,061",136,192,237,259,251,169,207,392,204,
2020년03월_남_60~69세,"4,011","1,605",132,212,240,289,339,163,219,513,299,
2020년03월_남_70~79세,"2,221",910,90,110,136,157,154,83,133,269,179,
2020년03월_남_80~89세,915,366,45,43,46,74,62,39,60,132,48,
2020년03월_남_90~99세,93,35,3,4,4,4,10,2,10,14,7,
2020년03월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0,
2020년03월_여_총인구수,"18,828","10,382",533,704,846,"1,036","1,088",561,810,"1,878",990,
2020년03월_여_연령구간인구수,"18,828","10,382",533,704,846,"1,036","1,088",561,810,"1,878",990,
2020년03월_여_0~9세,811,617,6,12,14,20,30,19,20,51,22,
2020년03월_여_10~19세,"1,383","1,007",15,33,38,46,41,27,46,88,42,
2020년03월_여_20~29세,"1,441","1,014",19,28,38,53,50,38,43,113,45,
2020년03월_여_30~39세,"1,314",954,25,18,29,49,43,34,31,84,47,
2020년03월_여_40~49세,"2,153","1,479",34,48,77,77,87,58,63,160,70,
2020년03월_여_50~59세,"3,389","1,736",100,153,198,198,198,108,140,355,203,
2020년03월_여_60~69세,"3,733","1,621",130,155,212,245,280,133,195,460,302,
2020년03월_여_70~79세,"2,671","1,190",121,155,128,196,189,76,155,292,169,
2020년03월_여_80~89세,"1,657",649,74,91,93,129,146,59,101,240,75,
2020년03월_여_90~99세,242,101,9,11,16,20,21,8,15,28,13,
2020년03월_여_100세 이상,34,14,0,0,3,3,3,1,1,7,2,
2020년04월_계_총인구수,"38,762","21,149","1,103","1,475","1,743","2,155","2,287","1,271","1,758","3,817","2,004",
2020년04월_계_연령구간인구수,"38,762","21,149","1,103","1,475","1,743","2,155","2,287","1,271","1,758","3,817","2,004",
2020년04월_계_0~9세,"1,729","1,340",20,23,31,35,52,40,45,99,44,
2020년04월_계_10~19세,"2,965","2,189",32,56,79,83,98,59,80,206,83,
2020년04월_계_20~29세,"3,304","2,294",50,71,93,137,123,103,107,233,93,
2020년04월_계_30~39세,"2,900","1,986",53,63,60,112,124,82,114,208,98,
2020년04월_계_40~49세,"4,777","3,055",108,130,168,209,236,147,180,365,179,
2020년04월_계_50~59세,"7,471","3,783",234,348,432,458,448,276,343,744,405,
2020년04월_계_60~69세,"7,755","3,232",263,366,452,535,617,296,413,976,605,
2020년04월_계_70~79세,"4,899","2,095",212,268,264,350,347,159,290,562,352,
2020년04월_계_80~89세,"2,578","1,021",118,134,141,206,206,97,160,372,123,
2020년04월_계_90~99세,335,135,12,15,20,24,31,11,25,42,20,
2020년04월_계_100세 이상,49,19,1,1,3,6,5,1,1,10,2,
2020년04월_남_총인구수,"20,002","10,807",571,773,899,"1,123","1,201",714,949,"1,954","1,011",
2020년04월_남_연령구간인구수,"20,002","10,807",571,773,899,"1,123","1,201",714,949,"1,954","1,011",
2020년04월_남_0~9세,918,723,14,12,17,16,22,21,24,48,21,
2020년04월_남_10~19세,"1,589","1,184",17,25,41,37,56,31,35,123,40,
2020년04월_남_20~29세,"1,885","1,300",31,44,55,83,73,67,63,122,47,
2020년04월_남_30~39세,"1,598","1,038",29,44,31,65,83,48,84,128,48,
2020년04월_남_40~49세,"2,652","1,586",75,84,94,132,148,89,118,213,113,
2020년04월_남_50~59세,"4,085","2,050",135,194,233,261,249,171,203,387,202,
2020년04월_남_60~69세,"4,021","1,610",130,211,241,290,340,162,218,515,304,
2020년04월_남_70~79세,"2,232",912,92,111,136,155,157,83,134,271,181,
2020년04월_남_80~89세,915,365,44,43,47,77,62,39,60,130,48,
2020년04월_남_90~99세,93,34,3,4,4,4,9,3,10,15,7,
2020년04월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0,
2020년04월_여_총인구수,"18,760","10,342",532,702,844,"1,032","1,086",557,809,"1,863",993,
2020년04월_여_연령구간인구수,"18,760","10,342",532,702,844,"1,032","1,086",557,809,"1,863",993,
2020년04월_여_0~9세,811,617,6,11,14,19,30,19,21,51,23,
2020년04월_여_10~19세,"1,376","1,005",15,31,38,46,42,28,45,83,43,
2020년04월_여_20~29세,"1,419",994,19,27,38,54,50,36,44,111,46,
2020년04월_여_30~39세,"1,302",948,24,19,29,47,41,34,30,80,50,
2020년04월_여_40~49세,"2,125","1,469",33,46,74,77,88,58,62,152,66,
2020년04월_여_50~59세,"3,386","1,733",99,154,199,197,199,105,140,357,203,
2020년04월_여_60~69세,"3,734","1,622",133,155,211,245,277,134,195,461,301,
2020년04월_여_70~79세,"2,667","1,183",120,157,128,195,190,76,156,291,171,
2020년04월_여_80~89세,"1,663",656,74,91,94,129,144,58,100,242,75,
2020년04월_여_90~99세,242,101,9,11,16,20,22,8,15,27,13,
2020년04월_여_100세 이상,35,14,0,0,3,3,3,1,1,8,2,
2020년05월_계_총인구수,"38,759","21,165","1,099","1,480","1,746","2,155","2,277","1,266","1,749","3,809","2,013",
2020년05월_계_연령구간인구수,"38,759","21,165","1,099","1,480","1,746","2,155","2,277","1,266","1,749","3,809","2,013",
2020년05월_계_0~9세,"1,727","1,340",20,24,30,35,53,40,44,98,43,
2020년05월_계_10~19세,"2,943","2,173",32,57,80,84,97,54,79,203,84,
2020년05월_계_20~29세,"3,317","2,329",48,69,93,134,115,105,107,229,88,
2020년05월_계_30~39세,"2,876","1,962",53,64,62,110,127,81,111,203,103,
2020년05월_계_40~49세,"4,745","3,049",102,126,168,209,229,145,175,359,183,
2020년05월_계_50~59세,"7,465","3,786",236,353,425,455,444,274,340,748,404,
2020년05월_계_60~69세,"7,807","3,248",264,366,458,539,625,298,418,980,611,
2020년05월_계_70~79세,"4,888","2,093",211,268,261,350,344,159,292,560,350,
2020년05월_계_80~89세,"2,606","1,030",120,137,145,209,207,97,157,378,126,
2020년05월_계_90~99세,336,136,12,15,21,24,31,12,25,41,19,
2020년05월_계_100세 이상,49,19,1,1,3,6,5,1,1,10,2,
2020년05월_남_총인구수,"19,996","10,812",568,774,902,"1,123","1,194",712,945,"1,950","1,016",
2020년05월_남_연령구간인구수,"19,996","10,812",568,774,902,"1,123","1,194",712,945,"1,950","1,016",
2020년05월_남_0~9세,920,725,14,12,17,16,23,21,24,47,21,
2020년05월_남_10~19세,"1,578","1,179",17,25,41,37,55,29,35,120,40,
2020년05월_남_20~29세,"1,891","1,315",29,44,55,81,69,69,63,121,45,
2020년05월_남_30~39세,"1,578","1,023",29,43,33,65,82,47,82,124,50,
2020년05월_남_40~49세,"2,630","1,582",69,82,94,131,144,90,116,208,114,
2020년05월_남_50~59세,"4,085","2,055",138,198,228,257,246,167,201,393,202,
2020년05월_남_60~69세,"4,055","1,614",132,209,246,296,345,163,221,520,309,
2020년05월_남_70~79세,"2,226",912,91,112,134,154,157,84,134,269,179,
2020년05월_남_80~89세,925,369,45,44,49,78,62,39,59,131,49,
2020년05월_남_90~99세,94,33,3,4,5,5,9,3,10,15,7,
2020년05월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0,
2020년05월_여_총인구수,"18,763","10,353",531,706,844,"1,032","1,083",554,804,"1,859",997,
2020년05월_여_연령구간인구수,"18,763","10,353",531,706,844,"1,032","1,083",554,804,"1,859",997,
2020년05월_여_0~9세,807,615,6,12,13,19,30,19,20,51,22,
2020년05월_여_10~19세,"1,365",994,15,32,39,47,42,25,44,83,44,
2020년05월_여_20~29세,"1,426","1,014",19,25,38,53,46,36,44,108,43,
2020년05월_여_30~39세,"1,298",939,24,21,29,45,45,34,29,79,53,
2020년05월_여_40~49세,"2,115","1,467",33,44,74,78,85,55,59,151,69,
2020년05월_여_50~59세,"3,380","1,731",98,155,197,198,198,107,139,355,202,
2020년05월_여_60~69세,"3,752","1,634",132,157,212,243,280,135,197,460,302,
2020년05월_여_70~79세,"2,662","1,181",120,156,127,196,187,75,158,291,171,
2020년05월_여_80~89세,"1,681",661,75,93,96,131,145,58,98,247,77,
2020년05월_여_90~99세,242,103,9,11,16,19,22,9,15,26,12,
2020년05월_여_100세 이상,35,14,0,0,3,3,3,1,1,8,2,
2020년06월_계_총인구수,"38,840","21,224","1,103","1,484","1,751","2,159","2,272","1,272","1,749","3,806","2,020",
2020년06월_계_연령구간인구수,"38,840","21,224","1,103","1,484","1,751","2,159","2,272","1,272","1,749","3,806","2,020",
2020년06월_계_0~9세,"1,720","1,331",20,24,30,35,51,40,47,97,45,
2020년06월_계_10~19세,"3,008","2,240",31,57,80,81,96,54,78,206,85,
2020년06월_계_20~29세,"3,290","2,322",43,69,95,135,116,103,104,220,83,
2020년06월_계_30~39세,"2,867","1,964",52,63,60,105,125,86,108,201,103,
2020년06월_계_40~49세,"4,745","3,041",105,122,171,210,228,147,177,358,186,
2020년06월_계_50~59세,"7,451","3,777",240,357,419,458,448,273,337,741,401,
2020년06월_계_60~69세,"7,866","3,260",267,370,464,548,622,298,421,998,618,
2020년06월_계_70~79세,"4,896","2,099",211,269,263,349,342,162,292,556,353,
2020년06월_계_80~89세,"2,602","1,032",118,137,144,209,207,96,157,377,125,
2020년06월_계_90~99세,345,139,14,15,22,23,32,12,27,42,19,
2020년06월_계_100세 이상,50,19,2,1,3,6,5,1,1,10,2,
2020년06월_남_총인구수,"20,054","10,852",568,777,905,"1,129","1,190",714,945,"1,955","1,019",
2020년06월_남_연령구간인구수,"20,054","10,852",568,777,905,"1,129","1,190",714,945,"1,955","1,019",
2020년06월_남_0~9세,919,722,14,12,17,16,22,22,25,47,22,
2020년06월_남_10~19세,"1,622","1,224",16,25,41,35,54,28,35,123,41,
2020년06월_남_20~29세,"1,878","1,312",25,44,56,82,70,67,59,120,43,
2020년06월_남_30~39세,"1,562","1,017",28,43,32,63,81,49,79,121,49,
2020년06월_남_40~49세,"2,628","1,577",70,79,96,130,144,90,119,208,115,
2020년06월_남_50~59세,"4,091","2,047",140,202,226,260,250,167,202,395,202,
2020년06월_남_60~69세,"4,088","1,631",134,211,248,303,342,165,221,524,309,
2020년06월_남_70~79세,"2,230",913,92,112,135,154,155,84,135,269,181,
2020년06월_남_80~89세,926,370,44,44,49,78,61,39,60,131,50,
2020년06월_남_90~99세,96,34,4,4,5,5,9,3,10,15,7,
2020년06월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0,
2020년06월_여_총인구수,"18,786","10,372",535,707,846,"1,030","1,082",558,804,"1,851","1,001",
2020년06월_여_연령구간인구수,"18,786","10,372",535,707,846,"1,030","1,082",558,804,"1,851","1,001",
2020년06월_여_0~9세,801,609,6,12,13,19,29,18,22,50,23,
2020년06월_여_10~19세,"1,386","1,016",15,32,39,46,42,26,43,83,44,
2020년06월_여_20~29세,"1,412","1,010",18,25,39,53,46,36,45,100,40,
2020년06월_여_30~39세,"1,305",947,24,20,28,42,44,37,29,80,54,
2020년06월_여_40~49세,"2,117","1,464",35,43,75,80,84,57,58,150,71,
2020년06월_여_50~59세,"3,360","1,730",100,155,193,198,198,106,135,346,199,
2020년06월_여_60~69세,"3,778","1,629",133,159,216,245,280,133,200,474,309,
2020년06월_여_70~79세,"2,666","1,186",119,157,128,195,187,78,157,287,172,
2020년06월_여_80~89세,"1,676",662,74,93,95,131,146,57,97,246,75,
2020년06월_여_90~99세,249,105,10,11,17,18,23,9,17,27,12,
2020년06월_여_100세 이상,36,14,1,0,3,3,3,1,1,8,2,
2020년07월_계_총인구수,"38,818","21,220","1,099","1,481","1,753","2,168","2,273","1,266","1,743","3,792","2,023",
2020년07월_계_연령구간인구수,"38,818","21,220","1,099","1,481","1,753","2,168","2,273","1,266","1,743","3,792","2,023",
2020년07월_계_0~9세,"1,714","1,332",20,23,29,35,50,41,45,95,44,
2020년07월_계_10~19세,"2,995","2,222",32,57,81,82,95,54,76,209,87,
2020년07월_계_20~29세,"3,304","2,336",43,69,95,135,117,103,105,218,83,
2020년07월_계_30~39세,"2,859","1,955",53,63,62,107,124,85,105,202,103,
2020년07월_계_40~49세,"4,722","3,032",103,122,168,209,228,144,180,350,186,
2020년07월_계_50~59세,"7,436","3,782",236,353,419,456,449,273,334,736,398,
2020년07월_계_60~69세,"7,883","3,259",267,373,466,558,623,297,421,"1,000",619,
2020년07월_계_70~79세,"4,892","2,108",207,267,262,348,345,159,289,553,354,
2020년07월_계_80~89세,"2,615","1,033",121,138,146,209,206,97,160,377,128,
2020년07월_계_90~99세,348,142,15,15,22,23,31,12,27,42,19,
2020년07월_계_100세 이상,50,19,2,1,3,6,5,1,1,10,2,
2020년07월_남_총인구수,"20,048","10,855",567,775,904,"1,135","1,193",709,940,"1,948","1,022",
2020년07월_남_연령구간인구수,"20,048","10,855",567,775,904,"1,135","1,193",709,940,"1,948","1,022",
2020년07월_남_0~9세,913,718,15,12,16,16,21,22,25,47,21,
2020년07월_남_10~19세,"1,608","1,212",16,24,41,35,53,28,33,123,43,
2020년07월_남_20~29세,"1,896","1,327",25,45,56,82,71,68,61,118,43,
2020년07월_남_30~39세,"1,564","1,017",29,43,33,65,80,48,77,123,49,
2020년07월_남_40~49세,"2,607","1,563",68,79,93,131,145,87,120,203,118,
2020년07월_남_50~59세,"4,090","2,058",139,200,227,260,250,166,201,390,199,
2020년07월_남_60~69세,"4,103","1,640",134,212,248,307,343,166,218,526,309,
2020년07월_남_70~79세,"2,226",913,91,112,135,153,159,82,135,266,180,
2020년07월_남_80~89세,931,368,45,43,50,78,60,39,60,135,53,
2020년07월_남_90~99세,96,34,4,4,5,5,9,3,10,15,7,
2020년07월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0,
2020년07월_여_총인구수,"18,770","10,365",532,706,849,"1,033","1,080",557,803,"1,844","1,001",
2020년07월_여_연령구간인구수,"18,770","10,365",532,706,849,"1,033","1,080",557,803,"1,844","1,001",
2020년07월_여_0~9세,801,614,5,11,13,19,29,19,20,48,23,
2020년07월_여_10~19세,"1,387","1,010",16,33,40,47,42,26,43,86,44,
2020년07월_여_20~29세,"1,408","1,009",18,24,39,53,46,35,44,100,40,
2020년07월_여_30~39세,"1,295",938,24,20,29,42,44,37,28,79,54,
2020년07월_여_40~49세,"2,115","1,469",35,43,75,78,83,57,60,147,68,
2020년07월_여_50~59세,"3,346","1,724",97,153,192,196,199,107,133,346,199,
2020년07월_여_60~69세,"3,780","1,619",133,161,218,251,280,131,203,474,310,
2020년07월_여_70~79세,"2,666","1,195",116,155,127,195,186,77,154,287,174,
2020년07월_여_80~89세,"1,684",665,76,95,96,131,146,58,100,242,75,
2020년07월_여_90~99세,252,108,11,11,17,18,22,9,17,27,12,
2020년07월_여_100세 이상,36,14,1,0,3,3,3,1,1,8,2,
2020년08월_계_총인구수,"38,773","21,180","1,094","1,480","1,752","2,170","2,268","1,272","1,747","3,796","2,014",
2020년08월_계_연령구간인구수,"38,773","21,180","1,094","1,480","1,752","2,170","2,268","1,272","1,747","3,796","2,014",
2020년08월_계_0~9세,"1,706","1,328",20,23,28,33,49,41,45,96,43,
2020년08월_계_10~19세,"2,971","2,194",32,58,79,84,94,54,76,216,84,
2020년08월_계_20~29세,"3,302","2,341",42,69,95,132,118,105,105,215,80,
2020년08월_계_30~39세,"2,850","1,938",52,60,60,112,125,88,109,205,101,
2020년08월_계_40~49세,"4,682","3,014",101,120,169,204,226,141,176,347,184,
2020년08월_계_50~59세,"7,424","3,777",234,351,417,457,442,270,333,740,403,
2020년08월_계_60~69세,"7,931","3,279",268,378,472,558,629,306,426,999,616,
2020년08월_계_70~79세,"4,885","2,110",207,267,261,351,340,160,291,548,350,
2020년08월_계_80~89세,"2,624","1,036",122,138,147,209,210,94,158,378,132,
2020년08월_계_90~99세,347,144,14,15,21,24,30,12,27,41,19,
2020년08월_계_100세 이상,51,19,2,1,3,6,5,1,1,11,2,
2020년08월_남_총인구수,"20,023","10,835",562,772,903,"1,136","1,192",714,941,"1,948","1,020",
2020년08월_남_연령구간인구수,"20,023","10,835",562,772,903,"1,136","1,192",714,941,"1,948","1,020",
2020년08월_남_0~9세,908,716,15,12,15,15,20,22,25,47,21,
2020년08월_남_10~19세,"1,599","1,195",17,25,40,36,54,29,33,127,43,
2020년08월_남_20~29세,"1,900","1,330",24,45,57,82,72,70,61,118,41,
2020년08월_남_30~39세,"1,559","1,008",28,40,33,66,81,49,80,124,50,
2020년08월_남_40~49세,"2,578","1,554",66,78,92,130,143,86,116,199,114,
2020년08월_남_50~59세,"4,093","2,062",139,197,224,261,248,166,200,392,204,
2020년08월_남_60~69세,"4,119","1,647",133,214,251,304,344,169,222,528,307,
2020년08월_남_70~79세,"2,218",914,91,112,134,155,158,83,135,260,176,
2020년08월_남_80~89세,940,370,45,44,52,79,61,37,59,136,57,
2020년08월_남_90~99세,94,34,3,4,5,5,9,3,10,14,7,
2020년08월_남_100세 이상,15,5,1,1,0,3,2,0,0,3,0,
2020년08월_여_총인구수,"18,750","10,345",532,708,849,"1,034","1,076",558,806,"1,848",994,
2020년08월_여_연령구간인구수,"18,750","10,345",532,708,849,"1,034","1,076",558,806,"1,848",994,
2020년08월_여_0~9세,798,612,5,11,13,18,29,19,20,49,22,
2020년08월_여_10~19세,"1,372",999,15,33,39,48,40,25,43,89,41,
2020년08월_여_20~29세,"1,402","1,011",18,24,38,50,46,35,44,97,39,
2020년08월_여_30~39세,"1,291",930,24,20,27,46,44,39,29,81,51,
2020년08월_여_40~49세,"2,104","1,460",35,42,77,74,83,55,60,148,70,
2020년08월_여_50~59세,"3,331","1,715",95,154,193,196,194,104,133,348,199,
2020년08월_여_60~69세,"3,812","1,632",135,164,221,254,285,137,204,471,309,
2020년08월_여_70~79세,"2,667","1,196",116,155,127,196,182,77,156,288,174,
2020년08월_여_80~89세,"1,684",666,77,94,95,130,149,57,99,242,75,
2020년08월_여_90~99세,253,110,11,11,16,19,21,9,17,27,12,
2020년08월_여_100세 이상,36,14,1,0,3,3,3,1,1,8,2,
2020년09월_계_총인구수,"38,698","21,117","1,097","1,478","1,747","2,159","2,272","1,275","1,746","3,795","2,012",
2020년09월_계_연령구간인구수,"38,698","21,117","1,097","1,478","1,747","2,159","2,272","1,275","1,746","3,795","2,012",
2020년09월_계_0~9세,"1,703","1,323",19,25,27,36,49,41,45,95,43,
2020년09월_계_10~19세,"2,936","2,165",31,57,80,85,95,54,74,212,83,
2020년09월_계_20~29세,"3,284","2,328",42,68,93,129,121,104,103,218,78,
2020년09월_계_30~39세,"2,836","1,918",54,64,60,111,123,88,113,203,102,
2020년09월_계_40~49세,"4,654","2,994",102,118,167,204,224,144,178,342,181,
2020년09월_계_50~59세,"7,406","3,779",231,347,414,457,443,266,330,740,399,
2020년09월_계_60~69세,"7,962","3,296",274,378,474,553,632,309,425,"1,004",617,
2020년09월_계_70~79세,"4,874","2,113",205,262,262,347,339,159,290,548,349,
2020년09월_계_80~89세,"2,643","1,039",124,143,146,207,209,97,159,381,138,
2020년09월_계_90~99세,347,142,13,15,21,23,32,12,28,41,20,
2020년09월_계_100세 이상,53,20,2,1,3,7,5,1,1,11,2,
2020년09월_남_총인구수,"19,987","10,799",571,768,901,"1,129","1,195",713,940,"1,947","1,024",
