카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년01월_계_총인구수,"302,832","26,013","30,698","20,669","15,815","20,552","24,095","29,390","20,139","31,263","21,943","35,480","26,775"
2020년01월_계_연령구간인구수,"302,832","26,013","30,698","20,669","15,815","20,552","24,095","29,390","20,139","31,263","21,943","35,480","26,775"
2020년01월_계_0~9세,"20,347","1,500","2,157",936,645,"1,084","1,618","2,085","1,021","2,285","1,677","2,054","3,285"
2020년01월_계_10~19세,"28,469","2,471","2,948","1,451","1,089","1,807","2,777","2,989","1,517","3,577","1,924","3,092","2,827"
2020년01월_계_20~29세,"45,884","3,827","4,503","3,262","2,547","3,622","4,171","4,465","3,028","4,795","3,165","5,519","2,980"
2020년01월_계_30~39세,"39,610","3,010","3,878","2,705","1,989","2,909","2,748","3,848","2,734","3,964","2,902","4,633","4,290"
2020년01월_계_40~49세,"47,950","3,869","4,690","2,998","2,183","2,933","4,158","4,671","2,778","5,477","3,372","5,623","5,198"
2020년01월_계_50~59세,"62,113","5,455","6,326","4,541","3,505","4,617","5,361","5,933","4,289","6,415","4,361","7,291","4,019"
2020년01월_계_60~69세,"35,385","3,538","3,856","2,903","2,388","2,369","2,048","3,407","2,895","2,782","2,601","4,050","2,548"
2020년01월_계_70~79세,"15,059","1,541","1,613","1,265",976,739,642,"1,324","1,281","1,226","1,267","2,062","1,123"
2020년01월_계_80~89세,"6,940",686,660,551,413,405,474,576,512,636,590,998,439
2020년01월_계_90~99세,"1,014",104,63,51,76,63,96,88,77,100,82,149,65
2020년01월_계_100세 이상,61,12,4,6,4,4,2,4,7,6,2,9,1
2020년01월_남_총인구수,"151,252","13,141","15,515","10,745","7,887","9,945","12,116","14,514","10,094","15,599","10,849","17,632","13,215"
2020년01월_남_연령구간인구수,"151,252","13,141","15,515","10,745","7,887","9,945","12,116","14,514","10,094","15,599","10,849","17,632","13,215"
2020년01월_남_0~9세,"10,349",743,"1,094",509,322,578,801,"1,042",525,"1,134",861,"1,034","1,706"
2020년01월_남_10~19세,"14,712","1,330","1,523",763,553,952,"1,435","1,529",779,"1,813","1,002","1,601","1,432"
2020년01월_남_20~29세,"23,967","2,026","2,407","1,730","1,337","1,848","2,123","2,367","1,568","2,577","1,590","2,902","1,492"
2020년01월_남_30~39세,"20,475","1,597","2,033","1,482","1,098","1,477","1,358","1,931","1,521","2,027","1,467","2,448","2,036"
2020년01월_남_40~49세,"23,801","1,947","2,353","1,616","1,085","1,312","2,001","2,248","1,416","2,621","1,682","2,798","2,722"
2020년01월_남_50~59세,"30,491","2,720","3,112","2,360","1,690","2,090","2,736","2,864","2,073","3,217","2,112","3,588","1,929"
2020년01월_남_60~69세,"18,310","1,814","1,986","1,523","1,210","1,255","1,234","1,758","1,434","1,478","1,343","2,083","1,192"
2020년01월_남_70~79세,"6,690",713,761,579,446,312,280,575,577,512,568,835,532
2020년01월_남_80~89세,"2,209",220,232,169,130,104,131,175,181,199,205,307,156
2020년01월_남_90~99세,234,29,14,12,16,15,17,24,17,19,18,35,18
2020년01월_남_100세 이상,14,2,0,2,0,2,0,1,3,2,1,1,0
2020년01월_여_총인구수,"151,580","12,872","15,183","9,924","7,928","10,607","11,979","14,876","10,045","15,664","11,094","17,848","13,560"
2020년01월_여_연령구간인구수,"151,580","12,872","15,183","9,924","7,928","10,607","11,979","14,876","10,045","15,664","11,094","17,848","13,560"
2020년01월_여_0~9세,"9,998",757,"1,063",427,323,506,817,"1,043",496,"1,151",816,"1,020","1,579"
2020년01월_여_10~19세,"13,757","1,141","1,425",688,536,855,"1,342","1,460",738,"1,764",922,"1,491","1,395"
2020년01월_여_20~29세,"21,917","1,801","2,096","1,532","1,210","1,774","2,048","2,098","1,460","2,218","1,575","2,617","1,488"
2020년01월_여_30~39세,"19,135","1,413","1,845","1,223",891,"1,432","1,390","1,917","1,213","1,937","1,435","2,185","2,254"
2020년01월_여_40~49세,"24,149","1,922","2,337","1,382","1,098","1,621","2,157","2,423","1,362","2,856","1,690","2,825","2,476"
2020년01월_여_50~59세,"31,622","2,735","3,214","2,181","1,815","2,527","2,625","3,069","2,216","3,198","2,249","3,703","2,090"
2020년01월_여_60~69세,"17,075","1,724","1,870","1,380","1,178","1,114",814,"1,649","1,461","1,304","1,258","1,967","1,356"
2020년01월_여_70~79세,"8,369",828,852,686,530,427,362,749,704,714,699,"1,227",591
2020년01월_여_80~89세,"4,731",466,428,382,283,301,343,401,331,437,385,691,283
2020년01월_여_90~99세,780,75,49,39,60,48,79,64,60,81,64,114,47
2020년01월_여_100세 이상,47,10,4,4,4,2,2,3,4,4,1,8,1
2020년02월_계_총인구수,"301,984","25,930","30,600","20,598","15,761","20,495","24,054","29,318","20,001","31,277","21,861","35,358","26,731"
2020년02월_계_연령구간인구수,"301,984","25,930","30,600","20,598","15,761","20,495","24,054","29,318","20,001","31,277","21,861","35,358","26,731"
2020년02월_계_0~9세,"20,125","1,478","2,132",922,637,"1,071","1,626","2,057","1,000","2,290","1,649","2,023","3,240"
2020년02월_계_10~19세,"28,186","2,450","2,915","1,433","1,065","1,793","2,747","2,974","1,499","3,554","1,901","3,036","2,819"
2020년02월_계_20~29세,"45,609","3,794","4,485","3,228","2,521","3,585","4,142","4,445","2,992","4,785","3,154","5,504","2,974"
2020년02월_계_30~39세,"39,377","2,986","3,846","2,681","1,978","2,901","2,750","3,800","2,722","3,977","2,856","4,631","4,249"
2020년02월_계_40~49세,"47,765","3,868","4,683","2,963","2,177","2,924","4,130","4,666","2,753","5,455","3,377","5,572","5,197"
2020년02월_계_50~59세,"61,973","5,446","6,288","4,520","3,495","4,591","5,377","5,919","4,246","6,442","4,343","7,286","4,020"
2020년02월_계_60~69세,"35,786","3,556","3,905","2,965","2,407","2,407","2,079","3,447","2,905","2,807","2,637","4,081","2,590"
2020년02월_계_70~79세,"15,095","1,546","1,616","1,271",991,748,632,"1,331","1,285","1,218","1,267","2,065","1,125"
2020년02월_계_80~89세,"6,985",689,664,558,409,404,475,582,515,641,593,"1,004",451
2020년02월_계_90~99세,"1,022",105,62,51,77,67,94,93,77,101,82,148,65
2020년02월_계_100세 이상,61,12,4,6,4,4,2,4,7,7,2,8,1
2020년02월_남_총인구수,"150,884","13,104","15,484","10,731","7,877","9,925","12,093","14,481","10,028","15,596","10,802","17,548","13,215"
2020년02월_남_연령구간인구수,"150,884","13,104","15,484","10,731","7,877","9,925","12,093","14,481","10,028","15,596","10,802","17,548","13,215"
2020년02월_남_0~9세,"10,240",734,"1,079",504,320,573,806,"1,032",520,"1,133",845,"1,009","1,685"
2020년02월_남_10~19세,"14,587","1,319","1,509",750,544,948,"1,424","1,526",774,"1,806",992,"1,562","1,433"
2020년02월_남_20~29세,"23,799","2,007","2,400","1,722","1,324","1,835","2,107","2,345","1,538","2,558","1,575","2,897","1,491"
2020년02월_남_30~39세,"20,386","1,587","2,024","1,482","1,092","1,473","1,366","1,916","1,509","2,027","1,440","2,452","2,018"
2020년02월_남_40~49세,"23,736","1,944","2,354","1,600","1,089","1,306","1,977","2,247","1,413","2,621","1,695","2,770","2,720"
2020년02월_남_50~59세,"30,431","2,724","3,087","2,336","1,698","2,078","2,742","2,866","2,048","3,230","2,103","3,577","1,942"
2020년02월_남_60~69세,"18,505","1,820","2,011","1,566","1,213","1,274","1,251","1,767","1,446","1,491","1,359","2,094","1,213"
2020년02월_남_70~79세,"6,728",715,771,590,452,316,273,580,580,506,569,842,534
2020년02월_남_80~89세,"2,225",224,236,167,129,105,132,175,180,203,205,309,160
2020년02월_남_90~99세,233,28,13,12,16,15,15,26,17,19,18,35,19
2020년02월_남_100세 이상,14,2,0,2,0,2,0,1,3,2,1,1,0
2020년02월_여_총인구수,"151,100","12,826","15,116","9,867","7,884","10,570","11,961","14,837","9,973","15,681","11,059","17,810","13,516"
2020년02월_여_연령구간인구수,"151,100","12,826","15,116","9,867","7,884","10,570","11,961","14,837","9,973","15,681","11,059","17,810","13,516"
2020년02월_여_0~9세,"9,885",744,"1,053",418,317,498,820,"1,025",480,"1,157",804,"1,014","1,555"
2020년02월_여_10~19세,"13,599","1,131","1,406",683,521,845,"1,323","1,448",725,"1,748",909,"1,474","1,386"
2020년02월_여_20~29세,"21,810","1,787","2,085","1,506","1,197","1,750","2,035","2,100","1,454","2,227","1,579","2,607","1,483"
2020년02월_여_30~39세,"18,991","1,399","1,822","1,199",886,"1,428","1,384","1,884","1,213","1,950","1,416","2,179","2,231"
2020년02월_여_40~49세,"24,029","1,924","2,329","1,363","1,088","1,618","2,153","2,419","1,340","2,834","1,682","2,802","2,477"
