카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2020년03월_계_총인구수,"277,431","7,720","6,440","45,794","16,430","19,496","25,621","29,047","8,619","19,200","4,062","3,691","43,044","48,267",
2020년03월_계_연령구간인구수,"277,431","7,720","6,440","45,794","16,430","19,496","25,621","29,047","8,619","19,200","4,062","3,691","43,044","48,267",
2020년03월_계_0~9세,"29,853",366,315,"3,994",997,"1,127","2,218","4,634","1,045","2,619",139,178,"4,954","7,267",
2020년03월_계_10~19세,"23,988",437,405,"4,052","1,196","1,307","2,638","2,758",653,"1,748",206,201,"3,522","4,865",
2020년03월_계_20~29세,"33,203",986,968,"5,228","2,236","2,575","3,060","3,139",853,"2,255",481,462,"6,855","4,105",
2020년03월_계_30~39세,"47,552","1,009",978,"6,864","2,338","2,923","3,480","5,569","1,651","3,475",443,445,"9,851","8,526",
2020년03월_계_40~49세,"48,463","1,028",874,"7,335","2,362","2,644","4,450","5,552","1,368","3,644",577,495,"7,984","10,150",
2020년03월_계_50~59세,"40,603","1,504","1,246","7,248","3,031","3,627","4,149","3,660","1,329","2,860",811,765,"4,578","5,795",
2020년03월_계_60~69세,"32,324","1,455",952,"6,479","2,580","3,200","3,256","2,325",997,"1,808",768,692,"3,248","4,564",
2020년03월_계_70~79세,"15,029",622,480,"3,319","1,196","1,451","1,664",891,463,590,396,305,"1,479","2,173",
2020년03월_계_80~89세,"5,352",259,192,"1,086",419,537,603,383,219,161,202,133,477,681,
2020년03월_계_90~99세,954,46,24,175,62,96,96,110,31,38,32,13,94,137,
2020년03월_계_100세 이상,110,8,6,14,13,9,7,26,10,2,7,2,2,4,
2020년03월_남_총인구수,"139,324","4,215","3,317","22,592","8,317","9,804","12,753","14,462","4,485","9,359","2,281","2,103","21,853","23,783",
2020년03월_남_연령구간인구수,"139,324","4,215","3,317","22,592","8,317","9,804","12,753","14,462","4,485","9,359","2,281","2,103","21,853","23,783",
2020년03월_남_0~9세,"15,223",181,160,"1,994",519,587,"1,159","2,355",530,"1,290",68,96,"2,568","3,716",
2020년03월_남_10~19세,"12,278",231,214,"2,117",648,658,"1,367","1,405",340,850,111,103,"1,778","2,456",
2020년03월_남_20~29세,"17,050",562,515,"2,698","1,195","1,399","1,649","1,586",458,"1,124",269,259,"3,266","2,070",
2020년03월_남_30~39세,"23,919",598,571,"3,486","1,266","1,594","1,785","2,597",839,"1,539",277,278,"5,179","3,910",
