카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년03월_계_총인구수,"216,840","6,166","28,697","11,402","9,158","13,483","21,766","14,154","15,951","23,730","13,654","29,898","28,781"
2020년03월_계_연령구간인구수,"216,840","6,166","28,697","11,402","9,158","13,483","21,766","14,154","15,951","23,730","13,654","29,898","28,781"
2020년03월_계_0~9세,"13,409",233,"1,693",340,561,808,"1,132",590,983,"1,629",816,"2,138","2,486"
2020년03월_계_10~19세,"15,907",335,"2,063",548,688,979,"1,111",784,"1,217","1,924","1,091","2,413","2,754"
2020년03월_계_20~29세,"29,744",680,"3,803",965,"1,118","1,810","3,909","1,806","2,271","4,044","1,904","3,630","3,804"
2020년03월_계_30~39세,"26,562",632,"3,466",920,"1,067","1,564","3,165","1,657","1,916","3,155","1,598","3,780","3,642"
2020년03월_계_40~49세,"30,389",778,"3,854","1,402","1,305","1,739","2,696","1,890","2,116","3,513","1,868","4,471","4,757"
2020년03월_계_50~59세,"42,734","1,382","5,796","2,306","1,886","2,911","4,361","2,993","3,286","4,049","2,551","5,640","5,573"
2020년03월_계_60~69세,"35,264","1,206","4,957","2,478","1,447","2,325","3,442","2,659","2,623","3,194","2,304","4,893","3,736"
2020년03월_계_70~79세,"16,534",682,"2,244","1,656",790,988,"1,466","1,313","1,118","1,611","1,061","2,135","1,470"
2020년03월_계_80~89세,"5,588",212,727,713,262,312,419,406,373,545,417,708,494
2020년03월_계_90~99세,642,21,78,72,30,45,51,48,46,60,44,84,63
2020년03월_계_100세 이상,67,5,16,2,4,2,14,8,2,6,0,6,2
2020년03월_남_총인구수,"109,636","3,309","14,455","5,434","4,679","6,849","11,261","7,491","8,173","11,885","6,710","14,956","14,434"
2020년03월_남_연령구간인구수,"109,636","3,309","14,455","5,434","4,679","6,849","11,261","7,491","8,173","11,885","6,710","14,956","14,434"
2020년03월_남_0~9세,"6,818",124,831,165,278,417,574,306,496,816,422,"1,109","1,280"
2020년03월_남_10~19세,"8,328",181,"1,092",302,363,510,587,419,635,979,568,"1,270","1,422"
2020년03월_남_20~29세,"15,952",390,"2,087",552,647,964,"1,942",983,"1,259","2,079",998,"1,977","2,074"
2020년03월_남_30~39세,"14,201",353,"1,869",512,565,831,"1,745",963,"1,025","1,664",865,"1,966","1,843"
2020년03월_남_40~49세,"15,856",462,"1,993",808,683,915,"1,459","1,074","1,075","1,839",927,"2,282","2,339"
2020년03월_남_50~59세,"21,281",765,"2,790","1,202","1,012","1,415","2,273","1,607","1,619","1,939","1,169","2,732","2,758"
2020년03월_남_60~69세,"17,601",647,"2,462","1,088",686,"1,198","1,805","1,370","1,372","1,602","1,111","2,404","1,856"
2020년03월_남_70~79세,"7,670",316,"1,067",615,355,489,715,611,559,775,494,966,708
2020년03월_남_80~89세,"1,818",68,247,180,84,105,156,148,127,182,149,229,143
2020년03월_남_90~99세,103,3,17,9,5,4,4,8,5,10,7,20,11
2020년03월_남_100세 이상,8,0,0,1,1,1,1,2,1,0,0,1,0
2020년03월_여_총인구수,"107,204","2,857","14,242","5,968","4,479","6,634","10,505","6,663","7,778","11,845","6,944","14,942","14,347"
2020년03월_여_연령구간인구수,"107,204","2,857","14,242","5,968","4,479","6,634","10,505","6,663","7,778","11,845","6,944","14,942","14,347"
2020년03월_여_0~9세,"6,591",109,862,175,283,391,558,284,487,813,394,"1,029","1,206"
2020년03월_여_10~19세,"7,579",154,971,246,325,469,524,365,582,945,523,"1,143","1,332"
