카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년03월_계_총인구수,"31,968","10,230","1,448","1,899","2,618","8,639","2,007","1,629","3,498"
2020년03월_계_연령구간인구수,"31,968","10,230","1,448","1,899","2,618","8,639","2,007","1,629","3,498"
2020년03월_계_0~9세,"1,514",624,35,49,69,543,45,30,119
2020년03월_계_10~19세,"2,159",954,46,49,85,817,46,55,107
2020년03월_계_20~29세,"2,698","1,017",97,130,229,775,150,81,219
2020년03월_계_30~39세,"2,474",870,79,117,185,833,120,75,195
2020년03월_계_40~49세,"4,014","1,579",104,157,263,"1,306",162,145,298
2020년03월_계_50~59세,"6,041","1,871",261,358,557,"1,626",424,294,650
2020년03월_계_60~69세,"6,039","1,615",346,430,574,"1,441",471,361,801
2020년03월_계_70~79세,"4,098","1,050",241,352,378,827,341,318,591
2020년03월_계_80~89세,"2,610",586,214,227,246,425,218,246,448
2020년03월_계_90~99세,314,64,23,29,31,46,30,23,68
2020년03월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년03월_남_총인구수,"16,355","5,146",722,947,"1,428","4,476","1,067",836,"1,733"
2020년03월_남_연령구간인구수,"16,355","5,146",722,947,"1,428","4,476","1,067",836,"1,733"
2020년03월_남_0~9세,762,318,20,22,32,271,25,14,60
2020년03월_남_10~19세,"1,161",519,25,30,43,438,27,24,55
2020년03월_남_20~29세,"1,530",571,54,70,132,440,91,51,121
2020년03월_남_30~39세,"1,365",448,51,71,117,447,75,51,105
2020년03월_남_40~49세,"2,266",827,56,100,169,715,111,94,194
2020년03월_남_50~59세,"3,372","1,039",144,194,331,882,254,173,355
2020년03월_남_60~69세,"3,165",784,197,225,330,760,258,183,428
2020년03월_남_70~79세,"1,785",434,92,153,176,368,158,151,253
2020년03월_남_80~89세,871,195,75,74,91,145,59,88,144
2020년03월_남_90~99세,74,11,7,7,7,10,9,6,17
2020년03월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년03월_여_총인구수,"15,613","5,084",726,952,"1,190","4,163",940,793,"1,765"
2020년03월_여_연령구간인구수,"15,613","5,084",726,952,"1,190","4,163",940,793,"1,765"
2020년03월_여_0~9세,752,306,15,27,37,272,20,16,59
2020년03월_여_10~19세,998,435,21,19,42,379,19,31,52
2020년03월_여_20~29세,"1,168",446,43,60,97,335,59,30,98
2020년03월_여_30~39세,"1,109",422,28,46,68,386,45,24,90
2020년03월_여_40~49세,"1,748",752,48,57,94,591,51,51,104
2020년03월_여_50~59세,"2,669",832,117,164,226,744,170,121,295
2020년03월_여_60~69세,"2,874",831,149,205,244,681,213,178,373
2020년03월_여_70~79세,"2,313",616,149,199,202,459,183,167,338
2020년03월_여_80~89세,"1,739",391,139,153,155,280,159,158,304
2020년03월_여_90~99세,240,53,16,22,24,36,21,17,51
2020년03월_여_100세 이상,3,0,1,0,1,0,0,0,1
2020년04월_계_총인구수,"31,910","10,229","1,452","1,906","2,623","8,604","2,002","1,614","3,480"
2020년04월_계_연령구간인구수,"31,910","10,229","1,452","1,906","2,623","8,604","2,002","1,614","3,480"
2020년04월_계_0~9세,"1,490",616,36,47,69,531,42,30,119
2020년04월_계_10~19세,"2,132",942,46,50,84,807,44,52,107
2020년04월_계_20~29세,"2,672","1,015",98,132,226,765,145,79,212
2020년04월_계_30~39세,"2,450",865,76,110,186,826,122,73,192
2020년04월_계_40~49세,"3,997","1,581",105,159,260,"1,292",161,140,299
2020년04월_계_50~59세,"6,056","1,873",261,364,558,"1,634",427,294,645
2020년04월_계_60~69세,"6,065","1,624",349,436,577,"1,448",468,359,804
2020년04월_계_70~79세,"4,100","1,054",243,350,382,831,343,315,582
2020년04월_계_80~89세,"2,630",595,214,228,248,427,218,248,452
2020년04월_계_90~99세,311,64,22,29,32,43,32,23,66
2020년04월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년04월_남_총인구수,"16,308","5,134",726,947,"1,427","4,453","1,069",826,"1,726"
2020년04월_남_연령구간인구수,"16,308","5,134",726,947,"1,427","4,453","1,069",826,"1,726"
2020년04월_남_0~9세,758,317,20,23,33,266,24,14,61
2020년04월_남_10~19세,"1,144",510,25,30,42,434,25,23,55
2020년04월_남_20~29세,"1,518",566,55,71,132,435,90,50,119
2020년04월_남_30~39세,"1,351",447,49,67,115,441,77,49,106
2020년04월_남_40~49세,"2,250",827,57,100,170,705,111,90,190
2020년04월_남_50~59세,"3,370","1,036",145,195,326,883,258,175,352
2020년04월_남_60~69세,"3,165",783,198,227,328,763,255,182,429
2020년04월_남_70~79세,"1,804",441,95,152,183,371,160,150,252
2020년04월_남_80~89세,871,196,74,74,91,145,60,86,145
