카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 산동읍,경상북도 구미시 공단동,경상북도 구미시 원평동
2020년03월_남_50~59세,"35,456","1,530","3,904",215,194,241,500,"1,102",366,"1,506",521,379,"2,906",255,"4,182","1,480","1,911",347,347,591,536,345,419,"2,899","1,752","3,476",897,"2,655",,,
2020년03월_남_60~69세,"18,710","1,297","2,030",236,219,242,456,499,318,"1,125",337,373,"1,680",259,"2,136",864,"1,062",218,199,228,219,151,221,972,576,"1,571",400,822,,,
2020년03월_남_70~79세,"6,836",639,682,134,142,185,272,175,208,387,137,180,468,107,648,297,266,100,74,84,51,32,114,323,156,530,123,322,,,
2020년03월_남_80~89세,"2,383",266,289,74,74,85,173,78,102,93,29,51,166,40,174,78,68,30,31,17,8,5,27,84,53,149,34,105,,,
2020년03월_남_90~99세,214,25,28,13,11,7,13,13,6,2,2,5,12,0,12,2,3,1,4,1,1,0,4,12,4,15,6,12,,,
2020년03월_남_100세 이상,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020년03월_여_총인구수,"203,863","7,725","18,175",954,866,"1,118","2,014","12,353","1,596","8,252","1,752","1,645","15,649","1,106","23,578","7,752","8,810","1,495","1,527","2,921","3,290","2,037","2,122","13,991","9,480","23,901","7,526","22,228",,,
2020년03월_여_연령구간인구수,"203,863","7,725","18,175",954,866,"1,118","2,014","12,353","1,596","8,252","1,752","1,645","15,649","1,106","23,578","7,752","8,810","1,495","1,527","2,921","3,290","2,037","2,122","13,991","9,480","23,901","7,526","22,228",,,
2020년03월_여_0~9세,"20,779",478,"1,637",23,10,23,31,"2,677",30,448,37,44,"1,211",40,"2,491",560,451,89,129,334,458,307,179,"1,370","1,166","2,458",508,"3,590",,,
2020년03월_여_10~19세,"22,035",590,"1,854",33,38,56,81,960,98,668,63,72,"1,843",66,"3,079",857,990,98,108,244,335,103,186,"1,781","1,239","2,924",564,"3,105",,,
2020년03월_여_20~29세,"25,990",665,"2,093",40,35,64,126,"1,518",130,"1,168",238,130,"1,887",108,"2,655",943,"1,252",232,199,474,429,305,293,"1,840","1,153","3,363","2,156","2,494",,,
2020년03월_여_30~39세,"31,585",660,"2,224",37,27,37,78,"3,634",88,"1,012",257,106,"1,869",67,"3,283",890,856,177,229,560,628,500,307,"1,916","1,560","4,373","1,685","4,525",,,
2020년03월_여_40~49세,"36,502","1,007","3,137",55,50,83,165,"1,765",175,"1,300",300,166,"2,828",133,"4,716","1,457","1,666",191,196,474,580,278,362,"3,016","2,044","4,601","1,146","4,611",,,
2020년03월_여_50~59세,"33,778","1,536","3,771",165,150,166,333,913,299,"1,719",343,351,"3,249",237,"4,141","1,623","2,097",293,315,522,528,320,400,"2,495","1,437","3,342",791,"2,242",,,
2020년03월_여_60~69세,"17,993","1,221","1,744",221,194,245,434,443,292,"1,261",284,380,"1,695",244,"1,993",867,966,230,173,193,229,170,229,887,509,"1,588",412,889,,,
2020년03월_여_70~79세,"8,826",785,937,173,161,224,406,223,252,454,142,262,660,127,769,341,348,134,105,72,66,38,112,421,225,763,156,470,,,
2020년03월_여_80~89세,"5,423",655,647,172,172,191,307,192,205,191,66,118,351,72,384,183,161,42,62,43,34,10,45,224,125,425,85,261,,,
2020년03월_여_90~99세,912,124,124,34,27,28,51,28,25,28,19,15,56,11,66,31,21,9,8,5,3,5,9,40,22,62,21,40,,,
2020년03월_여_100세 이상,40,4,7,1,2,1,2,0,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1,,,
2020년04월_계_총인구수,"418,205","15,270","36,936","1,892","1,766","2,257","4,190","26,109","3,247","16,334","3,898","3,387","30,648","2,311","47,562","15,297","17,662","3,360","3,332","6,375","6,806","4,523","4,544","29,091","19,813","49,185","16,096","46,314",,,
2020년04월_계_연령구간인구수,"418,205","15,270","36,936","1,892","1,766","2,257","4,190","26,109","3,247","16,334","3,898","3,387","30,648","2,311","47,562","15,297","17,662","3,360","3,332","6,375","6,806","4,523","4,544","29,091","19,813","49,185","16,096","46,314",,,
2020년04월_계_0~9세,"42,862",943,"3,407",41,20,41,71,"5,525",80,902,69,96,"2,525",85,"5,061","1,160",968,157,293,727,936,658,367,"2,748","2,395","5,294","1,014","7,279",,,
2020년04월_계_10~19세,"46,026","1,197","4,003",68,69,146,170,"2,040",222,"1,331",121,164,"3,726",139,"6,403","1,809","2,141",198,234,490,657,202,374,"3,722","2,696","6,098","1,170","6,436",,,
2020년04월_계_20~29세,"57,454","1,589","4,866",108,102,152,305,"2,820",277,"2,612",539,342,"4,174",248,"6,008","2,139","2,854",609,454,"1,018",930,732,707,"4,299","2,571","7,155","4,187","5,657",,,
2020년04월_계_30~39세,"67,217","1,396","4,540",96,77,101,229,"8,068",190,"2,260",548,296,"3,730",179,"6,374","1,785","1,801",520,570,"1,367","1,445","1,178",735,"3,997","3,247","9,131","4,167","9,190",,,
2020년04월_계_40~49세,"73,596","2,042","5,914",140,154,205,470,"3,978",398,"2,425",727,376,"5,209",298,"9,152","2,636","2,974",468,456,"1,007","1,158",670,785,"5,934","4,019","9,524","2,628","9,849",,,
2020년04월_계_50~59세,"69,302","3,064","7,701",376,339,403,826,"2,017",663,"3,231",868,719,"6,163",498,"8,351","3,084","3,993",635,659,"1,114","1,066",668,806,"5,408","3,187","6,840","1,681","4,942",,,
2020년04월_계_60~69세,"37,038","2,539","3,797",460,416,486,894,952,612,"2,411",627,756,"3,395",505,"4,156","1,746","2,054",452,380,425,448,323,459,"1,876","1,112","3,194",816,"1,747",,,
2020년04월_계_70~79세,"15,669","1,421","1,614",306,298,406,672,398,462,846,279,445,"1,135",237,"1,410",642,620,236,176,159,116,71,226,745,379,"1,299",282,789,,,
2020년04월_계_80~89세,"7,861",924,934,249,251,280,486,270,310,281,95,171,525,109,568,263,230,75,95,62,46,15,72,305,181,572,122,370,,,
2020년04월_계_90~99세,"1,133",150,152,47,38,35,64,41,31,31,22,21,66,12,78,33,25,10,12,6,4,5,13,55,26,76,27,53,,,
2020년04월_계_100세 이상,47,5,8,1,2,2,3,0,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2,,,
2020년04월_남_총인구수,"214,528","7,585","18,796",940,908,"1,146","2,181","13,679","1,657","8,077","2,144","1,743","15,017","1,198","24,038","7,575","8,888","1,872","1,807","3,451","3,498","2,482","2,413","15,159","10,342","25,301","8,605","24,026",,,
2020년04월_남_연령구간인구수,"214,528","7,585","18,796",940,908,"1,146","2,181","13,679","1,657","8,077","2,144","1,743","15,017","1,198","24,038","7,575","8,888","1,872","1,807","3,451","3,498","2,482","2,413","15,159","10,342","25,301","8,605","24,026",,,
2020년04월_남_0~9세,"22,140",473,"1,770",18,10,19,41,"2,821",51,458,33,53,"1,319",42,"2,585",601,523,74,162,391,476,353,181,"1,390","1,233","2,840",511,"3,712",,,
2020년04월_남_10~19세,"24,097",617,"2,163",35,32,91,88,"1,070",125,670,59,92,"1,887",72,"3,343",968,"1,162",98,129,251,322,97,188,"1,951","1,452","3,195",607,"3,333",,,
2020년04월_남_20~29세,"31,598",944,"2,794",68,69,90,185,"1,314",151,"1,428",296,208,"2,305",141,"3,359","1,203","1,611",382,257,547,496,427,412,"2,480","1,432","3,800","2,058","3,141",,,
2020년04월_남_30~39세,"35,709",736,"2,331",60,50,66,148,"4,404",104,"1,256",293,194,"1,865",113,"3,103",899,960,344,341,807,809,680,429,"2,099","1,688","4,788","2,473","4,669",,,
2020년04월_남_40~49세,"37,133","1,052","2,791",87,105,122,307,"2,194",226,"1,141",429,209,"2,389",163,"4,459","1,179","1,311",273,263,533,576,390,423,"2,934","1,983","4,903","1,485","5,206",,,
2020년04월_남_50~59세,"35,445","1,527","3,904",211,190,240,497,"1,101",361,"1,493",522,377,"2,900",260,"4,186","1,475","1,908",347,344,586,538,347,410,"2,900","1,747","3,487",905,"2,682",,,
2020년04월_남_60~69세,"18,922","1,307","2,047",240,224,244,457,510,320,"1,145",342,372,"1,694",261,"2,157",869,"1,072",220,203,234,219,152,225,985,591,"1,592",398,842,,,
2020년04월_남_70~79세,"6,846",637,676,132,139,181,270,174,209,388,139,181,478,107,652,299,270,102,71,84,53,31,114,323,157,532,125,322,,,
2020년04월_남_80~89세,"2,419",267,292,76,78,85,174,79,104,95,29,52,168,39,182,80,68,31,33,17,8,5,27,84,55,148,37,106,,,
2020년04월_남_90~99세,213,25,27,13,11,7,13,12,6,2,2,5,12,0,12,2,3,1,4,1,1,0,4,12,4,16,6,12,,,
2020년04월_남_100세 이상,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020년04월_여_총인구수,"203,677","7,685","18,140",952,858,"1,111","2,009","12,430","1,590","8,257","1,754","1,644","15,631","1,113","23,524","7,722","8,774","1,488","1,525","2,924","3,308","2,041","2,131","13,932","9,471","23,884","7,491","22,288",,,
2020년04월_여_연령구간인구수,"203,677","7,685","18,140",952,858,"1,111","2,009","12,430","1,590","8,257","1,754","1,644","15,631","1,113","23,524","7,722","8,774","1,488","1,525","2,924","3,308","2,041","2,131","13,932","9,471","23,884","7,491","22,288",,,
2020년04월_여_0~9세,"20,722",470,"1,637",23,10,22,30,"2,704",29,444,36,43,"1,206",43,"2,476",559,445,83,131,336,460,305,186,"1,358","1,162","2,454",503,"3,567",,,
2020년04월_여_10~19세,"21,929",580,"1,840",33,37,55,82,970,97,661,62,72,"1,839",67,"3,060",841,979,100,105,239,335,105,186,"1,771","1,244","2,903",563,"3,103",,,
2020년04월_여_20~29세,"25,856",645,"2,072",40,33,62,120,"1,506",126,"1,184",243,134,"1,869",107,"2,649",936,"1,243",227,197,471,434,305,295,"1,819","1,139","3,355","2,129","2,516",,,
2020년04월_여_30~39세,"31,508",660,"2,209",36,27,35,81,"3,664",86,"1,004",255,102,"1,865",66,"3,271",886,841,176,229,560,636,498,306,"1,898","1,559","4,343","1,694","4,521",,,
2020년04월_여_40~49세,"36,463",990,"3,123",53,49,83,163,"1,784",172,"1,284",298,167,"2,820",135,"4,693","1,457","1,663",195,193,474,582,280,362,"3,000","2,036","4,621","1,143","4,643",,,
2020년04월_여_50~59세,"33,857","1,537","3,797",165,149,163,329,916,302,"1,738",346,342,"3,263",238,"4,165","1,609","2,085",288,315,528,528,321,396,"2,508","1,440","3,353",776,"2,260",,,
2020년04월_여_60~69세,"18,116","1,232","1,750",220,192,242,437,442,292,"1,266",285,384,"1,701",244,"1,999",877,982,232,177,191,229,171,234,891,521,"1,602",418,905,,,
2020년04월_여_70~79세,"8,823",784,938,174,159,225,402,224,253,458,140,264,657,130,758,343,350,134,105,75,63,40,112,422,222,767,157,467,,,
2020년04월_여_80~89세,"5,442",657,642,173,173,195,312,191,206,186,66,119,357,70,386,183,162,44,62,45,38,10,45,221,126,424,85,264,,,
2020년04월_여_90~99세,920,125,125,34,27,28,51,29,25,29,20,16,54,12,66,31,22,9,8,5,3,5,9,43,22,60,21,41,,,
2020년04월_여_100세 이상,41,5,7,1,2,1,2,0,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1,,,
2020년05월_계_총인구수,"418,007","15,234","36,889","1,892","1,766","2,252","4,188","26,170","3,239","16,303","3,906","3,368","30,589","2,293","47,484","15,251","17,597","3,371","3,316","6,373","6,831","4,538","4,551","29,050","19,802","49,164","16,128","46,462",,,
2020년05월_계_연령구간인구수,"418,007","15,234","36,889","1,892","1,766","2,252","4,188","26,170","3,239","16,303","3,906","3,368","30,589","2,293","47,484","15,251","17,597","3,371","3,316","6,373","6,831","4,538","4,551","29,050","19,802","49,164","16,128","46,462",,,
2020년05월_계_0~9세,"42,691",935,"3,400",42,21,44,69,"5,545",80,899,69,93,"2,501",82,"5,025","1,146",954,151,294,722,948,660,372,"2,713","2,389","5,255",994,"7,288",,,
2020년05월_계_10~19세,"45,828","1,191","3,972",67,67,142,168,"2,052",219,"1,317",113,162,"3,694",136,"6,387","1,792","2,111",199,233,490,654,202,367,"3,703","2,684","6,085","1,173","6,448",,,
2020년05월_계_20~29세,"57,351","1,571","4,843",107,103,150,305,"2,793",274,"2,603",543,342,"4,157",243,"5,992","2,140","2,845",609,444,"1,009",940,726,702,"4,314","2,567","7,151","4,210","5,668",,,
2020년05월_계_30~39세,"67,115","1,383","4,543",95,75,100,226,"8,085",191,"2,257",553,288,"3,720",172,"6,314","1,771","1,797",516,565,"1,365","1,454","1,181",741,"3,982","3,232","9,119","4,176","9,214",,,
2020년05월_계_40~49세,"73,480","2,033","5,861",139,153,199,466,"4,002",396,"2,428",727,372,"5,201",300,"9,144","2,618","2,946",474,456,998,"1,150",678,782,"5,899","4,023","9,519","2,640","9,876",,,
2020년05월_계_50~59세,"69,444","3,054","7,723",375,342,404,837,"2,023",659,"3,222",872,709,"6,162",491,"8,368","3,088","3,970",645,655,"1,130","1,071",667,811,"5,429","3,192","6,871","1,680","4,994",,,
2020년05월_계_60~69세,"37,244","2,553","3,833",463,415,491,894,952,614,"2,408",632,762,"3,416",508,"4,179","1,753","2,081",453,380,431,447,330,459,"1,892","1,124","3,203",813,"1,758",,,
2020년05월_계_70~79세,"15,785","1,427","1,620",307,294,403,676,407,464,850,279,447,"1,142",238,"1,428",649,630,238,180,159,117,73,231,750,382,"1,309",290,795,,,
2020년05월_계_80~89세,"7,885",938,930,250,255,281,480,270,309,284,94,171,529,110,570,261,235,75,94,63,46,15,72,310,180,573,123,367,,,
2020년05월_계_90~99세,"1,136",144,156,46,39,36,64,40,31,31,21,21,67,12,76,33,26,11,12,6,4,5,14,56,29,77,27,52,,,
2020년05월_계_100세 이상,48,5,8,1,2,2,3,1,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2,,,
2020년05월_남_총인구수,"214,442","7,575","18,754",939,903,"1,147","2,179","13,686","1,651","8,074","2,156","1,735","14,992","1,193","24,016","7,541","8,847","1,871","1,800","3,452","3,515","2,492","2,418","15,141","10,322","25,313","8,624","24,106",,,
2020년05월_남_연령구간인구수,"214,442","7,575","18,754",939,903,"1,147","2,179","13,686","1,651","8,074","2,156","1,735","14,992","1,193","24,016","7,541","8,847","1,871","1,800","3,452","3,515","2,492","2,418","15,141","10,322","25,313","8,624","24,106",,,
2020년05월_남_0~9세,"22,054",470,"1,765",18,10,21,39,"2,827",51,453,33,51,"1,309",41,"2,563",593,517,72,164,385,487,355,186,"1,380","1,224","2,827",496,"3,717",,,
2020년05월_남_10~19세,"23,981",613,"2,157",34,30,88,86,"1,073",123,664,56,92,"1,859",70,"3,331",958,"1,141",99,128,250,320,97,187,"1,939","1,445","3,187",610,"3,344",,,
2020년05월_남_20~29세,"31,564",935,"2,775",68,70,90,183,"1,294",148,"1,425",298,207,"2,313",140,"3,359","1,205","1,601",376,251,548,502,423,403,"2,490","1,438","3,799","2,075","3,148",,,
2020년05월_남_30~39세,"35,682",733,"2,323",59,48,67,147,"4,397",105,"1,263",294,187,"1,857",110,"3,084",888,963,342,339,807,813,682,434,"2,096","1,679","4,788","2,490","4,687",,,
2020년05월_남_40~49세,"37,086","1,049","2,772",86,104,119,306,"2,209",226,"1,148",432,213,"2,381",165,"4,458","1,177","1,293",276,261,531,573,396,424,"2,912","1,975","4,905","1,482","5,213",,,
2020년05월_남_50~59세,"35,504","1,523","3,901",211,190,239,500,"1,108",357,"1,493",521,370,"2,900",259,"4,200","1,466","1,901",352,344,592,539,346,410,"2,907","1,750","3,512",904,"2,709",,,
2020년05월_남_60~69세,"19,021","1,318","2,064",242,223,247,463,506,320,"1,139",350,376,"1,704",263,"2,165",866,"1,084",220,202,237,218,156,228,994,597,"1,597",393,849,,,
2020년05월_남_70~79세,"6,894",636,678,131,138,179,271,183,212,388,141,182,486,107,662,304,274,101,74,84,54,32,114,323,157,531,129,323,,,
2020년05월_남_80~89세,"2,436",274,290,77,79,87,170,77,103,97,29,52,171,38,184,82,70,32,33,17,8,5,28,87,53,150,38,105,,,
2020년05월_남_90~99세,213,23,28,13,11,9,13,12,6,3,2,5,12,0,10,2,3,1,4,1,1,0,4,12,4,17,7,10,,,
2020년05월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020년05월_여_총인구수,"203,565","7,659","18,135",953,863,"1,105","2,009","12,484","1,588","8,229","1,750","1,633","15,597","1,100","23,468","7,710","8,750","1,500","1,516","2,921","3,316","2,046","2,133","13,909","9,480","23,851","7,504","22,356",,,
2020년05월_여_연령구간인구수,"203,565","7,659","18,135",953,863,"1,105","2,009","12,484","1,588","8,229","1,750","1,633","15,597","1,100","23,468","7,710","8,750","1,500","1,516","2,921","3,316","2,046","2,133","13,909","9,480","23,851","7,504","22,356",,,
2020년05월_여_0~9세,"20,637",465,"1,635",24,11,23,30,"2,718",29,446,36,42,"1,192",41,"2,462",553,437,79,130,337,461,305,186,"1,333","1,165","2,428",498,"3,571",,,
2020년05월_여_10~19세,"21,847",578,"1,815",33,37,54,82,979,96,653,57,70,"1,835",66,"3,056",834,970,100,105,240,334,105,180,"1,764","1,239","2,898",563,"3,104",,,
2020년05월_여_20~29세,"25,787",636,"2,068",39,33,60,122,"1,499",126,"1,178",245,135,"1,844",103,"2,633",935,"1,244",233,193,461,438,303,299,"1,824","1,129","3,352","2,135","2,520",,,
2020년05월_여_30~39세,"31,433",650,"2,220",36,27,33,79,"3,688",86,994,259,101,"1,863",62,"3,230",883,834,174,226,558,641,499,307,"1,886","1,553","4,331","1,686","4,527",,,
2020년05월_여_40~49세,"36,394",984,"3,089",53,49,80,160,"1,793",170,"1,280",295,159,"2,820",135,"4,686","1,441","1,653",198,195,467,577,282,358,"2,987","2,048","4,614","1,158","4,663",,,
2020년05월_여_50~59세,"33,940","1,531","3,822",164,152,165,337,915,302,"1,729",351,339,"3,262",232,"4,168","1,622","2,069",293,311,538,532,321,401,"2,522","1,442","3,359",776,"2,285",,,
2020년05월_여_60~69세,"18,223","1,235","1,769",221,192,244,431,446,294,"1,269",282,386,"1,712",245,"2,014",887,997,233,178,194,229,174,231,898,527,"1,606",420,909,,,
2020년05월_여_70~79세,"8,891",791,942,176,156,224,405,224,252,462,138,265,656,131,766,345,356,137,106,75,63,41,117,427,225,778,161,472,,,
2020년05월_여_80~89세,"5,449",664,640,173,176,194,310,193,206,187,65,119,358,72,386,179,165,43,61,46,38,10,44,223,127,423,85,262,,,
2020년05월_여_90~99세,923,121,128,33,28,27,51,28,25,28,19,16,55,12,66,31,23,10,8,5,3,5,10,44,25,60,20,42,,,
2020년05월_여_100세 이상,41,4,7,1,2,1,2,1,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1,,,
2020년06월_계_총인구수,"417,480","15,182","36,823","1,889","1,761","2,243","4,180","26,289","3,220","16,759","3,885","3,332","30,464","2,293","47,383","15,098","17,556","3,342","3,302","6,368","6,867","4,509","4,535","28,916","19,720","49,027","16,062","46,475",,,
2020년06월_계_연령구간인구수,"417,480","15,182","36,823","1,889","1,761","2,243","4,180","26,289","3,220","16,759","3,885","3,332","30,464","2,293","47,383","15,098","17,556","3,342","3,302","6,368","6,867","4,509","4,535","28,916","19,720","49,027","16,062","46,475",,,
2020년06월_계_0~9세,"42,546",926,"3,396",43,20,42,70,"5,573",81,957,67,88,"2,501",82,"4,979","1,129",945,144,291,722,956,655,373,"2,668","2,369","5,223",979,"7,267",,,
2020년06월_계_10~19세,"45,666","1,190","3,947",64,66,141,167,"2,074",212,"1,354",112,156,"3,665",138,"6,369","1,767","2,095",201,231,487,654,202,365,"3,669","2,673","6,066","1,157","6,444",,,
2020년06월_계_20~29세,"57,059","1,556","4,798",108,102,148,302,"2,761",267,"2,669",544,341,"4,108",240,"5,984","2,105","2,848",598,437,999,938,712,697,"4,288","2,544","7,109","4,170","5,686",,,
2020년06월_계_30~39세,"66,962","1,369","4,533",97,76,98,227,"8,119",190,"2,402",537,288,"3,706",169,"6,257","1,759","1,767",508,562,"1,368","1,473","1,161",742,"3,966","3,189","9,068","4,161","9,170",,,
2020년06월_계_40~49세,"73,403","2,009","5,852",138,151,201,458,"4,038",386,"2,494",729,366,"5,179",301,"9,141","2,577","2,929",472,453,989,"1,161",684,779,"5,848","4,009","9,524","2,646","9,889",,,
2020년06월_계_50~59세,"69,391","3,041","7,711",368,340,402,837,"2,047",661,"3,258",863,695,"6,126",490,"8,359","3,053","3,967",639,647,"1,135","1,066",667,805,"5,452","3,203","6,832","1,693","5,034",,,
2020년06월_계_60~69세,"37,543","2,565","3,872",467,419,492,897,948,615,"2,450",632,765,"3,446",509,"4,206","1,768","2,102",457,391,438,454,330,461,"1,904","1,139","3,226",817,"1,773",,,
2020년06월_계_70~79세,"15,843","1,427","1,624",307,296,403,677,414,465,860,286,443,"1,142",239,"1,438",650,639,237,181,162,117,77,228,749,381,"1,323",291,787,,,
2020년06월_계_80~89세,"7,896",950,927,251,251,277,480,273,310,282,93,168,526,111,577,259,236,76,94,62,44,15,72,314,183,574,120,371,,,
2020년06월_계_90~99세,"1,122",144,155,45,38,37,61,41,31,29,19,21,65,13,72,31,26,10,12,6,4,5,13,56,30,80,26,52,,,
2020년06월_계_100세 이상,49,5,8,1,2,2,4,1,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2,,,
2020년06월_남_총인구수,"214,220","7,538","18,711",938,901,"1,146","2,175","13,732","1,644","8,301","2,144","1,716","14,961","1,193","23,979","7,471","8,829","1,863","1,796","3,447","3,524","2,478","2,414","15,070","10,279","25,261","8,597","24,112",,,
2020년06월_남_연령구간인구수,"214,220","7,538","18,711",938,901,"1,146","2,175","13,732","1,644","8,301","2,144","1,716","14,961","1,193","23,979","7,471","8,829","1,863","1,796","3,447","3,524","2,478","2,414","15,070","10,279","25,261","8,597","24,112",,,
2020년06월_남_0~9세,"21,971",463,"1,759",19,10,20,40,"2,838",51,474,32,49,"1,309",41,"2,542",588,516,70,161,384,485,355,188,"1,357","1,209","2,807",488,"3,716",,,
