카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년01월_계_총인구수,"22,382","7,487","2,144","2,380","4,458","2,106","2,201","1,606"
2020년01월_계_연령구간인구수,"22,382","7,487","2,144","2,380","4,458","2,106","2,201","1,606"
2020년01월_계_0~9세,"1,229",587,86,83,246,56,96,75
2020년01월_계_10~19세,"1,713",743,120,126,375,108,153,88
2020년01월_계_20~29세,"1,744",672,158,153,396,125,158,82
2020년01월_계_30~39세,"1,711",761,125,132,335,120,141,97
2020년01월_계_40~49세,"2,651","1,042",213,227,584,196,230,159
2020년01월_계_50~59세,"3,840","1,175",348,428,801,390,423,275
2020년01월_계_60~69세,"4,046","1,146",394,511,741,480,404,370
2020년01월_계_70~79세,"3,110",822,373,423,564,346,336,246
2020년01월_계_80~89세,"2,044",474,286,257,368,239,237,183
2020년01월_계_90~99세,275,62,39,38,40,44,21,31
2020년01월_계_100세 이상,19,3,2,2,8,2,2,0
2020년01월_남_총인구수,"11,141","3,689","1,049","1,212","2,257","1,054","1,086",794
2020년01월_남_연령구간인구수,"11,141","3,689","1,049","1,212","2,257","1,054","1,086",794
2020년01월_남_0~9세,636,299,48,51,124,26,51,37
2020년01월_남_10~19세,855,350,62,67,210,59,64,43
2020년01월_남_20~29세,971,357,97,86,221,76,87,47
2020년01월_남_30~39세,892,366,69,83,181,69,79,45
2020년01월_남_40~49세,"1,534",590,126,139,325,122,133,99
2020년01월_남_50~59세,"2,156",641,197,232,462,226,247,151
2020년01월_남_60~69세,"2,035",552,187,280,366,244,206,200
2020년01월_남_70~79세,"1,326",354,166,184,241,141,134,106
2020년01월_남_80~89세,670,164,86,86,117,80,79,58
2020년01월_남_90~99세,62,15,11,4,9,11,4,8
2020년01월_남_100세 이상,4,1,0,0,1,0,2,0
2020년01월_여_총인구수,"11,241","3,798","1,095","1,168","2,201","1,052","1,115",812
2020년01월_여_연령구간인구수,"11,241","3,798","1,095","1,168","2,201","1,052","1,115",812
2020년01월_여_0~9세,593,288,38,32,122,30,45,38
2020년01월_여_10~19세,858,393,58,59,165,49,89,45
2020년01월_여_20~29세,773,315,61,67,175,49,71,35
2020년01월_여_30~39세,819,395,56,49,154,51,62,52
2020년01월_여_40~49세,"1,117",452,87,88,259,74,97,60
2020년01월_여_50~59세,"1,684",534,151,196,339,164,176,124
2020년01월_여_60~69세,"2,011",594,207,231,375,236,198,170
2020년01월_여_70~79세,"1,784",468,207,239,323,205,202,140
2020년01월_여_80~89세,"1,374",310,200,171,251,159,158,125
2020년01월_여_90~99세,213,47,28,34,31,33,17,23
2020년01월_여_100세 이상,15,2,2,2,7,2,0,0
2020년02월_계_총인구수,"22,285","7,458","2,119","2,373","4,441","2,106","2,196","1,592"
2020년02월_계_연령구간인구수,"22,285","7,458","2,119","2,373","4,441","2,106","2,196","1,592"
2020년02월_계_0~9세,"1,212",584,83,78,247,54,96,70
2020년02월_계_10~19세,"1,684",736,114,125,367,103,150,89
2020년02월_계_20~29세,"1,721",657,155,156,391,128,154,80
2020년02월_계_30~39세,"1,683",743,122,129,330,120,144,95
2020년02월_계_40~49세,"2,656","1,051",206,224,587,202,232,154
2020년02월_계_50~59세,"3,804","1,170",346,423,789,379,427,270
2020년02월_계_60~69세,"4,071","1,152",393,514,750,489,400,373
2020년02월_계_70~79세,"3,111",825,374,421,562,345,338,246
2020년02월_계_80~89세,"2,048",477,285,262,369,240,231,184
2020년02월_계_90~99세,275,60,39,39,41,43,22,31
2020년02월_계_100세 이상,20,3,2,2,8,3,2,0
2020년02월_남_총인구수,"11,095","3,680","1,042","1,202","2,248","1,054","1,081",788
