카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년01월_계_총인구수,"256,792","49,297","4,542","14,239","51,311","38,850","29,970","24,307","23,164","8,058","3,767","9,287"
2020년01월_계_연령구간인구수,"256,792","49,297","4,542","14,239","51,311","38,850","29,970","24,307","23,164","8,058","3,767","9,287"
2020년01월_계_0~9세,"30,234","3,627",243,960,"6,357","6,525","5,603","2,607","2,568",442,123,"1,179"
2020년01월_계_10~19세,"23,561","4,839",189,"1,611","5,817","3,393","3,211","1,672","1,671",524,128,506
2020년01월_계_20~29세,"29,448","6,692",486,"1,988","5,969","4,081","2,508","2,637","3,128",708,326,925
2020년01월_계_30~39세,"43,007","5,544",560,"1,502","7,860","9,152","6,877","4,005","4,623",697,289,"1,898"
2020년01월_계_40~49세,"42,420","7,583",563,"2,785","9,486","6,687","5,626","3,378","3,568",994,354,"1,396"
2020년01월_계_50~59세,"40,605","9,941",937,"3,014","7,929","4,903","2,883","4,304","3,222","1,399",881,"1,192"
2020년01월_계_60~69세,"27,521","6,544",809,"1,374","4,794","2,718","2,050","3,375","2,412","1,598",808,"1,039"
2020년01월_계_70~79세,"13,277","3,105",469,643,"2,197","1,026",806,"1,586","1,304",981,497,663
2020년01월_계_80~89세,"5,975","1,248",251,328,800,318,358,679,599,614,337,443
2020년01월_계_90~99세,716,164,34,31,102,45,45,64,66,97,23,45
2020년01월_계_100세 이상,28,10,1,3,0,2,3,0,3,4,1,1
2020년01월_남_총인구수,"130,512","24,620","2,477","7,492","25,481","19,845","15,127","12,314","12,129","4,005","2,041","4,981"
2020년01월_남_연령구간인구수,"130,512","24,620","2,477","7,492","25,481","19,845","15,127","12,314","12,129","4,005","2,041","4,981"
2020년01월_남_0~9세,"15,397","1,879",131,478,"3,183","3,332","2,867","1,348","1,312",212,66,589
2020년01월_남_10~19세,"12,349","2,521",97,846,"3,060","1,803","1,647",889,878,283,63,262
2020년01월_남_20~29세,"16,232","3,705",286,"1,181","3,186","2,137","1,342","1,451","1,796",408,200,540
2020년01월_남_30~39세,"22,363","2,855",341,806,"3,880","4,688","3,400","2,091","2,633",363,175,"1,131"
2020년01월_남_40~49세,"22,155","3,662",351,"1,479","4,751","3,587","2,969","1,790","1,966",526,227,847
2020년01월_남_50~59세,"20,264","4,825",529,"1,646","3,780","2,386","1,416","2,131","1,633",739,511,668
2020년01월_남_60~69세,"13,713","3,280",451,714,"2,300","1,348",995,"1,677","1,180",785,467,516
2020년01월_남_70~79세,"5,946","1,398",201,241,"1,023",469,367,724,539,461,229,294
2020년01월_남_80~89세,"1,934",447,84,97,300,88,109,201,177,204,100,127
2020년01월_남_90~99세,151,43,6,4,18,7,14,12,14,23,3,7
2020년01월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
