카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년03월_계_총인구수,"167,586","54,584","8,865","82,547","13,332","8,258"
2020년03월_계_연령구간인구수,"167,586","54,584","8,865","82,547","13,332","8,258"
2020년03월_계_0~9세,"19,081","3,615",438,"13,050","1,515",463
2020년03월_계_10~19세,"16,899","4,853",500,"10,292",818,436
2020년03월_계_20~29세,"16,085","6,425","1,033","6,633","1,188",806
2020년03월_계_30~39세,"24,770","5,997","1,085","14,687","2,236",765
2020년03월_계_40~49세,"30,801","8,868","1,018","17,999","1,867","1,049"
2020년03월_계_50~59세,"22,748","9,589","1,619","8,168","1,900","1,472"
2020년03월_계_60~69세,"19,868","7,898","1,610","6,668","1,982","1,710"
2020년03월_계_70~79세,"11,728","4,862",950,"3,626","1,229","1,061"
2020년03월_계_80~89세,"4,865","2,153",518,"1,245",508,441
2020년03월_계_90~99세,699,303,85,172,86,53
2020년03월_계_100세 이상,42,21,9,7,3,2
2020년03월_남_총인구수,"83,008","26,607","4,752","40,705","6,781","4,163"
2020년03월_남_연령구간인구수,"83,008","26,607","4,752","40,705","6,781","4,163"
2020년03월_남_0~9세,"9,692","1,860",226,"6,620",768,218
2020년03월_남_10~19세,"8,862","2,524",287,"5,366",438,247
2020년03월_남_20~29세,"8,559","3,438",625,"3,332",695,469
2020년03월_남_30~39세,"12,201","3,125",651,"6,878","1,156",391
2020년03월_남_40~49세,"15,917","4,396",599,"9,315","1,020",587
2020년03월_남_50~59세,"11,488","4,732",893,"4,145",989,729
2020년03월_남_60~69세,"9,224","3,706",840,"2,889",967,822
2020년03월_남_70~79세,"5,314","2,043",457,"1,713",568,533
2020년03월_남_80~89세,"1,623",732,152,420,165,154
2020년03월_남_90~99세,121,49,17,27,15,13
2020년03월_남_100세 이상,7,2,5,0,0,0
2020년03월_여_총인구수,"84,578","27,977","4,113","41,842","6,551","4,095"
2020년03월_여_연령구간인구수,"84,578","27,977","4,113","41,842","6,551","4,095"
2020년03월_여_0~9세,"9,389","1,755",212,"6,430",747,245
2020년03월_여_10~19세,"8,037","2,329",213,"4,926",380,189
2020년03월_여_20~29세,"7,526","2,987",408,"3,301",493,337
2020년03월_여_30~39세,"12,569","2,872",434,"7,809","1,080",374
2020년03월_여_40~49세,"14,884","4,472",419,"8,684",847,462
2020년03월_여_50~59세,"11,260","4,857",726,"4,023",911,743
2020년03월_여_60~69세,"10,644","4,192",770,"3,779","1,015",888
2020년03월_여_70~79세,"6,414","2,819",493,"1,913",661,528
2020년03월_여_80~89세,"3,242","1,421",366,825,343,287
2020년03월_여_90~99세,578,254,68,145,71,40
2020년03월_여_100세 이상,35,19,4,7,3,2
2020년04월_계_총인구수,"168,132","54,160","8,811","82,373","14,578","8,210"
2020년04월_계_연령구간인구수,"168,132","54,160","8,811","82,373","14,578","8,210"
2020년04월_계_0~9세,"19,064","3,530",429,"12,935","1,719",451
2020년04월_계_10~19세,"16,954","4,790",488,"10,309",930,437
2020년04월_계_20~29세,"16,121","6,365","1,019","6,646","1,304",787
2020년04월_계_30~39세,"24,839","5,913","1,082","14,537","2,552",755
2020년04월_계_40~49세,"30,894","8,752","1,006","18,017","2,078","1,041"
2020년04월_계_50~59세,"22,874","9,554","1,623","8,181","2,051","1,465"
2020년04월_계_60~69세,"19,965","7,899","1,605","6,689","2,062","1,710"
2020년04월_계_70~79세,"11,793","4,871",952,"3,636","1,269","1,065"
2020년04월_계_80~89세,"4,883","2,158",513,"1,248",523,441
2020년04월_계_90~99세,702,307,84,168,87,56
2020년04월_계_100세 이상,43,21,10,7,3,2
2020년04월_남_총인구수,"83,279","26,393","4,723","40,650","7,383","4,130"
2020년04월_남_연령구간인구수,"83,279","26,393","4,723","40,650","7,383","4,130"
2020년04월_남_0~9세,"9,688","1,819",224,"6,574",859,212
2020년04월_남_10~19세,"8,878","2,482",278,"5,374",500,244
2020년04월_남_20~29세,"8,578","3,412",614,"3,346",750,456
2020년04월_남_30~39세,"12,237","3,075",648,"6,809","1,320",385
2020년04월_남_40~49세,"15,970","4,350",592,"9,320","1,129",579
2020년04월_남_50~59세,"11,566","4,724",894,"4,165","1,058",725
2020년04월_남_60~69세,"9,264","3,702",838,"2,901",996,827
2020년04월_남_70~79세,"5,344","2,051",461,"1,713",586,533
2020년04월_남_80~89세,"1,626",727,152,423,170,154
