카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년01월_계_총인구수,"111,845","18,933","10,756","16,055","7,896","1,699","3,545","2,937","3,584","6,493","5,383","5,920","15,815","7,004","5,545",280
2020년01월_계_연령구간인구수,"111,845","18,933","10,756","16,055","7,896","1,699","3,545","2,937","3,584","6,493","5,383","5,920","15,815","7,004","5,545",280
2020년01월_계_0~9세,"8,713","1,616","1,116","2,207",738,48,114,77,71,210,250,372,"1,171",374,341,8
2020년01월_계_10~19세,"10,474","2,012","1,308","2,005",640,60,171,101,157,348,339,438,"1,769",683,436,7
2020년01월_계_20~29세,"11,075","2,485","1,130","1,644",564,137,292,183,270,450,529,511,"1,658",711,501,10
2020년01월_계_30~39세,"12,624","2,623","1,363","2,699",992,107,201,166,168,499,518,620,"1,515",627,505,21
2020년01월_계_40~49세,"17,940","3,406","1,977","3,050","1,255",187,381,292,358,787,739,907,"2,625","1,177",765,34
2020년01월_계_50~59세,"18,579","3,089","1,648","1,846","1,285",324,637,564,703,"1,197","1,016","1,056","2,927","1,311",930,46
2020년01월_계_60~69세,"15,619","1,869","1,064","1,260","1,170",382,714,655,755,"1,421","1,003","1,017","2,184","1,071",988,66
2020년01월_계_70~79세,"10,558","1,113",693,817,772,245,614,526,657,"1,062",652,691,"1,315",670,667,64
2020년01월_계_80~89세,"5,487",624,397,460,420,188,373,336,380,455,298,271,588,325,349,23
2020년01월_계_90~99세,752,90,60,66,59,21,46,35,64,62,39,32,62,54,61,1
2020년01월_계_100세 이상,24,6,0,1,1,0,2,2,1,2,0,5,1,1,2,0
2020년01월_남_총인구수,"56,399","9,856","5,353","8,375","3,944",891,"1,799","1,445","1,778","3,169","2,674","2,907","7,725","3,609","2,732",142
2020년01월_남_연령구간인구수,"56,399","9,856","5,353","8,375","3,944",891,"1,799","1,445","1,778","3,169","2,674","2,907","7,725","3,609","2,732",142
2020년01월_남_0~9세,"4,509",831,572,"1,181",356,27,69,45,39,109,130,190,609,176,171,4
2020년01월_남_10~19세,"5,411","1,000",677,"1,027",339,34,93,53,83,183,183,224,921,364,227,3
2020년01월_남_20~29세,"6,640","1,466",639,"1,044",329,87,178,108,167,266,332,319,966,440,290,9
2020년01월_남_30~39세,"6,713","1,462",666,"1,411",507,61,116,96,101,303,288,321,760,338,271,12
2020년01월_남_40~49세,"9,603","1,827","1,003","1,634",712,117,223,187,235,456,407,496,"1,245",617,418,26
2020년01월_남_50~59세,"9,706","1,649",869,"1,013",641,197,360,310,392,610,503,509,"1,450",707,469,27
2020년01월_남_60~69세,"7,570",944,523,587,582,194,357,323,368,648,473,454,"1,044",555,488,30
2020년01월_남_70~79세,"4,442",468,271,347,332,108,267,218,289,438,263,296,536,296,287,26
2020년01월_남_80~89세,"1,681",194,122,122,136,61,124,97,98,147,89,92,185,106,103,5
2020년01월_남_90~99세,118,15,11,9,10,5,11,7,5,9,6,4,9,9,8,0
2020년01월_남_100세 이상,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020년01월_여_총인구수,"55,446","9,077","5,403","7,680","3,952",808,"1,746","1,492","1,806","3,324","2,709","3,013","8,090","3,395","2,813",138
2020년01월_여_연령구간인구수,"55,446","9,077","5,403","7,680","3,952",808,"1,746","1,492","1,806","3,324","2,709","3,013","8,090","3,395","2,813",138
2020년01월_여_0~9세,"4,204",785,544,"1,026",382,21,45,32,32,101,120,182,562,198,170,4
2020년01월_여_10~19세,"5,063","1,012",631,978,301,26,78,48,74,165,156,214,848,319,209,4
2020년01월_여_20~29세,"4,435","1,019",491,600,235,50,114,75,103,184,197,192,692,271,211,1
2020년01월_여_30~39세,"5,911","1,161",697,"1,288",485,46,85,70,67,196,230,299,755,289,234,9
2020년01월_여_40~49세,"8,337","1,579",974,"1,416",543,70,158,105,123,331,332,411,"1,380",560,347,8
2020년01월_여_50~59세,"8,873","1,440",779,833,644,127,277,254,311,587,513,547,"1,477",604,461,19
2020년01월_여_60~69세,"8,049",925,541,673,588,188,357,332,387,773,530,563,"1,140",516,500,36
2020년01월_여_70~79세,"6,116",645,422,470,440,137,347,308,368,624,389,395,779,374,380,38
