카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년03월_계_총인구수,"42,663","6,830","18,363","8,842","8,628"
2020년03월_계_연령구간인구수,"42,663","6,830","18,363","8,842","8,628"
2020년03월_계_0~9세,"4,053",636,"1,289","1,344",784
2020년03월_계_10~19세,"6,491",895,"2,434","2,030","1,132"
2020년03월_계_20~29세,"4,867",731,"2,384",758,994
2020년03월_계_30~39세,"4,710",697,"1,672","1,402",939
2020년03월_계_40~49세,"8,432","1,116","3,258","2,491","1,567"
2020년03월_계_50~59세,"6,797","1,287","3,435",640,"1,435"
2020년03월_계_60~69세,"4,119",898,"2,021",91,"1,109"
2020년03월_계_70~79세,"1,945",359,"1,097",58,431
2020년03월_계_80~89세,"1,069",168,671,25,205
2020년03월_계_90~99세,170,40,97,3,30
2020년03월_계_100세 이상,10,3,5,0,2
2020년03월_남_총인구수,"21,221","3,317","9,008","4,563","4,333"
2020년03월_남_연령구간인구수,"21,221","3,317","9,008","4,563","4,333"
2020년03월_남_0~9세,"2,065",316,681,676,392
2020년03월_남_10~19세,"3,386",462,"1,283","1,040",601
2020년03월_남_20~29세,"2,715",386,"1,306",439,584
2020년03월_남_30~39세,"2,313",325,849,680,459
2020년03월_남_40~49세,"4,083",517,"1,537","1,286",743
2020년03월_남_50~59세,"3,420",634,"1,679",399,708
2020년03월_남_60~69세,"1,994",446,974,19,555
2020년03월_남_70~79세,873,178,472,15,208
2020년03월_남_80~89세,336,47,207,8,74
2020년03월_남_90~99세,36,6,20,1,9
2020년03월_남_100세 이상,0,0,0,0,0
2020년03월_여_총인구수,"21,442","3,513","9,355","4,279","4,295"
2020년03월_여_연령구간인구수,"21,442","3,513","9,355","4,279","4,295"
2020년03월_여_0~9세,"1,988",320,608,668,392
2020년03월_여_10~19세,"3,105",433,"1,151",990,531
2020년03월_여_20~29세,"2,152",345,"1,078",319,410
2020년03월_여_30~39세,"2,397",372,823,722,480
2020년03월_여_40~49세,"4,349",599,"1,721","1,205",824
2020년03월_여_50~59세,"3,377",653,"1,756",241,727
2020년03월_여_60~69세,"2,125",452,"1,047",72,554
2020년03월_여_70~79세,"1,072",181,625,43,223
2020년03월_여_80~89세,733,121,464,17,131
2020년03월_여_90~99세,134,34,77,2,21
2020년03월_여_100세 이상,10,3,5,0,2
2020년04월_계_총인구수,"42,757","6,817","18,339","8,946","8,655"
2020년04월_계_연령구간인구수,"42,757","6,817","18,339","8,946","8,655"
2020년04월_계_0~9세,"4,047",633,"1,280","1,352",782
2020년04월_계_10~19세,"6,483",891,"2,427","2,038","1,127"
2020년04월_계_20~29세,"4,879",728,"2,376",779,996
2020년04월_계_30~39세,"4,712",690,"1,668","1,410",944
2020년04월_계_40~49세,"8,453","1,112","3,239","2,531","1,571"
2020년04월_계_50~59세,"6,838","1,290","3,446",662,"1,440"
2020년04월_계_60~69세,"4,153",901,"2,037",89,"1,126"
2020년04월_계_70~79세,"1,947",366,"1,091",56,434
2020년04월_계_80~89세,"1,066",166,672,26,202
2020년04월_계_90~99세,169,37,98,3,31
2020년04월_계_100세 이상,10,3,5,0,2
2020년04월_남_총인구수,"21,294","3,309","8,998","4,634","4,353"
2020년04월_남_연령구간인구수,"21,294","3,309","8,998","4,634","4,353"
2020년04월_남_0~9세,"2,060",312,675,680,393
2020년04월_남_10~19세,"3,384",455,"1,275","1,056",598
2020년04월_남_20~29세,"2,729",386,"1,306",449,588
2020년04월_남_30~39세,"2,319",326,845,682,466
2020년04월_남_40~49세,"4,097",516,"1,530","1,309",742
2020년04월_남_50~59세,"3,447",637,"1,687",412,711
2020년04월_남_60~69세,"2,015",446,984,22,563
2020년04월_남_70~79세,871,179,468,15,209
2020년04월_남_80~89세,337,48,207,8,74
2020년04월_남_90~99세,35,4,21,1,9
2020년04월_남_100세 이상,0,0,0,0,0
2020년04월_여_총인구수,"21,463","3,508","9,341","4,312","4,302"
2020년04월_여_연령구간인구수,"21,463","3,508","9,341","4,312","4,302"
2020년04월_여_0~9세,"1,987",321,605,672,389
2020년04월_여_10~19세,"3,099",436,"1,152",982,529
2020년04월_여_20~29세,"2,150",342,"1,070",330,408
2020년04월_여_30~39세,"2,393",364,823,728,478
2020년04월_여_40~49세,"4,356",596,"1,709","1,222",829
2020년04월_여_50~59세,"3,391",653,"1,759",250,729
2020년04월_여_60~69세,"2,138",455,"1,053",67,563
2020년04월_여_70~79세,"1,076",187,623,41,225
2020년04월_여_80~89세,729,118,465,18,128
2020년04월_여_90~99세,134,33,77,2,22
2020년04월_여_100세 이상,10,3,5,0,2
2020년05월_계_총인구수,"42,696","6,815","18,296","8,929","8,656"
2020년05월_계_연령구간인구수,"42,696","6,815","18,296","8,929","8,656"
2020년05월_계_0~9세,"4,037",627,"1,274","1,362",774
2020년05월_계_10~19세,"6,456",904,"2,406","2,025","1,121"
2020년05월_계_20~29세,"4,846",713,"2,359",774,"1,000"
2020년05월_계_30~39세,"4,701",686,"1,657","1,411",947
2020년05월_계_40~49세,"8,436","1,129","3,224","2,520","1,563"
2020년05월_계_50~59세,"6,850","1,273","3,458",663,"1,456"
2020년05월_계_60~69세,"4,166",905,"2,045",91,"1,125"
2020년05월_계_70~79세,"1,957",373,"1,096",54,434
2020년05월_계_80~89세,"1,068",164,675,26,203
2020년05월_계_90~99세,169,38,97,3,31
2020년05월_계_100세 이상,10,3,5,0,2
2020년05월_남_총인구수,"21,272","3,315","8,992","4,620","4,345"
2020년05월_남_연령구간인구수,"21,272","3,315","8,992","4,620","4,345"
2020년05월_남_0~9세,"2,053",313,671,680,389
2020년05월_남_10~19세,"3,382",459,"1,276","1,057",590
2020년05월_남_20~29세,"2,710",380,"1,297",443,590
2020년05월_남_30~39세,"2,316",327,841,680,468
2020년05월_남_40~49세,"4,087",525,"1,524","1,304",734
2020년05월_남_50~59세,"3,454",629,"1,693",411,721
2020년05월_남_60~69세,"2,017",448,987,22,560
2020년05월_남_70~79세,879,181,472,14,212
2020년05월_남_80~89세,337,48,209,8,72
2020년05월_남_90~99세,37,5,22,1,9
2020년05월_남_100세 이상,0,0,0,0,0
2020년05월_여_총인구수,"21,424","3,500","9,304","4,309","4,311"
2020년05월_여_연령구간인구수,"21,424","3,500","9,304","4,309","4,311"
2020년05월_여_0~9세,"1,984",314,603,682,385
2020년05월_여_10~19세,"3,074",445,"1,130",968,531
2020년05월_여_20~29세,"2,136",333,"1,062",331,410
2020년05월_여_30~39세,"2,385",359,816,731,479
2020년05월_여_40~49세,"4,349",604,"1,700","1,216",829
2020년05월_여_50~59세,"3,396",644,"1,765",252,735
2020년05월_여_60~69세,"2,149",457,"1,058",69,565
2020년05월_여_70~79세,"1,078",192,624,40,222
2020년05월_여_80~89세,731,116,466,18,131
2020년05월_여_90~99세,132,33,75,2,22
2020년05월_여_100세 이상,10,3,5,0,2
2020년06월_계_총인구수,"42,803","6,836","18,406","8,901","8,660"
2020년06월_계_연령구간인구수,"42,803","6,836","18,406","8,901","8,660"
2020년06월_계_0~9세,"4,033",630,"1,286","1,354",763
2020년06월_계_10~19세,"6,443",907,"2,411","2,016","1,109"
2020년06월_계_20~29세,"4,852",714,"2,374",765,999
2020년06월_계_30~39세,"4,724",686,"1,679","1,410",949
2020년06월_계_40~49세,"8,446","1,130","3,242","2,526","1,548"
2020년06월_계_50~59세,"6,871","1,275","3,452",662,"1,482"
2020년06월_계_60~69세,"4,206",911,"2,077",86,"1,132"
2020년06월_계_70~79세,"1,983",378,"1,108",54,443
2020년06월_계_80~89세,"1,070",161,680,25,204
2020년06월_계_90~99세,165,41,92,3,29
2020년06월_계_100세 이상,10,3,5,0,2
2020년06월_남_총인구수,"21,319","3,323","9,032","4,611","4,353"
2020년06월_남_연령구간인구수,"21,319","3,323","9,032","4,611","4,353"
2020년06월_남_0~9세,"2,051",314,676,679,382
2020년06월_남_10~19세,"3,375",459,"1,278","1,051",587
2020년06월_남_20~29세,"2,708",377,"1,302",439,590
2020년06월_남_30~39세,"2,330",324,847,684,475
2020년06월_남_40~49세,"4,096",525,"1,534","1,310",727
2020년06월_남_50~59세,"3,466",634,"1,693",405,734
2020년06월_남_60~69세,"2,030",453,996,20,561
2020년06월_남_70~79세,885,184,472,14,215
2020년06월_남_80~89세,341,46,214,8,73
2020년06월_남_90~99세,37,7,20,1,9
2020년06월_남_100세 이상,0,0,0,0,0
2020년06월_여_총인구수,"21,484","3,513","9,374","4,290","4,307"
2020년06월_여_연령구간인구수,"21,484","3,513","9,374","4,290","4,307"
2020년06월_여_0~9세,"1,982",316,610,675,381
2020년06월_여_10~19세,"3,068",448,"1,133",965,522
2020년06월_여_20~29세,"2,144",337,"1,072",326,409
2020년06월_여_30~39세,"2,394",362,832,726,474
2020년06월_여_40~49세,"4,350",605,"1,708","1,216",821
2020년06월_여_50~59세,"3,405",641,"1,759",257,748
2020년06월_여_60~69세,"2,176",458,"1,081",66,571
2020년06월_여_70~79세,"1,098",194,636,40,228
2020년06월_여_80~89세,729,115,466,17,131
2020년06월_여_90~99세,128,34,72,2,20
2020년06월_여_100세 이상,10,3,5,0,2
2020년07월_계_총인구수,"42,772","6,810","18,373","8,929","8,660"
2020년07월_계_연령구간인구수,"42,772","6,810","18,373","8,929","8,660"
2020년07월_계_0~9세,"4,004",625,"1,278","1,346",755
2020년07월_계_10~19세,"6,424",893,"2,392","2,027","1,112"
2020년07월_계_20~29세,"4,859",714,"2,368",785,992
2020년07월_계_30~39세,"4,691",677,"1,666","1,412",936
2020년07월_계_40~49세,"8,442","1,128","3,226","2,526","1,562"
2020년07월_계_50~59세,"6,876","1,270","3,466",668,"1,472"
2020년07월_계_60~69세,"4,234",918,"2,086",84,"1,146"
2020년07월_계_70~79세,"1,993",380,"1,109",54,450
2020년07월_계_80~89세,"1,075",161,685,25,204
2020년07월_계_90~99세,164,41,92,2,29
2020년07월_계_100세 이상,10,3,5,0,2
2020년07월_남_총인구수,"21,306","3,316","9,013","4,633","4,344"
2020년07월_남_연령구간인구수,"21,306","3,316","9,013","4,633","4,344"
2020년07월_남_0~9세,"2,034",311,674,672,377
2020년07월_남_10~19세,"3,354",451,"1,259","1,058",586
2020년07월_남_20~29세,"2,724",382,"1,301",454,587
2020년07월_남_30~39세,"2,318",324,839,689,466
2020년07월_남_40~49세,"4,096",524,"1,530","1,310",732
2020년07월_남_50~59세,"3,469",630,"1,702",409,728
2020년07월_남_60~69세,"2,043",455,"1,000",19,569
2020년07월_남_70~79세,887,185,472,13,217
2020년07월_남_80~89세,345,47,217,8,73
2020년07월_남_90~99세,36,7,19,1,9
2020년07월_남_100세 이상,0,0,0,0,0
2020년07월_여_총인구수,"21,466","3,494","9,360","4,296","4,316"
2020년07월_여_연령구간인구수,"21,466","3,494","9,360","4,296","4,316"
2020년07월_여_0~9세,"1,970",314,604,674,378
2020년07월_여_10~19세,"3,070",442,"1,133",969,526
2020년07월_여_20~29세,"2,135",332,"1,067",331,405
2020년07월_여_30~39세,"2,373",353,827,723,470
2020년07월_여_40~49세,"4,346",604,"1,696","1,216",830
2020년07월_여_50~59세,"3,407",640,"1,764",259,744
2020년07월_여_60~69세,"2,191",463,"1,086",65,577
2020년07월_여_70~79세,"1,106",195,637,41,233
2020년07월_여_80~89세,730,114,468,17,131
2020년07월_여_90~99세,128,34,73,1,20
2020년07월_여_100세 이상,10,3,5,0,2
2020년08월_계_총인구수,"42,802","6,768","18,362","8,969","8,703"
2020년08월_계_연령구간인구수,"42,802","6,768","18,362","8,969","8,703"
2020년08월_계_0~9세,"3,999",617,"1,279","1,344",759
2020년08월_계_10~19세,"6,381",893,"2,382","2,005","1,101"
2020년08월_계_20~29세,"4,859",698,"2,364",796,"1,001"
2020년08월_계_30~39세,"4,665",663,"1,662","1,402",938
2020년08월_계_40~49세,"8,441","1,129","3,214","2,539","1,559"
2020년08월_계_50~59세,"6,909","1,260","3,451",704,"1,494"
2020년08월_계_60~69세,"4,291",917,"2,120",93,"1,161"
2020년08월_계_70~79세,"2,009",386,"1,112",59,452
2020년08월_계_80~89세,"1,067",158,678,25,206
2020년08월_계_90~99세,171,44,95,2,30
2020년08월_계_100세 이상,10,3,5,0,2
2020년08월_남_총인구수,"21,300","3,292","9,003","4,651","4,354"
2020년08월_남_연령구간인구수,"21,300","3,292","9,003","4,651","4,354"
2020년08월_남_0~9세,"2,030",311,674,672,373
2020년08월_남_10~19세,"3,335",446,"1,259","1,052",578
2020년08월_남_20~29세,"2,715",375,"1,292",460,588
2020년08월_남_30~39세,"2,295",314,826,688,467
2020년08월_남_40~49세,"4,110",526,"1,539","1,310",735
2020년08월_남_50~59세,"3,471",628,"1,682",427,734
2020년08월_남_60~69세,"2,077",451,"1,027",22,577
2020년08월_남_70~79세,887,187,469,12,219
2020년08월_남_80~89세,343,47,216,7,73
2020년08월_남_90~99세,37,7,19,1,10
