카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년01월_계_총인구수,"151,215","12,738","9,554","2,779","10,095","18,653","8,707","10,614","4,374","7,207","5,357","7,838","16,806","5,231","8,528","7,114","6,188","9,432"
2020년01월_계_연령구간인구수,"151,215","12,738","9,554","2,779","10,095","18,653","8,707","10,614","4,374","7,207","5,357","7,838","16,806","5,231","8,528","7,114","6,188","9,432"
2020년01월_계_0~9세,"8,182",893,634,112,603,"1,199",745,918,214,212,124,276,755,163,266,422,328,318
2020년01월_계_10~19세,"11,714","1,256",749,214,958,"1,715","1,042",866,356,234,264,467,"1,408",264,581,568,409,363
2020년01월_계_20~29세,"23,442","1,618","1,231",354,"1,377","2,606",964,"1,313",494,863,"1,103","1,691","4,355",608,"1,219","1,017",809,"1,820"
2020년01월_계_30~39세,"20,356","1,771","1,407",396,"1,241","2,276",984,"1,805",596,890,693,"1,329","2,148",531,903,"1,005",871,"1,510"
2020년01월_계_40~49세,"23,030","2,251","1,527",387,"1,651","2,796","1,593","1,899",776,940,653,"1,045","2,330",693,"1,233","1,007",973,"1,276"
2020년01월_계_50~59세,"25,710","1,979","1,536",432,"1,720","3,364","1,387","1,583",708,"1,395",988,"1,155","2,271","1,171","1,867","1,307","1,151","1,696"
2020년01월_계_60~69세,"19,236","1,341","1,145",402,"1,273","2,352",996,"1,136",574,"1,369",744,903,"1,570",979,"1,304",963,855,"1,330"
2020년01월_계_70~79세,"12,563","1,031",784,298,797,"1,420",638,729,442,815,541,607,"1,259",567,798,548,531,758
2020년01월_계_80~89세,"5,705",500,430,146,390,747,293,306,168,363,198,309,610,205,302,226,217,295
2020년01월_계_90~99세,"1,018",80,92,29,75,154,49,44,36,89,40,43,79,43,42,39,36,48
2020년01월_계_100세 이상,259,18,19,9,10,24,16,15,10,37,9,13,21,7,13,12,8,18
2020년01월_남_총인구수,"73,688","5,933","4,301","1,340","4,817","8,742","4,052","4,933","2,018","4,292","2,907","3,704","8,115","2,815","4,358","3,506","3,037","4,818"
2020년01월_남_연령구간인구수,"73,688","5,933","4,301","1,340","4,817","8,742","4,052","4,933","2,018","4,292","2,907","3,704","8,115","2,815","4,358","3,506","3,037","4,818"
2020년01월_남_0~9세,"4,128",462,318,51,311,609,333,470,104,116,63,138,359,88,139,235,166,166
2020년01월_남_10~19세,"5,898",663,343,129,518,879,494,420,188,115,136,233,706,131,295,279,196,173
2020년01월_남_20~29세,"11,621",799,568,185,723,"1,350",440,607,234,444,570,807,"2,189",333,653,535,409,775
2020년01월_남_30~39세,"10,081",823,625,194,573,"1,049",446,838,283,500,417,625,"1,119",303,531,485,467,803
2020년01월_남_40~49세,"11,190",992,679,189,765,"1,246",755,896,364,577,371,518,"1,114",357,653,497,507,710
2020년01월_남_50~59세,"12,936",947,691,208,790,"1,522",725,767,317,970,569,567,"1,090",668,974,643,552,936
2020년01월_남_60~69세,"9,540",583,521,186,601,"1,130",454,496,268,875,414,437,756,564,639,481,413,722
2020년01월_남_70~79세,"5,570",428,337,137,354,625,254,293,179,477,267,250,514,270,334,244,223,384
2020년01월_남_80~89세,"2,283",201,177,47,159,282,123,127,70,172,82,112,239,83,123,80,85,121
2020년01월_남_90~99세,356,32,37,13,20,42,17,14,7,35,14,14,21,18,15,18,17,22
2020년01월_남_100세 이상,85,3,5,1,3,8,11,5,4,11,4,3,8,0,2,9,2,6
2020년01월_여_총인구수,"77,527","6,805","5,253","1,439","5,278","9,911","4,655","5,681","2,356","2,915","2,450","4,134","8,691","2,416","4,170","3,608","3,151","4,614"
2020년01월_여_연령구간인구수,"77,527","6,805","5,253","1,439","5,278","9,911","4,655","5,681","2,356","2,915","2,450","4,134","8,691","2,416","4,170","3,608","3,151","4,614"
2020년01월_여_0~9세,"4,054",431,316,61,292,590,412,448,110,96,61,138,396,75,127,187,162,152
2020년01월_여_10~19세,"5,816",593,406,85,440,836,548,446,168,119,128,234,702,133,286,289,213,190
2020년01월_여_20~29세,"11,821",819,663,169,654,"1,256",524,706,260,419,533,884,"2,166",275,566,482,400,"1,045"
2020년01월_여_30~39세,"10,275",948,782,202,668,"1,227",538,967,313,390,276,704,"1,029",228,372,520,404,707
2020년01월_여_40~49세,"11,840","1,259",848,198,886,"1,550",838,"1,003",412,363,282,527,"1,216",336,580,510,466,566
2020년01월_여_50~59세,"12,774","1,032",845,224,930,"1,842",662,816,391,425,419,588,"1,181",503,893,664,599,760
2020년01월_여_60~69세,"9,696",758,624,216,672,"1,222",542,640,306,494,330,466,814,415,665,482,442,608
2020년01월_여_70~79세,"6,993",603,447,161,443,795,384,436,263,338,274,357,745,297,464,304,308,374
2020년01월_여_80~89세,"3,422",299,253,99,231,465,170,179,98,191,116,197,371,122,179,146,132,174
2020년01월_여_90~99세,662,48,55,16,55,112,32,30,29,54,26,29,58,25,27,21,19,26
2020년01월_여_100세 이상,174,15,14,8,7,16,5,10,6,26,5,10,13,7,11,3,6,12
2020년02월_계_총인구수,"151,309","12,759","9,544","2,761","10,120","18,630","8,717","10,656","4,382","7,217","5,377","7,828","16,845","5,224","8,526","7,079","6,183","9,461"
