카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면,강원도 양구군 국토정중앙면
2020년03월_계_총인구수,"22,301","14,209","3,348","2,068","1,344","1,332",
2020년03월_계_연령구간인구수,"22,301","14,209","3,348","2,068","1,344","1,332",
2020년03월_계_0~9세,"1,796","1,510",117,77,52,40,
2020년03월_계_10~19세,"2,035","1,581",198,103,68,85,
2020년03월_계_20~29세,"3,116","1,836",402,480,282,116,
2020년03월_계_30~39세,"2,587","2,012",248,134,107,86,
2020년03월_계_40~49세,"2,599","1,880",317,168,84,150,
2020년03월_계_50~59세,"3,650","2,087",677,351,227,308,
2020년03월_계_60~69세,"3,175","1,707",642,324,252,250,
2020년03월_계_70~79세,"2,078",980,462,284,161,191,
2020년03월_계_80~89세,"1,102",538,245,124,102,93,
2020년03월_계_90~99세,147,65,37,23,9,13,
2020년03월_계_100세 이상,16,13,3,0,0,0,
2020년03월_남_총인구수,"11,806","7,282","1,824","1,194",784,722,
2020년03월_남_연령구간인구수,"11,806","7,282","1,824","1,194",784,722,
2020년03월_남_0~9세,893,746,60,39,24,24,
2020년03월_남_10~19세,"1,053",800,110,50,40,53,
2020년03월_남_20~29세,"2,080","1,102",296,376,235,71,
2020년03월_남_30~39세,"1,429","1,075",157,84,64,49,
2020년03월_남_40~49세,"1,414",995,186,96,47,90,
2020년03월_남_50~59세,"1,937","1,066",382,187,132,170,
2020년03월_남_60~69세,"1,680",882,341,184,136,137,
2020년03월_남_70~79세,904,414,200,127,69,94,
2020년03월_남_80~89세,369,176,81,45,35,32,
2020년03월_남_90~99세,40,20,10,6,2,2,
2020년03월_남_100세 이상,7,6,1,0,0,0,
2020년03월_여_총인구수,"10,495","6,927","1,524",874,560,610,
2020년03월_여_연령구간인구수,"10,495","6,927","1,524",874,560,610,
2020년03월_여_0~9세,903,764,57,38,28,16,
2020년03월_여_10~19세,982,781,88,53,28,32,
2020년03월_여_20~29세,"1,036",734,106,104,47,45,
2020년03월_여_30~39세,"1,158",937,91,50,43,37,
2020년03월_여_40~49세,"1,185",885,131,72,37,60,
2020년03월_여_50~59세,"1,713","1,021",295,164,95,138,
2020년03월_여_60~69세,"1,495",825,301,140,116,113,
2020년03월_여_70~79세,"1,174",566,262,157,92,97,
2020년03월_여_80~89세,733,362,164,79,67,61,
2020년03월_여_90~99세,107,45,27,17,7,11,
2020년03월_여_100세 이상,9,7,2,0,0,0,
2020년04월_계_총인구수,"22,375","14,322","3,345","2,056","1,327","1,325",
2020년04월_계_연령구간인구수,"22,375","14,322","3,345","2,056","1,327","1,325",
2020년04월_계_0~9세,"1,793","1,506",119,74,54,40,
2020년04월_계_10~19세,"2,129","1,675",197,102,67,88,
2020년04월_계_20~29세,"3,071","1,836",389,466,268,112,
2020년04월_계_30~39세,"2,583","2,002",253,133,107,88,
2020년04월_계_40~49세,"2,620","1,909",316,167,82,146,
2020년04월_계_50~59세,"3,641","2,081",672,356,223,309,
2020년04월_계_60~69세,"3,206","1,721",654,329,255,247,
2020년04월_계_70~79세,"2,064",976,457,279,163,189,
2020년04월_계_80~89세,"1,106",538,248,128,99,93,
2020년04월_계_90~99세,147,66,37,22,9,13,
2020년04월_계_100세 이상,15,12,3,0,0,0,
2020년04월_남_총인구수,"11,801","7,311","1,815","1,185",775,715,
2020년04월_남_연령구간인구수,"11,801","7,311","1,815","1,185",775,715,
2020년04월_남_0~9세,893,743,62,38,25,25,
2020년04월_남_10~19세,"1,081",831,108,50,39,53,
2020년04월_남_20~29세,"2,040","1,097",285,362,227,69,
2020년04월_남_30~39세,"1,428","1,070",158,86,64,50,
2020년04월_남_40~49세,"1,422","1,008",185,95,47,87,
2020년04월_남_50~59세,"1,930","1,063",377,191,129,170,
2020년04월_남_60~69세,"1,694",887,349,186,137,135,
2020년04월_남_70~79세,899,413,199,123,71,93,
2020년04월_남_80~89세,368,174,81,48,34,31,
2020년04월_남_90~99세,40,20,10,6,2,2,
2020년04월_남_100세 이상,6,5,1,0,0,0,
2020년04월_여_총인구수,"10,574","7,011","1,530",871,552,610,
2020년04월_여_연령구간인구수,"10,574","7,011","1,530",871,552,610,
2020년04월_여_0~9세,900,763,57,36,29,15,
2020년04월_여_10~19세,"1,048",844,89,52,28,35,
2020년04월_여_20~29세,"1,031",739,104,104,41,43,
2020년04월_여_30~39세,"1,155",932,95,47,43,38,
2020년04월_여_40~49세,"1,198",901,131,72,35,59,
2020년04월_여_50~59세,"1,711","1,018",295,165,94,139,
2020년04월_여_60~69세,"1,512",834,305,143,118,112,
2020년04월_여_70~79세,"1,165",563,258,156,92,96,
2020년04월_여_80~89세,738,364,167,80,65,62,
2020년04월_여_90~99세,107,46,27,16,7,11,
2020년04월_여_100세 이상,9,7,2,0,0,0,
2020년05월_계_총인구수,"22,378","14,330","3,341","2,053","1,330","1,324",
2020년05월_계_연령구간인구수,"22,378","14,330","3,341","2,053","1,330","1,324",
2020년05월_계_0~9세,"1,796","1,511",120,72,53,40,
2020년05월_계_10~19세,"2,117","1,670",195,100,66,86,
2020년05월_계_20~29세,"3,083","1,846",390,466,266,115,
2020년05월_계_30~39세,"2,592","2,009",251,130,112,90,
2020년05월_계_40~49세,"2,597","1,893",315,164,80,145,
2020년05월_계_50~59세,"3,633","2,077",671,359,222,304,
2020년05월_계_60~69세,"3,232","1,731",657,335,259,250,
2020년05월_계_70~79세,"2,060",975,458,277,164,186,
2020년05월_계_80~89세,"1,109",541,247,128,99,94,
2020년05월_계_90~99세,144,65,34,22,9,14,
2020년05월_계_100세 이상,15,12,3,0,0,0,
2020년05월_남_총인구수,"11,802","7,320","1,806","1,185",776,715,
2020년05월_남_연령구간인구수,"11,802","7,320","1,806","1,185",776,715,
2020년05월_남_0~9세,902,754,61,37,25,25,
2020년05월_남_10~19세,"1,071",828,107,48,37,51,
2020년05월_남_20~29세,"2,044","1,101",284,363,224,72,
2020년05월_남_30~39세,"1,437","1,075",156,85,70,51,
2020년05월_남_40~49세,"1,412","1,001",184,94,46,87,
2020년05월_남_50~59세,"1,922","1,058",375,193,129,167,
2020년05월_남_60~69세,"1,704",889,351,189,138,137,
2020년05월_남_70~79세,896,414,198,122,71,91,
2020년05월_남_80~89세,371,175,82,48,34,32,
2020년05월_남_90~99세,37,20,7,6,2,2,
2020년05월_남_100세 이상,6,5,1,0,0,0,
2020년05월_여_총인구수,"10,576","7,010","1,535",868,554,609,
2020년05월_여_연령구간인구수,"10,576","7,010","1,535",868,554,609,
2020년05월_여_0~9세,894,757,59,35,28,15,
2020년05월_여_10~19세,"1,046",842,88,52,29,35,
2020년05월_여_20~29세,"1,039",745,106,103,42,43,
2020년05월_여_30~39세,"1,155",934,95,45,42,39,
2020년05월_여_40~49세,"1,185",892,131,70,34,58,
2020년05월_여_50~59세,"1,711","1,019",296,166,93,137,
2020년05월_여_60~69세,"1,528",842,306,146,121,113,
2020년05월_여_70~79세,"1,164",561,260,155,93,95,
2020년05월_여_80~89세,738,366,165,80,65,62,
2020년05월_여_90~99세,107,45,27,16,7,12,
2020년05월_여_100세 이상,9,7,2,0,0,0,
2020년06월_계_총인구수,"22,332","14,288","3,332","2,042","1,347","1,323",
2020년06월_계_연령구간인구수,"22,332","14,288","3,332","2,042","1,347","1,323",
2020년06월_계_0~9세,"1,787","1,505",118,71,54,39,
2020년06월_계_10~19세,"2,111","1,668",191,98,67,87,
2020년06월_계_20~29세,"3,064","1,835",384,451,279,115,
2020년06월_계_30~39세,"2,608","2,019",250,132,114,93,
2020년06월_계_40~49세,"2,576","1,875",314,165,81,141,
2020년06월_계_50~59세,"3,604","2,067",668,355,217,297,
2020년06월_계_60~69세,"3,254","1,735",663,340,261,255,
2020년06월_계_70~79세,"2,062",968,460,279,166,189,
2020년06월_계_80~89세,"1,106",542,245,127,99,93,
2020년06월_계_90~99세,147,64,36,24,9,14,
2020년06월_계_100세 이상,13,10,3,0,0,0,
2020년06월_남_총인구수,"11,789","7,304","1,803","1,172",797,713,
2020년06월_남_연령구간인구수,"11,789","7,304","1,803","1,172",797,713,
2020년06월_남_0~9세,904,755,61,36,27,25,
2020년06월_남_10~19세,"1,064",825,104,46,38,51,
2020년06월_남_20~29세,"2,033","1,094",280,350,237,72,
2020년06월_남_30~39세,"1,444","1,081",152,87,72,52,
2020년06월_남_40~49세,"1,403",993,186,92,49,83,
2020년06월_남_50~59세,"1,915","1,054",376,193,127,165,
2020년06월_남_60~69세,"1,716",894,354,190,139,139,
2020년06월_남_70~79세,897,410,199,124,72,92,
2020년06월_남_80~89세,371,175,82,48,34,32,
2020년06월_남_90~99세,37,19,8,6,2,2,
2020년06월_남_100세 이상,5,4,1,0,0,0,
2020년06월_여_총인구수,"10,543","6,984","1,529",870,550,610,
2020년06월_여_연령구간인구수,"10,543","6,984","1,529",870,550,610,
2020년06월_여_0~9세,883,750,57,35,27,14,
2020년06월_여_10~19세,"1,047",843,87,52,29,36,
2020년06월_여_20~29세,"1,031",741,104,101,42,43,
2020년06월_여_30~39세,"1,164",938,98,45,42,41,
2020년06월_여_40~49세,"1,173",882,128,73,32,58,
2020년06월_여_50~59세,"1,689","1,013",292,162,90,132,
2020년06월_여_60~69세,"1,538",841,309,150,122,116,
2020년06월_여_70~79세,"1,165",558,261,155,94,97,
2020년06월_여_80~89세,735,367,163,79,65,61,
2020년06월_여_90~99세,110,45,28,18,7,12,
2020년06월_여_100세 이상,8,6,2,0,0,0,
2020년07월_계_총인구수,"22,295","14,280","3,321","2,028","1,337","1,329",
2020년07월_계_연령구간인구수,"22,295","14,280","3,321","2,028","1,337","1,329",
2020년07월_계_0~9세,"1,777","1,502",115,72,50,38,
2020년07월_계_10~19세,"2,106","1,666",186,96,70,88,
2020년07월_계_20~29세,"3,050","1,832",386,440,273,119,
2020년07월_계_30~39세,"2,601","2,019",247,134,109,92,
2020년07월_계_40~49세,"2,569","1,871",309,164,82,143,
2020년07월_계_50~59세,"3,599","2,069",664,351,217,298,
2020년07월_계_60~69세,"3,271","1,743",667,343,263,255,
2020년07월_계_70~79세,"2,051",962,462,276,163,188,
2020년07월_계_80~89세,"1,112",542,247,128,101,94,
2020년07월_계_90~99세,146,64,35,24,9,14,
2020년07월_계_100세 이상,13,10,3,0,0,0,
2020년07월_남_총인구수,"11,775","7,313","1,794","1,163",790,715,
2020년07월_남_연령구간인구수,"11,775","7,313","1,794","1,163",790,715,
2020년07월_남_0~9세,901,754,61,36,25,25,
2020년07월_남_10~19세,"1,061",824,100,46,41,50,
2020년07월_남_20~29세,"2,024","1,099",282,339,230,74,
2020년07월_남_30~39세,"1,438","1,081",148,89,69,51,
2020년07월_남_40~49세,"1,400",992,183,91,49,85,
2020년07월_남_50~59세,"1,916","1,060",372,192,127,165,
2020년07월_남_60~69세,"1,730",901,355,192,142,140,
