카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년01월_계_총인구수,"226,736","35,894","19,757","59,279","31,395","16,316","64,095"
2020년01월_계_연령구간인구수,"226,736","35,894","19,757","59,279","31,395","16,316","64,095"
2020년01월_계_0~9세,"25,098","4,201",992,"7,516","4,183","1,545","6,661"
2020년01월_계_10~19세,"24,934","4,302","1,241","6,670","3,222","2,061","7,438"
2020년01월_계_20~29세,"30,575","4,465","3,660","6,793","4,076","2,184","9,397"
2020년01월_계_30~39세,"39,937","5,850","4,860","10,120","6,140","2,557","10,410"
2020년01월_계_40~49세,"42,187","6,671","3,574","10,978","5,813","3,124","12,027"
2020년01월_계_50~59세,"32,356","5,257","2,741","8,210","4,132","2,439","9,577"
2020년01월_계_60~69세,"18,108","2,890","1,582","5,110","2,348","1,325","4,853"
2020년01월_계_70~79세,"9,336","1,517",786,"2,647","1,029",717,"2,640"
2020년01월_계_80~89세,"3,713",649,283,"1,099",384,333,965
2020년01월_계_90~99세,445,85,32,123,62,25,118
2020년01월_계_100세 이상,47,7,6,13,6,6,9
2020년01월_남_총인구수,"117,148","17,994","11,564","29,909","16,147","8,399","33,135"
2020년01월_남_연령구간인구수,"117,148","17,994","11,564","29,909","16,147","8,399","33,135"
2020년01월_남_0~9세,"12,850","2,143",504,"3,843","2,146",812,"3,402"
2020년01월_남_10~19세,"12,824","2,140",649,"3,377","1,665","1,066","3,927"
2020년01월_남_20~29세,"16,469","2,350","2,070","3,600","2,155","1,183","5,111"
2020년01월_남_30~39세,"21,383","2,985","3,109","5,194","3,213","1,381","5,501"
2020년01월_남_40~49세,"22,362","3,388","2,203","5,790","3,068","1,607","6,306"
2020년01월_남_50~59세,"16,780","2,685","1,692","4,073","2,071","1,275","4,984"
2020년01월_남_60~69세,"8,920","1,415",843,"2,460","1,180",634,"2,388"
2020년01월_남_70~79세,"4,109",628,375,"1,169",502,315,"1,120"
2020년01월_남_80~89세,"1,341",242,111,373,134,117,364
2020년01월_남_90~99세,96,15,6,27,12,5,31
2020년01월_남_100세 이상,14,3,2,3,1,4,1
2020년01월_여_총인구수,"109,588","17,900","8,193","29,370","15,248","7,917","30,960"
2020년01월_여_연령구간인구수,"109,588","17,900","8,193","29,370","15,248","7,917","30,960"
2020년01월_여_0~9세,"12,248","2,058",488,"3,673","2,037",733,"3,259"
2020년01월_여_10~19세,"12,110","2,162",592,"3,293","1,557",995,"3,511"
2020년01월_여_20~29세,"14,106","2,115","1,590","3,193","1,921","1,001","4,286"
2020년01월_여_30~39세,"18,554","2,865","1,751","4,926","2,927","1,176","4,909"
2020년01월_여_40~49세,"19,825","3,283","1,371","5,188","2,745","1,517","5,721"
2020년01월_여_50~59세,"15,576","2,572","1,049","4,137","2,061","1,164","4,593"
2020년01월_여_60~69세,"9,188","1,475",739,"2,650","1,168",691,"2,465"
2020년01월_여_70~79세,"5,227",889,411,"1,478",527,402,"1,520"
2020년01월_여_80~89세,"2,372",407,172,726,250,216,601
2020년01월_여_90~99세,349,70,26,96,50,20,87
2020년01월_여_100세 이상,33,4,4,10,5,2,8
2020년02월_계_총인구수,"226,900","36,019","19,755","59,250","31,547","16,255","64,074"
