카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년01월_계_총인구수,"116,447","10,842","4,198","9,111","9,538","7,424","5,460","7,056","18,927","29,492","3,600","10,799"
2020년01월_계_연령구간인구수,"116,447","10,842","4,198","9,111","9,538","7,424","5,460","7,056","18,927","29,492","3,600","10,799"
2020년01월_계_0~9세,"5,707",407,211,440,255,389,163,410,"1,135","1,682",193,422
2020년01월_계_10~19세,"7,935",556,275,634,533,445,303,486,"1,487","2,419",211,586
2020년01월_계_20~29세,"12,479","1,084",455,922,844,749,522,653,"2,068","3,556",603,"1,023"
2020년01월_계_30~39세,"11,523","1,053",414,844,734,823,460,731,"2,007","3,069",363,"1,025"
2020년01월_계_40~49세,"15,917","1,414",538,"1,178","1,210","1,001",721,"1,066","2,801","4,214",456,"1,318"
2020년01월_계_50~59세,"20,576","2,014",754,"1,624","1,796","1,241",981,"1,132","3,303","5,300",487,"1,944"
2020년01월_계_60~69세,"21,536","2,133",804,"1,686","1,871","1,409","1,055","1,240","3,309","5,031",666,"2,332"
2020년01월_계_70~79세,"14,407","1,488",522,"1,218","1,569",875,908,931,"1,975","2,970",442,"1,509"
2020년01월_계_80~89세,"5,521",605,191,476,625,411,308,341,735,"1,110",152,567
2020년01월_계_90~99세,718,80,24,76,88,53,32,54,92,127,25,67
2020년01월_계_100세 이상,128,8,10,13,13,28,7,12,15,14,2,6
2020년01월_남_총인구수,"57,482","5,425","2,030","4,458","4,792","3,648","2,733","3,445","9,379","14,424","1,882","5,266"
2020년01월_남_연령구간인구수,"57,482","5,425","2,030","4,458","4,792","3,648","2,733","3,445","9,379","14,424","1,882","5,266"
2020년01월_남_0~9세,"2,873",205,114,223,136,189,79,217,558,842,102,208
2020년01월_남_10~19세,"4,123",288,147,350,284,230,155,244,795,"1,222",110,298
2020년01월_남_20~29세,"6,812",571,240,500,451,401,302,335,"1,105","1,959",370,578
2020년01월_남_30~39세,"6,212",570,226,447,434,447,282,376,"1,080","1,588",203,559
2020년01월_남_40~49세,"8,385",794,265,594,707,547,405,567,"1,429","2,084",262,731
2020년01월_남_50~59세,"10,412","1,102",370,803,987,640,518,576,"1,670","2,541",252,953
2020년01월_남_60~69세,"10,316","1,034",360,809,901,655,476,596,"1,555","2,444",327,"1,159"
2020년01월_남_70~79세,"6,225",631,231,521,639,384,378,407,910,"1,330",190,604
2020년01월_남_80~89세,"1,956",221,68,190,236,136,124,112,256,390,54,169
2020년01월_남_90~99세,134,7,5,18,11,15,10,12,15,24,11,6
2020년01월_남_100세 이상,34,2,4,3,6,4,4,3,6,0,1,1
2020년01월_여_총인구수,"58,965","5,417","2,168","4,653","4,746","3,776","2,727","3,611","9,548","15,068","1,718","5,533"
2020년01월_여_연령구간인구수,"58,965","5,417","2,168","4,653","4,746","3,776","2,727","3,611","9,548","15,068","1,718","5,533"
2020년01월_여_0~9세,"2,834",202,97,217,119,200,84,193,577,840,91,214
2020년01월_여_10~19세,"3,812",268,128,284,249,215,148,242,692,"1,197",101,288
2020년01월_여_20~29세,"5,667",513,215,422,393,348,220,318,963,"1,597",233,445
2020년01월_여_30~39세,"5,311",483,188,397,300,376,178,355,927,"1,481",160,466
2020년01월_여_40~49세,"7,532",620,273,584,503,454,316,499,"1,372","2,130",194,587
2020년01월_여_50~59세,"10,164",912,384,821,809,601,463,556,"1,633","2,759",235,991
2020년01월_여_60~69세,"11,220","1,099",444,877,970,754,579,644,"1,754","2,587",339,"1,173"
2020년01월_여_70~79세,"8,182",857,291,697,930,491,530,524,"1,065","1,640",252,905
2020년01월_여_80~89세,"3,565",384,123,286,389,275,184,229,479,720,98,398
2020년01월_여_90~99세,584,73,19,58,77,38,22,42,77,103,14,61
2020년01월_여_100세 이상,94,6,6,10,7,24,3,9,9,14,1,5
2020년02월_계_총인구수,"116,155","10,857","4,204","9,094","9,490","7,402","5,468","7,011","18,846","29,430","3,593","10,760"
2020년02월_계_연령구간인구수,"116,155","10,857","4,204","9,094","9,490","7,402","5,468","7,011","18,846","29,430","3,593","10,760"
2020년02월_계_0~9세,"5,673",408,210,439,255,386,166,406,"1,115","1,677",193,418
2020년02월_계_10~19세,"7,864",554,267,628,529,446,301,477,"1,477","2,399",207,579
2020년02월_계_20~29세,"12,388","1,074",465,911,837,742,521,640,"2,048","3,530",608,"1,012"
2020년02월_계_30~39세,"11,428","1,053",408,852,717,813,451,724,"1,995","3,051",347,"1,017"
2020년02월_계_40~49세,"15,915","1,430",538,"1,163","1,205",998,730,"1,064","2,779","4,228",468,"1,312"
2020년02월_계_50~59세,"20,462","2,009",753,"1,616","1,772","1,233",979,"1,125","3,291","5,266",484,"1,934"
2020년02월_계_60~69세,"21,589","2,146",808,"1,692","1,870","1,416","1,059","1,243","3,315","5,047",661,"2,332"
2020년02월_계_70~79세,"14,427","1,487",525,"1,222","1,573",877,906,924,"1,983","2,971",445,"1,514"
2020년02월_계_80~89세,"5,553",605,196,480,634,410,315,340,733,"1,117",151,572
2020년02월_계_90~99세,728,83,25,78,85,53,32,56,96,129,27,64
2020년02월_계_100세 이상,128,8,9,13,13,28,8,12,14,15,2,6
2020년02월_남_총인구수,"57,304","5,432","2,030","4,439","4,765","3,640","2,727","3,422","9,345","14,384","1,879","5,241"
2020년02월_남_연령구간인구수,"57,304","5,432","2,030","4,439","4,765","3,640","2,727","3,422","9,345","14,384","1,879","5,241"
2020년02월_남_0~9세,"2,858",207,113,221,138,187,80,214,554,836,102,206
2020년02월_남_10~19세,"4,087",287,141,348,280,230,154,240,787,"1,213",107,300
2020년02월_남_20~29세,"6,740",564,243,488,445,394,298,326,"1,097","1,945",373,567
2020년02월_남_30~39세,"6,163",569,222,454,422,441,275,375,"1,081","1,580",192,552
2020년02월_남_40~49세,"8,376",803,265,581,701,551,407,567,"1,411","2,099",270,721
2020년02월_남_50~59세,"10,369","1,101",373,800,983,634,519,569,"1,660","2,521",254,955
2020년02월_남_60~69세,"10,329","1,042",362,812,900,661,476,597,"1,557","2,444",324,"1,154"
2020년02월_남_70~79세,"6,242",629,231,523,641,388,378,406,920,"1,327",192,607
2020년02월_남_80~89세,"1,969",220,71,190,238,135,126,113,256,394,53,173
2020년02월_남_90~99세,137,8,5,19,11,15,10,12,16,25,11,5
2020년02월_남_100세 이상,34,2,4,3,6,4,4,3,6,0,1,1
2020년02월_여_총인구수,"58,851","5,425","2,174","4,655","4,725","3,762","2,741","3,589","9,501","15,046","1,714","5,519"
2020년02월_여_연령구간인구수,"58,851","5,425","2,174","4,655","4,725","3,762","2,741","3,589","9,501","15,046","1,714","5,519"
2020년02월_여_0~9세,"2,815",201,97,218,117,199,86,192,561,841,91,212
2020년02월_여_10~19세,"3,777",267,126,280,249,216,147,237,690,"1,186",100,279
2020년02월_여_20~29세,"5,648",510,222,423,392,348,223,314,951,"1,585",235,445
2020년02월_여_30~39세,"5,265",484,186,398,295,372,176,349,914,"1,471",155,465
2020년02월_여_40~49세,"7,539",627,273,582,504,447,323,497,"1,368","2,129",198,591
2020년02월_여_50~59세,"10,093",908,380,816,789,599,460,556,"1,631","2,745",230,979
2020년02월_여_60~69세,"11,260","1,104",446,880,970,755,583,646,"1,758","2,603",337,"1,178"
2020년02월_여_70~79세,"8,185",858,294,699,932,489,528,518,"1,063","1,644",253,907
2020년02월_여_80~89세,"3,584",385,125,290,396,275,189,227,477,723,98,399
2020년02월_여_90~99세,591,75,20,59,74,38,22,44,80,104,16,59
2020년02월_여_100세 이상,94,6,5,10,7,24,4,9,8,15,1,5
2020년03월_계_총인구수,"115,886","10,856","4,187","9,049","9,464","7,375","5,434","6,967","18,788","29,399","3,620","10,747"
2020년03월_계_연령구간인구수,"115,886","10,856","4,187","9,049","9,464","7,375","5,434","6,967","18,788","29,399","3,620","10,747"
2020년03월_계_0~9세,"5,630",401,204,434,255,386,160,403,"1,105","1,665",200,417
2020년03월_계_10~19세,"7,798",552,266,619,524,438,298,472,"1,460","2,382",209,578
2020년03월_계_20~29세,"12,367","1,059",457,907,837,734,521,633,"2,041","3,545",624,"1,009"
2020년03월_계_30~39세,"11,324","1,059",397,852,708,806,438,712,"1,964","3,042",345,"1,001"
2020년03월_계_40~49세,"15,842","1,421",546,"1,146","1,201",992,725,"1,053","2,770","4,213",469,"1,306"
2020년03월_계_50~59세,"20,346","2,007",746,"1,603","1,759","1,225",974,"1,126","3,271","5,224",482,"1,929"
2020년03월_계_60~69세,"21,650","2,161",805,"1,682","1,871","1,422","1,059","1,230","3,332","5,079",665,"2,344"
2020년03월_계_70~79세,"14,450","1,494",534,"1,224","1,570",880,900,924,"1,988","2,979",443,"1,514"
2020년03월_계_80~89세,"5,613",611,196,490,640,410,318,345,747,"1,126",154,576
2020년03월_계_90~99세,738,83,27,80,87,53,33,57,96,129,27,66
2020년03월_계_100세 이상,128,8,9,12,12,29,8,12,14,15,2,7
2020년03월_남_총인구수,"57,150","5,415","2,024","4,412","4,739","3,633","2,710","3,390","9,329","14,368","1,898","5,232"
2020년03월_남_연령구간인구수,"57,150","5,415","2,024","4,412","4,739","3,633","2,710","3,390","9,329","14,368","1,898","5,232"
2020년03월_남_0~9세,"2,834",205,109,221,139,185,76,211,547,831,105,205
2020년03월_남_10~19세,"4,048",282,142,342,278,226,154,236,774,"1,206",106,302
2020년03월_남_20~29세,"6,748",549,241,489,442,397,297,320,"1,104","1,959",390,560
2020년03월_남_30~39세,"6,100",571,216,451,416,436,266,371,"1,065","1,571",195,542
2020년03월_남_40~49세,"8,349",797,269,569,696,551,407,558,"1,415","2,100",266,721
2020년03월_남_50~59세,"10,311","1,108",371,791,974,633,518,569,"1,647","2,498",251,951
2020년03월_남_60~69세,"10,337","1,039",358,807,898,667,478,588,"1,566","2,448",326,"1,162"
2020년03월_남_70~79세,"6,262",633,236,526,641,385,373,406,928,"1,334",192,608
2020년03월_남_80~89세,"1,989",221,73,194,238,134,127,116,260,396,55,175
2020년03월_남_90~99세,139,8,5,19,12,15,10,12,17,25,11,5
2020년03월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년03월_여_총인구수,"58,736","5,441","2,163","4,637","4,725","3,742","2,724","3,577","9,459","15,031","1,722","5,515"
2020년03월_여_연령구간인구수,"58,736","5,441","2,163","4,637","4,725","3,742","2,724","3,577","9,459","15,031","1,722","5,515"
2020년03월_여_0~9세,"2,796",196,95,213,116,201,84,192,558,834,95,212
2020년03월_여_10~19세,"3,750",270,124,277,246,212,144,236,686,"1,176",103,276
2020년03월_여_20~29세,"5,619",510,216,418,395,337,224,313,937,"1,586",234,449
2020년03월_여_30~39세,"5,224",488,181,401,292,370,172,341,899,"1,471",150,459
2020년03월_여_40~49세,"7,493",624,277,577,505,441,318,495,"1,355","2,113",203,585
2020년03월_여_50~59세,"10,035",899,375,812,785,592,456,557,"1,624","2,726",231,978
2020년03월_여_60~69세,"11,313","1,122",447,875,973,755,581,642,"1,766","2,631",339,"1,182"
2020년03월_여_70~79세,"8,188",861,298,698,929,495,527,518,"1,060","1,645",251,906
2020년03월_여_80~89세,"3,624",390,123,296,402,276,191,229,487,730,99,401
2020년03월_여_90~99세,599,75,22,61,75,38,23,45,79,104,16,61
2020년03월_여_100세 이상,95,6,5,9,7,25,4,9,8,15,1,6
2020년04월_계_총인구수,"115,645","10,835","4,174","9,030","9,450","7,384","5,409","6,934","18,779","29,313","3,631","10,706"
2020년04월_계_연령구간인구수,"115,645","10,835","4,174","9,030","9,450","7,384","5,409","6,934","18,779","29,313","3,631","10,706"
2020년04월_계_0~9세,"5,587",401,199,431,253,384,158,405,"1,097","1,650",202,407
2020년04월_계_10~19세,"7,763",551,263,614,526,442,294,466,"1,468","2,350",209,580
2020년04월_계_20~29세,"12,312","1,050",461,909,833,735,518,629,"2,019","3,546",616,996
2020년04월_계_30~39세,"11,255","1,058",394,841,702,800,441,704,"1,949","3,022",347,997
2020년04월_계_40~49세,"15,763","1,410",546,"1,147","1,199",998,711,"1,040","2,770","4,177",465,"1,300"
2020년04월_계_50~59세,"20,269","1,992",745,"1,592","1,744","1,221",964,"1,115","3,273","5,234",490,"1,899"
2020년04월_계_60~69세,"21,687","2,162",801,"1,689","1,869","1,432","1,058","1,233","3,341","5,081",672,"2,349"
2020년04월_계_70~79세,"14,503","1,505",533,"1,221","1,574",881,906,922,"2,002","2,984",448,"1,527"
