카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년03월_계_총인구수,"247,487","7,644","3,187","1,575","7,350","3,016","12,304","1,119","8,447","3,712","1,111","3,267","1,402","6,563","9,752","27,640","7,233","26,712","20,797","36,366","34,638","23,652"
2020년03월_계_연령구간인구수,"247,487","7,644","3,187","1,575","7,350","3,016","12,304","1,119","8,447","3,712","1,111","3,267","1,402","6,563","9,752","27,640","7,233","26,712","20,797","36,366","34,638","23,652"
2020년03월_계_0~9세,"28,259",530,86,31,424,67,"1,573",33,555,222,30,85,59,475,605,"4,789",615,"2,763","1,671","3,843","6,122","3,681"
2020년03월_계_10~19세,"28,062",621,141,62,612,159,"1,093",57,690,272,31,133,76,697,"1,034","3,318",639,"3,116","2,330","4,423","4,854","3,704"
2020년03월_계_20~29세,"24,912",691,262,85,600,239,975,81,837,323,64,248,77,703,"1,057","2,499",842,"2,995","2,862","4,181","3,088","2,203"
2020년03월_계_30~39세,"39,186",804,222,84,661,168,"1,994",77,987,349,69,198,104,773,"1,012","6,422","1,126","3,940","3,561","5,542","7,186","3,907"
2020년03월_계_40~49세,"47,461","1,218",381,160,"1,009",327,"2,166",113,"1,441",494,112,414,179,"1,268","1,734","5,782","1,316","4,964","4,497","7,169","7,337","5,380"
2020년03월_계_50~59세,"38,674","1,575",664,336,"1,322",622,"1,908",242,"1,717",686,213,637,256,"1,273","2,015","2,898","1,342","4,763","3,691","5,982","3,698","2,834"
2020년03월_계_60~69세,"24,767","1,222",687,377,"1,313",688,"1,402",280,"1,225",682,261,657,304,830,"1,483","1,332",953,"3,017","1,583","3,626","1,568","1,277"
2020년03월_계_70~79세,"10,481",605,470,273,811,454,800,160,605,403,199,521,214,351,573,390,286,811,427,"1,143",549,436
2020년03월_계_80~89세,"4,876",332,247,148,495,249,336,63,334,240,109,328,114,165,207,183,98,295,145,393,201,194
2020년03월_계_90~99세,771,43,26,19,95,41,54,13,54,40,23,45,18,22,29,27,16,46,30,62,34,34
2020년03월_계_100세 이상,38,3,1,0,8,2,3,0,2,1,0,1,1,6,3,0,0,2,0,2,1,2
2020년03월_남_총인구수,"129,979","3,893","1,645",794,"3,618","1,559","6,400",580,"4,641","1,928",562,"1,643",704,"3,644","5,284","14,874","3,930","13,911","11,882","18,765","17,612","12,110"
2020년03월_남_연령구간인구수,"129,979","3,893","1,645",794,"3,618","1,559","6,400",580,"4,641","1,928",562,"1,643",704,"3,644","5,284","14,874","3,930","13,911","11,882","18,765","17,612","12,110"
2020년03월_남_0~9세,"14,594",263,49,15,229,35,791,22,292,116,17,46,30,249,323,"2,489",328,"1,414",856,"2,003","3,097","1,930"
2020년03월_남_10~19세,"14,795",328,76,34,307,93,556,31,374,153,17,80,40,372,569,"1,702",357,"1,674","1,233","2,315","2,510","1,974"
2020년03월_남_20~29세,"13,895",397,152,51,320,154,544,46,487,167,34,133,44,415,591,"1,410",512,"1,629","1,717","2,280","1,594","1,218"
2020년03월_남_30~39세,"20,883",411,133,49,358,103,"1,023",49,580,196,42,109,58,481,577,"3,442",637,"2,102","2,279","2,923","3,522","1,809"
2020년03월_남_40~49세,"25,939",654,229,97,541,188,"1,243",66,852,307,71,267,112,767,991,"3,294",744,"2,611","2,677","3,713","3,824","2,691"
2020년03월_남_50~59세,"20,459",826,355,193,670,323,"1,032",129,985,367,120,348,133,720,"1,075","1,596",677,"2,365","2,041","3,023","1,948","1,533"
2020년03월_남_60~69세,"12,941",629,336,202,671,367,722,156,661,340,139,324,156,442,808,721,506,"1,628",820,"1,833",802,678
2020년03월_남_70~79세,"4,896",279,233,104,373,211,383,62,297,197,88,230,95,150,276,173,141,395,219,547,239,204
2020년03월_남_80~89세,"1,449",97,78,45,135,79,95,16,102,79,30,100,33,44,67,44,27,89,35,114,71,69
2020년03월_남_90~99세,123,8,3,4,12,6,11,3,11,6,4,6,3,4,6,3,1,4,5,14,5,4
2020년03월_남_100세 이상,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020년03월_여_총인구수,"117,508","3,751","1,542",781,"3,732","1,457","5,904",539,"3,806","1,784",549,"1,624",698,"2,919","4,468","12,766","3,303","12,801","8,915","17,601","17,026","11,542"
2020년03월_여_연령구간인구수,"117,508","3,751","1,542",781,"3,732","1,457","5,904",539,"3,806","1,784",549,"1,624",698,"2,919","4,468","12,766","3,303","12,801","8,915","17,601","17,026","11,542"
2020년03월_여_0~9세,"13,665",267,37,16,195,32,782,11,263,106,13,39,29,226,282,"2,300",287,"1,349",815,"1,840","3,025","1,751"
2020년03월_여_10~19세,"13,267",293,65,28,305,66,537,26,316,119,14,53,36,325,465,"1,616",282,"1,442","1,097","2,108","2,344","1,730"
2020년03월_여_20~29세,"11,017",294,110,34,280,85,431,35,350,156,30,115,33,288,466,"1,089",330,"1,366","1,145","1,901","1,494",985
2020년03월_여_30~39세,"18,303",393,89,35,303,65,971,28,407,153,27,89,46,292,435,"2,980",489,"1,838","1,282","2,619","3,664","2,098"
2020년03월_여_40~49세,"21,522",564,152,63,468,139,923,47,589,187,41,147,67,501,743,"2,488",572,"2,353","1,820","3,456","3,513","2,689"
2020년03월_여_50~59세,"18,215",749,309,143,652,299,876,113,732,319,93,289,123,553,940,"1,302",665,"2,398","1,650","2,959","1,750","1,301"
2020년03월_여_60~69세,"11,826",593,351,175,642,321,680,124,564,342,122,333,148,388,675,611,447,"1,389",763,"1,793",766,599
2020년03월_여_70~79세,"5,585",326,237,169,438,243,417,98,308,206,111,291,119,201,297,217,145,416,208,596,310,232
2020년03월_여_80~89세,"3,427",235,169,103,360,170,241,47,232,161,79,228,81,121,140,139,71,206,110,279,130,125
2020년03월_여_90~99세,648,35,23,15,83,35,43,10,43,34,19,39,15,18,23,24,15,42,25,48,29,30
2020년03월_여_100세 이상,33,2,0,0,6,2,3,0,2,1,0,1,1,6,2,0,0,2,0,2,1,2
2020년04월_계_총인구수,"247,427","7,712","3,174","1,600","7,334","3,016","12,277","1,120","8,451","3,705","1,112","3,236","1,404","6,529","9,744","27,647","7,245","26,716","20,801","36,245","34,681","23,678"
2020년04월_계_연령구간인구수,"247,427","7,712","3,174","1,600","7,334","3,016","12,277","1,120","8,451","3,705","1,112","3,236","1,404","6,529","9,744","27,647","7,245","26,716","20,801","36,245","34,681","23,678"
2020년04월_계_0~9세,"28,122",539,85,32,420,69,"1,572",36,550,218,30,82,58,477,590,"4,759",619,"2,727","1,675","3,797","6,118","3,669"
2020년04월_계_10~19세,"28,038",630,138,63,604,159,"1,090",56,693,272,30,132,75,681,"1,025","3,317",634,"3,128","2,324","4,395","4,876","3,716"
2020년04월_계_20~29세,"24,833",686,258,91,589,238,973,80,835,320,65,238,76,701,"1,059","2,497",840,"2,976","2,855","4,179","3,070","2,207"
2020년04월_계_30~39세,"39,038",820,222,86,660,163,"1,981",77,978,355,67,195,103,771,"1,008","6,415","1,131","3,916","3,550","5,510","7,153","3,877"
2020년04월_계_40~49세,"47,480","1,228",381,165,"1,015",335,"2,160",116,"1,440",494,112,408,185,"1,264","1,724","5,800","1,323","4,975","4,482","7,115","7,361","5,397"
2020년04월_계_50~59세,"38,724","1,580",651,338,"1,310",618,"1,910",234,"1,718",679,212,626,249,"1,255","2,016","2,903","1,343","4,790","3,707","5,989","3,731","2,865"
2020년04월_계_60~69세,"24,937","1,243",693,385,"1,323",691,"1,392",284,"1,232",685,263,657,307,835,"1,504","1,354",950,"3,033","1,605","3,646","1,576","1,279"
2020년04월_계_70~79세,"10,537",605,471,271,813,450,799,160,611,405,200,522,216,354,580,393,288,827,423,"1,150",561,438
2020년04월_계_80~89세,"4,900",334,248,150,495,251,343,64,338,235,110,330,116,164,208,180,101,295,149,399,197,193
2020년04월_계_90~99세,777,44,26,19,97,41,53,13,54,41,23,45,18,20,27,29,16,47,30,62,37,35
2020년04월_계_100세 이상,41,3,1,0,8,1,4,0,2,1,0,1,1,7,3,0,0,2,1,3,1,2
2020년04월_남_총인구수,"129,950","3,916","1,643",807,"3,614","1,559","6,375",583,"4,643","1,924",560,"1,629",707,"3,622","5,275","14,879","3,937","13,924","11,897","18,681","17,641","12,134"
2020년04월_남_연령구간인구수,"129,950","3,916","1,643",807,"3,614","1,559","6,375",583,"4,643","1,924",560,"1,629",707,"3,622","5,275","14,879","3,937","13,924","11,897","18,681","17,641","12,134"
2020년04월_남_0~9세,"14,506",264,50,16,224,36,789,23,292,113,17,44,29,249,312,"2,465",330,"1,403",857,"1,980","3,088","1,925"
2020년04월_남_10~19세,"14,785",332,74,35,305,92,554,32,375,153,16,80,40,360,564,"1,710",351,"1,679","1,223","2,298","2,533","1,979"
2020년04월_남_20~29세,"13,871",393,151,54,318,154,543,46,491,164,35,127,42,415,591,"1,408",514,"1,614","1,720","2,278","1,586","1,227"
2020년04월_남_30~39세,"20,775",415,132,49,356,98,"1,007",50,567,201,39,109,59,481,576,"3,441",640,"2,088","2,273","2,901","3,503","1,790"
2020년04월_남_40~49세,"25,951",659,229,100,550,195,"1,238",67,854,309,71,266,115,763,985,"3,305",750,"2,618","2,671","3,668","3,835","2,703"
2020년04월_남_50~59세,"20,529",827,349,194,664,321,"1,033",126,984,359,120,342,130,710,"1,072","1,600",678,"2,387","2,067","3,038","1,974","1,554"
2020년04월_남_60~69세,"13,008",641,343,206,675,369,713,158,662,341,140,326,160,443,821,726,502,"1,640",829,"1,837",800,676
2020년04월_남_70~79세,"4,932",277,230,104,373,209,387,61,302,200,88,229,95,153,278,178,144,402,216,551,247,208
2020년04월_남_80~89세,"1,465",99,81,45,135,79,100,17,105,78,30,100,34,44,69,42,27,90,36,117,70,67
2020년04월_남_90~99세,123,8,3,4,12,6,11,3,11,6,4,6,3,4,6,4,1,3,5,13,5,5
2020년04월_남_100세 이상,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020년04월_여_총인구수,"117,477","3,796","1,531",793,"3,720","1,457","5,902",537,"3,808","1,781",552,"1,607",697,"2,907","4,469","12,768","3,308","12,792","8,904","17,564","17,040","11,544"
2020년04월_여_연령구간인구수,"117,477","3,796","1,531",793,"3,720","1,457","5,902",537,"3,808","1,781",552,"1,607",697,"2,907","4,469","12,768","3,308","12,792","8,904","17,564","17,040","11,544"
2020년04월_여_0~9세,"13,616",275,35,16,196,33,783,13,258,105,13,38,29,228,278,"2,294",289,"1,324",818,"1,817","3,030","1,744"
2020년04월_여_10~19세,"13,253",298,64,28,299,67,536,24,318,119,14,52,35,321,461,"1,607",283,"1,449","1,101","2,097","2,343","1,737"
2020년04월_여_20~29세,"10,962",293,107,37,271,84,430,34,344,156,30,111,34,286,468,"1,089",326,"1,362","1,135","1,901","1,484",980
2020년04월_여_30~39세,"18,263",405,90,37,304,65,974,27,411,154,28,86,44,290,432,"2,974",491,"1,828","1,277","2,609","3,650","2,087"
2020년04월_여_40~49세,"21,529",569,152,65,465,140,922,49,586,185,41,142,70,501,739,"2,495",573,"2,357","1,811","3,447","3,526","2,694"
2020년04월_여_50~59세,"18,195",753,302,144,646,297,877,108,734,320,92,284,119,545,944,"1,303",665,"2,403","1,640","2,951","1,757","1,311"
2020년04월_여_60~69세,"11,929",602,350,179,648,322,679,126,570,344,123,331,147,392,683,628,448,"1,393",776,"1,809",776,603
2020년04월_여_70~79세,"5,605",328,241,167,440,241,412,99,309,205,112,293,121,201,302,215,144,425,207,599,314,230
2020년04월_여_80~89세,"3,435",235,167,105,360,172,243,47,233,157,80,230,82,120,139,138,74,205,113,282,127,126
2020년04월_여_90~99세,654,36,23,15,85,35,42,10,43,35,19,39,15,16,21,25,15,44,25,49,32,30
2020년04월_여_100세 이상,36,2,0,0,6,1,4,0,2,1,0,1,1,7,2,0,0,2,1,3,1,2
2020년05월_계_총인구수,"247,096","7,742","3,156","1,603","7,338","3,005","12,272","1,114","8,393","3,691","1,105","3,221","1,402","6,483","9,721","27,572","7,241","26,648","20,814","36,235","34,630","23,710"
2020년05월_계_연령구간인구수,"247,096","7,742","3,156","1,603","7,338","3,005","12,272","1,114","8,393","3,691","1,105","3,221","1,402","6,483","9,721","27,572","7,241","26,648","20,814","36,235","34,630","23,710"
2020년05월_계_0~9세,"27,979",546,80,30,427,67,"1,570",34,547,220,28,81,56,468,589,"4,738",614,"2,710","1,669","3,763","6,079","3,663"
2020년05월_계_10~19세,"27,969",633,138,63,600,160,"1,093",56,695,267,31,129,77,678,"1,021","3,307",633,"3,111","2,311","4,385","4,863","3,718"
2020년05월_계_20~29세,"24,770",687,257,91,586,235,967,77,823,318,62,234,77,683,"1,049","2,478",850,"2,950","2,875","4,189","3,066","2,216"
2020년05월_계_30~39세,"38,752",824,215,91,662,156,"1,962",74,961,352,67,194,100,766,"1,008","6,355","1,105","3,884","3,535","5,488","7,101","3,852"
2020년05월_계_40~49세,"47,480","1,224",374,164,"1,012",331,"2,162",115,"1,422",487,111,401,185,"1,253","1,714","5,833","1,332","4,981","4,481","7,100","7,370","5,428"
2020년05월_계_50~59세,"38,780","1,591",651,333,"1,305",616,"1,924",235,"1,703",676,209,620,243,"1,259","2,004","2,902","1,344","4,794","3,706","6,014","3,765","2,886"
2020년05월_계_60~69세,"25,048","1,252",692,389,"1,331",688,"1,395",281,"1,240",688,261,661,311,833,"1,515","1,352",954,"3,039","1,628","3,669","1,592","1,277"
2020년05월_계_70~79세,"10,594",605,470,273,812,459,793,164,613,403,204,524,217,356,581,397,294,832,432,"1,163",564,438
2020년05월_계_80~89세,"4,906",335,252,150,498,252,351,65,335,237,109,331,117,161,208,179,99,298,147,398,190,194
2020년05월_계_90~99세,777,42,26,19,96,39,51,13,53,42,23,45,18,19,29,31,16,47,29,64,39,36
2020년05월_계_100세 이상,41,3,1,0,9,2,4,0,1,1,0,1,1,7,3,0,0,2,1,2,1,2
2020년05월_남_총인구수,"129,761","3,934","1,631",808,"3,611","1,549","6,380",577,"4,607","1,918",557,"1,623",703,"3,584","5,265","14,831","3,933","13,904","11,916","18,671","17,605","12,154"
2020년05월_남_연령구간인구수,"129,761","3,934","1,631",808,"3,611","1,549","6,380",577,"4,607","1,918",557,"1,623",703,"3,584","5,265","14,831","3,933","13,904","11,916","18,671","17,605","12,154"
2020년05월_남_0~9세,"14,434",269,47,14,228,34,792,21,290,113,16,44,28,242,312,"2,452",328,"1,395",859,"1,967","3,055","1,928"
2020년05월_남_10~19세,"14,713",332,73,35,304,94,552,32,373,151,17,78,40,354,561,"1,707",348,"1,678","1,215","2,283","2,518","1,968"
2020년05월_남_20~29세,"13,882",394,148,52,316,152,546,45,485,167,33,125,43,400,589,"1,403",524,"1,603","1,737","2,286","1,595","1,239"
2020년05월_남_30~39세,"20,614",419,129,54,352,92,995,48,555,198,39,110,55,477,577,"3,402",618,"2,077","2,260","2,896","3,480","1,781"
2020년05월_남_40~49세,"25,933",660,223,99,549,193,"1,235",67,844,303,71,261,114,757,977,"3,321",754,"2,628","2,674","3,657","3,833","2,713"
2020년05월_남_50~59세,"20,572",831,349,193,663,319,"1,044",125,973,359,118,338,128,713,"1,070","1,593",683,"2,382","2,069","3,053","1,998","1,571"
2020년05월_남_60~69세,"13,053",646,345,209,678,367,714,155,670,342,140,330,162,440,824,726,502,"1,642",841,"1,840",805,675
