카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년01월_계_총인구수,"38,489","15,622","5,055","3,554","2,404","2,891","1,305","2,139","1,129","1,485","2,905"
2020년01월_계_연령구간인구수,"38,489","15,622","5,055","3,554","2,404","2,891","1,305","2,139","1,129","1,485","2,905"
2020년01월_계_0~9세,"2,089","1,351",154,150,90,83,38,45,21,46,111
2020년01월_계_10~19세,"2,989","1,668",320,234,124,144,60,112,46,84,197
2020년01월_계_20~29세,"3,283","1,646",360,269,146,221,84,149,86,98,224
2020년01월_계_30~39세,"2,996","1,690",304,212,155,194,76,89,44,70,162
2020년01월_계_40~49세,"4,340","2,155",453,383,220,269,118,178,109,157,298
2020년01월_계_50~59세,"6,544","2,497",894,617,377,530,211,392,278,253,495
2020년01월_계_60~69세,"6,308","2,078",961,643,467,529,269,364,227,217,553
2020년01월_계_70~79세,"5,579","1,483",910,578,439,488,213,434,186,279,569
2020년01월_계_80~89세,"3,758",878,624,421,325,361,207,331,114,228,269
2020년01월_계_90~99세,577,163,75,42,57,71,27,45,17,53,27
2020년01월_계_100세 이상,26,13,0,5,4,1,2,0,1,0,0
2020년01월_남_총인구수,"18,667","7,591","2,449","1,721","1,156","1,423",625,"1,009",558,714,"1,421"
2020년01월_남_연령구간인구수,"18,667","7,591","2,449","1,721","1,156","1,423",625,"1,009",558,714,"1,421"
2020년01월_남_0~9세,"1,070",672,84,67,53,51,23,20,7,28,65
2020년01월_남_10~19세,"1,576",866,184,125,64,83,29,53,28,37,107
2020년01월_남_20~29세,"1,793",879,203,151,88,125,36,89,43,55,124
2020년01월_남_30~39세,"1,605",849,165,113,99,123,38,54,32,38,94
2020년01월_남_40~49세,"2,405","1,087",266,239,132,162,77,113,64,89,176
2020년01월_남_50~59세,"3,517","1,298",478,338,197,281,121,227,162,156,259
2020년01월_남_60~69세,"3,125",991,483,315,258,283,137,181,114,109,254
2020년01월_남_70~79세,"2,323",642,375,237,162,210,92,168,72,114,251
2020년01월_남_80~89세,"1,138",274,198,121,99,90,66,96,30,77,87
2020년01월_남_90~99세,111,32,13,13,4,15,5,8,6,11,4
2020년01월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년01월_여_총인구수,"19,822","8,031","2,606","1,833","1,248","1,468",680,"1,130",571,771,"1,484"
2020년01월_여_연령구간인구수,"19,822","8,031","2,606","1,833","1,248","1,468",680,"1,130",571,771,"1,484"
2020년01월_여_0~9세,"1,019",679,70,83,37,32,15,25,14,18,46
2020년01월_여_10~19세,"1,413",802,136,109,60,61,31,59,18,47,90
2020년01월_여_20~29세,"1,490",767,157,118,58,96,48,60,43,43,100
2020년01월_여_30~39세,"1,391",841,139,99,56,71,38,35,12,32,68
2020년01월_여_40~49세,"1,935","1,068",187,144,88,107,41,65,45,68,122
2020년01월_여_50~59세,"3,027","1,199",416,279,180,249,90,165,116,97,236
2020년01월_여_60~69세,"3,183","1,087",478,328,209,246,132,183,113,108,299
2020년01월_여_70~79세,"3,256",841,535,341,277,278,121,266,114,165,318
2020년01월_여_80~89세,"2,620",604,426,300,226,271,141,235,84,151,182
2020년01월_여_90~99세,466,131,62,29,53,56,22,37,11,42,23
2020년01월_여_100세 이상,22,12,0,3,4,1,1,0,1,0,0
2020년02월_계_총인구수,"38,400","15,583","5,055","3,545","2,396","2,893","1,304","2,133","1,126","1,478","2,887"
2020년02월_계_연령구간인구수,"38,400","15,583","5,055","3,545","2,396","2,893","1,304","2,133","1,126","1,478","2,887"
2020년02월_계_0~9세,"2,072","1,351",157,149,87,82,38,40,20,44,104
2020년02월_계_10~19세,"2,974","1,651",321,235,121,145,60,114,46,83,198
2020년02월_계_20~29세,"3,249","1,629",355,266,148,219,82,145,86,99,220
2020년02월_계_30~39세,"2,960","1,673",303,206,149,188,78,91,41,68,163
2020년02월_계_40~49세,"4,342","2,166",451,385,221,269,118,176,107,153,296
2020년02월_계_50~59세,"6,536","2,499",893,614,377,528,209,401,275,255,485
2020년02월_계_60~69세,"6,319","2,074",959,644,467,536,270,363,229,217,560
2020년02월_계_70~79세,"5,563","1,479",918,576,438,488,212,426,185,278,563
2020년02월_계_80~89세,"3,776",884,619,421,328,364,209,332,119,228,272
2020년02월_계_90~99세,583,164,79,44,56,73,26,45,17,53,26
2020년02월_계_100세 이상,26,13,0,5,4,1,2,0,1,0,0
2020년02월_남_총인구수,"18,639","7,580","2,448","1,717","1,151","1,422",628,"1,009",559,712,"1,413"
2020년02월_남_연령구간인구수,"18,639","7,580","2,448","1,717","1,151","1,422",628,"1,009",559,712,"1,413"
2020년02월_남_0~9세,"1,063",677,84,67,52,49,23,18,8,26,59
2020년02월_남_10~19세,"1,573",858,186,125,64,83,29,54,28,38,108
2020년02월_남_20~29세,"1,787",880,201,149,88,126,37,86,42,56,122
2020년02월_남_30~39세,"1,585",837,166,109,95,119,39,55,32,37,96
2020년02월_남_40~49세,"2,409","1,093",264,243,133,160,78,113,64,86,175
2020년02월_남_50~59세,"3,511","1,298",475,336,195,285,118,231,159,159,255
2020년02월_남_60~69세,"3,130",988,484,316,258,281,139,183,115,109,257
2020년02월_남_70~79세,"2,323",640,378,236,165,213,94,163,72,113,249
2020년02월_남_80~89세,"1,143",277,197,121,97,91,65,98,33,77,87
2020년02월_남_90~99세,111,31,13,13,4,15,5,8,6,11,5
2020년02월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년02월_여_총인구수,"19,761","8,003","2,607","1,828","1,245","1,471",676,"1,124",567,766,"1,474"
2020년02월_여_연령구간인구수,"19,761","8,003","2,607","1,828","1,245","1,471",676,"1,124",567,766,"1,474"
2020년02월_여_0~9세,"1,009",674,73,82,35,33,15,22,12,18,45
2020년02월_여_10~19세,"1,401",793,135,110,57,62,31,60,18,45,90
2020년02월_여_20~29세,"1,462",749,154,117,60,93,45,59,44,43,98
2020년02월_여_30~39세,"1,375",836,137,97,54,69,39,36,9,31,67
2020년02월_여_40~49세,"1,933","1,073",187,142,88,109,40,63,43,67,121
2020년02월_여_50~59세,"3,025","1,201",418,278,182,243,91,170,116,96,230
2020년02월_여_60~69세,"3,189","1,086",475,328,209,255,131,180,114,108,303
2020년02월_여_70~79세,"3,240",839,540,340,273,275,118,263,113,165,314
2020년02월_여_80~89세,"2,633",607,422,300,231,273,144,234,86,151,185
2020년02월_여_90~99세,472,133,66,31,52,58,21,37,11,42,21
2020년02월_여_100세 이상,22,12,0,3,4,1,1,0,1,0,0
2020년03월_계_총인구수,"38,333","15,573","5,041","3,521","2,394","2,888","1,306","2,134","1,125","1,473","2,878"
2020년03월_계_연령구간인구수,"38,333","15,573","5,041","3,521","2,394","2,888","1,306","2,134","1,125","1,473","2,878"
2020년03월_계_0~9세,"2,068","1,336",155,146,88,87,39,42,20,45,110
2020년03월_계_10~19세,"2,966","1,650",323,233,118,142,58,114,46,85,197
2020년03월_계_20~29세,"3,217","1,628",343,263,152,213,83,146,80,96,213
2020년03월_계_30~39세,"2,944","1,655",305,204,146,190,80,89,43,68,164
2020년03월_계_40~49세,"4,303","2,156",448,377,218,268,115,169,108,153,291
2020년03월_계_50~59세,"6,506","2,495",886,606,371,525,209,406,272,254,482
2020년03월_계_60~69세,"6,375","2,104",961,648,478,539,272,362,232,218,561
2020년03월_계_70~79세,"5,531","1,480",917,570,436,484,213,421,184,268,558
2020년03월_계_80~89세,"3,809",892,624,424,327,365,208,341,121,231,276
2020년03월_계_90~99세,587,165,78,45,56,74,26,44,18,55,26
2020년03월_계_100세 이상,27,12,1,5,4,1,3,0,1,0,0
2020년03월_남_총인구수,"18,625","7,587","2,443","1,700","1,153","1,420",628,"1,012",559,710,"1,413"
2020년03월_남_연령구간인구수,"18,625","7,587","2,443","1,700","1,153","1,420",628,"1,012",559,710,"1,413"
2020년03월_남_0~9세,"1,063",670,83,63,53,52,23,20,8,27,64
2020년03월_남_10~19세,"1,564",856,189,122,63,80,26,54,28,39,107
2020년03월_남_20~29세,"1,791",887,197,147,90,123,40,88,40,57,122
2020년03월_남_30~39세,"1,572",831,167,108,92,118,41,53,31,36,95
2020년03월_남_40~49세,"2,391","1,088",262,238,135,160,76,109,65,85,173
2020년03월_남_50~59세,"3,500","1,297",470,332,193,285,117,235,159,159,253
2020년03월_남_60~69세,"3,160","1,010",484,316,263,283,139,181,115,110,259
2020년03월_남_70~79세,"2,316",639,378,235,165,213,95,165,72,109,245
2020년03월_남_80~89세,"1,154",279,199,125,95,90,64,100,35,77,90
2020년03월_남_90~99세,110,29,14,12,4,16,6,7,6,11,5
2020년03월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년03월_여_총인구수,"19,708","7,986","2,598","1,821","1,241","1,468",678,"1,122",566,763,"1,465"
2020년03월_여_연령구간인구수,"19,708","7,986","2,598","1,821","1,241","1,468",678,"1,122",566,763,"1,465"
2020년03월_여_0~9세,"1,005",666,72,83,35,35,16,22,12,18,46
2020년03월_여_10~19세,"1,402",794,134,111,55,62,32,60,18,46,90
2020년03월_여_20~29세,"1,426",741,146,116,62,90,43,58,40,39,91
2020년03월_여_30~39세,"1,372",824,138,96,54,72,39,36,12,32,69
2020년03월_여_40~49세,"1,912","1,068",186,139,83,108,39,60,43,68,118
2020년03월_여_50~59세,"3,006","1,198",416,274,178,240,92,171,113,95,229
2020년03월_여_60~69세,"3,215","1,094",477,332,215,256,133,181,117,108,302
2020년03월_여_70~79세,"3,215",841,539,335,271,271,118,256,112,159,313
2020년03월_여_80~89세,"2,655",613,425,299,232,275,144,241,86,154,186
2020년03월_여_90~99세,477,136,64,33,52,58,20,37,12,44,21
2020년03월_여_100세 이상,23,11,1,3,4,1,2,0,1,0,0
2020년04월_계_총인구수,"38,225","15,537","5,043","3,489","2,374","2,881","1,305","2,126","1,122","1,468","2,880"
2020년04월_계_연령구간인구수,"38,225","15,537","5,043","3,489","2,374","2,881","1,305","2,126","1,122","1,468","2,880"
2020년04월_계_0~9세,"2,065","1,341",154,148,86,85,39,42,20,44,106
2020년04월_계_10~19세,"2,933","1,635",325,225,115,139,57,110,45,82,200
2020년04월_계_20~29세,"3,180","1,617",342,256,146,213,80,138,77,94,217
2020년04월_계_30~39세,"2,922","1,653",299,199,144,182,82,94,44,64,161
2020년04월_계_40~49세,"4,282","2,151",444,373,214,271,114,167,107,153,288
2020년04월_계_50~59세,"6,479","2,485",888,599,365,525,211,399,270,254,483
2020년04월_계_60~69세,"6,399","2,108",969,644,483,539,269,368,239,220,560
2020년04월_계_70~79세,"5,516","1,480",911,570,435,485,210,419,183,269,554
2020년04월_계_80~89세,"3,831",892,627,422,326,367,214,347,118,234,284
2020년04월_계_90~99세,592,163,83,48,57,74,26,42,18,54,27
2020년04월_계_100세 이상,26,12,1,5,3,1,3,0,1,0,0
2020년04월_남_총인구수,"18,568","7,572","2,446","1,680","1,141","1,417",626,"1,012",561,707,"1,406"
2020년04월_남_연령구간인구수,"18,568","7,572","2,446","1,680","1,141","1,417",626,"1,012",561,707,"1,406"
2020년04월_남_0~9세,"1,062",677,81,63,51,52,23,20,8,26,61
2020년04월_남_10~19세,"1,540",845,190,117,61,77,25,51,27,39,108
2020년04월_남_20~29세,"1,785",892,196,143,87,125,39,85,39,54,125
2020년04월_남_30~39세,"1,547",822,164,104,91,113,41,54,32,34,92
2020년04월_남_40~49세,"2,371","1,081",260,236,131,160,75,109,64,86,169
2020년04월_남_50~59세,"3,499","1,296",475,330,190,286,119,233,159,159,252
2020년04월_남_60~69세,"3,174","1,015",488,315,264,281,138,187,119,109,258
2020년04월_남_70~79세,"2,309",635,373,232,169,216,95,165,71,110,243
2020년04월_남_80~89세,"1,165",279,201,127,93,92,64,101,36,79,93
2020년04월_남_90~99세,112,29,18,11,4,15,6,7,6,11,5
2020년04월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년04월_여_총인구수,"19,657","7,965","2,597","1,809","1,233","1,464",679,"1,114",561,761,"1,474"
2020년04월_여_연령구간인구수,"19,657","7,965","2,597","1,809","1,233","1,464",679,"1,114",561,761,"1,474"
2020년04월_여_0~9세,"1,003",664,73,85,35,33,16,22,12,18,45
2020년04월_여_10~19세,"1,393",790,135,108,54,62,32,59,18,43,92
2020년04월_여_20~29세,"1,395",725,146,113,59,88,41,53,38,40,92
2020년04월_여_30~39세,"1,375",831,135,95,53,69,41,40,12,30,69
2020년04월_여_40~49세,"1,911","1,070",184,137,83,111,39,58,43,67,119
2020년04월_여_50~59세,"2,980","1,189",413,269,175,239,92,166,111,95,231
2020년04월_여_60~69세,"3,225","1,093",481,329,219,258,131,181,120,111,302
2020년04월_여_70~79세,"3,207",845,538,338,266,269,115,254,112,159,311
2020년04월_여_80~89세,"2,666",613,426,295,233,275,150,246,82,155,191
2020년04월_여_90~99세,480,134,65,37,53,59,20,35,12,43,22
2020년04월_여_100세 이상,22,11,1,3,3,1,2,0,1,0,0
2020년05월_계_총인구수,"38,146","15,532","5,035","3,463","2,364","2,883","1,299","2,122","1,121","1,452","2,875"
2020년05월_계_연령구간인구수,"38,146","15,532","5,035","3,463","2,364","2,883","1,299","2,122","1,121","1,452","2,875"
2020년05월_계_0~9세,"2,065","1,345",158,145,85,85,40,40,20,42,105
2020년05월_계_10~19세,"2,903","1,621",320,222,114,138,57,110,44,81,196
2020년05월_계_20~29세,"3,157","1,614",337,245,149,214,77,136,77,91,217
2020년05월_계_30~39세,"2,926","1,659",303,200,141,181,81,94,46,62,159
2020년05월_계_40~49세,"4,252","2,146",438,368,215,269,109,163,105,149,290
2020년05월_계_50~59세,"6,451","2,477",884,589,357,523,213,404,270,251,483
2020년05월_계_60~69세,"6,422","2,124",971,645,488,542,268,369,240,218,557
2020년05월_계_70~79세,"5,496","1,480",909,566,429,485,212,416,180,267,552
2020년05월_계_80~89세,"3,850",892,629,428,327,370,214,348,118,237,287
2020년05월_계_90~99세,599,162,85,50,56,75,26,42,20,54,29
2020년05월_계_100세 이상,25,12,1,5,3,1,2,0,1,0,0
2020년05월_남_총인구수,"18,526","7,569","2,439","1,667","1,139","1,414",622,"1,008",560,700,"1,408"
2020년05월_남_연령구간인구수,"18,526","7,569","2,439","1,667","1,139","1,414",622,"1,008",560,700,"1,408"
2020년05월_남_0~9세,"1,065",682,85,61,49,52,24,19,8,25,60
2020년05월_남_10~19세,"1,525",836,189,115,60,76,25,52,27,38,107
2020년05월_남_20~29세,"1,772",892,191,135,90,124,38,84,39,52,127
2020년05월_남_30~39세,"1,543",824,164,108,88,110,40,53,32,34,90
2020년05월_남_40~49세,"2,357","1,078",257,234,133,158,72,108,63,84,170
2020년05월_남_50~59세,"3,487","1,290",471,327,187,286,120,234,159,158,255
2020년05월_남_60~69세,"3,188","1,024",492,315,267,284,136,187,119,108,256
2020년05월_남_70~79세,"2,297",632,370,229,167,215,96,163,70,111,244
2020년05월_남_80~89세,"1,174",281,202,129,93,94,64,101,37,79,94
2020년05월_남_90~99세,114,29,18,12,5,15,6,7,6,11,5
2020년05월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년05월_여_총인구수,"19,620","7,963","2,596","1,796","1,225","1,469",677,"1,114",561,752,"1,467"
2020년05월_여_연령구간인구수,"19,620","7,963","2,596","1,796","1,225","1,469",677,"1,114",561,752,"1,467"
2020년05월_여_0~9세,"1,000",663,73,84,36,33,16,21,12,17,45
2020년05월_여_10~19세,"1,378",785,131,107,54,62,32,58,17,43,89
2020년05월_여_20~29세,"1,385",722,146,110,59,90,39,52,38,39,90
2020년05월_여_30~39세,"1,383",835,139,92,53,71,41,41,14,28,69
2020년05월_여_40~49세,"1,895","1,068",181,134,82,111,37,55,42,65,120
2020년05월_여_50~59세,"2,964","1,187",413,262,170,237,93,170,111,93,228
2020년05월_여_60~69세,"3,234","1,100",479,330,221,258,132,182,121,110,301
2020년05월_여_70~79세,"3,199",848,539,337,262,270,116,253,110,156,308
2020년05월_여_80~89세,"2,676",611,427,299,234,276,150,247,81,158,193
2020년05월_여_90~99세,485,133,67,38,51,60,20,35,14,43,24
2020년05월_여_100세 이상,21,11,1,3,3,1,1,0,1,0,0
2020년06월_계_총인구수,"38,071","15,511","5,029","3,430","2,364","2,890","1,293","2,121","1,115","1,453","2,865"
2020년06월_계_연령구간인구수,"38,071","15,511","5,029","3,430","2,364","2,890","1,293","2,121","1,115","1,453","2,865"
2020년06월_계_0~9세,"2,065","1,345",158,142,87,87,41,38,20,45,102
2020년06월_계_10~19세,"2,894","1,620",319,218,111,138,58,110,43,81,196
2020년06월_계_20~29세,"3,117","1,594",335,235,149,215,73,136,74,88,218
2020년06월_계_30~39세,"2,905","1,652",303,196,140,179,78,96,43,62,156
2020년06월_계_40~49세,"4,262","2,158",435,367,214,272,105,164,105,152,290
2020년06월_계_50~59세,"6,403","2,471",879,576,352,517,211,402,268,249,478
2020년06월_계_60~69세,"6,450","2,127",975,652,494,552,269,367,241,219,554
2020년06월_계_70~79세,"5,495","1,483",908,562,428,483,215,415,179,267,555
2020년06월_계_80~89세,"3,853",891,629,424,329,369,215,352,121,236,287
2020년06월_계_90~99세,604,160,87,53,57,77,26,41,20,54,29
2020년06월_계_100세 이상,23,10,1,5,3,1,2,0,1,0,0
2020년06월_남_총인구수,"18,482","7,549","2,440","1,651","1,137","1,420",618,"1,005",558,701,"1,403"
2020년06월_남_연령구간인구수,"18,482","7,549","2,440","1,651","1,137","1,420",618,"1,005",558,701,"1,403"
2020년06월_남_0~9세,"1,066",680,86,60,49,55,25,18,8,26,59
2020년06월_남_10~19세,"1,519",834,188,114,58,77,25,53,26,38,106
2020년06월_남_20~29세,"1,744",881,191,125,89,122,35,82,39,51,129
2020년06월_남_30~39세,"1,530",816,166,108,88,107,38,54,32,32,89
2020년06월_남_40~49세,"2,362","1,089",253,231,130,162,71,109,62,84,171
2020년06월_남_50~59세,"3,463","1,288",470,320,188,281,118,232,156,157,253
2020년06월_남_60~69세,"3,211","1,023",497,319,270,292,138,188,121,110,253
2020년06월_남_70~79세,"2,293",630,366,230,167,215,96,162,70,111,246
2020년06월_남_80~89세,"1,173",278,205,127,92,94,65,101,38,81,92
2020년06월_남_90~99세,117,29,18,15,6,15,6,6,6,11,5
2020년06월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년06월_여_총인구수,"19,589","7,962","2,589","1,779","1,227","1,470",675,"1,116",557,752,"1,462"
2020년06월_여_연령구간인구수,"19,589","7,962","2,589","1,779","1,227","1,470",675,"1,116",557,752,"1,462"
2020년06월_여_0~9세,999,665,72,82,38,32,16,20,12,19,43
2020년06월_여_10~19세,"1,375",786,131,104,53,61,33,57,17,43,90
2020년06월_여_20~29세,"1,373",713,144,110,60,93,38,54,35,37,89
2020년06월_여_30~39세,"1,375",836,137,88,52,72,40,42,11,30,67
2020년06월_여_40~49세,"1,900","1,069",182,136,84,110,34,55,43,68,119
2020년06월_여_50~59세,"2,940","1,183",409,256,164,236,93,170,112,92,225
2020년06월_여_60~69세,"3,239","1,104",478,333,224,260,131,179,120,109,301
2020년06월_여_70~79세,"3,202",853,542,332,261,268,119,253,109,156,309
2020년06월_여_80~89세,"2,680",613,424,297,237,275,150,251,83,155,195
2020년06월_여_90~99세,487,131,69,38,51,62,20,35,14,43,24
2020년06월_여_100세 이상,19,9,1,3,3,1,1,0,1,0,0
2020년07월_계_총인구수,"37,998","15,507","5,028","3,425","2,361","2,876","1,288","2,117","1,100","1,444","2,852"
2020년07월_계_연령구간인구수,"37,998","15,507","5,028","3,425","2,361","2,876","1,288","2,117","1,100","1,444","2,852"
2020년07월_계_0~9세,"2,055","1,343",160,141,84,86,40,37,18,43,103
2020년07월_계_10~19세,"2,892","1,624",319,218,116,133,58,110,39,81,194
2020년07월_계_20~29세,"3,095","1,597",331,225,146,214,73,135,71,87,216
2020년07월_계_30~39세,"2,888","1,633",309,200,139,177,76,95,43,60,156
2020년07월_계_40~49세,"4,234","2,153",432,359,210,272,104,163,102,150,289
2020년07월_계_50~59세,"6,379","2,469",871,575,354,514,209,401,268,243,475
2020년07월_계_60~69세,"6,457","2,137",980,659,489,548,269,367,239,222,547
2020년07월_계_70~79세,"5,500","1,491",904,565,429,487,215,413,178,266,552
2020년07월_계_80~89세,"3,865",888,633,425,332,370,214,355,121,237,290
2020년07월_계_90~99세,609,161,88,53,59,74,28,41,20,55,30
2020년07월_계_100세 이상,24,11,1,5,3,1,2,0,1,0,0
2020년07월_남_총인구수,"18,471","7,559","2,446","1,648","1,136","1,416",618,"1,005",550,698,"1,395"
2020년07월_남_연령구간인구수,"18,471","7,559","2,446","1,648","1,136","1,416",618,"1,005",550,698,"1,395"
2020년07월_남_0~9세,"1,059",679,88,58,47,54,24,18,7,26,58
2020년07월_남_10~19세,"1,519",841,187,112,59,76,25,52,24,38,105
2020년07월_남_20~29세,"1,739",882,192,120,89,120,36,83,38,50,129
2020년07월_남_30~39세,"1,529",811,169,111,88,107,38,53,32,31,89
2020년07월_남_40~49세,"2,345","1,083",251,226,129,162,70,109,62,81,172
2020년07월_남_50~59세,"3,449","1,286",467,321,188,281,118,231,153,154,250
2020년07월_남_60~69세,"3,231","1,035",501,322,270,291,138,191,121,113,249
2020년07월_남_70~79세,"2,297",635,364,232,169,216,96,161,69,112,243
2020년07월_남_80~89세,"1,184",277,210,129,92,94,66,101,38,82,95
2020년07월_남_90~99세,115,29,17,15,5,15,6,6,6,11,5
2020년07월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년07월_여_총인구수,"19,527","7,948","2,582","1,777","1,225","1,460",670,"1,112",550,746,"1,457"
2020년07월_여_연령구간인구수,"19,527","7,948","2,582","1,777","1,225","1,460",670,"1,112",550,746,"1,457"
2020년07월_여_0~9세,996,664,72,83,37,32,16,19,11,17,45
2020년07월_여_10~19세,"1,373",783,132,106,57,57,33,58,15,43,89
2020년07월_여_20~29세,"1,356",715,139,105,57,94,37,52,33,37,87
2020년07월_여_30~39세,"1,359",822,140,89,51,70,38,42,11,29,67
2020년07월_여_40~49세,"1,889","1,070",181,133,81,110,34,54,40,69,117
2020년07월_여_50~59세,"2,930","1,183",404,254,166,233,91,170,115,89,225
2020년07월_여_60~69세,"3,226","1,102",479,337,219,257,131,176,118,109,298
2020년07월_여_70~79세,"3,203",856,540,333,260,271,119,252,109,154,309
2020년07월_여_80~89세,"2,681",611,423,296,240,276,148,254,83,155,195
2020년07월_여_90~99세,494,132,71,38,54,59,22,35,14,44,25
2020년07월_여_100세 이상,20,10,1,3,3,1,1,0,1,0,0
2020년08월_계_총인구수,"37,909","15,452","5,016","3,424","2,354","2,865","1,282","2,119","1,098","1,452","2,847"
2020년08월_계_연령구간인구수,"37,909","15,452","5,016","3,424","2,354","2,865","1,282","2,119","1,098","1,452","2,847"
2020년08월_계_0~9세,"2,042","1,336",162,141,83,82,37,36,18,45,102
2020년08월_계_10~19세,"2,869","1,618",315,217,113,132,58,110,39,78,189
2020년08월_계_20~29세,"3,076","1,586",327,221,143,213,72,137,68,90,219
2020년08월_계_30~39세,"2,847","1,600",308,204,139,169,74,96,42,61,154
2020년08월_계_40~49세,"4,230","2,164",426,354,209,271,104,162,103,148,289
2020년08월_계_50~59세,"6,338","2,452",861,574,355,508,208,397,263,246,474
2020년08월_계_60~69세,"6,506","2,151",986,664,488,559,268,372,243,228,547
2020년08월_계_70~79세,"5,495","1,487",907,567,427,486,214,412,178,266,551
2020년08월_계_80~89세,"3,872",886,635,423,335,371,217,356,123,234,292
2020년08월_계_90~99세,610,161,88,54,59,73,28,41,20,56,30
2020년08월_계_100세 이상,24,11,1,5,3,1,2,0,1,0,0
2020년08월_남_총인구수,"18,426","7,530","2,436","1,652","1,134","1,410",613,"1,008",551,703,"1,389"
2020년08월_남_연령구간인구수,"18,426","7,530","2,436","1,652","1,134","1,410",613,"1,008",551,703,"1,389"
2020년08월_남_0~9세,"1,051",674,89,58,47,52,22,17,7,28,57
2020년08월_남_10~19세,"1,514",841,183,112,57,77,25,55,24,37,103
2020년08월_남_20~29세,"1,727",872,188,121,88,119,35,84,37,52,131
2020년08월_남_30~39세,"1,502",794,167,112,86,103,37,52,32,32,87
2020년08월_남_40~49세,"2,347","1,087",251,225,132,160,70,108,63,81,170
2020년08월_남_50~59세,"3,426","1,283",460,320,186,279,115,231,148,155,249
2020년08월_남_60~69세,"3,253","1,037",504,325,270,296,138,194,126,116,247
2020년08월_남_70~79세,"2,301",635,366,234,169,216,97,160,69,111,244
2020년08월_남_80~89세,"1,183",276,211,128,92,93,67,101,39,80,96
2020년08월_남_90~99세,118,30,17,15,7,15,6,6,6,11,5
2020년08월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년08월_여_총인구수,"19,483","7,922","2,580","1,772","1,220","1,455",669,"1,111",547,749,"1,458"
2020년08월_여_연령구간인구수,"19,483","7,922","2,580","1,772","1,220","1,455",669,"1,111",547,749,"1,458"
2020년08월_여_0~9세,991,662,73,83,36,30,15,19,11,17,45
2020년08월_여_10~19세,"1,355",777,132,105,56,55,33,55,15,41,86
2020년08월_여_20~29세,"1,349",714,139,100,55,94,37,53,31,38,88
2020년08월_여_30~39세,"1,345",806,141,92,53,66,37,44,10,29,67
2020년08월_여_40~49세,"1,883","1,077",175,129,77,111,34,54,40,67,119
2020년08월_여_50~59세,"2,912","1,169",401,254,169,229,93,166,115,91,225
