카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년01월_계_총인구수,"357,284","15,293","10,217","20,725","20,534","20,560","13,152","18,241","21,484","22,974","18,579","24,702","10,400","12,249","20,435","17,030","17,145","11,779","30,311","11,439","20,035"
2020년01월_계_연령구간인구수,"357,284","15,293","10,217","20,725","20,534","20,560","13,152","18,241","21,484","22,974","18,579","24,702","10,400","12,249","20,435","17,030","17,145","11,779","30,311","11,439","20,035"
2020년01월_계_0~9세,"22,168",631,658,"1,615",962,"1,302",624,944,"1,134","2,041","1,237","1,378",818,811,"1,019","1,079","1,305",719,"2,046",534,"1,311"
2020년01월_계_10~19세,"25,986",622,523,"1,934","1,509","1,641",651,"1,055","1,291","1,839","2,045","2,144",746,"1,054","1,340","1,395","1,027",947,"2,687",482,"1,054"
2020년01월_계_20~29세,"51,267","3,018","2,034","2,061","2,209","2,858","2,874","3,886","3,318","2,473","2,196","3,073","1,256","1,354","3,222","2,156","3,247","1,666","3,896","2,108","2,362"
2020년01월_계_30~39세,"47,877","2,349","1,796","2,382","2,017","2,514","2,308","3,170","3,234","3,148","1,908","2,588","1,684","1,516","2,428","1,986","2,828","1,298","3,646","2,015","3,062"
2020년01월_계_40~49세,"52,050","1,807","1,536","3,427","2,835","3,124","1,835","2,490","3,093","3,770","3,090","3,704","1,508","1,900","2,858","2,350","2,463","1,659","4,401","1,510","2,690"
2020년01월_계_50~59세,"59,471","2,560","1,596","3,267","3,526","3,660","1,729","2,369","3,131","3,746","3,476","4,664","1,598","2,341","3,587","2,937","2,593","2,044","5,717","1,752","3,178"
2020년01월_계_60~69세,"53,627","2,355","1,255","3,199","3,867","2,906","1,624","2,170","3,272","3,216","2,626","3,942","1,525","1,811","3,317","2,859","2,033","1,826","4,713","1,632","3,479"
2020년01월_계_70~79세,"31,072","1,362",544,"1,968","2,553","1,694","1,045","1,429","2,083","1,968","1,417","2,131",891,"1,032","1,943","1,627","1,183","1,138","2,118",938,"2,008"
