카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년03월_계_총인구수,"158,477","40,516","5,866","20,407","12,062","14,990","21,155","9,081","22,008","12,392"
2020년03월_계_연령구간인구수,"158,477","40,516","5,866","20,407","12,062","14,990","21,155","9,081","22,008","12,392"
2020년03월_계_0~9세,"15,796","3,919",257,"2,343",999,"1,412","2,176",755,"2,559","1,376"
2020년03월_계_10~19세,"15,687","4,069",370,"1,957","1,206","1,381","2,333",938,"2,172","1,261"
2020년03월_계_20~29세,"18,158","4,723",734,"2,093","1,615","1,905","2,479",928,"2,474","1,207"
2020년03월_계_30~39세,"24,498","6,290",814,"3,268","1,641","2,284","2,888","1,223","4,131","1,959"
2020년03월_계_40~49세,"25,730","7,149",830,"3,270","1,995","2,282","3,445","1,419","3,353","1,987"
2020년03월_계_50~59세,"26,563","6,724","1,096","3,315","2,387","2,439","3,930","1,531","3,159","1,982"
2020년03월_계_60~69세,"21,512","5,021","1,136","2,673","1,554","2,121","2,696","1,508","3,065","1,738"
2020년03월_계_70~79세,"7,782","1,897",476,"1,060",462,907,875,585,878,642
2020년03월_계_80~89세,"2,367",611,135,380,177,220,282,167,184,211
2020년03월_계_90~99세,360,106,17,44,25,36,49,26,31,26
2020년03월_계_100세 이상,24,7,1,4,1,3,2,1,2,3
2020년03월_남_총인구수,"82,841","21,681","3,168","10,523","6,316","7,770","10,818","4,658","11,620","6,287"
2020년03월_남_연령구간인구수,"82,841","21,681","3,168","10,523","6,316","7,770","10,818","4,658","11,620","6,287"
2020년03월_남_0~9세,"8,115","2,010",138,"1,190",511,741,"1,085",388,"1,337",715
2020년03월_남_10~19세,"8,258","2,170",198,"1,044",644,743,"1,184",484,"1,169",622
2020년03월_남_20~29세,"10,211","2,666",423,"1,155",882,993,"1,397",553,"1,463",679
2020년03월_남_30~39세,"13,514","3,665",515,"1,702",920,"1,259","1,480",647,"2,285","1,041"
2020년03월_남_40~49세,"13,902","4,035",483,"1,769","1,048","1,223","1,771",762,"1,781","1,030"
2020년03월_남_50~59세,"13,088","3,458",555,"1,684","1,205","1,191","1,940",711,"1,431",913
2020년03월_남_60~69세,"11,004","2,572",559,"1,355",817,"1,036","1,394",754,"1,596",921
2020년03월_남_70~79세,"3,952",917,245,518,223,497,466,301,486,299
2020년03월_남_80~89세,747,181,48,99,64,77,96,56,65,61
2020년03월_남_90~99세,46,7,4,7,2,8,4,2,6,6
2020년03월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년03월_여_총인구수,"75,636","18,835","2,698","9,884","5,746","7,220","10,337","4,423","10,388","6,105"
2020년03월_여_연령구간인구수,"75,636","18,835","2,698","9,884","5,746","7,220","10,337","4,423","10,388","6,105"
2020년03월_여_0~9세,"7,681","1,909",119,"1,153",488,671,"1,091",367,"1,222",661
2020년03월_여_10~19세,"7,429","1,899",172,913,562,638,"1,149",454,"1,003",639
2020년03월_여_20~29세,"7,947","2,057",311,938,733,912,"1,082",375,"1,011",528
2020년03월_여_30~39세,"10,984","2,625",299,"1,566",721,"1,025","1,408",576,"1,846",918
2020년03월_여_40~49세,"11,828","3,114",347,"1,501",947,"1,059","1,674",657,"1,572",957
2020년03월_여_50~59세,"13,475","3,266",541,"1,631","1,182","1,248","1,990",820,"1,728","1,069"
2020년03월_여_60~69세,"10,508","2,449",577,"1,318",737,"1,085","1,302",754,"1,469",817
2020년03월_여_70~79세,"3,830",980,231,542,239,410,409,284,392,343
2020년03월_여_80~89세,"1,620",430,87,281,113,143,186,111,119,150
2020년03월_여_90~99세,314,99,13,37,23,28,45,24,25,20
2020년03월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
2020년04월_계_총인구수,"158,323","40,538","5,858","20,350","11,968","15,054","21,146","9,038","21,997","12,374"
2020년04월_계_연령구간인구수,"158,323","40,538","5,858","20,350","11,968","15,054","21,146","9,038","21,997","12,374"
2020년04월_계_0~9세,"15,710","3,896",259,"2,340",979,"1,417","2,181",747,"2,537","1,354"
2020년04월_계_10~19세,"15,702","4,089",369,"1,936","1,202","1,381","2,335",940,"2,181","1,269"
2020년04월_계_20~29세,"18,116","4,697",730,"2,092","1,590","1,917","2,479",928,"2,481","1,202"
2020년04월_계_30~39세,"24,357","6,276",811,"3,223","1,619","2,315","2,869","1,211","4,086","1,947"
2020년04월_계_40~49세,"25,727","7,164",836,"3,251","1,979","2,278","3,449","1,416","3,366","1,988"
2020년04월_계_50~59세,"26,512","6,726","1,088","3,319","2,369","2,440","3,916","1,513","3,160","1,981"
2020년04월_계_60~69세,"21,594","5,055","1,134","2,688","1,556","2,135","2,707","1,500","3,077","1,742"
2020년04월_계_70~79세,"7,843","1,916",477,"1,065",471,910,877,591,887,649
2020년04월_계_80~89세,"2,381",605,137,388,179,223,280,165,190,214
2020년04월_계_90~99세,357,107,16,44,23,35,51,26,30,25
2020년04월_계_100세 이상,24,7,1,4,1,3,2,1,2,3
2020년04월_남_총인구수,"82,795","21,703","3,176","10,469","6,267","7,820","10,820","4,634","11,629","6,277"
2020년04월_남_연령구간인구수,"82,795","21,703","3,176","10,469","6,267","7,820","10,820","4,634","11,629","6,277"
2020년04월_남_0~9세,"8,081","2,003",142,"1,185",497,742,"1,093",383,"1,334",702
2020년04월_남_10~19세,"8,281","2,185",199,"1,027",644,751,"1,187",482,"1,174",632
2020년04월_남_20~29세,"10,199","2,669",421,"1,153",864,"1,003","1,395",554,"1,467",673
2020년04월_남_30~39세,"13,440","3,645",515,"1,672",915,"1,279","1,478",642,"2,258","1,036"
2020년04월_남_40~49세,"13,917","4,053",489,"1,756","1,039","1,226","1,766",760,"1,801","1,027"
2020년04월_남_50~59세,"13,059","3,451",553,"1,683","1,194","1,189","1,941",702,"1,429",917
2020년04월_남_60~69세,"11,037","2,588",557,"1,365",817,"1,044","1,395",754,"1,598",919
2020년04월_남_70~79세,"3,979",921,248,518,232,498,466,299,492,305
2020년04월_남_80~89세,753,181,48,103,64,78,94,56,69,60
2020년04월_남_90~99세,45,7,4,7,1,8,4,2,6,6
2020년04월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년04월_여_총인구수,"75,528","18,835","2,682","9,881","5,701","7,234","10,326","4,404","10,368","6,097"
2020년04월_여_연령구간인구수,"75,528","18,835","2,682","9,881","5,701","7,234","10,326","4,404","10,368","6,097"
2020년04월_여_0~9세,"7,629","1,893",117,"1,155",482,675,"1,088",364,"1,203",652
2020년04월_여_10~19세,"7,421","1,904",170,909,558,630,"1,148",458,"1,007",637
2020년04월_여_20~29세,"7,917","2,028",309,939,726,914,"1,084",374,"1,014",529
2020년04월_여_30~39세,"10,917","2,631",296,"1,551",704,"1,036","1,391",569,"1,828",911
2020년04월_여_40~49세,"11,810","3,111",347,"1,495",940,"1,052","1,683",656,"1,565",961
2020년04월_여_50~59세,"13,453","3,275",535,"1,636","1,175","1,251","1,975",811,"1,731","1,064"
2020년04월_여_60~69세,"10,557","2,467",577,"1,323",739,"1,091","1,312",746,"1,479",823
2020년04월_여_70~79세,"3,864",995,229,547,239,412,411,292,395,344
2020년04월_여_80~89세,"1,628",424,89,285,115,145,186,109,121,154
2020년04월_여_90~99세,312,100,12,37,22,27,47,24,24,19
2020년04월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
2020년05월_계_총인구수,"158,154","40,485","5,867","20,311","11,928","15,059","21,132","9,050","21,955","12,367"
2020년05월_계_연령구간인구수,"158,154","40,485","5,867","20,311","11,928","15,059","21,132","9,050","21,955","12,367"
2020년05월_계_0~9세,"15,640","3,869",259,"2,323",975,"1,413","2,187",746,"2,519","1,349"
2020년05월_계_10~19세,"15,660","4,105",369,"1,929","1,188","1,379","2,314",939,"2,162","1,275"
2020년05월_계_20~29세,"18,086","4,686",735,"2,083","1,578","1,919","2,466",930,"2,494","1,195"
2020년05월_계_30~39세,"24,212","6,211",807,"3,208","1,608","2,304","2,867","1,205","4,063","1,939"
2020년05월_계_40~49세,"25,737","7,172",836,"3,246","1,978","2,277","3,449","1,423","3,362","1,994"
2020년05월_계_50~59세,"26,430","6,693","1,085","3,317","2,368","2,451","3,919","1,510","3,133","1,954"
2020년05월_계_60~69세,"21,711","5,093","1,138","2,693","1,554","2,142","2,712","1,508","3,108","1,763"
2020년05월_계_70~79세,"7,905","1,932",483,"1,072",473,913,887,596,895,654
2020년05월_계_80~89세,"2,386",607,138,392,182,223,277,165,189,213
2020년05월_계_90~99세,363,110,16,44,23,35,52,27,28,28
2020년05월_계_100세 이상,24,7,1,4,1,3,2,1,2,3
2020년05월_남_총인구수,"82,706","21,690","3,176","10,450","6,241","7,820","10,808","4,650","11,603","6,268"
2020년05월_남_연령구간인구수,"82,706","21,690","3,176","10,450","6,241","7,820","10,808","4,650","11,603","6,268"
2020년05월_남_0~9세,"8,039","1,989",144,"1,176",495,743,"1,092",380,"1,320",700
2020년05월_남_10~19세,"8,256","2,188",195,"1,020",637,753,"1,173",482,"1,171",637
2020년05월_남_20~29세,"10,185","2,678",427,"1,151",850,997,"1,386",559,"1,470",667
2020년05월_남_30~39세,"13,373","3,608",512,"1,659",910,"1,278","1,486",643,"2,245","1,032"
2020년05월_남_40~49세,"13,923","4,071",486,"1,758","1,038","1,223","1,762",761,"1,797","1,027"
2020년05월_남_50~59세,"13,037","3,430",552,"1,685","1,194","1,198","1,942",705,"1,422",909
2020년05월_남_60~69세,"11,087","2,608",558,"1,368",812,"1,047","1,400",760,"1,608",926
2020년05월_남_70~79세,"3,998",928,249,519,239,493,467,303,494,306
2020년05월_남_80~89세,758,182,49,107,65,78,95,55,69,58
2020년05월_남_90~99세,46,8,4,7,1,8,4,2,6,6
2020년05월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년05월_여_총인구수,"75,448","18,795","2,691","9,861","5,687","7,239","10,324","4,400","10,352","6,099"
2020년05월_여_연령구간인구수,"75,448","18,795","2,691","9,861","5,687","7,239","10,324","4,400","10,352","6,099"
2020년05월_여_0~9세,"7,601","1,880",115,"1,147",480,670,"1,095",366,"1,199",649
2020년05월_여_10~19세,"7,404","1,917",174,909,551,626,"1,141",457,991,638
2020년05월_여_20~29세,"7,901","2,008",308,932,728,922,"1,080",371,"1,024",528
2020년05월_여_30~39세,"10,839","2,603",295,"1,549",698,"1,026","1,381",562,"1,818",907
2020년05월_여_40~49세,"11,814","3,101",350,"1,488",940,"1,054","1,687",662,"1,565",967
2020년05월_여_50~59세,"13,393","3,263",533,"1,632","1,174","1,253","1,977",805,"1,711","1,045"
2020년05월_여_60~69세,"10,624","2,485",580,"1,325",742,"1,095","1,312",748,"1,500",837
2020년05월_여_70~79세,"3,907","1,004",234,553,234,420,420,293,401,348
2020년05월_여_80~89세,"1,628",425,89,285,117,145,182,110,120,155
2020년05월_여_90~99세,317,102,12,37,22,27,48,25,22,22
2020년05월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
2020년06월_계_총인구수,"157,973","40,506","5,864","20,230","11,910","15,041","21,103","9,026","21,928","12,365"
2020년06월_계_연령구간인구수,"157,973","40,506","5,864","20,230","11,910","15,041","21,103","9,026","21,928","12,365"
2020년06월_계_0~9세,"15,545","3,835",255,"2,291",976,"1,408","2,179",740,"2,515","1,346"
2020년06월_계_10~19세,"15,627","4,104",366,"1,934","1,186","1,375","2,321",927,"2,143","1,271"
2020년06월_계_20~29세,"18,084","4,701",735,"2,076","1,569","1,922","2,459",935,"2,498","1,189"
2020년06월_계_30~39세,"24,033","6,202",804,"3,143","1,593","2,304","2,836","1,192","4,035","1,924"
2020년06월_계_40~49세,"25,771","7,164",837,"3,267","1,983","2,269","3,456","1,415","3,373","2,007"
2020년06월_계_50~59세,"26,302","6,694","1,084","3,304","2,340","2,434","3,886","1,508","3,116","1,936"
2020년06월_계_60~69세,"21,872","5,124","1,148","2,692","1,578","2,154","2,745","1,515","3,124","1,792"
2020년06월_계_70~79세,"7,970","1,955",480,"1,086",481,916,891,603,905,653
2020년06월_계_80~89세,"2,386",612,138,389,181,221,278,164,188,215
2020년06월_계_90~99세,358,108,16,43,22,35,50,26,29,29
2020년06월_계_100세 이상,25,7,1,5,1,3,2,1,2,3
2020년06월_남_총인구수,"82,633","21,715","3,170","10,410","6,235","7,805","10,809","4,634","11,586","6,269"
2020년06월_남_연령구간인구수,"82,633","21,715","3,170","10,410","6,235","7,805","10,809","4,634","11,586","6,269"
2020년06월_남_0~9세,"7,995","1,976",140,"1,161",496,740,"1,087",378,"1,318",699
2020년06월_남_10~19세,"8,234","2,183",194,"1,019",637,750,"1,184",477,"1,158",632
2020년06월_남_20~29세,"10,200","2,690",425,"1,151",849,"1,003","1,386",560,"1,472",664
2020년06월_남_30~39세,"13,270","3,600",514,"1,618",899,"1,274","1,474",633,"2,233","1,025"
2020년06월_남_40~49세,"13,950","4,071",484,"1,775","1,038","1,219","1,770",756,"1,801","1,036"
2020년06월_남_50~59세,"12,988","3,435",556,"1,682","1,180","1,189","1,926",706,"1,415",899
2020년06월_남_60~69세,"11,150","2,625",554,"1,364",826,"1,052","1,410",763,"1,614",942
2020년06월_남_70~79세,"4,037",940,250,528,244,492,472,306,499,306
2020년06월_남_80~89세,758,187,49,105,65,76,94,53,69,60
2020년06월_남_90~99세,46,8,4,6,1,8,5,2,6,6
2020년06월_남_100세 이상,5,0,0,1,0,2,1,0,1,0
2020년06월_여_총인구수,"75,340","18,791","2,694","9,820","5,675","7,236","10,294","4,392","10,342","6,096"
2020년06월_여_연령구간인구수,"75,340","18,791","2,694","9,820","5,675","7,236","10,294","4,392","10,342","6,096"
2020년06월_여_0~9세,"7,550","1,859",115,"1,130",480,668,"1,092",362,"1,197",647
2020년06월_여_10~19세,"7,393","1,921",172,915,549,625,"1,137",450,985,639
2020년06월_여_20~29세,"7,884","2,011",310,925,720,919,"1,073",375,"1,026",525
