카테고리,제주특별자치도 서귀포시,제주특별자치도 서귀포시 대정읍,제주특별자치도 서귀포시 남원읍,제주특별자치도 서귀포시 성산읍,제주특별자치도 서귀포시 안덕면,제주특별자치도 서귀포시 표선면,제주특별자치도 서귀포시 송산동,제주특별자치도 서귀포시 정방동,제주특별자치도 서귀포시 중앙동,제주특별자치도 서귀포시 천지동,제주특별자치도 서귀포시 효돈동,제주특별자치도 서귀포시 영천동,제주특별자치도 서귀포시 동홍동,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 대륜동,제주특별자치도 서귀포시 대천동,제주특별자치도 서귀포시 중문동,제주특별자치도 서귀포시 예래동
2020년01월_남_연령구간인구수,"91,842","10,422","9,726","8,106","6,234","6,312","2,256","1,137","1,741","1,814","2,673","2,704","11,350","5,189","7,319","7,002","5,838","2,019"
2020년01월_남_0~9세,"7,709",942,643,470,435,419,138,70,97,95,187,151,"1,112",607,817,882,512,132
2020년01월_남_10~19세,"9,132","1,258",860,571,532,500,207,79,139,136,226,243,"1,637",693,679,648,588,136
2020년01월_남_20~29세,"10,417",981,"1,092",851,815,724,240,117,200,194,273,319,"1,474",637,798,746,685,271
2020년01월_남_30~39세,"10,377",958,892,833,682,587,212,130,164,206,305,253,"1,297",587,"1,083","1,129",802,257
2020년01월_남_40~49세,"16,150","1,981","1,570","1,303","1,095","1,135",389,186,284,313,431,443,"1,991",949,"1,360","1,311","1,096",313
2020년01월_남_50~59세,"16,784","1,838","2,002","1,734","1,208","1,281",432,226,375,374,504,537,"1,919",794,"1,114","1,077",981,388
2020년01월_남_60~69세,"11,574","1,273","1,322","1,335",793,918,347,191,258,265,386,365,"1,115",516,847,706,642,295
2020년01월_남_70~79세,"6,925",809,918,705,488,546,213,97,159,170,240,275,626,312,465,376,370,156
2020년01월_남_80~89세,"2,579",356,397,277,171,194,69,34,61,54,115,113,171,88,146,116,152,65
2020년01월_남_90~99세,184,23,30,27,13,8,7,6,4,7,6,4,7,6,10,11,9,6
2020년01월_남_100세 이상,11,3,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,0
2020년01월_여_총인구수,"89,705","10,932","9,138","7,383","5,819","5,936","2,009","1,121","1,935","1,744","2,611","2,597","11,787","5,290","7,158","6,754","5,527","1,964"
2020년01월_여_연령구간인구수,"89,705","10,932","9,138","7,383","5,819","5,936","2,009","1,121","1,935","1,744","2,611","2,597","11,787","5,290","7,158","6,754","5,527","1,964"
2020년01월_여_0~9세,"7,327",843,566,479,454,392,109,58,112,85,185,173,"1,117",606,739,791,496,122
2020년01월_여_10~19세,"8,391","1,182",772,506,439,434,166,69,138,125,201,221,"1,552",697,596,591,568,134
2020년01월_여_20~29세,"9,136",858,866,661,678,562,204,94,165,171,282,287,"1,341",573,749,749,628,268
2020년01월_여_30~39세,"10,080","1,157",820,697,595,579,188,110,155,175,269,213,"1,307",633,"1,092","1,139",729,222
2020년01월_여_40~49세,"13,654","1,970","1,202",887,856,822,254,153,238,250,318,355,"2,006",951,"1,144","1,116",891,241
2020년01월_여_50~59세,"14,649","1,660","1,589","1,406",935,"1,119",361,230,392,331,431,445,"1,919",709,"1,054",925,826,317
2020년01월_여_60~69세,"11,753","1,303","1,340","1,146",737,924,304,209,397,297,380,352,"1,314",555,900,717,621,257
2020년01월_여_70~79세,"8,328","1,042","1,092",825,588,618,254,114,214,200,307,302,795,356,560,425,435,201
2020년01월_여_80~89세,"5,303",757,761,642,431,412,138,62,111,95,202,195,362,177,271,251,276,160
2020년01월_여_90~99세,995,146,121,127,100,66,27,20,10,13,29,49,72,31,47,48,51,38
2020년01월_여_100세 이상,89,14,9,7,6,8,4,2,3,2,7,5,2,2,6,2,6,4
2020년02월_계_총인구수,"181,420","21,329","18,854","15,434","12,044","12,252","4,263","2,259","3,662","3,535","5,270","5,281","23,136","10,470","14,492","13,790","11,371","3,978"
2020년02월_계_연령구간인구수,"181,420","21,329","18,854","15,434","12,044","12,252","4,263","2,259","3,662","3,535","5,270","5,281","23,136","10,470","14,492","13,790","11,371","3,978"
2020년02월_계_0~9세,"14,997","1,777","1,208",937,899,811,246,130,206,178,366,314,"2,209","1,204","1,549","1,696","1,006",261
2020년02월_계_10~19세,"17,498","2,441","1,623","1,067",965,941,372,146,272,264,425,460,"3,191","1,389","1,271","1,250","1,152",269
2020년02월_계_20~29세,"19,382","1,813","1,958","1,500","1,456","1,271",438,203,365,353,555,599,"2,800","1,221","1,534","1,478","1,321",517
2020년02월_계_30~39세,"20,349","2,087","1,700","1,512","1,290","1,155",397,236,318,377,560,454,"2,591","1,200","2,179","2,287","1,525",481
2020년02월_계_40~49세,"29,794","3,956","2,766","2,167","1,959","1,966",645,344,517,558,752,797,"3,997","1,906","2,499","2,424","1,981",560
2020년02월_계_50~59세,"31,511","3,517","3,592","3,143","2,143","2,407",789,455,764,702,929,996,"3,851","1,515","2,183","2,011","1,813",701
2020년02월_계_60~69세,"23,419","2,583","2,681","2,499","1,533","1,838",661,404,656,561,772,712,"2,451","1,063","1,763","1,419","1,270",553
2020년02월_계_70~79세,"15,244","1,847","1,992","1,520","1,073","1,174",465,220,375,368,544,578,"1,429",669,"1,032",797,801,360
2020년02월_계_80~89세,"7,944","1,117","1,170",931,603,607,211,94,173,151,325,312,536,264,419,367,436,228
2020년02월_계_90~99세,"1,183",174,155,151,116,74,32,24,13,21,35,54,78,37,57,59,59,44
2020년02월_계_100세 이상,99,17,9,7,7,8,7,3,3,2,7,5,3,2,6,2,7,4
2020년02월_남_총인구수,"91,749","10,417","9,716","8,075","6,224","6,311","2,246","1,137","1,735","1,804","2,673","2,691","11,336","5,193","7,317","7,015","5,838","2,021"
2020년02월_남_연령구간인구수,"91,749","10,417","9,716","8,075","6,224","6,311","2,246","1,137","1,735","1,804","2,673","2,691","11,336","5,193","7,317","7,015","5,838","2,021"
2020년02월_남_0~9세,"7,674",939,641,470,445,416,134,71,94,93,181,146,"1,093",605,816,894,502,134
2020년02월_남_10~19세,"9,136","1,256",857,563,526,503,207,78,139,140,229,242,"1,645",691,679,654,589,138
2020년02월_남_20~29세,"10,356",974,"1,094",840,797,719,238,109,204,190,274,325,"1,464",642,789,746,689,262
2020년02월_남_30~39세,"10,299",948,886,826,688,578,208,127,162,206,299,243,"1,283",573,"1,090","1,127",796,259
2020년02월_남_40~49세,"16,117","1,985","1,559","1,284","1,098","1,138",387,195,278,304,432,439,"1,989",961,"1,345","1,308","1,096",319
2020년02월_남_50~59세,"16,802","1,843","2,002","1,742","1,202","1,282",429,219,375,379,506,542,"1,921",802,"1,118","1,077",980,383
2020년02월_남_60~69세,"11,649","1,278","1,335","1,345",793,924,354,195,255,263,388,361,"1,132",512,857,710,651,296
2020년02월_남_70~79세,"6,914",809,911,701,484,548,209,103,160,167,239,276,628,312,466,374,370,157
2020년02월_남_80~89세,"2,607",359,399,280,176,195,72,33,64,54,119,112,172,89,147,114,155,67
2020년02월_남_90~99세,184,23,32,24,13,8,6,6,4,8,6,4,8,6,10,11,9,6
2020년02월_남_100세 이상,11,3,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,0
2020년02월_여_총인구수,"89,671","10,912","9,138","7,359","5,820","5,941","2,017","1,122","1,927","1,731","2,597","2,590","11,800","5,277","7,175","6,775","5,533","1,957"
2020년02월_여_연령구간인구수,"89,671","10,912","9,138","7,359","5,820","5,941","2,017","1,122","1,927","1,731","2,597","2,590","11,800","5,277","7,175","6,775","5,533","1,957"
2020년02월_여_0~9세,"7,323",838,567,467,454,395,112,59,112,85,185,168,"1,116",599,733,802,504,127
2020년02월_여_10~19세,"8,362","1,185",766,504,439,438,165,68,133,124,196,218,"1,546",698,592,596,563,131
2020년02월_여_20~29세,"9,026",839,864,660,659,552,200,94,161,163,281,274,"1,336",579,745,732,632,255
2020년02월_여_30~39세,"10,050","1,139",814,686,602,577,189,109,156,171,261,211,"1,308",627,"1,089","1,160",729,222
2020년02월_여_40~49세,"13,677","1,971","1,207",883,861,828,258,149,239,254,320,358,"2,008",945,"1,154","1,116",885,241
2020년02월_여_50~59세,"14,709","1,674","1,590","1,401",941,"1,125",360,236,389,323,423,454,"1,930",713,"1,065",934,833,318
2020년02월_여_60~69세,"11,770","1,305","1,346","1,154",740,914,307,209,401,298,384,351,"1,319",551,906,709,619,257
2020년02월_여_70~79세,"8,330","1,038","1,081",819,589,626,256,117,215,201,305,302,801,357,566,423,431,203
2020년02월_여_80~89세,"5,337",758,771,651,427,412,139,61,109,97,206,200,364,175,272,253,281,161
2020년02월_여_90~99세,999,151,123,127,103,66,26,18,9,13,29,50,70,31,47,48,50,38
2020년02월_여_100세 이상,88,14,9,7,5,8,5,2,3,2,7,4,2,2,6,2,6,4
