카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동,경기도 여주시 세종대왕면
2020년02월_계_40~49세,"16,161","2,253",433,505,289,713,744,611,488,283,"3,576","3,268","2,998",
2020년02월_계_50~59세,"20,134","2,818",886,"1,003",594,"1,224","1,399","1,010",838,453,"3,887","3,272","2,750",
2020년02월_계_60~69세,"17,288","2,385",982,"1,105",719,"1,259","1,532",953,828,570,"3,037","2,214","1,704",
2020년02월_계_70~79세,"10,100","1,318",660,684,447,848,"1,013",647,540,368,"1,546","1,149",880,
2020년02월_계_80~89세,"5,106",704,384,386,214,466,584,387,296,185,651,471,378,
2020년02월_계_90~99세,760,100,46,63,38,85,84,51,58,23,102,62,48,
2020년02월_계_100세 이상,40,9,1,1,1,0,4,4,2,1,8,3,6,
2020년02월_남_총인구수,"56,378","8,022","2,408","2,615","1,537","3,322","3,694","2,562","2,139","1,277","10,996","9,318","8,488",
2020년02월_남_연령구간인구수,"56,378","8,022","2,408","2,615","1,537","3,322","3,694","2,562","2,139","1,277","10,996","9,318","8,488",
2020년02월_남_0~9세,"3,980",520,106,99,49,127,132,81,70,56,886,771,"1,083",
2020년02월_남_10~19세,"5,109",695,162,157,70,248,246,229,139,70,"1,039","1,214",840,
2020년02월_남_20~29세,"6,513",905,259,241,149,325,358,232,208,120,"1,472","1,220","1,024",
2020년02월_남_30~39세,"6,221","1,057",173,219,110,282,272,165,173,106,"1,339","1,042","1,283",
2020년02월_남_40~49세,"8,413","1,210",244,283,159,421,397,339,277,154,"1,825","1,597","1,507",
2020년02월_남_50~59세,"10,549","1,497",481,534,320,667,755,571,472,224,"1,957","1,703","1,368",
2020년02월_남_60~69세,"8,785","1,221",497,579,372,659,815,499,405,289,"1,503","1,092",854,
2020년02월_남_70~79세,"4,744",631,339,335,219,418,464,289,273,174,713,500,389,
2020년02월_남_80~89세,"1,890",259,134,154,83,157,230,139,114,76,240,169,135,
2020년02월_남_90~99세,159,22,12,14,6,18,23,17,7,8,18,10,4,
2020년02월_남_100세 이상,15,5,1,0,0,0,2,1,1,0,4,0,1,
2020년02월_여_총인구수,"54,630","7,465","2,214","2,397","1,429","3,124","3,440","2,382","1,989","1,305","11,021","9,277","8,587",
2020년02월_여_연령구간인구수,"54,630","7,465","2,214","2,397","1,429","3,124","3,440","2,382","1,989","1,305","11,021","9,277","8,587",
2020년02월_여_0~9세,"3,705",548,66,83,41,173,113,78,74,72,818,692,947,
2020년02월_여_10~19세,"4,745",633,132,124,69,206,210,164,124,78,"1,011","1,123",871,
2020년02월_여_20~29세,"5,468",717,197,188,97,244,237,190,145,101,"1,333","1,107",912,
2020년02월_여_30~39세,"5,678",825,135,154,79,246,206,142,145,96,"1,312",987,"1,351",
2020년02월_여_40~49세,"7,748","1,043",189,222,130,292,347,272,211,129,"1,751","1,671","1,491",
2020년02월_여_50~59세,"9,585","1,321",405,469,274,557,644,439,366,229,"1,930","1,569","1,382",
2020년02월_여_60~69세,"8,503","1,164",485,526,347,600,717,454,423,281,"1,534","1,122",850,
2020년02월_여_70~79세,"5,356",687,321,349,228,430,549,358,267,194,833,649,491,
2020년02월_여_80~89세,"3,216",445,250,232,131,309,354,248,182,109,411,302,243,
2020년02월_여_90~99세,601,78,34,49,32,67,61,34,51,15,84,52,44,
2020년02월_여_100세 이상,25,4,0,1,1,0,2,3,1,1,4,3,5,
2020년03월_계_총인구수,"111,083","15,505","4,633","5,009","2,973","6,432","7,121","4,929","4,154","2,563","22,050","18,534","17,180",
2020년03월_계_연령구간인구수,"111,083","15,505","4,633","5,009","2,973","6,432","7,121","4,929","4,154","2,563","22,050","18,534","17,180",
2020년03월_계_0~9세,"7,666","1,073",183,182,92,301,237,151,145,119,"1,682","1,442","2,059",
2020년03월_계_10~19세,"9,823","1,319",287,279,142,449,456,391,261,148,"2,069","2,312","1,710",
2020년03월_계_20~29세,"12,060","1,625",462,430,243,565,598,422,360,222,"2,829","2,341","1,963",
2020년03월_계_30~39세,"11,801","1,858",298,362,191,523,470,301,318,198,"2,633","2,020","2,629",
2020년03월_계_40~49세,"16,144","2,260",428,507,287,707,745,607,492,279,"3,587","3,223","3,022",
2020년03월_계_50~59세,"20,118","2,818",882,995,594,"1,224","1,389","1,003",844,446,"3,889","3,283","2,751",
2020년03월_계_60~69세,"17,438","2,412",997,"1,110",725,"1,265","1,540",963,841,573,"3,058","2,221","1,733",
2020년03월_계_70~79세,"10,115","1,327",662,697,445,845,"1,011",651,542,366,"1,538","1,154",877,
2020년03월_계_80~89세,"5,112",702,385,382,215,468,586,386,291,186,658,471,382,
2020년03월_계_90~99세,765,102,48,64,38,85,85,49,58,25,99,64,48,
2020년03월_계_100세 이상,41,9,1,1,1,0,4,5,2,1,8,3,6,
2020년03월_남_총인구수,"56,415","8,041","2,414","2,612","1,537","3,307","3,687","2,559","2,153","1,265","11,024","9,276","8,540",
2020년03월_남_연령구간인구수,"56,415","8,041","2,414","2,612","1,537","3,307","3,687","2,559","2,153","1,265","11,024","9,276","8,540",
2020년03월_남_0~9세,"3,956",528,108,100,50,126,128,79,70,51,878,753,"1,085",
2020년03월_남_10~19세,"5,092",688,157,154,71,242,249,226,140,71,"1,050","1,205",839,
2020년03월_남_20~29세,"6,567",908,265,242,146,321,360,235,212,119,"1,487","1,227","1,045",
2020년03월_남_30~39세,"6,161","1,037",169,213,108,279,267,164,172,105,"1,334","1,034","1,279",
2020년03월_남_40~49세,"8,400","1,216",242,286,161,418,396,334,276,153,"1,825","1,566","1,527",
2020년03월_남_50~59세,"10,549","1,505",476,530,318,668,751,569,475,220,"1,961","1,712","1,364",
2020년03월_남_60~69세,"8,870","1,236",509,581,375,659,819,505,414,288,"1,517","1,099",868,
2020년03월_남_70~79세,"4,751",637,340,341,219,419,461,290,272,174,705,501,392,
2020년03월_남_80~89세,"1,895",258,134,151,84,158,230,140,113,76,245,170,136,
2020년03월_남_90~99세,159,23,13,14,5,17,24,16,8,8,18,9,4,
2020년03월_남_100세 이상,15,5,1,0,0,0,2,1,1,0,4,0,1,
2020년03월_여_총인구수,"54,668","7,464","2,219","2,397","1,436","3,125","3,434","2,370","2,001","1,298","11,026","9,258","8,640",
2020년03월_여_연령구간인구수,"54,668","7,464","2,219","2,397","1,436","3,125","3,434","2,370","2,001","1,298","11,026","9,258","8,640",
2020년03월_여_0~9세,"3,710",545,75,82,42,175,109,72,75,68,804,689,974,
2020년03월_여_10~19세,"4,731",631,130,125,71,207,207,165,121,77,"1,019","1,107",871,
2020년03월_여_20~29세,"5,493",717,197,188,97,244,238,187,148,103,"1,342","1,114",918,
2020년03월_여_30~39세,"5,640",821,129,149,83,244,203,137,146,93,"1,299",986,"1,350",
2020년03월_여_40~49세,"7,744","1,044",186,221,126,289,349,273,216,126,"1,762","1,657","1,495",
2020년03월_여_50~59세,"9,569","1,313",406,465,276,556,638,434,369,226,"1,928","1,571","1,387",
2020년03월_여_60~69세,"8,568","1,176",488,529,350,606,721,458,427,285,"1,541","1,122",865,
2020년03월_여_70~79세,"5,364",690,322,356,226,426,550,361,270,192,833,653,485,
2020년03월_여_80~89세,"3,217",444,251,231,131,310,356,246,178,110,413,301,246,
2020년03월_여_90~99세,606,79,35,50,33,68,61,33,50,17,81,55,44,
2020년03월_여_100세 이상,26,4,0,1,1,0,2,4,1,1,4,3,5,
2020년04월_계_총인구수,"111,198","15,547","4,623","5,022","2,969","6,415","7,118","4,928","4,169","2,563","22,019","18,559","17,266",
2020년04월_계_연령구간인구수,"111,198","15,547","4,623","5,022","2,969","6,415","7,118","4,928","4,169","2,563","22,019","18,559","17,266",
2020년04월_계_0~9세,"7,636","1,074",180,182,93,296,232,154,147,118,"1,647","1,441","2,072",
2020년04월_계_10~19세,"9,801","1,318",288,287,140,442,456,389,260,145,"2,062","2,311","1,703",
2020년04월_계_20~29세,"12,089","1,650",459,427,243,565,602,411,360,220,"2,821","2,351","1,980",
2020년04월_계_30~39세,"11,782","1,854",297,362,194,512,469,304,320,197,"2,615","2,028","2,630",
2020년04월_계_40~49세,"16,130","2,267",420,511,283,702,738,608,495,276,"3,574","3,210","3,046",
2020년04월_계_50~59세,"20,127","2,816",881,987,588,"1,222","1,384",998,846,452,"3,909","3,287","2,757",
2020년04월_계_60~69세,"17,544","2,421",999,"1,113",724,"1,271","1,551",973,849,575,"3,080","2,232","1,756",
2020년04월_계_70~79세,"10,144","1,333",663,704,451,848,"1,006",649,540,367,"1,540","1,160",883,
2020년04월_계_80~89세,"5,138",706,388,383,213,472,589,385,294,187,662,473,386,
2020년04월_계_90~99세,765,99,47,65,39,85,87,52,56,24,101,63,47,
2020년04월_계_100세 이상,42,9,1,1,1,0,4,5,2,2,8,3,6,
2020년04월_남_총인구수,"56,492","8,064","2,409","2,614","1,538","3,295","3,684","2,560","2,153","1,271","11,011","9,294","8,599",
2020년04월_남_연령구간인구수,"56,492","8,064","2,409","2,614","1,538","3,295","3,684","2,560","2,153","1,271","11,011","9,294","8,599",
2020년04월_남_0~9세,"3,934",530,109,99,50,124,124,81,71,51,849,756,"1,090",
2020년04월_남_10~19세,"5,087",690,157,157,68,237,250,222,139,70,"1,051","1,207",839,
2020년04월_남_20~29세,"6,592",924,261,238,149,314,364,232,212,118,"1,489","1,235","1,056",
2020년04월_남_30~39세,"6,141","1,031",168,212,108,276,264,163,171,105,"1,332","1,031","1,280",
2020년04월_남_40~49세,"8,395","1,218",236,289,159,414,393,335,276,152,"1,814","1,565","1,544",
2020년04월_남_50~59세,"10,576","1,506",481,527,317,670,749,570,474,225,"1,972","1,712","1,373",
2020년04월_남_60~69세,"8,919","1,241",511,580,375,664,824,511,418,289,"1,529","1,101",876,
2020년04월_남_70~79세,"4,765",635,339,345,223,419,457,287,271,175,709,508,397,
2020년04월_남_80~89세,"1,909",260,135,153,84,160,232,143,112,78,243,170,139,
2020년04월_남_90~99세,158,24,11,14,5,17,25,15,8,7,19,9,4,
2020년04월_남_100세 이상,16,5,1,0,0,0,2,1,1,1,4,0,1,
2020년04월_여_총인구수,"54,706","7,483","2,214","2,408","1,431","3,120","3,434","2,368","2,016","1,292","11,008","9,265","8,667",
2020년04월_여_연령구간인구수,"54,706","7,483","2,214","2,408","1,431","3,120","3,434","2,368","2,016","1,292","11,008","9,265","8,667",
2020년04월_여_0~9세,"3,702",544,71,83,43,172,108,73,76,67,798,685,982,
2020년04월_여_10~19세,"4,714",628,131,130,72,205,206,167,121,75,"1,011","1,104",864,
2020년04월_여_20~29세,"5,497",726,198,189,94,251,238,179,148,102,"1,332","1,116",924,
2020년04월_여_30~39세,"5,641",823,129,150,86,236,205,141,149,92,"1,283",997,"1,350",
2020년04월_여_40~49세,"7,735","1,049",184,222,124,288,345,273,219,124,"1,760","1,645","1,502",
2020년04월_여_50~59세,"9,551","1,310",400,460,271,552,635,428,372,227,"1,937","1,575","1,384",
2020년04월_여_60~69세,"8,625","1,180",488,533,349,607,727,462,431,286,"1,551","1,131",880,
2020년04월_여_70~79세,"5,379",698,324,359,228,429,549,362,269,192,831,652,486,
2020년04월_여_80~89세,"3,229",446,253,230,129,312,357,242,182,109,419,303,247,
2020년04월_여_90~99세,607,75,36,51,34,68,62,37,48,17,82,54,43,
2020년04월_여_100세 이상,26,4,0,1,1,0,2,4,1,1,4,3,5,
2020년05월_계_총인구수,"111,234","15,589","4,626","5,030","2,975","6,411","7,112","4,917","4,145","2,555","21,987","18,576","17,311",
2020년05월_계_연령구간인구수,"111,234","15,589","4,626","5,030","2,975","6,411","7,112","4,917","4,145","2,555","21,987","18,576","17,311",
2020년05월_계_0~9세,"7,627","1,077",175,186,98,299,225,151,142,117,"1,637","1,433","2,087",
2020년05월_계_10~19세,"9,751","1,312",287,284,138,442,443,387,259,141,"2,060","2,304","1,694",
2020년05월_계_20~29세,"12,118","1,664",460,432,242,556,612,406,358,218,"2,808","2,367","1,995",
2020년05월_계_30~39세,"11,769","1,864",300,353,193,516,466,308,313,190,"2,595","2,039","2,632",
2020년05월_계_40~49세,"16,078","2,268",420,507,281,704,732,606,490,274,"3,556","3,188","3,052",
2020년05월_계_50~59세,"20,138","2,816",881,"1,000",588,"1,208","1,382",995,847,453,"3,918","3,300","2,750",
2020년05월_계_60~69세,"17,634","2,426","1,002","1,121",723,"1,279","1,560",978,843,581,"3,101","2,248","1,772",
2020년05월_계_70~79세,"10,143","1,341",666,697,455,847,"1,003",642,542,368,"1,531","1,160",891,
2020년05월_계_80~89세,"5,160",712,385,382,215,476,596,386,293,188,671,471,385,
2020년05월_계_90~99세,773,100,49,67,41,84,89,53,56,23,102,62,47,
2020년05월_계_100세 이상,43,9,1,1,1,0,4,5,2,2,8,4,6,
2020년05월_남_총인구수,"56,545","8,082","2,403","2,620","1,537","3,297","3,695","2,550","2,140","1,270","11,008","9,307","8,636",
2020년05월_남_연령구간인구수,"56,545","8,082","2,403","2,620","1,537","3,297","3,695","2,550","2,140","1,270","11,008","9,307","8,636",
2020년05월_남_0~9세,"3,929",534,104,101,53,127,122,80,70,52,843,749,"1,094",
2020년05월_남_10~19세,"5,052",680,157,154,65,235,242,221,138,67,"1,054","1,200",839,
2020년05월_남_20~29세,"6,644",930,265,242,150,313,374,229,210,117,"1,488","1,256","1,070",
2020년05월_남_30~39세,"6,159","1,041",168,208,106,278,267,165,169,103,"1,332","1,036","1,286",
2020년05월_남_40~49세,"8,355","1,220",235,284,156,417,390,333,274,151,"1,796","1,553","1,546",
2020년05월_남_50~59세,"10,577","1,502",475,538,315,663,748,566,473,225,"1,974","1,723","1,375",
2020년05월_남_60~69세,"8,966","1,241",513,582,378,666,833,515,413,292,"1,545","1,109",879,
2020년05월_남_70~79세,"4,769",642,342,341,224,421,453,280,274,177,705,504,406,
2020년05월_남_80~89세,"1,914",263,133,155,83,160,237,145,110,78,247,167,136,
2020년05월_남_90~99세,164,24,10,15,7,17,27,15,8,7,20,10,4,
2020년05월_남_100세 이상,16,5,1,0,0,0,2,1,1,1,4,0,1,
2020년05월_여_총인구수,"54,689","7,507","2,223","2,410","1,438","3,114","3,417","2,367","2,005","1,285","10,979","9,269","8,675",
2020년05월_여_연령구간인구수,"54,689","7,507","2,223","2,410","1,438","3,114","3,417","2,367","2,005","1,285","10,979","9,269","8,675",
2020년05월_여_0~9세,"3,698",543,71,85,45,172,103,71,72,65,794,684,993,
2020년05월_여_10~19세,"4,699",632,130,130,73,207,201,166,121,74,"1,006","1,104",855,
2020년05월_여_20~29세,"5,474",734,195,190,92,243,238,177,148,101,"1,320","1,111",925,
2020년05월_여_30~39세,"5,610",823,132,145,87,238,199,143,144,87,"1,263","1,003","1,346",
2020년05월_여_40~49세,"7,723","1,048",185,223,125,287,342,273,216,123,"1,760","1,635","1,506",
2020년05월_여_50~59세,"9,561","1,314",406,462,273,545,634,429,374,228,"1,944","1,577","1,375",
2020년05월_여_60~69세,"8,668","1,185",489,539,345,613,727,463,430,289,"1,556","1,139",893,
2020년05월_여_70~79세,"5,374",699,324,356,231,426,550,362,268,191,826,656,485,
2020년05월_여_80~89세,"3,246",449,252,227,132,316,359,241,183,110,424,304,249,
2020년05월_여_90~99세,609,76,39,52,34,67,62,38,48,16,82,52,43,
2020년05월_여_100세 이상,27,4,0,1,1,0,2,4,1,1,4,4,5,
2020년06월_계_총인구수,"111,341","15,604","4,609","5,042","2,987","6,413","7,124","4,901","4,178","2,560","22,018","18,596","17,309",
2020년06월_계_연령구간인구수,"111,341","15,604","4,609","5,042","2,987","6,413","7,124","4,901","4,178","2,560","22,018","18,596","17,309",
2020년06월_계_0~9세,"7,624","1,083",176,181,100,301,229,150,144,117,"1,628","1,431","2,084",
2020년06월_계_10~19세,"9,699","1,308",276,283,140,441,436,383,261,143,"2,057","2,288","1,683",
2020년06월_계_20~29세,"12,089","1,648",455,421,239,548,617,401,350,213,"2,830","2,383","1,984",
2020년06월_계_30~39세,"11,750","1,874",296,354,194,517,465,307,315,190,"2,582","2,036","2,620",
2020년06월_계_40~49세,"16,079","2,258",410,518,284,708,733,608,494,273,"3,557","3,187","3,049",
2020년06월_계_50~59세,"20,132","2,827",873,"1,002",589,"1,204","1,368",987,857,453,"3,909","3,310","2,753",
2020년06월_계_60~69세,"17,797","2,444","1,016","1,133",730,"1,282","1,578",980,857,591,"3,128","2,265","1,793",
2020년06월_계_70~79세,"10,176","1,342",670,697,454,856,"1,004",640,550,367,"1,540","1,153",903,
2020년06월_계_80~89세,"5,168",709,387,385,214,473,599,384,290,187,675,477,388,
2020년06월_계_90~99세,780,101,49,67,42,82,91,56,58,24,102,62,46,
2020년06월_계_100세 이상,47,10,1,1,1,1,4,5,2,2,10,4,6,
2020년06월_남_총인구수,"56,582","8,083","2,390","2,637","1,545","3,294","3,704","2,537","2,149","1,277","11,016","9,308","8,642",
2020년06월_남_연령구간인구수,"56,582","8,083","2,390","2,637","1,545","3,294","3,704","2,537","2,149","1,277","11,016","9,308","8,642",
2020년06월_남_0~9세,"3,930",534,103,100,54,128,124,78,69,52,842,747,"1,099",
2020년06월_남_10~19세,"5,019",675,155,153,64,233,238,219,138,70,"1,053","1,188",833,
2020년06월_남_20~29세,"6,634",925,260,242,151,307,380,226,205,114,"1,497","1,266","1,061",
2020년06월_남_30~39세,"6,138","1,041",164,207,108,279,265,164,168,104,"1,320","1,033","1,285",
2020년06월_남_40~49세,"8,346","1,215",231,293,158,419,389,334,271,150,"1,793","1,551","1,542",
2020년06월_남_50~59세,"10,575","1,508",471,538,318,662,739,564,481,227,"1,964","1,724","1,379",
2020년06월_남_60~69세,"9,051","1,249",516,593,378,668,845,511,421,298,"1,565","1,118",889,
2020년06월_남_70~79세,"4,790",648,344,340,223,424,454,282,275,177,709,502,412,
2020년06월_남_80~89세,"1,913",258,135,156,84,156,241,141,111,77,248,169,137,
2020년06월_남_90~99세,169,25,10,15,7,17,27,17,9,7,21,10,4,
2020년06월_남_100세 이상,17,5,1,0,0,1,2,1,1,1,4,0,1,
2020년06월_여_총인구수,"54,759","7,521","2,219","2,405","1,442","3,119","3,420","2,364","2,029","1,283","11,002","9,288","8,667",
2020년06월_여_연령구간인구수,"54,759","7,521","2,219","2,405","1,442","3,119","3,420","2,364","2,029","1,283","11,002","9,288","8,667",
2020년06월_여_0~9세,"3,694",549,73,81,46,173,105,72,75,65,786,684,985,
2020년06월_여_10~19세,"4,680",633,121,130,76,208,198,164,123,73,"1,004","1,100",850,
2020년06월_여_20~29세,"5,455",723,195,179,88,241,237,175,145,99,"1,333","1,117",923,
2020년06월_여_30~39세,"5,612",833,132,147,86,238,200,143,147,86,"1,262","1,003","1,335",
2020년06월_여_40~49세,"7,733","1,043",179,225,126,289,344,274,223,123,"1,764","1,636","1,507",
2020년06월_여_50~59세,"9,557","1,319",402,464,271,542,629,423,376,226,"1,945","1,586","1,374",
2020년06월_여_60~69세,"8,746","1,195",500,540,352,614,733,469,436,293,"1,563","1,147",904,
2020년06월_여_70~79세,"5,386",694,326,357,231,432,550,358,275,190,831,651,491,
2020년06월_여_80~89세,"3,255",451,252,229,130,317,358,243,179,110,427,308,251,
2020년06월_여_90~99세,611,76,39,52,35,65,64,39,49,17,81,52,42,
2020년06월_여_100세 이상,30,5,0,1,1,0,2,4,1,1,6,4,5,
2020년07월_계_총인구수,"111,400","15,621","4,603","5,044","2,997","6,426","7,116","4,913","4,175","2,563","22,009","18,588","17,345",
2020년07월_계_연령구간인구수,"111,400","15,621","4,603","5,044","2,997","6,426","7,116","4,913","4,175","2,563","22,009","18,588","17,345",
2020년07월_계_0~9세,"7,601","1,084",177,177,100,300,227,148,141,114,"1,618","1,435","2,080",
2020년07월_계_10~19세,"9,697","1,318",275,284,141,441,433,388,264,145,"2,047","2,276","1,685",
2020년07월_계_20~29세,"12,084","1,655",451,415,237,552,612,406,348,213,"2,837","2,386","1,972",
2020년07월_계_30~39세,"11,718","1,870",293,358,195,519,465,305,307,186,"2,571","2,023","2,626",
2020년07월_계_40~49세,"16,067","2,249",414,519,285,704,726,609,496,275,"3,542","3,181","3,067",
2020년07월_계_50~59세,"20,092","2,820",867,982,587,"1,199","1,363",992,857,458,"3,894","3,314","2,759",
2020년07월_계_60~69세,"17,924","2,460","1,026","1,151",731,"1,296","1,592",980,861,596,"3,146","2,274","1,811",
2020년07월_계_70~79세,"10,210","1,346",669,710,459,858,"1,000",634,549,366,"1,561","1,156",902,
2020년07월_계_80~89세,"5,182",709,381,382,218,477,603,389,292,184,680,476,391,
2020년07월_계_90~99세,778,100,49,65,43,79,91,57,58,24,103,63,46,
2020년07월_계_100세 이상,47,10,1,1,1,1,4,5,2,2,10,4,6,
2020년07월_남_총인구수,"56,600","8,090","2,393","2,636","1,553","3,293","3,700","2,542","2,145","1,285","10,999","9,304","8,660",
2020년07월_남_연령구간인구수,"56,600","8,090","2,393","2,636","1,553","3,293","3,700","2,542","2,145","1,285","10,999","9,304","8,660",
2020년07월_남_0~9세,"3,915",532,104,96,55,126,123,77,68,52,837,752,"1,093",
2020년07월_남_10~19세,"5,013",681,153,155,63,231,237,225,140,71,"1,045","1,176",836,
2020년07월_남_20~29세,"6,638",934,261,240,150,309,377,224,204,114,"1,505","1,268","1,052",
2020년07월_남_30~39세,"6,132","1,041",163,208,109,279,265,164,163,101,"1,314","1,034","1,291",
2020년07월_남_40~49세,"8,313","1,207",233,289,159,418,384,331,272,150,"1,782","1,542","1,546",
2020년07월_남_50~59세,"10,564","1,501",471,531,321,658,739,568,482,234,"1,952","1,727","1,380",
2020년07월_남_60~69세,"9,107","1,255",522,602,376,675,850,512,419,301,"1,569","1,122",904,
2020년07월_남_70~79세,"4,807",648,343,347,225,422,456,279,276,177,720,501,413,
2020년07월_남_80~89세,"1,928",262,131,155,88,159,240,144,110,77,251,171,140,
2020년07월_남_90~99세,167,25,11,13,7,15,27,17,10,7,20,11,4,
2020년07월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020년07월_여_총인구수,"54,800","7,531","2,210","2,408","1,444","3,133","3,416","2,371","2,030","1,278","11,010","9,284","8,685",
2020년07월_여_연령구간인구수,"54,800","7,531","2,210","2,408","1,444","3,133","3,416","2,371","2,030","1,278","11,010","9,284","8,685",
2020년07월_여_0~9세,"3,686",552,73,81,45,174,104,71,73,62,781,683,987,
2020년07월_여_10~19세,"4,684",637,122,129,78,210,196,163,124,74,"1,002","1,100",849,
2020년07월_여_20~29세,"5,446",721,190,175,87,243,235,182,144,99,"1,332","1,118",920,
2020년07월_여_30~39세,"5,586",829,130,150,86,240,200,141,144,85,"1,257",989,"1,335",
