카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년01월_계_총인구수,"66,806","10,667","3,353","1,767","5,282","1,356",721,"1,885",715,675,"7,835","14,920","9,293","8,337"
2020년01월_계_연령구간인구수,"66,806","10,667","3,353","1,767","5,282","1,356",721,"1,885",715,675,"7,835","14,920","9,293","8,337"
2020년01월_계_0~9세,"4,114",358,94,39,105,27,6,50,15,23,331,"1,789",685,592
2020년01월_계_10~19세,"5,478",893,156,74,275,47,13,71,28,4,518,"1,720",887,792
2020년01월_계_20~29세,"7,776","2,191",242,131,391,75,28,99,35,30,784,"1,955","1,006",809
2020년01월_계_30~39세,"6,272",629,237,109,284,72,23,103,31,46,655,"2,224","1,046",813
2020년01월_계_40~49세,"9,276","1,185",415,191,488,158,76,212,83,75,966,"2,593","1,598","1,236"
2020년01월_계_50~59세,"11,703","1,764",639,378,"1,048",313,150,357,146,137,"1,522","2,272","1,546","1,431"
2020년01월_계_60~69세,"10,622","1,779",662,359,"1,113",350,170,411,172,142,"1,548","1,318","1,247","1,351"
2020년01월_계_70~79세,"7,177","1,251",538,305,870,184,138,323,121,135,994,683,826,809
2020년01월_계_80~89세,"3,812",543,315,153,614,118,97,226,73,75,457,312,381,448
2020년01월_계_90~99세,529,61,47,28,87,12,20,32,10,7,59,50,62,54
2020년01월_계_100세 이상,47,13,8,0,7,0,0,1,1,1,1,4,9,2
2020년01월_남_총인구수,"33,811","5,323","1,751",877,"2,713",720,392,979,363,369,"3,857","7,618","4,717","4,132"
2020년01월_남_연령구간인구수,"33,811","5,323","1,751",877,"2,713",720,392,979,363,369,"3,857","7,618","4,717","4,132"
2020년01월_남_0~9세,"2,101",176,53,20,53,13,3,28,10,11,182,915,342,295
2020년01월_남_10~19세,"2,876",416,83,44,183,26,7,46,13,2,273,891,481,411
2020년01월_남_20~29세,"4,346","1,165",165,68,249,35,19,59,23,16,435,"1,116",552,444
2020년01월_남_30~39세,"3,348",332,146,66,172,47,14,58,16,29,355,"1,139",543,431
2020년01월_남_40~49세,"5,162",673,277,122,325,113,53,155,56,61,507,"1,295",859,666
2020년01월_남_50~59세,"6,170",948,370,197,584,161,95,199,82,77,751,"1,154",842,710
2020년01월_남_60~69세,"5,307",892,334,181,579,191,100,221,83,86,730,667,600,643
2020년01월_남_70~79세,"3,128",544,222,117,357,83,60,147,52,61,448,306,363,368
2020년01월_남_80~89세,"1,261",156,91,57,203,47,36,62,27,25,165,121,120,151
2020년01월_남_90~99세,100,16,7,5,7,4,5,4,1,1,11,13,14,12
2020년01월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년01월_여_총인구수,"32,995","5,344","1,602",890,"2,569",636,329,906,352,306,"3,978","7,302","4,576","4,205"
2020년01월_여_연령구간인구수,"32,995","5,344","1,602",890,"2,569",636,329,906,352,306,"3,978","7,302","4,576","4,205"
2020년01월_여_0~9세,"2,013",182,41,19,52,14,3,22,5,12,149,874,343,297
2020년01월_여_10~19세,"2,602",477,73,30,92,21,6,25,15,2,245,829,406,381
2020년01월_여_20~29세,"3,430","1,026",77,63,142,40,9,40,12,14,349,839,454,365
2020년01월_여_30~39세,"2,924",297,91,43,112,25,9,45,15,17,300,"1,085",503,382
2020년01월_여_40~49세,"4,114",512,138,69,163,45,23,57,27,14,459,"1,298",739,570
2020년01월_여_50~59세,"5,533",816,269,181,464,152,55,158,64,60,771,"1,118",704,721
2020년01월_여_60~69세,"5,315",887,328,178,534,159,70,190,89,56,818,651,647,708
2020년01월_여_70~79세,"4,049",707,316,188,513,101,78,176,69,74,546,377,463,441
2020년01월_여_80~89세,"2,551",387,224,96,411,71,61,164,46,50,292,191,261,297
2020년01월_여_90~99세,429,45,40,23,80,8,15,28,9,6,48,37,48,42
2020년01월_여_100세 이상,35,8,5,0,6,0,0,1,1,1,1,3,8,1
2020년02월_계_총인구수,"66,478","10,521","3,354","1,760","5,271","1,357",716,"1,875",711,679,"7,853","14,814","9,289","8,278"
2020년02월_계_연령구간인구수,"66,478","10,521","3,354","1,760","5,271","1,357",716,"1,875",711,679,"7,853","14,814","9,289","8,278"
2020년02월_계_0~9세,"4,056",357,94,38,101,29,6,52,15,24,323,"1,747",692,578
2020년02월_계_10~19세,"5,403",853,153,78,268,45,12,69,28,8,521,"1,707",879,782
2020년02월_계_20~29세,"7,636","2,097",243,126,384,72,29,98,35,28,776,"1,933","1,014",801
2020년02월_계_30~39세,"6,192",628,238,108,284,74,23,103,30,44,653,"2,179","1,035",793
2020년02월_계_40~49세,"9,242","1,165",412,192,488,159,74,209,82,77,971,"2,584","1,592","1,237"
