카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020년03월_계_80~89세,"14,555","7,724",882,331,377,344,291,249,403,253,302,182,365,478,408,554,636,954,715,"6,831","1,225",566,614,538,480,383,318,570,471,386,386,536,358,,
2020년03월_계_90~99세,"2,104","1,128",119,51,62,47,39,24,70,42,35,26,56,51,68,72,98,166,102,976,158,85,74,80,55,67,59,62,77,65,69,70,55,,
2020년03월_계_100세 이상,165,83,0,0,2,1,3,2,8,4,11,2,9,6,9,5,3,10,8,82,29,2,4,13,8,6,2,5,2,2,3,5,1,,
2020년03월_남_총인구수,"333,551","131,579","12,414","2,238","2,186","2,250","1,729","1,255","3,228","1,164","2,950","1,958","4,676","4,954","8,967","12,446","23,071","28,032","18,061","201,972","13,002","11,707","10,644","4,697","8,591","13,726","7,076","19,017","9,351","20,514","34,477","20,683","28,487",,
2020년03월_남_연령구간인구수,"333,551","131,579","12,414","2,238","2,186","2,250","1,729","1,255","3,228","1,164","2,950","1,958","4,676","4,954","8,967","12,446","23,071","28,032","18,061","201,972","13,002","11,707","10,644","4,697","8,591","13,726","7,076","19,017","9,351","20,514","34,477","20,683","28,487",,
2020년03월_남_0~9세,"32,589","11,040",947,79,61,72,44,26,130,17,93,53,245,161,554,"1,225","2,630","3,230","1,473","21,549",737,"1,030",760,170,428,548,508,"1,843",767,"3,009","5,382","1,816","4,551",,
2020년03월_남_10~19세,"36,125","14,046","1,516",127,119,126,94,53,188,56,167,95,435,408,777,"1,711","3,140","3,622","1,412","22,079","1,277","1,270","1,019",329,559,762,653,"2,762","1,322","2,934","4,746","2,002","2,444",,
2020년03월_남_20~29세,"49,889","18,870","1,539",244,217,239,150,120,502,87,299,245,643,670,"1,442","1,691","3,354","3,813","3,615","31,019","1,632","1,428","1,462",573,"1,336","3,209","1,292","3,129","1,450","2,675","4,318","4,418","4,097",,
2020년03월_남_30~39세,"56,514","18,050","1,363",201,172,204,134,115,360,61,303,247,504,579,"1,320","1,317","3,767","4,400","3,003","38,464","1,312","1,716","1,661",481,"1,321","3,428","1,060","2,705","1,227","3,552","7,382","4,268","8,351",,
2020년03월_남_40~49세,"57,458","22,405","2,420",289,255,288,214,161,433,129,415,287,684,746,"1,505","2,338","4,566","5,081","2,594","35,053","2,221","2,295","2,003",691,"1,382","2,126",990,"3,256","1,553","3,898","6,664","3,354","4,620",,
2020년03월_남_50~59세,"52,452","22,568","2,315",445,477,500,368,271,603,281,635,414,955,"1,013","1,652","2,144","3,440","4,147","2,908","29,884","2,342","2,000","1,884","1,014","1,723","1,942","1,211","3,205","1,682","2,780","4,242","2,931","2,928",,
2020년03월_남_60~69세,"29,935","14,752","1,333",479,490,445,391,264,590,258,577,374,675,733,"1,120","1,245","1,468","2,393","1,917","15,183","1,869","1,207","1,116",779,"1,116","1,160",914,"1,448",894,"1,149","1,226","1,211","1,094",,
2020년03월_남_70~79세,"13,100","6,908",661,256,259,246,231,148,263,172,331,167,393,448,447,571,501,971,843,"6,192","1,109",532,493,428,531,424,322,474,319,400,379,479,302,,
2020년03월_남_80~89세,"4,971","2,666",293,107,120,122,94,92,143,93,115,64,126,184,135,185,182,335,276,"2,305",455,208,227,200,177,116,111,178,124,101,125,189,94,,
2020년03월_남_90~99세,474,253,27,11,16,8,8,5,15,9,11,12,14,10,13,15,22,38,19,221,39,21,19,30,15,11,15,14,12,15,12,12,6,,
2020년03월_남_100세 이상,44,21,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020년03월_여_총인구수,"320,708","127,895","11,777","1,930","2,143","2,105","1,566","1,065","2,909","1,018","2,610","1,757","4,286","4,668","8,570","12,445","22,247","28,044","18,755","192,813","12,084","10,728","8,897","4,108","7,777","12,127","7,279","19,670","9,966","20,484","34,184","19,412","26,097",,
2020년03월_여_연령구간인구수,"320,708","127,895","11,777","1,930","2,143","2,105","1,566","1,065","2,909","1,018","2,610","1,757","4,286","4,668","8,570","12,445","22,247","28,044","18,755","192,813","12,084","10,728","8,897","4,108","7,777","12,127","7,279","19,670","9,966","20,484","34,184","19,412","26,097",,
2020년03월_여_0~9세,"31,278","10,479",921,71,62,75,44,31,148,16,81,45,201,156,519,"1,190","2,440","3,079","1,400","20,799",675,"1,022",704,164,386,513,430,"1,849",779,"2,959","5,170","1,705","4,443",,
2020년03월_여_10~19세,"33,472","12,920","1,348",121,82,122,92,38,168,31,146,89,292,343,681,"1,596","2,841","3,455","1,475","20,552","1,142","1,222",911,276,583,733,652,"2,451","1,150","2,729","4,477","1,863","2,363",,
2020년03월_여_20~29세,"45,439","16,682","1,231",149,176,154,111,86,267,54,256,247,495,530,"1,315","1,355","2,873","3,485","3,898","28,757","1,263","1,179",957,394,"1,110","3,238","1,250","2,916","1,294","2,515","4,327","4,303","4,011",,
2020년03월_여_30~39세,"49,910","16,329","1,203",131,144,134,76,64,225,47,204,154,414,375,"1,070","1,495","3,446","4,371","2,776","33,581","1,041","1,483","1,118",290,956,"2,249",895,"2,747","1,259","3,785","7,451","3,369","6,938",,
2020년03월_여_40~49세,"54,177","21,144","2,211",179,207,245,129,76,324,57,304,205,599,664,"1,381","2,348","4,485","5,157","2,573","33,033","1,801","1,966","1,516",478,"1,157","1,691","1,026","3,688","1,744","3,821","7,002","3,227","3,916",,
2020년03월_여_50~59세,"49,575","21,531","2,000",363,430,411,293,187,595,202,459,321,874,955,"1,601","2,093","3,328","4,183","3,236","28,044","1,997","1,701","1,576",830,"1,503","1,682","1,426","3,498","1,851","2,770","3,834","2,750","2,626",,
2020년03월_여_60~69세,"29,439","14,610","1,344",401,441,440,342,224,503,219,565,330,711,782,"1,095","1,243","1,576","2,388","2,006","14,829","1,921","1,101","1,025",759,"1,080","1,154",943,"1,451",923,"1,105","1,135","1,192","1,040",,
2020년03월_여_70~79세,"16,083","8,205",838,251,296,262,249,181,357,196,377,232,412,524,573,698,726,"1,171",862,"7,878","1,335",630,644,518,654,538,404,628,553,464,468,596,446,,
2020년03월_여_80~89세,"9,584","5,058",589,224,257,222,197,157,260,160,187,118,239,294,273,369,454,619,439,"4,526",770,358,387,338,303,267,207,392,347,285,261,347,264,,
2020년03월_여_90~99세,"1,630",875,92,40,46,39,31,19,55,33,24,14,42,41,55,57,76,128,83,755,119,64,55,50,40,56,44,48,65,50,57,58,49,,
2020년03월_여_100세 이상,121,62,0,0,2,1,2,2,7,3,7,2,7,4,7,1,2,8,7,59,20,2,4,11,5,6,2,2,1,1,2,2,1,,
2020년04월_계_총인구수,"654,251","259,211","24,176","4,164","4,336","4,355","3,292","2,316","6,139","2,175","5,572","3,723","8,962","9,589","17,512","24,822","45,315","56,044","36,719","395,040","25,012","22,416","19,546","8,766","16,395","25,856","14,335","38,602","19,275","41,022","69,053","40,138","54,624",,
2020년04월_계_연령구간인구수,"654,251","259,211","24,176","4,164","4,336","4,355","3,292","2,316","6,139","2,175","5,572","3,723","8,962","9,589","17,512","24,822","45,315","56,044","36,719","395,040","25,012","22,416","19,546","8,766","16,395","25,856","14,335","38,602","19,275","41,022","69,053","40,138","54,624",,
2020년04월_계_0~9세,"63,652","21,384","1,845",150,124,151,87,57,273,33,176,100,448,312,"1,061","2,386","5,057","6,253","2,871","42,268","1,391","2,040","1,451",322,823,"1,038",947,"3,663","1,542","5,951","10,580","3,513","9,007",,
2020년04월_계_10~19세,"69,442","26,864","2,865",248,200,248,181,90,356,83,313,185,727,747,"1,435","3,298","5,974","7,064","2,850","42,578","2,400","2,496","1,930",605,"1,131","1,490","1,294","5,184","2,450","5,670","9,253","3,869","4,806",,
2020년04월_계_20~29세,"95,276","35,518","2,756",392,389,386,265,204,766,141,556,499,"1,142","1,192","2,752","3,048","6,219","7,301","7,510","59,758","2,899","2,599","2,411",953,"2,447","6,454","2,514","6,062","2,741","5,188","8,715","8,709","8,066",,
2020년04월_계_30~39세,"106,218","34,229","2,566",327,310,340,208,179,588,107,509,407,921,949,"2,377","2,778","7,201","8,732","5,730","71,989","2,324","3,179","2,761",758,"2,288","5,681","1,965","5,415","2,462","7,286","14,973","7,620","15,277",,
2020년04월_계_40~49세,"111,563","43,437","4,620",466,466,535,342,235,757,185,710,492,"1,283","1,398","2,862","4,674","9,057","10,227","5,128","68,126","3,994","4,256","3,529","1,160","2,539","3,824","2,010","6,910","3,294","7,766","13,683","6,573","8,588",,
2020년04월_계_50~59세,"102,147","44,077","4,326",807,907,906,658,458,"1,197",474,"1,102",724,"1,800","1,948","3,276","4,227","6,762","8,367","6,138","58,070","4,326","3,705","3,481","1,845","3,234","3,612","2,634","6,702","3,539","5,567","8,159","5,716","5,550",,
2020년04월_계_60~69세,"59,760","29,561","2,686",884,938,884,737,490,"1,102",485,"1,142",706,"1,403","1,516","2,246","2,512","3,061","4,821","3,948","30,199","3,813","2,314","2,151","1,547","2,205","2,335","1,854","2,904","1,826","2,272","2,388","2,437","2,153",,
2020년04월_계_70~79세,"29,302","15,157","1,503",507,559,511,482,327,619,366,713,400,810,983,"1,016","1,265","1,241","2,146","1,709","14,145","2,450","1,170","1,134",950,"1,186",961,740,"1,114",875,874,844,"1,087",760,,
2020년04월_계_80~89세,"14,618","7,766",890,332,379,344,289,250,401,255,304,182,366,487,409,553,642,961,722,"6,852","1,229",569,620,531,479,388,315,581,469,384,388,538,361,,
2020년04월_계_90~99세,"2,106","1,133",119,51,62,49,40,24,72,42,36,26,53,51,69,76,98,162,103,973,157,85,74,82,55,67,61,62,75,62,67,71,55,,
2020년04월_계_100세 이상,167,85,0,0,2,1,3,2,8,4,11,2,9,6,9,5,3,10,10,82,29,3,4,13,8,6,1,5,2,2,3,5,1,,
2020년04월_남_총인구수,"333,525","131,359","12,400","2,241","2,185","2,244","1,725","1,251","3,231","1,161","2,948","1,962","4,667","4,939","8,957","12,423","23,048","28,003","17,974","202,166","12,963","11,690","10,636","4,684","8,617","13,754","7,079","18,977","9,323","20,528","34,657","20,710","28,548",,
2020년04월_남_연령구간인구수,"333,525","131,359","12,400","2,241","2,185","2,244","1,725","1,251","3,231","1,161","2,948","1,962","4,667","4,939","8,957","12,423","23,048","28,003","17,974","202,166","12,963","11,690","10,636","4,684","8,617","13,754","7,079","18,977","9,323","20,528","34,657","20,710","28,548",,
2020년04월_남_0~9세,"32,463","10,966",940,80,62,74,44,26,129,17,95,53,248,157,547,"1,212","2,624","3,189","1,469","21,497",724,"1,020",751,163,434,536,511,"1,833",763,"2,990","5,393","1,808","4,571",,
2020년04월_남_10~19세,"36,032","13,966","1,511",129,120,126,91,52,189,53,166,93,428,407,763,"1,702","3,133","3,614","1,389","22,066","1,278","1,270","1,015",327,556,766,651,"2,747","1,316","2,942","4,750","2,004","2,444",,
2020년04월_남_20~29세,"49,857","18,841","1,529",245,215,233,149,117,500,88,298,253,647,673,"1,436","1,695","3,345","3,822","3,596","31,016","1,627","1,432","1,451",571,"1,332","3,215","1,281","3,139","1,443","2,681","4,342","4,419","4,083",,
2020년04월_남_30~39세,"56,401","17,965","1,359",196,167,202,132,116,363,60,305,246,506,576,"1,316","1,303","3,765","4,378","2,975","38,436","1,295","1,699","1,648",476,"1,331","3,427","1,065","2,688","1,218","3,519","7,465","4,260","8,345",,
2020년04월_남_40~49세,"57,491","22,349","2,417",288,253,289,214,160,433,128,412,287,684,739,"1,500","2,331","4,558","5,080","2,576","35,142","2,207","2,295","2,017",690,"1,388","2,140",992,"3,242","1,544","3,932","6,672","3,356","4,667",,
2020년04월_남_50~59세,"52,466","22,540","2,315",445,477,499,367,270,605,277,637,409,938,"1,006","1,663","2,147","3,433","4,159","2,893","29,926","2,336","1,998","1,889","1,012","1,728","1,943","1,212","3,195","1,679","2,786","4,273","2,952","2,923",,
2020년04월_남_60~69세,"30,119","14,838","1,342",483,495,445,395,266,588,262,569,379,679,728,"1,138","1,256","1,478","2,413","1,922","15,281","1,883","1,215","1,121",784,"1,117","1,175",911,"1,451",900,"1,158","1,243","1,220","1,103",,
2020년04월_남_70~79세,"13,173","6,931",665,256,262,245,231,147,266,171,334,166,394,452,445,572,506,970,849,"6,242","1,111",535,495,432,535,421,330,480,323,403,380,487,310,,
2020년04월_남_80~89세,"5,000","2,688",296,108,118,122,94,92,141,95,117,64,127,189,134,185,182,339,285,"2,312",456,205,230,195,178,119,110,185,124,102,126,188,94,,
2020년04월_남_90~99세,479,254,26,11,16,9,7,5,16,9,11,12,14,10,13,16,23,37,19,225,37,21,19,32,15,12,16,14,12,14,12,13,8,,
2020년04월_남_100세 이상,44,21,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020년04월_여_총인구수,"320,726","127,852","11,776","1,923","2,151","2,111","1,567","1,065","2,908","1,014","2,624","1,761","4,295","4,650","8,555","12,399","22,267","28,041","18,745","192,874","12,049","10,726","8,910","4,082","7,778","12,102","7,256","19,625","9,952","20,494","34,396","19,428","26,076",,
2020년04월_여_연령구간인구수,"320,726","127,852","11,776","1,923","2,151","2,111","1,567","1,065","2,908","1,014","2,624","1,761","4,295","4,650","8,555","12,399","22,267","28,041","18,745","192,874","12,049","10,726","8,910","4,082","7,778","12,102","7,256","19,625","9,952","20,494","34,396","19,428","26,076",,
2020년04월_여_0~9세,"31,189","10,418",905,70,62,77,43,31,144,16,81,47,200,155,514,"1,174","2,433","3,064","1,402","20,771",667,"1,020",700,159,389,502,436,"1,830",779,"2,961","5,187","1,705","4,436",,
2020년04월_여_10~19세,"33,410","12,898","1,354",119,80,122,90,38,167,30,147,92,299,340,672,"1,596","2,841","3,450","1,461","20,512","1,122","1,226",915,278,575,724,643,"2,437","1,134","2,728","4,503","1,865","2,362",,
2020년04월_여_20~29세,"45,419","16,677","1,227",147,174,153,116,87,266,53,258,246,495,519,"1,316","1,353","2,874","3,479","3,914","28,742","1,272","1,167",960,382,"1,115","3,239","1,233","2,923","1,298","2,507","4,373","4,290","3,983",,
2020년04월_여_30~39세,"49,817","16,264","1,207",131,143,138,76,63,225,47,204,161,415,373,"1,061","1,475","3,436","4,354","2,755","33,553","1,029","1,480","1,113",282,957,"2,254",900,"2,727","1,244","3,767","7,508","3,360","6,932",,
2020년04월_여_40~49세,"54,072","21,088","2,203",178,213,246,128,75,324,57,298,205,599,659,"1,362","2,343","4,499","5,147","2,552","32,984","1,787","1,961","1,512",470,"1,151","1,684","1,018","3,668","1,750","3,834","7,011","3,217","3,921",,
2020년04월_여_50~59세,"49,681","21,537","2,011",362,430,407,291,188,592,197,465,315,862,942,"1,613","2,080","3,329","4,208","3,245","28,144","1,990","1,707","1,592",833,"1,506","1,669","1,422","3,507","1,860","2,781","3,886","2,764","2,627",,
2020년04월_여_60~69세,"29,641","14,723","1,344",401,443,439,342,224,514,223,573,327,724,788,"1,108","1,256","1,583","2,408","2,026","14,918","1,930","1,099","1,030",763,"1,088","1,160",943,"1,453",926,"1,114","1,145","1,217","1,050",,
2020년04월_여_70~79세,"16,129","8,226",838,251,297,266,251,180,353,195,379,234,416,531,571,693,735,"1,176",860,"7,903","1,339",635,639,518,651,540,410,634,552,471,464,600,450,,
2020년04월_여_80~89세,"9,618","5,078",594,224,261,222,195,158,260,160,187,118,239,298,275,368,460,622,437,"4,540",773,364,390,336,301,269,205,396,345,282,262,350,267,,
2020년04월_여_90~99세,"1,627",879,93,40,46,40,33,19,56,33,25,14,39,41,56,60,75,125,84,748,120,64,55,50,40,55,45,48,63,48,55,58,47,,
2020년04월_여_100세 이상,123,64,0,0,2,1,2,2,7,3,7,2,7,4,7,1,2,8,9,59,20,3,4,11,5,6,1,2,1,1,2,2,1,,
2020년05월_계_총인구수,"655,192","258,857","24,163","4,160","4,322","4,344","3,281","2,320","6,139","2,170","5,579","3,702","8,945","9,527","17,457","24,757","45,253","55,993","36,745","396,335","24,912","22,308","19,464","8,730","16,358","25,861","14,308","38,505","19,227","41,057","69,350","41,649","54,606",,
2020년05월_계_연령구간인구수,"655,192","258,857","24,163","4,160","4,322","4,344","3,281","2,320","6,139","2,170","5,579","3,702","8,945","9,527","17,457","24,757","45,253","55,993","36,745","396,335","24,912","22,308","19,464","8,730","16,358","25,861","14,308","38,505","19,227","41,057","69,350","41,649","54,606",,
2020년05월_계_0~9세,"63,588","21,265","1,830",150,121,150,86,60,270,31,177,95,445,306,"1,052","2,364","5,020","6,253","2,855","42,323","1,367","2,030","1,433",322,823,"1,046",944,"3,655","1,533","5,944","10,622","3,601","9,003",,
2020년05월_계_10~19세,"69,274","26,774","2,852",247,199,247,183,92,354,85,310,182,725,732,"1,432","3,294","5,960","7,037","2,843","42,500","2,394","2,466","1,920",593,"1,113","1,477","1,284","5,136","2,443","5,690","9,228","3,968","4,788",,
2020년05월_계_20~29세,"95,552","35,457","2,752",386,379,381,260,201,766,137,560,501,"1,123","1,173","2,733","3,018","6,227","7,284","7,576","60,095","2,881","2,586","2,395",947,"2,451","6,500","2,523","6,031","2,723","5,182","8,778","9,067","8,031",,
2020년05월_계_30~39세,"106,271","34,034","2,558",323,307,335,206,178,591,107,505,409,921,937,"2,356","2,756","7,134","8,712","5,699","72,237","2,302","3,142","2,725",744,"2,266","5,658","1,954","5,403","2,452","7,266","15,038","8,020","15,267",,
2020년05월_계_40~49세,"111,527","43,292","4,608",467,463,531,342,241,750,182,712,481,"1,275","1,390","2,860","4,659","9,053","10,186","5,092","68,235","3,955","4,215","3,528","1,150","2,526","3,809","1,994","6,869","3,287","7,774","13,737","6,795","8,596",,
2020년05월_계_50~59세,"102,401","44,099","4,340",808,900,900,653,451,"1,200",475,"1,106",719,"1,797","1,947","3,270","4,218","6,775","8,383","6,157","58,302","4,325","3,724","3,467","1,838","3,212","3,578","2,626","6,699","3,534","5,592","8,218","5,941","5,548",,
2020년05월_계_60~69세,"60,133","29,672","2,698",885,940,887,733,492,"1,099",486,"1,145",709,"1,420","1,507","2,251","2,529","3,081","4,844","3,966","30,461","3,814","2,305","2,150","1,560","2,232","2,354","1,864","2,942","1,837","2,280","2,423","2,506","2,194",,
2020년05월_계_70~79세,"29,487","15,244","1,507",512,569,517,486,326,625,364,714,400,806,987,"1,022","1,276","1,253","2,155","1,725","14,243","2,459","1,178","1,146",951,"1,192",972,739,"1,124",872,876,848,"1,127",759,,
2020년05월_계_80~89세,"14,674","7,800",897,329,380,344,289,253,405,256,303,179,372,488,406,559,653,963,724,"6,874","1,229",573,620,529,480,394,317,578,470,388,385,547,364,,
2020년05월_계_90~99세,"2,119","1,137",121,53,62,51,40,24,71,43,36,25,52,55,66,79,94,166,99,982,157,86,76,82,55,67,62,63,74,63,70,72,55,,
2020년05월_계_100세 이상,166,83,0,0,2,1,3,2,8,4,11,2,9,5,9,5,3,10,9,83,29,3,4,14,8,6,1,5,2,2,3,5,1,,
2020년05월_남_총인구수,"333,991","131,186","12,369","2,243","2,177","2,237","1,714","1,259","3,241","1,162","2,944","1,955","4,659","4,908","8,925","12,381","23,045","27,984","17,983","202,805","12,919","11,637","10,571","4,677","8,611","13,777","7,043","18,927","9,292","20,537","34,773","21,477","28,564",,
2020년05월_남_연령구간인구수,"333,991","131,186","12,369","2,243","2,177","2,237","1,714","1,259","3,241","1,162","2,944","1,955","4,659","4,908","8,925","12,381","23,045","27,984","17,983","202,805","12,919","11,637","10,571","4,677","8,611","13,777","7,043","18,927","9,292","20,537","34,773","21,477","28,564",,
2020년05월_남_0~9세,"32,412","10,914",931,81,61,73,43,29,129,16,94,49,250,155,540,"1,203","2,611","3,193","1,456","21,498",711,"1,009",740,162,431,542,506,"1,819",753,"2,991","5,417","1,852","4,565",,
2020년05월_남_10~19세,"35,945","13,918","1,503",128,119,126,91,52,187,54,165,91,425,399,765,"1,696","3,115","3,600","1,402","22,027","1,275","1,258","1,015",324,546,764,648,"2,723","1,312","2,949","4,724","2,049","2,440",,
2020년05월_남_20~29세,"49,989","18,808","1,518",244,209,232,148,119,503,86,302,257,635,657,"1,428","1,674","3,368","3,810","3,618","31,181","1,623","1,431","1,439",568,"1,335","3,246","1,276","3,127","1,432","2,679","4,353","4,594","4,078",,
2020년05월_남_30~39세,"56,405","17,852","1,346",193,165,196,130,116,363,61,297,249,510,573,"1,299","1,288","3,741","4,374","2,951","38,553","1,281","1,680","1,618",470,"1,324","3,412","1,053","2,682","1,206","3,501","7,488","4,500","8,338",,
2020년05월_남_40~49세,"57,507","22,266","2,406",289,252,287,212,164,433,126,409,281,675,729,"1,484","2,330","4,567","5,060","2,562","35,241","2,189","2,272","2,013",683,"1,392","2,143",980,"3,221","1,550","3,931","6,715","3,463","4,689",,
2020년05월_남_50~59세,"52,623","22,578","2,326",445,474,497,366,268,609,278,640,405,936,"1,010","1,674","2,141","3,433","4,173","2,903","30,045","2,338","2,014","1,882","1,011","1,726","1,919","1,211","3,197","1,676","2,802","4,296","3,058","2,915",,
2020년05월_남_60~69세,"30,301","14,890","1,347",485,497,446,394,266,585,264,573,381,692,724,"1,137","1,265","1,488","2,417","1,929","15,411","1,888","1,212","1,117",796,"1,126","1,193",913,"1,469",901,"1,161","1,259","1,252","1,124",,
2020년05월_남_70~79세,"13,259","6,976",665,258,265,249,230,146,272,171,333,167,389,456,450,577,517,976,855,"6,283","1,114",534,498,434,538,425,330,485,325,404,381,502,313,,
2020년05월_남_80~89세,"5,023","2,706",299,108,119,122,93,94,143,96,116,64,131,191,133,187,181,342,287,"2,317",454,206,230,195,175,121,109,186,125,103,127,191,95,,
2020년05월_남_90~99세,483,257,28,12,16,9,6,5,16,9,11,11,14,12,13,16,23,37,19,226,37,21,19,32,15,12,17,15,11,15,12,13,7,,
2020년05월_남_100세 이상,44,21,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020년05월_여_총인구수,"321,201","127,671","11,794","1,917","2,145","2,107","1,567","1,061","2,898","1,008","2,635","1,747","4,286","4,619","8,532","12,376","22,208","28,009","18,762","193,530","11,993","10,671","8,893","4,053","7,747","12,084","7,265","19,578","9,935","20,520","34,577","20,172","26,042",,
2020년05월_여_연령구간인구수,"321,201","127,671","11,794","1,917","2,145","2,107","1,567","1,061","2,898","1,008","2,635","1,747","4,286","4,619","8,532","12,376","22,208","28,009","18,762","193,530","11,993","10,671","8,893","4,053","7,747","12,084","7,265","19,578","9,935","20,520","34,577","20,172","26,042",,
2020년05월_여_0~9세,"31,176","10,351",899,69,60,77,43,31,141,15,83,46,195,151,512,"1,161","2,409","3,060","1,399","20,825",656,"1,021",693,160,392,504,438,"1,836",780,"2,953","5,205","1,749","4,438",,
