카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년02월_남_0~9세,590,381,16,15,15,16,18,16,16,10,52,17,9,9
2020년02월_남_10~19세,863,473,41,24,21,42,30,24,30,19,96,28,20,15
2020년02월_남_20~29세,"1,174",522,54,47,42,83,63,43,77,20,133,25,35,30
2020년02월_남_30~39세,"1,012",475,63,38,33,38,63,33,53,13,92,48,26,37
2020년02월_남_40~49세,"1,737",818,93,53,49,81,89,74,100,38,192,57,41,52
2020년02월_남_50~59세,"2,612",846,189,113,100,165,172,159,181,61,281,88,124,133
2020년02월_남_60~69세,"2,643",636,220,147,121,170,197,167,239,104,259,134,123,126
2020년02월_남_70~79세,"1,647",374,106,80,78,103,92,113,167,48,220,79,99,88
2020년02월_남_80~89세,846,133,66,49,41,64,59,58,70,39,76,54,74,63
2020년02월_남_90~99세,88,16,10,6,5,5,7,9,5,4,5,4,4,8
2020년02월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년02월_여_총인구수,"13,868","4,828",871,610,537,818,828,751,913,406,"1,530",500,636,640
2020년02월_여_연령구간인구수,"13,868","4,828",871,610,537,818,828,751,913,406,"1,530",500,636,640
2020년02월_여_0~9세,558,350,19,13,18,19,22,18,17,6,50,9,6,11
2020년02월_여_10~19세,729,424,25,17,11,31,34,27,30,9,81,14,13,13
2020년02월_여_20~29세,934,452,50,34,28,58,51,45,46,12,87,23,14,34
2020년02월_여_30~39세,889,524,42,27,23,40,38,17,49,13,63,16,21,16
2020년02월_여_40~49세,"1,243",703,52,28,30,58,56,50,49,16,123,19,27,32
2020년02월_여_50~59세,"2,164",738,149,115,80,124,133,116,157,59,246,63,97,87
2020년02월_여_60~69세,"2,489",712,167,127,98,156,161,145,199,95,288,98,118,125
2020년02월_여_70~79세,"2,415",501,167,121,117,172,151,165,196,99,316,122,146,142
2020년02월_여_80~89세,"2,110",370,173,110,114,137,158,150,147,82,232,115,169,153
2020년02월_여_90~99세,331,51,26,18,17,23,24,18,23,15,44,21,25,26
2020년02월_여_100세 이상,6,3,1,0,1,0,0,0,0,0,0,0,0,1
2020년03월_계_총인구수,"27,040","9,515","1,733","1,175","1,033","1,577","1,614","1,451","1,853",766,"2,910","1,029","1,185","1,199"
2020년03월_계_연령구간인구수,"27,040","9,515","1,733","1,175","1,033","1,577","1,614","1,451","1,853",766,"2,910","1,029","1,185","1,199"
2020년03월_계_0~9세,"1,140",726,37,28,30,38,37,34,34,19,96,27,15,19
2020년03월_계_10~19세,"1,589",897,66,41,30,72,65,50,64,27,177,40,32,28
2020년03월_계_20~29세,"2,095",981,104,80,67,136,115,86,118,33,218,47,48,62
2020년03월_계_30~39세,"1,881",997,101,62,54,77,100,50,100,29,149,63,46,53
2020년03월_계_40~49세,"2,963","1,517",144,81,77,138,145,123,150,55,308,77,66,82
2020년03월_계_50~59세,"4,733","1,574",336,223,174,285,303,280,337,123,522,147,211,218
2020년03월_계_60~69세,"5,166","1,361",393,276,222,327,354,312,439,195,545,234,252,256
2020년03월_계_70~79세,"4,074",879,276,199,199,271,247,280,367,147,538,199,242,230
2020년03월_계_80~89세,"2,959",507,239,160,155,205,218,208,215,119,308,169,241,215
2020년03월_계_90~99세,432,73,36,25,24,28,30,28,28,19,49,26,32,34
2020년03월_계_100세 이상,8,3,1,0,1,0,0,0,1,0,0,0,0,2
2020년03월_남_총인구수,"13,202","4,683",860,569,496,764,785,702,940,358,"1,391",534,555,565
2020년03월_남_연령구간인구수,"13,202","4,683",860,569,496,764,785,702,940,358,"1,391",534,555,565
2020년03월_남_0~9세,584,379,18,15,12,17,16,16,16,13,47,18,9,8
2020년03월_남_10~19세,858,472,41,24,20,41,30,25,32,18,95,26,19,15
2020년03월_남_20~29세,"1,173",529,53,46,41,82,63,44,73,21,131,25,35,30
2020년03월_남_30~39세,"1,001",475,60,37,32,36,62,33,52,14,90,47,25,38
2020년03월_남_40~49세,"1,726",819,92,52,48,80,87,75,99,39,184,58,41,52
2020년03월_남_50~59세,"2,595",839,187,112,96,163,172,161,181,63,283,87,119,132
2020년03월_남_60~69세,"2,673",644,227,148,122,172,193,166,243,100,259,138,132,129
2020년03월_남_70~79세,"1,653",375,107,80,79,102,97,114,169,49,218,76,99,88
2020년03월_남_80~89세,848,135,65,48,41,66,58,59,68,37,79,55,73,64
2020년03월_남_90~99세,89,16,10,7,5,5,7,9,6,4,5,4,3,8
2020년03월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년03월_여_총인구수,"13,838","4,832",873,606,537,813,829,749,913,408,"1,519",495,630,634
2020년03월_여_연령구간인구수,"13,838","4,832",873,606,537,813,829,749,913,408,"1,519",495,630,634
2020년03월_여_0~9세,556,347,19,13,18,21,21,18,18,6,49,9,6,11
2020년03월_여_10~19세,731,425,25,17,10,31,35,25,32,9,82,14,13,13
2020년03월_여_20~29세,922,452,51,34,26,54,52,42,45,12,87,22,13,32
2020년03월_여_30~39세,880,522,41,25,22,41,38,17,48,15,59,16,21,15
2020년03월_여_40~49세,"1,237",698,52,29,29,58,58,48,51,16,124,19,25,30
2020년03월_여_50~59세,"2,138",735,149,111,78,122,131,119,156,60,239,60,92,86
2020년03월_여_60~69세,"2,493",717,166,128,100,155,161,146,196,95,286,96,120,127
2020년03월_여_70~79세,"2,421",504,169,119,120,169,150,166,198,98,320,123,143,142
2020년03월_여_80~89세,"2,111",372,174,112,114,139,160,149,147,82,229,114,168,151
2020년03월_여_90~99세,343,57,26,18,19,23,23,19,22,15,44,22,29,26
2020년03월_여_100세 이상,6,3,1,0,1,0,0,0,0,0,0,0,0,1
2020년04월_계_총인구수,"26,979","9,506","1,725","1,167","1,029","1,574","1,611","1,456","1,840",766,"2,899","1,027","1,177","1,202"
2020년04월_계_연령구간인구수,"26,979","9,506","1,725","1,167","1,029","1,574","1,611","1,456","1,840",766,"2,899","1,027","1,177","1,202"
2020년04월_계_0~9세,"1,134",727,36,25,31,38,39,35,32,18,94,27,14,18
2020년04월_계_10~19세,"1,579",898,64,39,28,70,64,50,65,28,174,39,32,28
2020년04월_계_20~29세,"2,068",971,104,77,67,132,107,87,115,33,217,48,47,63
2020년04월_계_30~39세,"1,866",994,100,59,52,77,103,52,97,30,147,61,43,51
2020년04월_계_40~49세,"2,955","1,516",144,83,75,135,145,118,151,53,308,78,67,82
2020년04월_계_50~59세,"4,705","1,567",329,223,176,285,301,284,328,124,521,144,205,218
2020년04월_계_60~69세,"5,191","1,368",394,274,218,329,355,315,443,196,545,238,256,260
2020년04월_계_70~79세,"4,071",882,276,202,201,272,252,277,362,148,534,199,239,227
2020년04월_계_80~89세,"2,970",509,240,159,157,209,214,209,218,117,310,167,242,219
2020년04월_계_90~99세,432,71,37,26,23,27,31,29,28,19,49,26,32,34
2020년04월_계_100세 이상,8,3,1,0,1,0,0,0,1,0,0,0,0,2
2020년04월_남_총인구수,"13,173","4,681",854,567,492,763,782,705,930,358,"1,391",533,552,565
2020년04월_남_연령구간인구수,"13,173","4,681",854,567,492,763,782,705,930,358,"1,391",533,552,565
2020년04월_남_0~9세,579,379,18,13,12,17,16,17,15,12,46,18,9,7
2020년04월_남_10~19세,851,473,39,23,19,39,30,25,32,19,93,25,19,15
2020년04월_남_20~29세,"1,160",524,54,45,40,81,56,43,72,21,133,26,34,31
2020년04월_남_30~39세,996,472,61,36,31,36,65,34,51,15,91,44,23,37
2020년04월_남_40~49세,"1,720",818,90,54,47,81,85,73,99,37,183,60,41,52
2020년04월_남_50~59세,"2,581",836,184,112,97,160,170,164,174,64,286,85,117,132
2020년04월_남_60~69세,"2,693",651,225,148,119,174,197,170,246,100,257,141,134,131
2020년04월_남_70~79세,"1,648",378,108,80,81,102,100,109,166,50,216,75,98,85
2020년04월_남_80~89세,852,133,65,49,41,68,56,60,68,36,81,55,74,66
2020년04월_남_90~99세,91,17,10,7,5,5,7,10,6,4,5,4,3,8
2020년04월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년04월_여_총인구수,"13,806","4,825",871,600,537,811,829,751,910,408,"1,508",494,625,637
2020년04월_여_연령구간인구수,"13,806","4,825",871,600,537,811,829,751,910,408,"1,508",494,625,637
2020년04월_여_0~9세,555,348,18,12,19,21,23,18,17,6,48,9,5,11
2020년04월_여_10~19세,728,425,25,16,9,31,34,25,33,9,81,14,13,13
2020년04월_여_20~29세,908,447,50,32,27,51,51,44,43,12,84,22,13,32
2020년04월_여_30~39세,870,522,39,23,21,41,38,18,46,15,56,17,20,14
2020년04월_여_40~49세,"1,235",698,54,29,28,54,60,45,52,16,125,18,26,30
2020년04월_여_50~59세,"2,124",731,145,111,79,125,131,120,154,60,235,59,88,86
2020년04월_여_60~69세,"2,498",717,169,126,99,155,158,145,197,96,288,97,122,129
2020년04월_여_70~79세,"2,423",504,168,122,120,170,152,168,196,98,318,124,141,142
2020년04월_여_80~89세,"2,118",376,175,110,116,141,158,149,150,81,229,112,168,153
2020년04월_여_90~99세,341,54,27,19,18,22,24,19,22,15,44,22,29,26
2020년04월_여_100세 이상,6,3,1,0,1,0,0,0,0,0,0,0,0,1
2020년05월_계_총인구수,"26,954","9,495","1,723","1,171","1,027","1,571","1,606","1,456","1,841",762,"2,896","1,025","1,174","1,207"
2020년05월_계_연령구간인구수,"26,954","9,495","1,723","1,171","1,027","1,571","1,606","1,456","1,841",762,"2,896","1,025","1,174","1,207"
2020년05월_계_0~9세,"1,135",725,35,25,32,36,38,38,35,18,94,26,14,19
2020년05월_계_10~19세,"1,576",900,62,39,26,68,64,51,65,28,173,40,32,28
2020년05월_계_20~29세,"2,059",966,105,78,69,133,102,86,118,32,217,47,45,61
2020년05월_계_30~39세,"1,844",987,97,57,51,73,102,52,95,30,146,58,45,51
2020년05월_계_40~49세,"2,935","1,508",144,83,71,135,146,115,150,52,308,78,63,82
2020년05월_계_50~59세,"4,692","1,569",329,223,177,286,295,277,328,123,515,146,207,217
2020년05월_계_60~69세,"5,220","1,374",398,279,219,330,359,321,438,195,549,238,256,264
2020년05월_계_70~79세,"4,068",884,275,201,201,270,253,276,360,151,532,198,238,229
2020년05월_계_80~89세,"2,980",510,240,160,157,213,216,211,221,114,311,168,241,218
2020년05월_계_90~99세,436,69,37,26,23,27,31,29,30,18,51,26,33,36
2020년05월_계_100세 이상,9,3,1,0,1,0,0,0,1,1,0,0,0,2
2020년05월_남_총인구수,"13,180","4,680",858,569,491,762,784,704,931,357,"1,391",532,552,569
2020년05월_남_연령구간인구수,"13,180","4,680",858,569,491,762,784,704,931,357,"1,391",532,552,569
2020년05월_남_0~9세,577,378,18,13,12,17,16,18,16,12,44,17,9,7
2020년05월_남_10~19세,850,474,37,23,17,36,31,25,33,19,94,27,19,15
2020년05월_남_20~29세,"1,165",523,56,46,41,84,54,42,73,20,135,26,34,31
2020년05월_남_30~39세,984,469,59,35,31,34,66,34,50,16,89,41,23,37
2020년05월_남_40~49세,"1,708",812,91,54,44,80,86,71,98,37,184,60,39,52
2020년05월_남_50~59세,"2,569",838,187,111,99,159,166,159,174,62,281,85,117,131
2020년05월_남_60~69세,"2,729",657,228,151,120,177,200,176,245,101,262,141,138,133
2020년05월_남_70~79세,"1,649",378,107,79,81,102,102,109,166,51,215,76,96,87
2020년05월_남_80~89세,854,134,65,50,41,68,56,60,68,35,82,55,74,66
2020년05월_남_90~99세,93,17,10,7,5,5,7,10,7,4,5,4,3,9
2020년05월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년05월_여_총인구수,"13,774","4,815",865,602,536,809,822,752,910,405,"1,505",493,622,638
2020년05월_여_연령구간인구수,"13,774","4,815",865,602,536,809,822,752,910,405,"1,505",493,622,638
2020년05월_여_0~9세,558,347,17,12,20,19,22,20,19,6,50,9,5,12
2020년05월_여_10~19세,726,426,25,16,9,32,33,26,32,9,79,13,13,13
2020년05월_여_20~29세,894,443,49,32,28,49,48,44,45,12,82,21,11,30
2020년05월_여_30~39세,860,518,38,22,20,39,36,18,45,14,57,17,22,14
2020년05월_여_40~49세,"1,227",696,53,29,27,55,60,44,52,15,124,18,24,30
2020년05월_여_50~59세,"2,123",731,142,112,78,127,129,118,154,61,234,61,90,86
2020년05월_여_60~69세,"2,491",717,170,128,99,153,159,145,193,94,287,97,118,131
2020년05월_여_70~79세,"2,419",506,168,122,120,168,151,167,194,100,317,122,142,142
2020년05월_여_80~89세,"2,126",376,175,110,116,145,160,151,153,79,229,113,167,152
2020년05월_여_90~99세,343,52,27,19,18,22,24,19,23,14,46,22,30,27
2020년05월_여_100세 이상,7,3,1,0,1,0,0,0,0,1,0,0,0,1
2020년06월_계_총인구수,"26,957","9,510","1,717","1,175","1,035","1,561","1,604","1,457","1,848",761,"2,895","1,023","1,170","1,201"
2020년06월_계_연령구간인구수,"26,957","9,510","1,717","1,175","1,035","1,561","1,604","1,457","1,848",761,"2,895","1,023","1,170","1,201"
2020년06월_계_0~9세,"1,138",725,35,27,32,35,39,38,36,19,92,26,15,19
2020년06월_계_10~19세,"1,577",908,62,39,26,66,63,47,66,27,173,40,32,28
2020년06월_계_20~29세,"2,061",966,104,76,72,135,102,87,119,33,219,45,44,59
2020년06월_계_30~39세,"1,817",981,94,60,47,72,100,53,92,28,139,58,43,50
2020년06월_계_40~49세,"2,940","1,513",143,83,74,135,146,112,149,51,310,79,64,81
2020년06월_계_50~59세,"4,679","1,575",325,226,177,282,294,280,325,123,513,142,204,213
2020년06월_계_60~69세,"5,256","1,373",400,277,224,330,364,324,447,198,557,238,258,266
2020년06월_계_70~79세,"4,060",889,276,201,201,266,252,278,360,148,527,197,238,227
2020년06월_계_80~89세,"2,981",509,238,159,158,214,213,209,223,116,313,171,238,220
2020년06월_계_90~99세,439,68,39,27,23,26,31,29,30,17,52,27,34,36
2020년06월_계_100세 이상,9,3,1,0,1,0,0,0,1,1,0,0,0,2
2020년06월_남_총인구수,"13,191","4,689",856,572,497,757,782,708,936,357,"1,388",531,552,566
2020년06월_남_연령구간인구수,"13,191","4,689",856,572,497,757,782,708,936,357,"1,388",531,552,566
2020년06월_남_0~9세,581,378,18,15,12,17,16,18,18,13,43,17,9,7
2020년06월_남_10~19세,847,478,37,24,17,33,30,23,34,18,92,27,19,15
2020년06월_남_20~29세,"1,167",521,56,44,43,86,54,43,72,20,138,26,34,30
2020년06월_남_30~39세,967,467,56,37,30,34,64,35,48,14,84,41,21,36
2020년06월_남_40~49세,"1,712",818,91,54,45,78,85,70,97,37,185,61,40,51
2020년06월_남_50~59세,"2,561",839,184,112,100,157,164,161,173,64,281,81,115,130
2020년06월_남_60~69세,"2,748",656,230,150,122,178,205,178,249,100,263,143,140,134
2020년06월_남_70~79세,"1,654",381,109,79,82,100,103,110,168,52,213,75,96,86
2020년06월_남_80~89세,860,134,65,50,41,69,55,60,69,35,84,56,75,67
2020년06월_남_90~99세,92,17,10,7,5,5,6,10,7,4,5,4,3,9
2020년06월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년06월_여_총인구수,"13,766","4,821",861,603,538,804,822,749,912,404,"1,507",492,618,635
2020년06월_여_연령구간인구수,"13,766","4,821",861,603,538,804,822,749,912,404,"1,507",492,618,635
2020년06월_여_0~9세,557,347,17,12,20,18,23,20,18,6,49,9,6,12
2020년06월_여_10~19세,730,430,25,15,9,33,33,24,32,9,81,13,13,13
2020년06월_여_20~29세,894,445,48,32,29,49,48,44,47,13,81,19,10,29
2020년06월_여_30~39세,850,514,38,23,17,38,36,18,44,14,55,17,22,14
2020년06월_여_40~49세,"1,228",695,52,29,29,57,61,42,52,14,125,18,24,30
2020년06월_여_50~59세,"2,118",736,141,114,77,125,130,119,152,59,232,61,89,83
2020년06월_여_60~69세,"2,508",717,170,127,102,152,159,146,198,98,294,95,118,132
2020년06월_여_70~79세,"2,406",508,167,122,119,166,149,168,192,96,314,122,142,141
2020년06월_여_80~89세,"2,121",375,173,109,117,145,158,149,154,81,229,115,163,153
2020년06월_여_90~99세,347,51,29,20,18,21,25,19,23,13,47,23,31,27
2020년06월_여_100세 이상,7,3,1,0,1,0,0,0,0,1,0,0,0,1
2020년07월_계_총인구수,"26,902","9,511","1,716","1,182","1,040","1,543","1,593","1,450","1,846",755,"2,888","1,014","1,170","1,194"
2020년07월_계_연령구간인구수,"26,902","9,511","1,716","1,182","1,040","1,543","1,593","1,450","1,846",755,"2,888","1,014","1,170","1,194"
2020년07월_계_0~9세,"1,123",718,35,28,32,32,39,36,36,19,90,25,14,19
2020년07월_계_10~19세,"1,566",903,62,40,26,63,63,45,65,27,171,40,33,28
2020년07월_계_20~29세,"2,055",975,103,76,74,134,98,84,119,32,217,44,42,57
2020년07월_계_30~39세,"1,807",970,95,61,49,70,102,51,93,28,139,55,45,49
2020년07월_계_40~49세,"2,947","1,521",142,86,75,133,144,117,150,51,308,77,62,81
2020년07월_계_50~59세,"4,653","1,578",323,223,178,275,290,273,323,123,514,138,203,212
2020년07월_계_60~69세,"5,260","1,376",400,278,225,333,363,326,445,197,556,239,257,265
2020년07월_계_70~79세,"4,060",889,281,203,198,261,253,279,362,146,525,196,241,226
2020년07월_계_80~89세,"2,987",513,235,160,159,216,211,209,221,116,316,173,239,219
2020년07월_계_90~99세,435,65,39,27,23,26,30,30,31,15,52,27,34,36
2020년07월_계_100세 이상,9,3,1,0,1,0,0,0,1,1,0,0,0,2
2020년07월_남_총인구수,"13,154","4,688",853,577,496,752,777,703,938,354,"1,380",523,551,562
2020년07월_남_연령구간인구수,"13,154","4,688",853,577,496,752,777,703,938,354,"1,380",523,551,562
2020년07월_남_0~9세,570,373,18,15,12,17,16,16,18,13,41,16,8,7
2020년07월_남_10~19세,845,479,36,24,17,33,30,21,34,18,90,28,20,15
2020년07월_남_20~29세,"1,165",525,57,44,45,85,51,43,72,19,137,24,33,30
2020년07월_남_30~39세,957,456,56,39,30,33,65,34,48,15,85,39,22,35
2020년07월_남_40~49세,"1,710",817,89,57,45,77,84,73,98,37,185,58,39,51
2020년07월_남_50~59세,"2,545",844,182,111,99,155,160,156,174,65,279,78,113,129
2020년07월_남_60~69세,"2,758",659,232,149,122,178,207,178,249,100,263,145,142,134
2020년07월_남_70~79세,"1,651",381,111,81,80,99,103,111,167,51,211,74,96,86
2020년07월_남_80~89세,861,137,62,50,41,70,55,61,70,34,84,57,75,65
2020년07월_남_90~99세,90,17,10,7,5,5,6,10,7,2,5,4,3,9
2020년07월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년07월_여_총인구수,"13,748","4,823",863,605,544,791,816,747,908,401,"1,508",491,619,632
2020년07월_여_연령구간인구수,"13,748","4,823",863,605,544,791,816,747,908,401,"1,508",491,619,632
2020년07월_여_0~9세,553,345,17,13,20,15,23,20,18,6,49,9,6,12
2020년07월_여_10~19세,721,424,26,16,9,30,33,24,31,9,81,12,13,13
2020년07월_여_20~29세,890,450,46,32,29,49,47,41,47,13,80,20,9,27
2020년07월_여_30~39세,850,514,39,22,19,37,37,17,45,13,54,16,23,14
2020년07월_여_40~49세,"1,237",704,53,29,30,56,60,44,52,14,123,19,23,30
2020년07월_여_50~59세,"2,108",734,141,112,79,120,130,117,149,58,235,60,90,83
2020년07월_여_60~69세,"2,502",717,168,129,103,155,156,148,196,97,293,94,115,131
2020년07월_여_70~79세,"2,409",508,170,122,118,162,150,168,195,95,314,122,145,140
2020년07월_여_80~89세,"2,126",376,173,110,118,146,156,148,151,82,232,116,164,154
2020년07월_여_90~99세,345,48,29,20,18,21,24,20,24,13,47,23,31,27
2020년07월_여_100세 이상,7,3,1,0,1,0,0,0,0,1,0,0,0,1
2020년08월_계_총인구수,"26,883","9,503","1,714","1,181","1,044","1,544","1,580","1,460","1,853",754,"2,870","1,017","1,171","1,192"
2020년08월_계_연령구간인구수,"26,883","9,503","1,714","1,181","1,044","1,544","1,580","1,460","1,853",754,"2,870","1,017","1,171","1,192"
2020년08월_계_0~9세,"1,121",718,35,27,31,29,36,38,41,20,88,24,15,19
2020년08월_계_10~19세,"1,550",895,60,39,26,64,63,45,64,26,167,40,33,28
2020년08월_계_20~29세,"2,050",972,104,74,74,133,96,85,122,32,213,45,42,58
2020년08월_계_30~39세,"1,794",969,94,59,51,68,100,52,91,28,137,54,45,46
2020년08월_계_40~49세,"2,935","1,515",138,86,74,134,141,120,156,51,304,77,60,79
2020년08월_계_50~59세,"4,640","1,576",322,223,177,273,291,270,317,124,517,139,200,211
2020년08월_계_60~69세,"5,298","1,391",402,283,230,340,360,330,448,196,549,238,261,270
2020년08월_계_70~79세,"4,049",885,285,203,197,261,254,276,359,145,524,200,237,223
2020년08월_계_80~89세,"3,002",513,234,160,160,217,208,214,223,117,318,174,244,220
2020년08월_계_90~99세,436,66,39,27,24,25,31,30,31,14,53,26,34,36
2020년08월_계_100세 이상,8,3,1,0,0,0,0,0,1,1,0,0,0,2
2020년08월_남_총인구수,"13,153","4,681",853,582,500,753,770,711,939,354,"1,370",524,551,565
2020년08월_남_연령구간인구수,"13,153","4,681",853,582,500,753,770,711,939,354,"1,370",524,551,565
2020년08월_남_0~9세,574,375,18,15,11,16,15,18,21,13,41,16,8,7
2020년08월_남_10~19세,832,472,35,23,18,33,30,21,32,17,88,28,20,15
2020년08월_남_20~29세,"1,158",523,58,44,45,83,48,45,72,19,133,23,34,31
2020년08월_남_30~39세,954,457,54,38,32,32,64,34,49,16,85,38,22,33
2020년08월_남_40~49세,"1,700",809,89,56,46,77,83,75,100,37,183,58,37,50
2020년08월_남_50~59세,"2,545",842,180,114,98,154,161,158,169,65,282,79,112,131
2020년08월_남_60~69세,"2,777",667,233,152,123,184,206,178,251,100,259,144,144,136
2020년08월_남_70~79세,"1,649",379,113,83,80,100,103,110,165,50,210,77,94,85
2020년08월_남_80~89세,873,140,63,50,42,70,54,62,72,35,84,57,77,67
2020년08월_남_90~99세,89,17,10,7,5,4,6,10,7,2,5,4,3,9
2020년08월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년08월_여_총인구수,"13,730","4,822",861,599,544,791,810,749,914,400,"1,500",493,620,627
