카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년03월_계_총인구수,"115,924","33,761","23,809","31,510","4,329","5,518","3,517","10,180","3,300"
2020년03월_계_연령구간인구수,"115,924","33,761","23,809","31,510","4,329","5,518","3,517","10,180","3,300"
2020년03월_계_0~9세,"10,116","2,455","1,968","4,754",89,155,82,379,234
2020년03월_계_10~19세,"11,722","3,508","3,165","3,642",133,179,140,777,178
2020년03월_계_20~29세,"12,614","4,003","2,899","3,254",331,469,267,"1,141",250
2020년03월_계_30~39세,"16,015","3,636","2,543","7,801",288,384,241,784,338
2020년03월_계_40~49세,"20,712","5,656","5,110","6,663",415,544,376,"1,519",429
2020년03월_계_50~59세,"19,319","6,263","4,533","2,804",861,"1,191",764,"2,308",595
2020년03월_계_60~69세,"12,992","4,194","2,010","1,470",986,"1,299",826,"1,612",595
2020년03월_계_70~79세,"7,534","2,398","1,016",721,707,758,512,"1,035",387
2020년03월_계_80~89세,"4,261","1,433",502,352,455,454,256,554,255
2020년03월_계_90~99세,594,191,62,44,60,85,50,66,36
2020년03월_계_100세 이상,45,24,1,5,4,0,3,5,3
2020년03월_남_총인구수,"60,497","16,927","12,483","17,003","2,316","2,833","1,928","5,271","1,736"
2020년03월_남_연령구간인구수,"60,497","16,927","12,483","17,003","2,316","2,833","1,928","5,271","1,736"
2020년03월_남_0~9세,"5,215","1,259","1,023","2,450",41,82,41,188,131
2020년03월_남_10~19세,"6,210","1,816","1,690","1,930",76,99,72,422,105
2020년03월_남_20~29세,"7,055","2,299","1,680","1,602",193,287,169,674,151
2020년03월_남_30~39세,"8,777","1,918","1,298","4,365",179,226,152,463,176
2020년03월_남_40~49세,"11,220","2,855","2,599","3,842",281,345,238,805,255
2020년03월_남_50~59세,"10,534","3,214","2,527","1,666",516,600,446,"1,237",328
2020년03월_남_60~69세,"6,727","2,091","1,050",714,560,694,455,841,322
2020년03월_남_70~79세,"3,219",948,435,313,303,361,248,441,170
2020년03월_남_80~89세,"1,396",474,164,108,156,131,89,185,89
2020년03월_남_90~99세,137,50,17,12,11,8,17,14,8
2020년03월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년03월_여_총인구수,"55,427","16,834","11,326","14,507","2,013","2,685","1,589","4,909","1,564"
2020년03월_여_연령구간인구수,"55,427","16,834","11,326","14,507","2,013","2,685","1,589","4,909","1,564"
2020년03월_여_0~9세,"4,901","1,196",945,"2,304",48,73,41,191,103
2020년03월_여_10~19세,"5,512","1,692","1,475","1,712",57,80,68,355,73
2020년03월_여_20~29세,"5,559","1,704","1,219","1,652",138,182,98,467,99
2020년03월_여_30~39세,"7,238","1,718","1,245","3,436",109,158,89,321,162
2020년03월_여_40~49세,"9,492","2,801","2,511","2,821",134,199,138,714,174
2020년03월_여_50~59세,"8,785","3,049","2,006","1,138",345,591,318,"1,071",267
2020년03월_여_60~69세,"6,265","2,103",960,756,426,605,371,771,273
2020년03월_여_70~79세,"4,315","1,450",581,408,404,397,264,594,217
2020년03월_여_80~89세,"2,865",959,338,244,299,323,167,369,166
2020년03월_여_90~99세,457,141,45,32,49,77,33,52,28
2020년03월_여_100세 이상,38,21,1,4,4,0,2,4,2
2020년04월_계_총인구수,"115,780","33,752","23,739","31,519","4,327","5,494","3,506","10,154","3,289"
2020년04월_계_연령구간인구수,"115,780","33,752","23,739","31,519","4,327","5,494","3,506","10,154","3,289"
2020년04월_계_0~9세,"10,055","2,450","1,948","4,738",87,147,75,376,234
2020년04월_계_10~19세,"11,684","3,498","3,145","3,650",133,177,137,764,180
2020년04월_계_20~29세,"12,498","3,969","2,881","3,219",323,458,268,"1,134",246
2020년04월_계_30~39세,"15,945","3,627","2,510","7,771",293,383,239,790,332
2020년04월_계_40~49세,"20,701","5,638","5,091","6,720",408,538,374,"1,507",425
2020년04월_계_50~59세,"19,361","6,281","4,549","2,826",867,"1,195",753,"2,300",590
2020년04월_계_60~69세,"13,051","4,218","2,020","1,472",990,"1,296",833,"1,625",597
2020년04월_계_70~79세,"7,547","2,408","1,025",719,708,757,517,"1,025",388
2020년04월_계_80~89세,"4,292","1,449",506,353,452,458,257,560,257
2020년04월_계_90~99세,604,192,63,46,62,85,50,69,37
2020년04월_계_100세 이상,42,22,1,5,4,0,3,4,3
2020년04월_남_총인구수,"60,414","16,924","12,433","17,011","2,317","2,823","1,924","5,252","1,730"
2020년04월_남_연령구간인구수,"60,414","16,924","12,433","17,011","2,317","2,823","1,924","5,252","1,730"
2020년04월_남_0~9세,"5,178","1,256","1,014","2,434",38,77,38,190,131
2020년04월_남_10~19세,"6,188","1,815","1,674","1,933",75,99,70,415,107
2020년04월_남_20~29세,"6,991","2,272","1,672","1,590",190,277,169,671,150
2020년04월_남_30~39세,"8,757","1,921","1,281","4,358",182,229,153,462,171
2020년04월_남_40~49세,"11,206","2,849","2,581","3,864",277,342,239,801,253
2020년04월_남_50~59세,"10,548","3,222","2,534","1,681",520,599,438,"1,229",325
2020년04월_남_60~69세,"6,768","2,102","1,056",718,565,698,458,848,323
2020년04월_남_70~79세,"3,223",954,437,313,302,361,252,433,171
2020년04월_남_80~89세,"1,411",479,168,107,156,133,90,188,90
2020년04월_남_90~99세,137,51,16,12,12,8,16,14,8
2020년04월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년04월_여_총인구수,"55,366","16,828","11,306","14,508","2,010","2,671","1,582","4,902","1,559"
2020년04월_여_연령구간인구수,"55,366","16,828","11,306","14,508","2,010","2,671","1,582","4,902","1,559"
2020년04월_여_0~9세,"4,877","1,194",934,"2,304",49,70,37,186,103
2020년04월_여_10~19세,"5,496","1,683","1,471","1,717",58,78,67,349,73
2020년04월_여_20~29세,"5,507","1,697","1,209","1,629",133,181,99,463,96
2020년04월_여_30~39세,"7,188","1,706","1,229","3,413",111,154,86,328,161
2020년04월_여_40~49세,"9,495","2,789","2,510","2,856",131,196,135,706,172
2020년04월_여_50~59세,"8,813","3,059","2,015","1,145",347,596,315,"1,071",265
2020년04월_여_60~69세,"6,283","2,116",964,754,425,598,375,777,274
2020년04월_여_70~79세,"4,324","1,454",588,406,406,396,265,592,217
2020년04월_여_80~89세,"2,881",970,338,246,296,325,167,372,167
2020년04월_여_90~99세,467,141,47,34,50,77,34,55,29
2020년04월_여_100세 이상,35,19,1,4,4,0,2,3,2
2020년05월_계_총인구수,"115,658","33,698","23,706","31,512","4,339","5,482","3,498","10,124","3,299"
2020년05월_계_연령구간인구수,"115,658","33,698","23,706","31,512","4,339","5,482","3,498","10,124","3,299"
2020년05월_계_0~9세,"9,983","2,440","1,929","4,704",87,147,73,370,233
2020년05월_계_10~19세,"11,665","3,461","3,152","3,668",136,172,138,756,182
2020년05월_계_20~29세,"12,413","3,962","2,849","3,183",322,458,264,"1,130",245
2020년05월_계_30~39세,"15,851","3,598","2,495","7,743",291,375,238,776,335
2020년05월_계_40~49세,"20,653","5,623","5,076","6,722",400,534,368,"1,501",429
2020년05월_계_50~59세,"19,443","6,298","4,557","2,874",871,"1,191",755,"2,304",593
2020년05월_계_60~69세,"13,130","4,233","2,048","1,491","1,002","1,303",832,"1,624",597
2020년05월_계_70~79세,"7,567","2,419","1,027",725,704,757,520,"1,026",389
2020년05월_계_80~89세,"4,300","1,446",511,350,460,457,256,563,257
2020년05월_계_90~99세,612,197,61,47,62,88,51,70,36
2020년05월_계_100세 이상,41,21,1,5,4,0,3,4,3
2020년05월_남_총인구수,"60,357","16,898","12,420","17,010","2,324","2,814","1,918","5,239","1,734"
2020년05월_남_연령구간인구수,"60,357","16,898","12,420","17,010","2,324","2,814","1,918","5,239","1,734"
2020년05월_남_0~9세,"5,151","1,252","1,011","2,419",39,76,36,189,129
2020년05월_남_10~19세,"6,169","1,800","1,670","1,939",75,96,68,412,109
2020년05월_남_20~29세,"6,962","2,269","1,651","1,585",192,278,171,668,148
2020년05월_남_30~39세,"8,707","1,906","1,278","4,336",180,224,156,455,172
2020년05월_남_40~49세,"11,185","2,849","2,577","3,860",270,340,233,799,257
2020년05월_남_50~59세,"10,578","3,223","2,535","1,705",525,596,439,"1,232",323
2020년05월_남_60~69세,"6,801","2,104","1,073",730,569,700,454,845,326
2020년05월_남_70~79세,"3,250",967,440,316,304,363,254,433,173
2020년05월_남_80~89세,"1,409",473,169,107,159,133,90,190,88
2020년05월_남_90~99세,138,52,16,12,11,8,16,15,8
2020년05월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년05월_여_총인구수,"55,301","16,800","11,286","14,502","2,015","2,668","1,580","4,885","1,565"
2020년05월_여_연령구간인구수,"55,301","16,800","11,286","14,502","2,015","2,668","1,580","4,885","1,565"
2020년05월_여_0~9세,"4,832","1,188",918,"2,285",48,71,37,181,104
2020년05월_여_10~19세,"5,496","1,661","1,482","1,729",61,76,70,344,73
2020년05월_여_20~29세,"5,451","1,693","1,198","1,598",130,180,93,462,97
2020년05월_여_30~39세,"7,144","1,692","1,217","3,407",111,151,82,321,163
2020년05월_여_40~49세,"9,468","2,774","2,499","2,862",130,194,135,702,172
2020년05월_여_50~59세,"8,865","3,075","2,022","1,169",346,595,316,"1,072",270
2020년05월_여_60~69세,"6,329","2,129",975,761,433,603,378,779,271
2020년05월_여_70~79세,"4,317","1,452",587,409,400,394,266,593,216
2020년05월_여_80~89세,"2,891",973,342,243,301,324,166,373,169
2020년05월_여_90~99세,474,145,45,35,51,80,35,55,28
2020년05월_여_100세 이상,34,18,1,4,4,0,2,3,2
2020년06월_계_총인구수,"115,345","33,660","23,597","31,451","4,323","5,452","3,479","10,085","3,298"
2020년06월_계_연령구간인구수,"115,345","33,660","23,597","31,451","4,323","5,452","3,479","10,085","3,298"
2020년06월_계_0~9세,"9,916","2,432","1,899","4,677",89,146,71,365,237
2020년06월_계_10~19세,"11,620","3,448","3,121","3,687",134,171,137,740,182
2020년06월_계_20~29세,"12,321","3,956","2,835","3,141",317,444,262,"1,125",241
2020년06월_계_30~39세,"15,746","3,595","2,462","7,689",290,374,227,771,338
