카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동,대구광역시 달서구 유천동
2020년01월_계_총인구수,"568,663","24,747","15,642","9,079","27,975","14,830","17,794","32,316","30,139","23,994","16,864","31,827","22,202","44,253","16,913","77,515","40,313","20,716","11,767","37,320","19,994","18,910","13,553",
2020년01월_계_연령구간인구수,"568,663","24,747","15,642","9,079","27,975","14,830","17,794","32,316","30,139","23,994","16,864","31,827","22,202","44,253","16,913","77,515","40,313","20,716","11,767","37,320","19,994","18,910","13,553",
2020년01월_계_0~9세,"43,168","1,836",689,435,"2,222",724,"1,411","2,240","2,070","1,443",994,"1,572","2,218","5,457",696,"9,368","3,179","1,178",418,"2,539",934,814,731,
2020년01월_계_10~19세,"58,586","2,114",796,632,"2,464","1,122","1,819","3,872","3,201","2,750","1,535","2,645","2,179","8,403","1,269","8,574","5,155","1,605",669,"3,918","1,455","1,370","1,039",
2020년01월_계_20~29세,"80,700","3,136","2,446","1,358","4,313","2,496","2,546","5,159","4,885","4,149","2,573","6,414","2,742","4,201","1,889","9,352","5,512","3,638","1,335","5,314","2,889","2,595","1,758",
2020년01월_계_30~39세,"69,662","3,024","2,070","1,032","3,811","1,846","2,392","3,499","3,486","2,617","2,163","3,667","3,112","4,932","1,425","12,054","4,335","2,820","1,229","4,134","2,358","2,047","1,609",
2020년01월_계_40~49세,"93,009","3,820","2,054","1,237","4,306","2,102","2,889","5,610","4,948","3,973","2,483","4,904","3,993","10,913","2,382","13,699","6,767","2,687","1,335","5,515","2,831","2,514","2,047",
2020년01월_계_50~59세,"105,351","4,334","2,838","1,600","5,259","3,079","3,374","6,686","6,543","5,249","3,585","6,476","3,949","5,667","3,173","11,872","7,444","4,054","2,402","7,615","3,903","3,605","2,644",
2020년01월_계_60~69세,"69,343","3,693","2,510","1,401","3,495","2,144","2,066","3,165","3,052","2,303","2,330","3,452","2,568","2,770","3,079","7,558","4,738","2,875","2,485","5,057","3,178","3,279","2,145",
2020년01월_계_70~79세,"33,160","1,963","1,577",931,"1,539",917,924,"1,464","1,317",994,838,"1,800","1,009","1,279","2,035","3,444","2,055","1,251","1,223","2,124","1,694","1,757","1,025",
2020년01월_계_80~89세,"14,032",740,600,404,499,371,334,572,573,474,323,809,384,562,872,"1,421",994,540,588,991,668,825,488,
2020년01월_계_90~99세,"1,566",82,57,44,64,27,37,47,62,41,40,87,45,61,87,155,128,63,83,111,81,97,67,
2020년01월_계_100세 이상,86,5,5,5,3,2,2,2,2,1,0,1,3,8,6,18,6,5,0,2,3,7,0,
2020년01월_남_총인구수,"281,202","12,058","7,624","4,411","13,738","7,379","8,794","16,239","15,187","12,096","8,512","16,299","11,024","21,659","8,152","38,225","19,770","10,311","5,690","18,183","9,959","9,141","6,751",
2020년01월_남_연령구간인구수,"281,202","12,058","7,624","4,411","13,738","7,379","8,794","16,239","15,187","12,096","8,512","16,299","11,024","21,659","8,152","38,225","19,770","10,311","5,690","18,183","9,959","9,141","6,751",
2020년01월_남_0~9세,"22,134",915,345,235,"1,110",356,743,"1,164","1,110",745,516,828,"1,079","2,773",391,"4,783","1,615",610,208,"1,306",512,414,376,
2020년01월_남_10~19세,"30,507","1,002",414,318,"1,268",603,930,"2,059","1,691","1,422",806,"1,357","1,036","4,255",673,"4,554","2,851",855,369,"2,052",757,690,545,
2020년01월_남_20~29세,"43,228","1,559","1,156",710,"2,175","1,312","1,350","2,784","2,651","2,280","1,403","3,522","1,506","2,281","1,039","4,968","3,016","1,940",774,"2,844","1,545","1,415",998,
2020년01월_남_30~39세,"36,039","1,534","1,093",538,"1,973","1,035","1,237","1,809","1,881","1,389","1,187","2,112","1,580","2,169",781,"5,840","2,135","1,595",704,"2,115","1,312","1,131",889,
2020년01월_남_40~49세,"44,997","1,998","1,122",626,"2,106","1,014","1,369","2,581","2,256","1,831","1,209","2,509","2,025","5,093","1,231","6,732","3,011","1,307",682,"2,530","1,439","1,262","1,064",
2020년01월_남_50~59세,"51,002","2,151","1,393",761,"2,504","1,468","1,626","3,369","3,230","2,624","1,669","3,263","1,918","3,037","1,572","5,638","3,519","1,874","1,067","3,529","1,847","1,662","1,281",
2020년01월_남_60~69세,"33,610","1,743","1,188",658,"1,690","1,062","1,014","1,576","1,592","1,204","1,216","1,695","1,253","1,300","1,391","3,622","2,317","1,401","1,161","2,508","1,503","1,520",996,
2020년01월_남_70~79세,"14,633",894,686,403,711,393,406,686,561,430,378,765,486,553,791,"1,558",932,552,541,938,783,738,448,
2020년01월_남_80~89세,"4,693",248,215,152,185,126,112,204,199,166,117,229,132,181,256,488,343,167,163,338,245,290,137,
2020년01월_남_90~99세,343,14,11,10,14,9,7,7,16,5,11,19,7,16,26,36,31,10,21,22,16,18,17,
2020년01월_남_100세 이상,16,0,1,0,2,1,0,0,0,0,0,0,2,1,1,6,0,0,0,1,0,1,0,
2020년01월_여_총인구수,"287,461","12,689","8,018","4,668","14,237","7,451","9,000","16,077","14,952","11,898","8,352","15,528","11,178","22,594","8,761","39,290","20,543","10,405","6,077","19,137","10,035","9,769","6,802",
2020년01월_여_연령구간인구수,"287,461","12,689","8,018","4,668","14,237","7,451","9,000","16,077","14,952","11,898","8,352","15,528","11,178","22,594","8,761","39,290","20,543","10,405","6,077","19,137","10,035","9,769","6,802",
2020년01월_여_0~9세,"21,034",921,344,200,"1,112",368,668,"1,076",960,698,478,744,"1,139","2,684",305,"4,585","1,564",568,210,"1,233",422,400,355,
2020년01월_여_10~19세,"28,079","1,112",382,314,"1,196",519,889,"1,813","1,510","1,328",729,"1,288","1,143","4,148",596,"4,020","2,304",750,300,"1,866",698,680,494,
2020년01월_여_20~29세,"37,472","1,577","1,290",648,"2,138","1,184","1,196","2,375","2,234","1,869","1,170","2,892","1,236","1,920",850,"4,384","2,496","1,698",561,"2,470","1,344","1,180",760,
2020년01월_여_30~39세,"33,623","1,490",977,494,"1,838",811,"1,155","1,690","1,605","1,228",976,"1,555","1,532","2,763",644,"6,214","2,200","1,225",525,"2,019","1,046",916,720,
2020년01월_여_40~49세,"48,012","1,822",932,611,"2,200","1,088","1,520","3,029","2,692","2,142","1,274","2,395","1,968","5,820","1,151","6,967","3,756","1,380",653,"2,985","1,392","1,252",983,
2020년01월_여_50~59세,"54,349","2,183","1,445",839,"2,755","1,611","1,748","3,317","3,313","2,625","1,916","3,213","2,031","2,630","1,601","6,234","3,925","2,180","1,335","4,086","2,056","1,943","1,363",
2020년01월_여_60~69세,"35,733","1,950","1,322",743,"1,805","1,082","1,052","1,589","1,460","1,099","1,114","1,757","1,315","1,470","1,688","3,936","2,421","1,474","1,324","2,549","1,675","1,759","1,149",
2020년01월_여_70~79세,"18,527","1,069",891,528,828,524,518,778,756,564,460,"1,035",523,726,"1,244","1,886","1,123",699,682,"1,186",911,"1,019",577,
2020년01월_여_80~89세,"9,339",492,385,252,314,245,222,368,374,308,206,580,252,381,616,933,651,373,425,653,423,535,351,
2020년01월_여_90~99세,"1,223",68,46,34,50,18,30,40,46,36,29,68,38,45,61,119,97,53,62,89,65,79,50,
2020년01월_여_100세 이상,70,5,4,5,1,1,2,2,2,1,0,1,1,7,5,12,6,5,0,1,3,6,0,
2020년02월_계_총인구수,"567,716","24,660","15,630","9,051","27,916","14,801","17,774","32,200","30,008","23,977","16,858","31,780","22,122","44,254","16,871","77,319","40,172","20,957","11,738","37,189","20,017","18,907","13,515",
2020년02월_계_연령구간인구수,"567,716","24,660","15,630","9,051","27,916","14,801","17,774","32,200","30,008","23,977","16,858","31,780","22,122","44,254","16,871","77,319","40,172","20,957","11,738","37,189","20,017","18,907","13,515",
2020년02월_계_0~9세,"42,906","1,815",695,438,"2,204",713,"1,401","2,214","2,032","1,448",962,"1,539","2,187","5,485",687,"9,336","3,160","1,200",422,"2,523",924,805,716,
