카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년03월_계_총인구수,"2,119,749","654,259","259,474","394,785","105,895","100,787","313,733","174,629","118,266","42,663","166,253","51,904","66,353","52,494","31,245","100,063","78,881","62,324"
2020년03월_계_연령구간인구수,"2,119,749","654,259","259,474","394,785","105,895","100,787","313,733","174,629","118,266","42,663","166,253","51,904","66,353","52,494","31,245","100,063","78,881","62,324"
2020년03월_계_0~9세,"179,194","63,867","21,519","42,348","6,141","6,444","34,386","15,815","7,563","4,053","16,270","2,737","3,115","2,422","1,343","8,010","3,845","3,183"
2020년03월_계_10~19세,"205,897","69,597","26,966","42,631","8,582","8,491","34,224","17,507","10,129","6,491","15,699","4,443","4,923","3,608","2,098","9,699","5,860","4,546"
2020년03월_계_20~29세,"243,505","95,328","35,552","59,776","11,646","9,754","35,969","19,173","11,834","4,867","16,348","4,116","5,649","4,058","2,767","9,719","7,071","5,206"
2020년03월_계_30~39세,"275,275","106,424","34,379","72,045","10,018","9,817","49,824","22,529","11,281","4,710","23,617","4,000","4,646","3,661","2,164","10,822","6,396","5,366"
2020년03월_계_40~49세,"329,148","111,635","43,549","68,086","13,691","14,226","55,376","27,783","15,874","8,432","26,463","6,450","7,512","6,082","3,280","14,658","9,846","7,840"
2020년03월_계_50~59세,"340,052","102,027","44,099","57,928","18,813","17,469","45,456","28,085","20,207","6,797","25,794","9,263","11,201","8,712","5,406","15,948","13,969","10,905"
2020년03월_계_60~69세,"265,905","59,374","29,362","30,012","17,610","16,432","30,073","20,871","19,311","4,119","20,090","9,384","12,636","9,985","5,937","14,175","14,255","11,653"
2020년03월_계_70~79세,"167,821","29,183","15,113","14,070","11,351","11,030","17,595","13,578","12,819","1,945","12,952","6,748","9,400","7,934","4,534","9,876","10,288","8,588"
2020년03월_계_80~89세,"98,464","14,555","7,724","6,831","7,028","6,192","9,490","8,068","8,019","1,069","7,876","4,203","6,266","5,223","3,272","6,275","6,507","4,421"
2020년03월_계_90~99세,"13,598","2,104","1,128",976,957,874,"1,224","1,156","1,143",170,"1,077",531,948,766,426,822,807,593
2020년03월_계_100세 이상,890,165,83,82,58,58,116,64,86,10,67,29,57,43,18,59,37,23
2020년03월_남_총인구수,"1,080,705","333,551","131,579","201,972","53,074","51,027","162,614","90,543","59,175","21,221","87,970","26,145","32,871","25,952","15,804","49,737","39,587","31,434"
2020년03월_남_연령구간인구수,"1,080,705","333,551","131,579","201,972","53,074","51,027","162,614","90,543","59,175","21,221","87,970","26,145","32,871","25,952","15,804","49,737","39,587","31,434"
2020년03월_남_0~9세,"91,813","32,589","11,040","21,549","3,190","3,243","17,697","8,139","3,897","2,065","8,314","1,396","1,660","1,214",692,"4,154","1,983","1,580"
2020년03월_남_10~19세,"106,905","36,125","14,046","22,079","4,429","4,412","17,583","9,286","5,244","3,386","8,229","2,326","2,584","1,860","1,101","4,947","3,025","2,368"
2020년03월_남_20~29세,"134,042","49,889","18,870","31,019","6,468","5,675","19,913","11,266","6,649","2,715","9,519","2,362","3,263","2,367","1,589","5,346","3,981","3,040"
2020년03월_남_30~39세,"147,824","56,514","18,050","38,464","5,361","5,330","26,550","12,356","5,929","2,313","13,367","2,107","2,530","2,039","1,238","5,621","3,576","2,993"
2020년03월_남_40~49세,"175,424","57,458","22,405","35,053","7,212","7,796","30,130","14,823","8,494","4,083","14,867","3,611","4,105","3,367","1,915","7,669","5,420","4,474"
2020년03월_남_50~59세,"178,984","52,452","22,568","29,884","9,766","9,254","24,462","14,918","10,551","3,420","14,383","5,063","5,789","4,676","2,936","8,251","7,368","5,695"
2020년03월_남_60~69세,"132,385","29,935","14,752","15,183","8,774","8,030","14,877","10,393","9,717","1,994","10,148","4,725","6,303","4,875","3,036","6,938","7,044","5,596"
2020년03월_남_70~79세,"75,519","13,100","6,908","6,192","5,157","4,907","7,768","6,324","5,602",873,"6,041","3,007","4,196","3,485","2,011","4,389","4,654","4,005"
2020년03월_남_80~89세,"34,420","4,971","2,666","2,305","2,447","2,174","3,320","2,802","2,776",336,"2,821","1,413","2,198","1,886","1,174","2,198","2,350","1,554"
2020년03월_남_90~99세,"3,184",474,253,221,258,195,280,227,291,36,267,126,235,173,109,207,181,125
2020년03월_남_100세 이상,205,44,21,23,12,11,34,9,25,0,14,9,8,10,3,17,5,4
2020년03월_여_총인구수,"1,039,044","320,708","127,895","192,813","52,821","49,760","151,119","84,086","59,091","21,442","78,283","25,759","33,482","26,542","15,441","50,326","39,294","30,890"
2020년03월_여_연령구간인구수,"1,039,044","320,708","127,895","192,813","52,821","49,760","151,119","84,086","59,091","21,442","78,283","25,759","33,482","26,542","15,441","50,326","39,294","30,890"
2020년03월_여_0~9세,"87,381","31,278","10,479","20,799","2,951","3,201","16,689","7,676","3,666","1,988","7,956","1,341","1,455","1,208",651,"3,856","1,862","1,603"
2020년03월_여_10~19세,"98,992","33,472","12,920","20,552","4,153","4,079","16,641","8,221","4,885","3,105","7,470","2,117","2,339","1,748",997,"4,752","2,835","2,178"
2020년03월_여_20~29세,"109,463","45,439","16,682","28,757","5,178","4,079","16,056","7,907","5,185","2,152","6,829","1,754","2,386","1,691","1,178","4,373","3,090","2,166"
2020년03월_여_30~39세,"127,451","49,910","16,329","33,581","4,657","4,487","23,274","10,173","5,352","2,397","10,250","1,893","2,116","1,622",926,"5,201","2,820","2,373"
2020년03월_여_40~49세,"153,724","54,177","21,144","33,033","6,479","6,430","25,246","12,960","7,380","4,349","11,596","2,839","3,407","2,715","1,365","6,989","4,426","3,366"
2020년03월_여_50~59세,"161,068","49,575","21,531","28,044","9,047","8,215","20,994","13,167","9,656","3,377","11,411","4,200","5,412","4,036","2,470","7,697","6,601","5,210"
2020년03월_여_60~69세,"133,520","29,439","14,610","14,829","8,836","8,402","15,196","10,478","9,594","2,125","9,942","4,659","6,333","5,110","2,901","7,237","7,211","6,057"
2020년03월_여_70~79세,"92,302","16,083","8,205","7,878","6,194","6,123","9,827","7,254","7,217","1,072","6,911","3,741","5,204","4,449","2,523","5,487","5,634","4,583"
2020년03월_여_80~89세,"64,044","9,584","5,058","4,526","4,581","4,018","6,170","5,266","5,243",733,"5,055","2,790","4,068","3,337","2,098","4,077","4,157","2,867"
2020년03월_여_90~99세,"10,414","1,630",875,755,699,679,944,929,852,134,810,405,713,593,317,615,626,468
2020년03월_여_100세 이상,685,121,62,59,46,47,82,55,61,10,53,20,49,33,15,42,32,19
2020년04월_계_총인구수,"2,118,457","654,251","259,211","395,040","105,743","100,646","313,757","174,645","118,032","42,757","166,136","51,781","66,214","52,374","31,139","99,973","78,726","62,283"
2020년04월_계_연령구간인구수,"2,118,457","654,251","259,211","395,040","105,743","100,646","313,757","174,645","118,032","42,757","166,136","51,781","66,214","52,374","31,139","99,973","78,726","62,283"
2020년04월_계_0~9세,"178,550","63,652","21,384","42,268","6,115","6,414","34,256","15,777","7,546","4,047","16,221","2,712","3,090","2,421","1,343","7,950","3,807","3,199"
2020년04월_계_10~19세,"205,330","69,442","26,864","42,578","8,541","8,478","34,201","17,446","10,084","6,483","15,670","4,429","4,876","3,584","2,073","9,664","5,833","4,526"
2020년04월_계_20~29세,"242,858","95,276","35,518","59,758","11,580","9,660","35,954","19,176","11,736","4,879","16,280","4,062","5,616","4,030","2,718","9,706","7,029","5,156"
2020년04월_계_30~39세,"274,391","106,218","34,229","71,989","9,932","9,786","49,651","22,467","11,194","4,712","23,523","3,994","4,620","3,632","2,151","10,806","6,370","5,335"
2020년04월_계_40~49세,"328,812","111,563","43,437","68,126","13,662","14,177","55,414","27,764","15,836","8,453","26,504","6,391","7,496","6,059","3,252","14,617","9,794","7,830"
2020년04월_계_50~59세,"339,782","102,147","44,077","58,070","18,764","17,430","45,495","28,100","20,147","6,838","25,718","9,247","11,157","8,665","5,364","15,918","13,912","10,880"
2020년04월_계_60~69세,"267,106","59,760","29,561","30,199","17,700","16,461","30,257","20,996","19,365","4,153","20,204","9,412","12,658","9,971","5,970","14,227","14,288","11,684"
2020년04월_계_70~79세,"168,298","29,302","15,157","14,145","11,375","11,081","17,650","13,607","12,832","1,947","12,985","6,765","9,406","7,963","4,530","9,905","10,333","8,617"
2020년04월_계_80~89세,"98,758","14,618","7,766","6,852","7,046","6,226","9,517","8,087","8,052","1,066","7,879","4,207","6,278","5,231","3,290","6,307","6,515","4,439"
2020년04월_계_90~99세,"13,676","2,106","1,133",973,969,876,"1,247","1,162","1,152",169,"1,084",532,960,775,429,814,808,593
2020년04월_계_100세 이상,896,167,85,82,59,57,115,63,88,10,68,30,57,43,19,59,37,24
2020년04월_남_총인구수,"1,080,256","333,525","131,359","202,166","53,019","50,931","162,676","90,593","59,039","21,294","87,969","26,064","32,826","25,898","15,761","49,723","39,524","31,414"
2020년04월_남_연령구간인구수,"1,080,256","333,525","131,359","202,166","53,019","50,931","162,676","90,593","59,039","21,294","87,969","26,064","32,826","25,898","15,761","49,723","39,524","31,414"
2020년04월_남_0~9세,"91,460","32,463","10,966","21,497","3,186","3,231","17,624","8,117","3,878","2,060","8,291","1,384","1,652","1,213",690,"4,127","1,959","1,585"
2020년04월_남_10~19세,"106,574","36,032","13,966","22,066","4,415","4,385","17,570","9,256","5,218","3,384","8,207","2,313","2,559","1,851","1,089","4,929","3,011","2,355"
2020년04월_남_20~29세,"133,830","49,857","18,841","31,016","6,430","5,619","19,951","11,281","6,600","2,729","9,500","2,339","3,254","2,350","1,566","5,363","3,971","3,020"
2020년04월_남_30~39세,"147,388","56,401","17,965","38,436","5,327","5,299","26,476","12,330","5,881","2,319","13,326","2,101","2,511","2,030","1,228","5,601","3,571","2,987"
2020년04월_남_40~49세,"175,268","57,491","22,349","35,142","7,199","7,774","30,111","14,822","8,460","4,097","14,903","3,574","4,095","3,350","1,894","7,659","5,383","4,456"
2020년04월_남_50~59세,"178,970","52,466","22,540","29,926","9,745","9,258","24,516","14,948","10,532","3,447","14,354","5,049","5,783","4,654","2,926","8,244","7,359","5,689"
2020년04월_남_60~69세,"133,052","30,119","14,838","15,281","8,819","8,038","14,988","10,461","9,742","2,015","10,229","4,744","6,319","4,882","3,061","6,967","7,050","5,618"
2020년04월_남_70~79세,"75,798","13,173","6,931","6,242","5,172","4,935","7,785","6,323","5,620",871,"6,061","3,016","4,206","3,501","2,014","4,414","4,687","4,020"
2020년04월_남_80~89세,"34,507","5,000","2,688","2,312","2,457","2,189","3,336","2,815","2,787",337,"2,818","1,413","2,200","1,882","1,178","2,196","2,345","1,554"
2020년04월_남_90~99세,"3,204",479,254,225,257,192,285,231,297,35,266,122,239,175,112,205,183,126
2020년04월_남_100세 이상,205,44,21,23,12,11,34,9,24,0,14,9,8,10,3,18,5,4
2020년04월_여_총인구수,"1,038,201","320,726","127,852","192,874","52,724","49,715","151,081","84,052","58,993","21,463","78,167","25,717","33,388","26,476","15,378","50,250","39,202","30,869"
2020년04월_여_연령구간인구수,"1,038,201","320,726","127,852","192,874","52,724","49,715","151,081","84,052","58,993","21,463","78,167","25,717","33,388","26,476","15,378","50,250","39,202","30,869"
2020년04월_여_0~9세,"87,090","31,189","10,418","20,771","2,929","3,183","16,632","7,660","3,668","1,987","7,930","1,328","1,438","1,208",653,"3,823","1,848","1,614"
2020년04월_여_10~19세,"98,756","33,410","12,898","20,512","4,126","4,093","16,631","8,190","4,866","3,099","7,463","2,116","2,317","1,733",984,"4,735","2,822","2,171"
2020년04월_여_20~29세,"109,028","45,419","16,677","28,742","5,150","4,041","16,003","7,895","5,136","2,150","6,780","1,723","2,362","1,680","1,152","4,343","3,058","2,136"
2020년04월_여_30~39세,"127,003","49,817","16,264","33,553","4,605","4,487","23,175","10,137","5,313","2,393","10,197","1,893","2,109","1,602",923,"5,205","2,799","2,348"
2020년04월_여_40~49세,"153,544","54,072","21,088","32,984","6,463","6,403","25,303","12,942","7,376","4,356","11,601","2,817","3,401","2,709","1,358","6,958","4,411","3,374"
2020년04월_여_50~59세,"160,812","49,681","21,537","28,144","9,019","8,172","20,979","13,152","9,615","3,391","11,364","4,198","5,374","4,011","2,438","7,674","6,553","5,191"
2020년04월_여_60~69세,"134,054","29,641","14,723","14,918","8,881","8,423","15,269","10,535","9,623","2,138","9,975","4,668","6,339","5,089","2,909","7,260","7,238","6,066"
2020년04월_여_70~79세,"92,500","16,129","8,226","7,903","6,203","6,146","9,865","7,284","7,212","1,076","6,924","3,749","5,200","4,462","2,516","5,491","5,646","4,597"
