카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년01월_계_총인구수,"1,817,302","654,963","338,977","315,986","269,779","286,997","110,310","81,439","83,803","92,171","25,681","24,271","22,382","28,446","28,311","55,604","53,145"
2020년01월_계_연령구간인구수,"1,817,302","654,963","338,977","315,986","269,779","286,997","110,310","81,439","83,803","92,171","25,681","24,271","22,382","28,446","28,311","55,604","53,145"
2020년01월_계_0~9세,"136,102","55,983","25,481","30,502","22,370","20,747","6,848","5,297","4,668","7,533","1,383","1,274","1,229","1,474","1,656","2,896","2,744"
2020년01월_계_10~19세,"181,692","74,055","37,843","36,212","27,702","29,321","10,170","7,625","6,484","8,474","1,714","1,856","1,713","1,840","2,293","4,513","3,932"
2020년01월_계_20~29세,"213,494","92,038","49,026","43,012","29,836","37,110","10,899","7,724","7,506","9,013","2,051","1,905","1,744","2,425","2,193","4,535","4,515"
2020년01월_계_30~39세,"196,940","82,718","40,181","42,537","32,417","30,403","9,415","6,786","7,032","10,109","1,813","1,786","1,711","2,202","2,208","4,152","4,188"
2020년01월_계_40~49세,"274,349","108,228","54,713","53,515","44,381","43,291","15,401","11,083","10,374","13,613","2,893","2,968","2,651","3,114","3,415","6,558","6,379"
2020년01월_계_50~59세,"303,487","105,725","57,079","48,646","44,195","50,042","18,901","13,944","14,245","15,503","4,650","4,286","3,840","4,919","4,687","9,347","9,203"
2020년01월_계_60~69세,"243,700","72,769","40,149","32,620","35,782","38,442","16,206","12,374","14,063","13,095","4,623","4,219","4,046","4,838","4,571","9,329","9,343"
2020년01월_계_70~79세,"165,237","41,948","22,686","19,262","21,818","23,507","13,306","9,673","11,129","8,927","3,791","3,408","3,110","4,298","4,249","8,432","7,641"
2020년01월_계_80~89세,"88,857","18,771","10,279","8,492","9,759","12,223","7,953","5,988","7,149","5,136","2,383","2,238","2,044","2,892","2,648","5,074","4,599"
2020년01월_계_90~99세,"12,637","2,563","1,456","1,107","1,408","1,811","1,106",902,"1,089",731,355,316,275,418,369,732,562
2020년01월_계_100세 이상,807,165,84,81,111,100,105,43,64,37,25,15,19,26,22,36,39
2020년01월_남_총인구수,"903,385","322,524","165,234","157,290","136,268","142,991","54,624","39,877","41,594","47,293","12,973","12,058","11,141","14,457","13,737","27,439","26,409"
2020년01월_남_연령구간인구수,"903,385","322,524","165,234","157,290","136,268","142,991","54,624","39,877","41,594","47,293","12,973","12,058","11,141","14,457","13,737","27,439","26,409"
2020년01월_남_0~9세,"69,811","28,664","13,148","15,516","11,393","10,576","3,521","2,798","2,422","3,817",694,681,636,781,863,"1,528","1,437"
2020년01월_남_10~19세,"94,138","38,269","19,613","18,656","14,346","15,070","5,378","3,936","3,337","4,440",911,942,855,982,"1,162","2,425","2,085"
2020년01월_남_20~29세,"114,897","48,451","25,499","22,952","16,213","20,124","5,933","4,283","4,145","4,974","1,158","1,052",971,"1,393","1,179","2,540","2,481"
2020년01월_남_30~39세,"101,416","41,691","20,312","21,379","16,958","15,912","4,999","3,412","3,770","5,162",877,966,892,"1,203","1,084","2,223","2,267"
2020년01월_남_40~49세,"141,872","53,029","26,210","26,819","23,303","22,113","8,136","5,751","5,870","7,589","1,697","1,680","1,534","1,883","1,950","3,741","3,596"
2020년01월_남_50~59세,"156,378","51,745","27,422","24,323","23,025","25,364","10,086","7,339","7,712","8,623","2,642","2,340","2,156","2,767","2,537","5,070","4,972"
2020년01월_남_60~69세,"120,213","34,736","19,014","15,722","17,684","19,078","8,044","6,197","7,005","6,768","2,424","2,125","2,035","2,535","2,306","4,608","4,668"
2020년01월_남_70~79세,"72,087","18,623","10,087","8,536","9,724","10,340","5,684","4,019","4,819","4,032","1,710","1,427","1,326","1,845","1,697","3,553","3,288"
2020년01월_남_80~89세,"29,557","6,701","3,599","3,102","3,300","3,965","2,573","1,927","2,243","1,727",754,769,670,966,863,"1,614","1,485"
2020년01월_남_90~99세,"2,851",585,314,271,288,427,251,205,260,154,97,71,62,95,96,135,125
2020년01월_남_100세 이상,165,30,16,14,34,22,19,10,11,7,9,5,4,7,0,2,5
2020년01월_여_총인구수,"913,917","332,439","173,743","158,696","133,511","144,006","55,686","41,562","42,209","44,878","12,708","12,213","11,241","13,989","14,574","28,165","26,736"
2020년01월_여_연령구간인구수,"913,917","332,439","173,743","158,696","133,511","144,006","55,686","41,562","42,209","44,878","12,708","12,213","11,241","13,989","14,574","28,165","26,736"
2020년01월_여_0~9세,"66,291","27,319","12,333","14,986","10,977","10,171","3,327","2,499","2,246","3,716",689,593,593,693,793,"1,368","1,307"
2020년01월_여_10~19세,"87,554","35,786","18,230","17,556","13,356","14,251","4,792","3,689","3,147","4,034",803,914,858,858,"1,131","2,088","1,847"
2020년01월_여_20~29세,"98,597","43,587","23,527","20,060","13,623","16,986","4,966","3,441","3,361","4,039",893,853,773,"1,032","1,014","1,995","2,034"
2020년01월_여_30~39세,"95,524","41,027","19,869","21,158","15,459","14,491","4,416","3,374","3,262","4,947",936,820,819,999,"1,124","1,929","1,921"
2020년01월_여_40~49세,"132,477","55,199","28,503","26,696","21,078","21,178","7,265","5,332","4,504","6,024","1,196","1,288","1,117","1,231","1,465","2,817","2,783"
2020년01월_여_50~59세,"147,109","53,980","29,657","24,323","21,170","24,678","8,815","6,605","6,533","6,880","2,008","1,946","1,684","2,152","2,150","4,277","4,231"
2020년01월_여_60~69세,"123,487","38,033","21,135","16,898","18,098","19,364","8,162","6,177","7,058","6,327","2,199","2,094","2,011","2,303","2,265","4,721","4,675"
2020년01월_여_70~79세,"93,150","23,325","12,599","10,726","12,094","13,167","7,622","5,654","6,310","4,895","2,081","1,981","1,784","2,453","2,552","4,879","4,353"
2020년01월_여_80~89세,"59,300","12,070","6,680","5,390","6,459","8,258","5,380","4,061","4,906","3,409","1,629","1,469","1,374","1,926","1,785","3,460","3,114"
2020년01월_여_90~99세,"9,786","1,978","1,142",836,"1,120","1,384",855,697,829,577,258,245,213,323,273,597,437
2020년01월_여_100세 이상,642,135,68,67,77,78,86,33,53,30,16,10,15,19,22,34,34
2020년02월_계_총인구수,"1,815,112","655,447","339,281","316,166","269,201","286,096","110,120","81,358","83,595","92,201","25,652","24,230","22,285","28,253","28,260","55,425","52,989"
2020년02월_계_연령구간인구수,"1,815,112","655,447","339,281","316,166","269,201","286,096","110,120","81,358","83,595","92,201","25,652","24,230","22,285","28,253","28,260","55,425","52,989"
2020년02월_계_0~9세,"135,297","55,888","25,524","30,364","22,151","20,575","6,792","5,268","4,599","7,493","1,377","1,269","1,212","1,451","1,647","2,864","2,711"
2020년02월_계_10~19세,"180,675","73,815","37,699","36,116","27,532","29,054","10,119","7,577","6,444","8,460","1,705","1,841","1,684","1,836","2,279","4,441","3,888"
2020년02월_계_20~29세,"212,339","91,899","48,907","42,992","29,668","36,781","10,807","7,661","7,387","8,998","2,031","1,899","1,721","2,371","2,177","4,466","4,473"
2020년02월_계_30~39세,"195,971","82,690","40,275","42,415","32,117","30,163","9,358","6,746","7,021","10,034","1,798","1,764","1,683","2,162","2,178","4,118","4,139"
2020년02월_계_40~49세,"274,471","108,523","54,783","53,740","44,369","43,212","15,397","11,088","10,344","13,669","2,872","2,964","2,656","3,055","3,426","6,538","6,358"
2020년02월_계_50~59세,"303,074","105,695","57,046","48,649","44,178","49,941","18,847","13,933","14,182","15,502","4,669","4,279","3,804","4,874","4,664","9,318","9,188"
2020년02월_계_60~69세,"244,901","73,159","40,366","32,793","35,924","38,642","16,273","12,440","14,169","13,174","4,634","4,216","4,071","4,868","4,604","9,366","9,361"
2020년02월_계_70~79세,"165,445","42,119","22,766","19,353","21,893","23,539","13,292","9,696","11,114","8,934","3,782","3,411","3,111","4,283","4,225","8,405","7,641"
2020년02월_계_80~89세,"89,352","18,910","10,354","8,556","9,815","12,265","8,019","5,993","7,171","5,158","2,398","2,252","2,048","2,911","2,667","5,119","4,626"
2020년02월_계_90~99세,"12,770","2,582","1,475","1,107","1,443","1,822","1,111",914,"1,100",741,360,320,275,418,366,753,565
2020년02월_계_100세 이상,817,167,86,81,111,102,105,42,64,38,26,15,20,24,27,37,39
2020년02월_남_총인구수,"902,365","322,798","165,374","157,424","135,975","142,534","54,541","39,875","41,483","47,315","12,950","12,047","11,095","14,372","13,721","27,338","26,321"
2020년02월_남_연령구간인구수,"902,365","322,798","165,374","157,424","135,975","142,534","54,541","39,875","41,483","47,315","12,950","12,047","11,095","14,372","13,721","27,338","26,321"
2020년02월_남_0~9세,"69,401","28,627","13,172","15,455","11,290","10,475","3,500","2,789","2,387","3,787",692,678,627,767,859,"1,509","1,414"
2020년02월_남_10~19세,"93,659","38,159","19,544","18,615","14,274","14,928","5,362","3,915","3,317","4,449",900,938,843,973,"1,157","2,383","2,061"
2020년02월_남_20~29세,"114,347","48,383","25,430","22,953","16,131","19,967","5,888","4,250","4,076","4,976","1,145","1,051",965,"1,371","1,181","2,501","2,462"
2020년02월_남_30~39세,"100,972","41,722","20,408","21,314","16,790","15,784","4,964","3,408","3,771","5,133",871,957,879,"1,176","1,066","2,212","2,239"
2020년02월_남_40~49세,"141,899","53,167","26,223","26,944","23,270","22,081","8,134","5,760","5,853","7,607","1,688","1,671","1,529","1,862","1,953","3,739","3,585"
2020년02월_남_50~59세,"156,239","51,752","27,411","24,341","23,050","25,314","10,063","7,345","7,680","8,623","2,646","2,342","2,134","2,743","2,529","5,049","4,969"
2020년02월_남_60~69세,"120,763","34,906","19,104","15,802","17,750","19,177","8,069","6,222","7,068","6,790","2,426","2,137","2,045","2,555","2,320","4,616","4,682"
2020년02월_남_70~79세,"72,364","18,715","10,121","8,594","9,774","10,386","5,702","4,044","4,816","4,059","1,715","1,421","1,333","1,857","1,692","3,555","3,295"
2020년02월_남_80~89세,"29,695","6,750","3,626","3,124","3,321","3,972","2,591","1,925","2,247","1,728",761,775,673,966,867,"1,633","1,486"
2020년02월_남_90~99세,"2,861",588,319,269,291,428,248,207,257,156,97,72,63,95,97,139,123
2020년02월_남_100세 이상,165,29,16,13,34,22,20,10,11,7,9,5,4,7,0,2,5
2020년02월_여_총인구수,"912,747","332,649","173,907","158,742","133,226","143,562","55,579","41,483","42,112","44,886","12,702","12,183","11,190","13,881","14,539","28,087","26,668"
2020년02월_여_연령구간인구수,"912,747","332,649","173,907","158,742","133,226","143,562","55,579","41,483","42,112","44,886","12,702","12,183","11,190","13,881","14,539","28,087","26,668"
2020년02월_여_0~9세,"65,896","27,261","12,352","14,909","10,861","10,100","3,292","2,479","2,212","3,706",685,591,585,684,788,"1,355","1,297"
2020년02월_여_10~19세,"87,016","35,656","18,155","17,501","13,258","14,126","4,757","3,662","3,127","4,011",805,903,841,863,"1,122","2,058","1,827"
2020년02월_여_20~29세,"97,992","43,516","23,477","20,039","13,537","16,814","4,919","3,411","3,311","4,022",886,848,756,"1,000",996,"1,965","2,011"
2020년02월_여_30~39세,"94,999","40,968","19,867","21,101","15,327","14,379","4,394","3,338","3,250","4,901",927,807,804,986,"1,112","1,906","1,900"
2020년02월_여_40~49세,"132,572","55,356","28,560","26,796","21,099","21,131","7,263","5,328","4,491","6,062","1,184","1,293","1,127","1,193","1,473","2,799","2,773"
2020년02월_여_50~59세,"146,835","53,943","29,635","24,308","21,128","24,627","8,784","6,588","6,502","6,879","2,023","1,937","1,670","2,131","2,135","4,269","4,219"
2020년02월_여_60~69세,"124,138","38,253","21,262","16,991","18,174","19,465","8,204","6,218","7,101","6,384","2,208","2,079","2,026","2,313","2,284","4,750","4,679"
2020년02월_여_70~79세,"93,081","23,404","12,645","10,759","12,119","13,153","7,590","5,652","6,298","4,875","2,067","1,990","1,778","2,426","2,533","4,850","4,346"
2020년02월_여_80~89세,"59,657","12,160","6,728","5,432","6,494","8,293","5,428","4,068","4,924","3,430","1,637","1,477","1,375","1,945","1,800","3,486","3,140"
2020년02월_여_90~99세,"9,909","1,994","1,156",838,"1,152","1,394",863,707,843,585,263,248,212,323,269,614,442
2020년02월_여_100세 이상,652,138,70,68,77,80,85,32,53,31,17,10,16,17,27,35,34
2020년03월_계_총인구수,"1,812,936","655,519","339,291","316,228","268,766","285,431","109,951","81,257","83,570","92,135","25,621","24,178","22,277","28,073","28,155","55,190","52,813"
2020년03월_계_연령구간인구수,"1,812,936","655,519","339,291","316,228","268,766","285,431","109,951","81,257","83,570","92,135","25,621","24,178","22,277","28,073","28,155","55,190","52,813"
2020년03월_계_0~9세,"134,584","55,721","25,471","30,250","22,010","20,424","6,755","5,249","4,587","7,441","1,361","1,271","1,208","1,424","1,619","2,826","2,688"
2020년03월_계_10~19세,"179,656","73,458","37,480","35,978","27,417","28,887","10,030","7,545","6,418","8,429","1,694","1,813","1,681","1,814","2,280","4,340","3,850"
2020년03월_계_20~29세,"212,222","92,176","49,050","43,126","29,611","36,651","10,825","7,641","7,380","8,988","2,015","1,880","1,715","2,297","2,154","4,459","4,430"
2020년03월_계_30~39세,"194,883","82,511","40,201","42,310","31,913","29,899","9,302","6,699","6,976","9,967","1,777","1,770","1,669","2,127","2,127","4,067","4,079"
2020년03월_계_40~49세,"273,525","108,230","54,570","53,660","44,204","43,006","15,335","11,055","10,335","13,658","2,864","2,942","2,653","3,023","3,416","6,474","6,330"
