카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년03월_계_총인구수,"1,597,639","840,756","181,403","200,775","263,844","194,734","210,423","133,839","32,760","50,791","48,174","37,341","81,404","37,896","94,709","29,546"
2020년03월_계_연령구간인구수,"1,597,639","840,756","181,403","200,775","263,844","194,734","210,423","133,839","32,760","50,791","48,174","37,341","81,404","37,896","94,709","29,546"
2020년03월_계_0~9세,"127,815","76,407","15,345","15,211","24,707","21,144","15,134","9,210","1,536","2,737","2,514","3,513","7,701","1,329","6,461","1,273"
2020년03월_계_10~19세,"152,506","87,663","19,471","21,526","27,039","19,627","19,403","12,100","2,190","4,017","3,589","3,469","7,884","2,145","7,973","2,073"
2020년03월_계_20~29세,"198,733","118,932","23,164","29,107","40,788","25,873","24,389","14,993","2,472","4,489","4,606","4,577","8,945","3,111","9,831","2,388"
2020년03월_계_30~39세,"198,047","119,590","21,412","24,239","41,105","32,834","23,867","13,500","2,340","4,053","3,546","4,902","11,292","2,557","10,259","2,141"
2020년03월_계_40~49세,"243,255","136,975","29,337","32,277","43,337","32,024","31,491","18,830","3,436","6,397","5,597","5,730","13,156","3,960","14,208","3,475"
2020년03월_계_50~59세,"273,598","136,865","31,638","35,140","42,576","27,511","37,881","24,278","6,063","9,123","8,642","6,134","13,438","7,458","17,924","5,792"
2020년03월_계_60~69세,"211,370","91,603","22,014","24,183","25,964","19,442","30,027","21,730","6,557","9,445","8,795","4,728","9,680","8,204","14,506","6,095"
2020년03월_계_70~79세,"119,143","46,412","11,995","12,296","11,828","10,293","17,418","12,314","4,587","6,211","6,446","2,667","5,464","5,445","8,258","3,921"
2020년03월_계_80~89세,"63,866","22,907","6,057","5,918","5,701","5,231","9,545","6,019","3,075","3,743","3,854","1,447","3,387","3,230","4,558","2,101"
2020년03월_계_90~99세,"8,762","3,213",915,826,761,711,"1,200",793,479,549,552,163,439,431,679,264
2020년03월_계_100세 이상,544,189,55,52,38,44,68,72,25,27,33,11,18,26,52,23
2020년03월_남_총인구수,"809,369","423,467","90,322","99,676","133,733","99,736","106,420","67,085","16,500","25,596","23,895","19,345","42,599","19,365","50,139","14,958"
2020년03월_남_연령구간인구수,"809,369","423,467","90,322","99,676","133,733","99,736","106,420","67,085","16,500","25,596","23,895","19,345","42,599","19,365","50,139","14,958"
2020년03월_남_0~9세,"65,263","38,929","7,789","7,725","12,583","10,832","7,648","4,682",799,"1,447","1,299","1,799","3,970",674,"3,357",659
2020년03월_남_10~19세,"79,495","45,705","10,169","11,256","14,093","10,187","10,131","6,274","1,163","2,107","1,834","1,795","4,135","1,090","4,166","1,095"
2020년03월_남_20~29세,"110,343","64,815","12,559","15,793","22,091","14,372","13,917","8,327","1,431","2,566","2,569","2,647","5,161","1,822","5,693","1,395"
2020년03월_남_30~39세,"104,568","62,293","10,868","12,379","21,499","17,547","12,830","7,009","1,305","2,094","1,869","2,699","6,153","1,447","5,721","1,148"
2020년03월_남_40~49세,"126,152","69,254","14,612","15,885","21,955","16,802","16,208","9,687","1,917","3,477","3,071","3,098","7,209","2,298","8,007","1,926"
2020년03월_남_50~59세,"140,625","68,547","15,883","17,281","21,333","14,050","19,426","12,376","3,348","4,843","4,534","3,218","7,328","4,016","9,937","3,052"
