카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년01월_계_총인구수,"79,126","34,235","9,414","2,547","3,154","3,265","1,779","2,546","6,788","2,548","4,635","3,651","4,564"
2020년01월_계_연령구간인구수,"79,126","34,235","9,414","2,547","3,154","3,265","1,779","2,546","6,788","2,548","4,635","3,651","4,564"
2020년01월_계_0~9세,"3,890","2,295",523,52,76,95,42,69,278,87,146,102,125
2020년01월_계_10~19세,"5,963","3,492",660,101,163,151,64,147,411,144,261,145,224
2020년01월_계_20~29세,"7,182","3,753","1,024",149,174,209,87,209,524,145,309,272,327
2020년01월_계_30~39세,"6,431","3,263",986,166,198,149,96,140,495,158,260,236,284
2020년01월_계_40~49세,"9,935","5,211","1,099",249,300,305,165,252,800,249,459,358,488
2020년01월_계_50~59세,"14,130","6,104","1,575",454,505,565,303,476,"1,387",438,827,633,863
2020년01월_계_60~69세,"14,111","5,114","1,524",574,702,668,448,534,"1,350",524,932,771,970
2020년01월_계_70~79세,"10,226","3,145","1,123",470,580,578,329,392,901,448,844,661,755
2020년01월_계_80~89세,"6,419","1,643",798,294,406,494,214,282,559,299,542,426,462
2020년01월_계_90~99세,802,204,95,35,48,50,30,44,78,54,53,47,64
2020년01월_계_100세 이상,37,11,7,3,2,1,1,1,5,2,2,0,2
2020년01월_남_총인구수,"39,721","17,022","4,733","1,331","1,599","1,604",886,"1,310","3,354","1,290","2,359","1,850","2,383"
2020년01월_남_연령구간인구수,"39,721","17,022","4,733","1,331","1,599","1,604",886,"1,310","3,354","1,290","2,359","1,850","2,383"
2020년01월_남_0~9세,"2,009","1,193",259,25,41,50,22,34,150,40,72,56,67
2020년01월_남_10~19세,"3,083","1,771",345,54,91,80,30,87,212,67,133,83,130
2020년01월_남_20~29세,"4,060","2,060",585,82,112,108,48,123,293,92,190,165,202
2020년01월_남_30~39세,"3,570","1,714",553,105,117,88,56,86,266,102,164,138,181
2020년01월_남_40~49세,"5,481","2,661",611,180,180,177,105,166,439,147,287,224,304
2020년01월_남_50~59세,"7,414","3,103",828,255,273,323,152,243,704,249,458,346,480
2020년01월_남_60~69세,"7,000","2,457",734,296,354,351,248,275,663,259,466,397,500
2020년01월_남_70~79세,"4,617","1,434",508,216,267,242,154,175,406,208,388,288,331
2020년01월_남_80~89세,"2,300",578,290,113,156,170,69,108,204,110,192,142,168
2020년01월_남_90~99세,181,49,20,4,8,15,2,12,17,15,9,11,19
2020년01월_남_100세 이상,6,2,0,1,0,0,0,1,0,1,0,0,1
