카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년01월_계_총인구수,"35,226","14,040","4,132","2,413","1,190","2,600","1,859","2,864","1,893","1,695",675,"1,865"
2020년01월_계_연령구간인구수,"35,226","14,040","4,132","2,413","1,190","2,600","1,859","2,864","1,893","1,695",675,"1,865"
2020년01월_계_0~9세,"1,925","1,097",208,86,30,75,94,121,50,54,26,84
2020년01월_계_10~19세,"2,662","1,475",332,134,51,137,92,137,79,89,45,91
2020년01월_계_20~29세,"2,943","1,547",330,166,68,143,89,195,127,101,31,146
2020년01월_계_30~39세,"2,640","1,426",281,119,64,134,93,175,98,87,30,133
2020년01월_계_40~49세,"3,919","1,916",444,215,118,219,178,265,139,166,67,192
2020년01월_계_50~59세,"5,879","2,342",703,402,184,402,319,465,330,270,107,355
2020년01월_계_60~69세,"5,998","1,948",683,467,254,545,396,574,346,320,112,353
2020년01월_계_70~79세,"5,332","1,437",614,470,261,524,326,525,404,323,132,316
2020년01월_계_80~89세,"3,454",746,471,315,139,368,249,359,280,243,107,177
2020년01월_계_90~99세,445,95,65,37,20,47,22,45,38,40,18,18
2020년01월_계_100세 이상,29,11,1,2,1,6,1,3,2,2,0,0
2020년01월_남_총인구수,"16,928","6,710","2,002","1,171",555,"1,248",890,"1,392",913,792,331,924
2020년01월_남_연령구간인구수,"16,928","6,710","2,002","1,171",555,"1,248",890,"1,392",913,792,331,924
2020년01월_남_0~9세,976,567,106,47,11,37,35,66,28,23,15,41
2020년01월_남_10~19세,"1,355",719,183,65,28,70,51,70,40,54,26,49
2020년01월_남_20~29세,"1,627",812,205,97,38,83,50,114,75,55,17,81
2020년01월_남_30~39세,"1,333",700,146,65,33,77,39,86,58,47,12,70
2020년01월_남_40~49세,"2,185",957,245,126,73,134,119,160,97,104,47,123
2020년01월_남_50~59세,"3,110","1,172",377,227,95,225,176,252,187,143,64,192
2020년01월_남_60~69세,"2,986",938,364,239,119,283,187,293,165,163,59,176
2020년01월_남_70~79세,"2,225",610,231,201,119,214,147,219,165,119,62,138
2020년01월_남_80~89세,"1,038",214,130,99,37,112,82,121,90,75,25,53
2020년01월_남_90~99세,89,20,15,5,2,12,4,10,7,9,4,1
2020년01월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년01월_여_총인구수,"18,298","7,330","2,130","1,242",635,"1,352",969,"1,472",980,903,344,941
2020년01월_여_연령구간인구수,"18,298","7,330","2,130","1,242",635,"1,352",969,"1,472",980,903,344,941
2020년01월_여_0~9세,949,530,102,39,19,38,59,55,22,31,11,43
2020년01월_여_10~19세,"1,307",756,149,69,23,67,41,67,39,35,19,42
2020년01월_여_20~29세,"1,316",735,125,69,30,60,39,81,52,46,14,65
2020년01월_여_30~39세,"1,307",726,135,54,31,57,54,89,40,40,18,63
2020년01월_여_40~49세,"1,734",959,199,89,45,85,59,105,42,62,20,69
